Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Alameda,2010,HHDT,Aggregate,Aggregate,Gasoline,71.5653669,2275761.146,2275761.146,0,468224.7145,0,17.73820184,0,0.171053882,17.90925572,0.007185235,0,0.002404554,0.00958979,0.012542986,0.103673983,0.125806759,0.007674488,0,0.002532451,0.010206939,0.050171945,0.296211379,0.356590263,6554.373126,0,48.55538017,6602.928506,0.766186467,0,0,0.766186467,0.554099004,0,0.004832371,0.558931375,4.963568206,0,0,4.963568206,0.151745585,0.105762958,0.387379625,5.608456373,6.710172827,0,0,6.710172827,0.151745585,0.105762958,0.387379625,7.355060994,146.4637065,0,3.008778017,149.4724845,0.064697712,0,0.000479286,0.065176999,0.1084788,695.2074135
Alameda,2010,HHDT,Aggregate,Aggregate,Diesel,10990.8011,462356893.5,462356893.5,0,49551949.89,0,7759.252504,240.8195055,2.466586775,8002.538596,270.0815116,4.940169847,0,275.0216814,4.526878285,18.34236891,297.8909286,282.293399,5.163542406,0,287.4569415,18.10751314,52.40676832,357.9712229,884930.8446,23943.1472,0,908873.9918,22.47848432,1.415796533,0,23.89428085,138.7459351,3.753981869,0,142.4999169,483.9556033,30.48171111,0,514.4373144,0,0,0,514.4373144,550.946615,34.70110779,0,585.6477228,0,0,0,585.6477228,1670.556735,96.71132955,0,1767.268064,8.33917893,0.225629144,0,8.564808074,16.64515385,80796.11696
Alameda,2010,LDA,Aggregate,Aggregate,Gasoline,568510.9719,6302707802,6302707802,0,913642598.7,0,2107.852601,0,694.0906433,2801.943244,18.79327566,0,4.779763964,23.57303962,13.8950922,16.93998414,54.40811596,20.38041206,0,5.169460298,25.54987236,55.5803688,48.39995468,129.5301958,2357925.217,0,99385.71215,2457310.93,113.9621104,0,201.9635305,315.9256409,138.8512096,0,54.04963831,192.9008479,592.151058,0,1155.268247,1747.419305,532.3084764,246.1595766,643.6508873,3169.538245,809.303337,0,1264.179938,2073.483275,532.3084764,246.1595766,643.6508873,3495.602215,20323.95441,0,10807.00585,31130.96027,23.27489814,0,0.981028707,24.25592685,255.9367117,258724.7119
Alameda,2010,LDA,Aggregate,Aggregate,Diesel,3370.560652,29067584.42,29067584.42,0,4935035.484,0,37.57893456,0,0,37.57893456,2.914870425,0,0,2.914870425,0.064083054,0.078446605,3.057400084,3.046667931,0,0,3.046667931,0.256332217,0.224133158,3.527133305,9353.958209,0,0,9353.958209,0.195731046,0,0,0.195731046,1.466582034,0,0,1.466582034,4.213974183,0,0,4.213974183,0,0,0,4.213974183,4.797329443,0,0,4.797329443,0,0,0,4.797329443,32.43044492,0,0,32.43044492,0.088204216,0,0,0.088204216,0.099328705,831.5382642
Alameda,2010,LDT1,Aggregate,Aggregate,Gasoline,63378.30074,642601164.8,642601164.8,0,97872870.09,0,417.7686251,0,97.9195899,515.688215,3.54975774,0,0.810692685,4.360450426,1.416693065,2.130446676,7.907590166,3.8415019,0,0.875936948,4.717438848,5.666772259,6.086990502,16.47120161,278014.0476,0,13041.9423,291055.9899,21.34035665,0,27.53006555,48.8704222,23.47856639,0,6.504755937,29.98332232,121.926636,0,164.2132142,286.1398502,98.96133366,43.6943364,121.3879992,550.1835195,160.3896196,0,179.6560306,340.0456502,98.96133366,43.6943364,121.3879992,604.0893195,3739.327426,0,1725.532553,5464.859979,2.744255243,0,0.128736008,2.872991251,31.12496804,30644.62712
Alameda,2010,LDT1,Aggregate,Aggregate,Diesel,148.5231295,966195.5493,966195.5493,0,195228.2713,0,1.743959335,0,0,1.743959335,0.209812389,0,0,0.209812389,0.002130097,0.003540782,0.215483267,0.219299174,0,0,0.219299174,0.008520386,0.01011652,0.23793608,483.4367532,0,0,483.4367532,0.012730554,0,0,0.012730554,0.075796753,0,0,0.075796753,0.274081332,0,0,0.274081332,0,0,0,0.274081332,0.312023374,0,0,0.312023374,0,0,0,0.312023374,1.709546898,0,0,1.709546898,0.004558622,0,0,0.004558622,0.003301649,42.97604817
Alameda,2010,LDT2,Aggregate,Aggregate,Gasoline,169981.1314,1999070476,1999070476,0,277174505.5,0,1031.296683,0,350.092912,1381.389595,5.034625869,0,1.143008129,6.177633998,4.407195993,6.390696176,16.97552617,5.457959324,0,1.237829826,6.69578915,17.62878397,18.25913193,42.58370505,989095.9241,0,38161.67626,1027257.6,35.51300402,0,65.19132845,100.7043325,59.38872219,0,23.33270639,82.72142858,182.4000715,0,365.8939399,548.2940114,116.6762684,52.98045193,137.2524936,855.2032253,250.0172432,0,400.4824443,650.4996875,116.6762684,52.98045193,137.2524936,957.4089014,6860.018369,0,3415.204267,10275.22264,9.763289658,0,0.376690966,10.13998062,78.42902171,108157.6302
Alameda,2010,LDT2,Aggregate,Aggregate,Diesel,10.75820507,93014.9977,93014.9977,0,15311.26066,0,0.14174647,0,0,0.14174647,0.012911456,0,0,0.012911456,0.000205063,0.000309512,0.013426031,0.013495254,0,0,0.013495254,0.000820252,0.00088432,0.015199826,44.04575512,0,0,44.04575512,0.00091004,0,0,0.00091004,0.006905816,0,0,0.006905816,0.019592626,0,0,0.019592626,0,0,0,0.019592626,0.022304902,0,0,0.022304902,0,0,0,0.022304902,0.139157753,0,0,0.139157753,0.000415334,0,0,0.000415334,0.000317848,3.915532862
Alameda,2010,LHDT1,Aggregate,Aggregate,Gasoline,18534.58336,203848754.3,203848754.3,0,90297019.88,0,141.2271464,0.277894124,64.54346878,206.0485093,0.782221827,0,0.08350794,0.865729766,0.449409576,6.134440701,7.449580043,0.849811602,0,0.090532759,0.940344361,1.797638303,17.52697343,20.26495609,238139.6105,839.0289754,2431.056782,241409.6963,7.53396829,0.800198177,4.393488674,12.72765514,7.410587597,0.018933215,4.54262985,11.97215066,40.31898661,3.172027074,23.91938757,67.41040125,18.02205576,7.042660636,35.48678229,127.9618999,57.89013661,4.622544733,26.17727891,88.68996026,18.02205576,7.042660636,35.48678229,149.241459,772.6807004,24.65615605,314.2026255,1111.539482,2.350657747,0.00828199,0.023996774,2.382936512,10.00198191,25417.48111
Alameda,2010,LHDT1,Aggregate,Aggregate,Diesel,8538.365682,99151234.09,99151234.09,0,35120420.98,0,603.0449264,7.990005738,0,611.0349321,9.859667568,0.099122213,0,9.958789781,0.327886581,2.983767882,13.27044424,10.30547798,0.10360408,0,10.40908206,1.311546323,8.525051093,20.24567948,64977.0291,441.6907031,0,65418.7198,1.722528576,0.015690523,0,1.738219099,10.18757422,0.069251501,0,10.25682572,37.08502608,0.337807723,0,37.42283381,0,0,0,37.42283381,42.21883662,0.384571633,0,42.60340825,0,0,0,42.60340825,121.3247121,2.79992473,0,124.1246368,0.612708306,0.004164973,0,0.616873279,3.176764683,5815.524026
Alameda,2010,LHDT2,Aggregate,Aggregate,Gasoline,2211.979213,24180805.63,24180805.63,0,10776348.58,0,17.02574918,0.033175172,7.938148007,24.99707236,0.087386337,0,0.008810344,0.09619668,0.053309551,0.848954601,0.998460833,0.094980175,0,0.009564064,0.104544239,0.213238205,2.425584575,2.743367019,32034.31752,115.4598189,327.273195,32477.05053,0.83169187,0.095663485,0.524641897,1.451997253,0.883176812,0.002253557,0.555724517,1.441154886,4.335404283,0.378541967,2.840833211,7.554779461,2.078842282,0.811520315,4.209876725,14.65501878,6.265371551,0.551990726,3.109674664,9.927036941,2.078842282,0.811520315,4.209876725,17.02727626,82.84037035,2.943707103,39.18943456,124.973512,0.31620828,0.001139695,0.003230488,0.320578463,1.190970672,3419.435222
Alameda,2010,LHDT2,Aggregate,Aggregate,Diesel,2539.507708,29625796.47,29625796.47,0,10445626.61,0,168.6598014,2.37641276,0,171.0362142,3.049399195,0.028175057,0,3.077574252,0.097970552,1.04012069,4.215665494,3.187279495,0.029449008,0,3.216728503,0.391882207,2.971773399,6.58038411,24517.66546,206.6260176,0,24724.29148,0.51950021,0.004666725,0,0.524166935,3.844059048,0.032396339,0,3.876455387,11.18453365,0.100471841,0,11.28500549,0,0,0,11.28500549,12.73284797,0.114380511,0,12.84722848,0,0,0,12.84722848,34.9821043,0.832762463,0,35.81486676,0.231192122,0.001948404,0,0.233140526,0.973106391,2197.913863
Alameda,2010,MCY,Aggregate,Aggregate,Gasoline,24571.24725,49875631.94,49875631.94,0,17052445.59,0,59.0177013,0,5.251286969,64.26898827,0.140187616,0,0.1259736,0.266161216,0.054978473,0.230909588,0.552049277,0.147469644,0,0.132303106,0.27977275,0.219913893,0.659741679,1.159428321,11585.34937,0,1403.432283,12988.78165,18.1329451,0,5.878346656,24.01129175,3.376430401,0,0.290496542,3.666926943,137.7929392,0,46.6674569,184.4603962,46.99225842,67.56896033,69.20431259,368.2259275,156.1425295,0,50.65766281,206.8001923,46.99225842,67.56896033,69.20431259,390.5657236,1527.313315,0,178.067207,1705.380522,0.114358091,0,0.013853172,0.128211263,0.40455992,1367.559453
Alameda,2010,MDV,Aggregate,Aggregate,Gasoline,120988.9588,1423980649,1423980649,0,198107740.1,0,763.7389668,0,266.3504201,1030.089387,3.323221816,0,0.864699885,4.187921701,3.139339953,4.61103716,11.93829881,3.606632931,0,0.937897613,4.544530544,12.55735981,13.17439189,30.27628224,808565.0601,0,30514.73398,839079.7941,26.67008037,0,54.64476137,81.31484174,44.4581746,0,17.09670861,61.55488322,134.1444693,0,313.7397515,447.8842208,74.79084384,32.04211803,86.03215059,640.7493333,186.9733907,0,343.4310622,530.4044529,74.79084384,32.04211803,86.03215059,723.2695653,4811.269534,0,2334.109655,7145.379189,7.981283409,0,0.301208588,8.282491997,54.49372135,88344.8144
Alameda,2010,MDV,Aggregate,Aggregate,Diesel,275.9307539,2850958.008,2850958.008,0,418613.7164,0,1.700647953,0,0,1.700647953,0.212614579,0,0,0.212614579,0.006285287,0.008766208,0.227666073,0.222228066,0,0,0.222228066,0.025141146,0.025046307,0.27241552,1584.888706,0,0,1584.888706,0.013309103,0,0,0.013309103,0.248490452,0,0,0.248490452,0.286537147,0,0,0.286537147,0,0,0,0.286537147,0.326203491,0,0,0.326203491,0,0,0,0.326203491,1.92749281,0,0,1.92749281,0.014944889,0,0,0.014944889,0.009742191,140.8917566
Alameda,2010,MH,Aggregate,Aggregate,Gasoline,3635.724423,9004301.466,9004301.466,0,118935.7439,0,16.03214486,0,0.050960853,16.08310571,0.058460265,0,0.000300099,0.058760364,0.02977663,0.156387848,0.244924842,0.062728077,0,0.000318571,0.063046648,0.11910652,0.446822424,0.628975593,19668.94543,0,6.067155605,19675.01258,0.990973102,0,0.011103969,1.00207707,0.714534583,0,0.003567302,0.718101884,6.438554446,0,0.075661206,6.514215652,8.790711892,4.364869172,0.072296746,19.74209346,8.094195471,0,0.082346463,8.176541934,8.790711892,4.364869172,0.072296746,21.40441974,198.0760577,0,0.676148537,198.7522063,0.194150645,0,5.98884E-05,0.194210533,0.404143907,2071.537591
Alameda,2010,MH,Aggregate,Aggregate,Diesel,555.4383468,1857424.441,1857424.441,0,18162.83394,0,15.6554835,0,0,15.6554835,0.432449258,0,0,0.432449258,0.00818984,0.032093614,0.472732712,0.452002695,0,0,0.452002695,0.03275936,0.09169604,0.576458095,2202.069149,0,0,2202.069149,0.01612851,0,0,0.01612851,0.345256519,0,0,0.345256519,0.347237333,0,0,0.347237333,0,0,0,0.347237333,0.395306618,0,0,0.395306618,0,0,0,0.395306618,1.241710357,0,0,1.241710357,0.020764662,0,0,0.020764662,0.06072819,195.7572097
Alameda,2010,MHDT,Aggregate,Aggregate,Gasoline,1818.07905,25495784.56,25495784.56,0,11894993.08,0,64.57801911,0.055501275,7.81259352,72.4461139,0.107983674,0,0.037567782,0.145551456,0.084312875,0.442814016,0.672678347,0.116389676,0,0.039867939,0.156257615,0.3372515,1.265182902,1.758692018,55387.83924,370.308743,883.4061413,56641.55412,2.606442836,0.132540305,1.404089705,4.143072846,2.645172457,0.002915409,0.386103513,3.034191379,15.41410433,0.647729295,10.70335142,26.76518505,3.21365842,1.702398676,8.479684249,40.16092639,20.89652387,0.912695604,11.65626271,33.46548218,3.21365842,1.702398676,8.479684249,46.86122353,372.7981502,9.472627085,106.0219622,488.2927395,0.546729094,0.003655289,0.008720034,0.559104417,1.226668414,5963.66117
Alameda,2010,MHDT,Aggregate,Aggregate,Diesel,12266.41406,151238529.3,151238529.3,0,45862301.33,0,1562.273111,175.9405273,0.761537753,1738.975176,52.32222677,1.955280152,0,54.27750693,0.500135825,2.670200008,57.44784276,54.68800569,2.043689244,0,56.73169494,2.000543298,7.629142881,66.36138112,206125.61,10721.15766,0,216846.7677,4.739088543,0.279086117,0,5.01817466,32.31788188,1.680941571,0,33.99882345,102.0312768,6.008647573,0,108.0399243,0,0,0,108.0399243,116.1548418,6.840387876,0,122.9952297,0,0,0,122.9952297,269.826544,47.65220516,0,317.4787491,1.9424324,0.10103123,0,2.04346363,5.048422429,19277.01416
Alameda,2010,OBUS,Aggregate,Aggregate,Gasoline,537.0710186,10354129.43,10354129.43,0,3513849.44,0,15.42939857,0.012442544,1.770449959,17.21229107,0.013643189,0,0.002515528,0.016158717,0.034240422,0.178958045,0.229357184,0.014786397,0,0.002684578,0.017470975,0.136961688,0.5113087,0.665741362,21540.40445,76.25740691,143.9658319,21760.62769,0.436449165,0.035715165,0.1989081,0.67107243,0.673516762,0.000871323,0.115117171,0.789505255,2.187843661,0.143029484,1.207733343,3.538606489,0.343090394,0.160668391,0.526050432,4.568415705,3.111387081,0.207467021,1.319371146,4.638225248,0.343090394,0.160668391,0.526050432,5.668034465,57.67165507,1.104224778,19.91986775,78.6957476,0.212623673,0.000752731,0.001421076,0.214797479,0.511552637,2291.12729
Alameda,2010,OBUS,Aggregate,Aggregate,Diesel,480.2854687,6318695.214,6318695.214,0,1563877.211,0,85.21766525,5.804509268,0.020762537,91.04293706,3.078250028,0.074830855,0,3.153080883,0.020895508,0.163503108,3.337479499,3.217434835,0.078214374,0,3.295649209,0.08358203,0.467151737,3.846382976,9999.430368,383.4834089,0,10382.91378,0.310705031,0.021383663,0,0.332088693,1.567783884,0.060125336,0,1.62790922,6.689394111,0.460384393,0,7.149778504,0,0,0,7.149778504,7.61536599,0.524112586,0,8.139478577,0,0,0,8.139478577,18.58303015,2.133862871,0,20.71689302,0.094230006,0.00361377,0,0.097843777,0.209648692,923.0092658
Alameda,2010,SBUS,Aggregate,Aggregate,Gasoline,64.04114395,979778.0013,979778.0013,0,83765.81628,0,2.952720813,0.019890506,0.069702573,3.042313892,0.010939253,0,0.000520394,0.011459647,0.002160041,0.016978993,0.03059868,0.011658766,0,0.000553241,0.012212007,0.008640163,0.048511408,0.069363579,995.2040186,62.84199333,7.651575251,1065.697587,0.230881538,0.04399472,0.019134631,0.294010889,0.126334552,0.001054752,0.003516061,0.130905364,1.611064103,0.233730184,0.143554706,1.988348993,0.169092718,0.086285797,0.176605955,2.420333464,1.984447609,0.324931243,0.156172218,2.46555107,0.169092718,0.086285797,0.176605955,2.897535541,39.9562781,1.762590327,1.646248791,43.36511722,0.009823582,0.000620308,7.55281E-05,0.010519419,0.038813221,112.2048895
Alameda,2010,SBUS,Aggregate,Aggregate,Diesel,137.7974301,2785464.625,2785464.625,0,652465.3195,0,31.53462921,1.800183829,0.006653033,33.34146607,1.073041583,0.026164778,0,1.099206361,0.009211347,0.04827051,1.156688219,1.121559762,0.027347833,0,1.148907595,0.03684539,0.137915744,1.323668729,3662.100043,113.3080615,0,3775.408105,0.094512785,0.003774367,0,0.098287152,0.574170849,0.017765267,0,0.591936117,2.034834351,0.081261076,0,2.116095427,0,0,0,2.116095427,2.316504015,0.092509549,0,2.409013564,0,0,0,2.409013564,5.658747023,0.592942683,0,6.251689707,0.034509937,0.001067763,0,0.0355777,0.088786518,335.6222288
Alameda,2010,UBUS,Aggregate,Aggregate,Gasoline,42,1631443,1631443,0,54936,0,0.309234756,0,0.053020285,0.36225504,0.000237871,0,4.12813E-06,0.000241999,0.005395074,0.069236786,0.074873859,0.000258706,0,4.48971E-06,0.000263196,0.021580297,0.197819388,0.219662881,3286.184844,0,7.48813575,3293.67298,0.007323562,0,0.007831592,0.015155153,0.030738101,0,0.005270245,0.036008346,0.023061137,0,0.03168292,0.054744058,0.008777343,0.0022974,0.005713782,0.071532582,0.033650757,0,0.03468881,0.068339567,0.008777343,0.0022974,0.005713782,0.085128091,0.435918865,0,0.645185062,1.081103927,0.032437677,0,7.39148E-05,0.032511592,0.08092609,346.7833813
Alameda,2010,UBUS,Aggregate,Aggregate,Diesel,692,26483309,26483309,0,905136,0,385.8273554,0,0,385.8273554,0.423743581,0,0,0.423743581,0.255915432,1.120549731,1.800208745,0.442903386,0,0,0.442903386,1.02366173,3.201570661,4.668135777,50724.63196,0,0,50724.63196,0.189189572,0,0,0.189189572,7.952979078,0,0,7.952979078,4.073196536,0,0,4.073196536,0,0,0,4.073196536,4.637026224,0,0,4.637026224,0,0,0,4.637026224,24.51247869,0,0,24.51247869,0.478313702,0,0,0.478313702,0.854964082,4509.264578
Alameda,2011,HHDT,Aggregate,Aggregate,Gasoline,69.63116779,2117678.238,2117678.238,0,455569.9925,0,17.43932261,0,0.152261127,17.59158373,0.006921016,0,0.002310899,0.009231915,0.011671703,0.093580885,0.114484503,0.007394026,0,0.002435188,0.009829213,0.046686813,0.267373957,0.323889984,6089.690922,0,46.53172196,6136.222644,0.730938199,0,0.000185035,0.731123234,0.528924282,0,0.003959461,0.532883744,4.769129196,0,0.00100478,4.770133976,0.151061582,0.101723037,0.386861431,5.409780026,6.448513591,0,0.001100108,6.449613699,0.151061582,0.101723037,0.386861431,7.089259748,141.3962186,0,2.895359748,144.2915784,0.060289656,0,0.000460677,0.060750333,0.100903953,647.9905925
Alameda,2011,HHDT,Aggregate,Aggregate,Diesel,11535.35041,471050678,471050678,0,51985464.76,0,7392.458215,255.62252,6.900603374,7654.981338,265.5103197,4.774712924,0,270.2850327,4.611933683,18.43945731,293.3364236,277.5155182,4.990604255,0,282.5061225,18.44773473,52.68416375,353.6380209,896669.7743,26730.28133,0,923400.0557,21.70462336,1.423128951,0,23.12775231,140.6370195,4.192476655,0,144.8294961,467.294589,30.63957606,0,497.9341651,0,0,0,497.9341651,531.9793186,34.88082502,0,566.8601436,0,0,0,566.8601436,1632.29235,108.6380608,0,1740.93041,8.452840576,0.251984413,0,8.704824989,22.36360359,82116.96654
Alameda,2011,LDA,Aggregate,Aggregate,Gasoline,563507.2814,6208301287,6208301287,0,902924996.8,0,1901.50551,0,654.7286756,2556.234185,16.496423,0,4.262978103,20.7594011,13.68696146,16.71168955,51.15805212,17.89245173,0,4.612096998,22.50454873,54.74784584,47.74768443,125.000079,2299416.426,0,96068.36468,2395484.791,102.7404044,0,190.08849,292.8288944,126.7395957,0,51.95153341,178.6911291,529.3541989,0,1081.191382,1610.545581,516.8273568,229.7004594,589.890063,2946.96346,726.6009633,0,1183.181625,1909.782588,516.8273568,229.7004594,589.890063,3246.200467,18539.71008,0,10026.40828,28566.11836,22.76487047,0,0.951103877,23.71597435,240.5851998,252965.3337
Alameda,2011,LDA,Aggregate,Aggregate,Diesel,3889.410805,38122847.11,38122847.11,0,5865834.291,0,35.96328494,0,0,35.96328494,2.685851794,0,0,2.685851794,0.084046491,0.101680387,2.871578673,2.807294094,0,0,2.807294094,0.336185965,0.290515392,3.433995451,11712.24061,0,0,11712.24061,0.183016677,0,0,0.183016677,1.83699134,0,0,1.83699134,3.940241294,0,0,3.940241294,0,0,0,3.940241294,4.485702748,0,0,4.485702748,0,0,0,4.485702748,31.65115436,0,0,31.65115436,0.110481635,0,0,0.110481635,0.130272024,1041.556868
Alameda,2011,LDT1,Aggregate,Aggregate,Gasoline,59775.23367,596678380,596678380,0,91691497.36,0,371.1222116,0,89.41745459,460.5396662,3.113855963,0,0.720538822,3.834394785,1.315450654,1.994849589,7.144695029,3.370151631,0,0.77869555,4.148847181,5.261802618,5.699570255,15.11022005,256693.7276,0,12051.60746,268745.335,19.14317302,0,25.32796011,44.47113312,21.02792999,0,6.009703969,27.03763396,108.8006973,0,150.8184419,259.6191393,94.81945566,40.40973918,111.2429911,506.0913252,143.6079807,0,165.0090327,308.6170134,94.81945566,40.40973918,111.2429911,555.0891993,3343.962759,0,1563.014235,4906.976995,2.541340225,0,0.119314309,2.660654535,28.26323039,28379.74744
Alameda,2011,LDT1,Aggregate,Aggregate,Diesel,137.844996,878651.6721,878651.6721,0,179008.179,0,1.598619414,0,0,1.598619414,0.189250907,0,0,0.189250907,0.001937095,0.003229059,0.194417061,0.197807993,0,0,0.197807993,0.007748381,0.009225882,0.214782256,442.3245901,0,0,442.3245901,0.01143972,0,0,0.01143972,0.069375832,0,0,0.069375832,0.246290429,0,0,0.246290429,0,0,0,0.246290429,0.280385279,0,0,0.280385279,0,0,0,0.280385279,1.521012237,0,0,1.521012237,0.00417245,0,0,0.00417245,0.003002497,39.33544658
Alameda,2011,LDT2,Aggregate,Aggregate,Gasoline,175601.3601,2064348953,2064348953,0,285654436.5,0,959.2504023,0,336.5857364,1295.836139,4.602650349,0,1.058697377,5.661347725,4.551110402,6.607886267,16.82034439,4.990624314,0,1.146860785,6.137485099,18.20444161,18.87967505,43.22160176,1002714.129,0,38314.60111,1041028.73,33.09284296,0,63.35516897,96.44801193,55.7444759,0,22.8380659,78.5825418,168.4855378,0,353.3084809,521.7940187,118.8362054,52.06972231,130.8296123,823.5295588,231.8658588,0,386.7195025,618.5853613,118.8362054,52.06972231,130.8296123,920.3209014,6472.41923,0,3271.343243,9743.762474,9.927152391,0,0.379325346,10.30647774,76.66307931,109933.5639
Alameda,2011,LDT2,Aggregate,Aggregate,Diesel,11.73622371,108991.8972,108991.8972,0,17092.04643,0,0.149587588,0,0,0.149587588,0.011865447,0,0,0.011865447,0.000240286,0.000359024,0.012464757,0.01240195,0,0,0.01240195,0.000961144,0.001025784,0.014388877,50.85149222,0,0,50.85149222,0.000839508,0,0,0.000839508,0.007975737,0,0,0.007975737,0.018074118,0,0,0.018074118,0,0,0,0.018074118,0.020576181,0,0,0.020576181,0,0,0,0.020576181,0.133816176,0,0,0.133816176,0.000479682,0,0,0.000479682,0.000372443,4.52216811
Alameda,2011,LHDT1,Aggregate,Aggregate,Gasoline,17887.5162,193234688.2,193234688.2,0,87144629.85,0,127.6611859,0.268676611,64.07222297,192.0020855,0.698967066,0,0.076087627,0.775054693,0.426009565,5.815030562,7.01609482,0.7593584,0,0.082487844,0.841846245,1.704038262,16.61437303,19.16025754,223694.6877,807.4373239,2328.728344,226830.8534,6.617829671,0.774693785,4.263859056,11.65638251,6.745779635,0.018285836,4.498947212,11.26301268,35.27777191,3.068402504,23.08773179,61.4339062,17.56553179,6.742957809,33.25912575,119.0015215,50.63296132,4.471867104,25.2678628,80.37269122,17.56553179,6.742957809,33.25912575,137.9403066,679.945536,23.83932305,296.5851973,1000.370056,2.214640434,0.007993857,0.023055067,2.245689357,9.49037145,23953.54074
Alameda,2011,LHDT1,Aggregate,Aggregate,Diesel,8229.199106,93681782.29,93681782.29,0,33848741.98,0,549.1015767,7.700694784,0,556.8022715,9.275906342,0.09337418,0,9.369280523,0.309799465,2.819175129,12.49825512,9.695321666,0.097596147,0,9.792917813,1.23919786,8.054786084,19.08690176,61900.60953,425.5444094,0,62326.15394,1.655869395,0.015122383,0,1.670991778,9.708721625,0.066743967,0,9.775465591,35.64989316,0.325576008,0,35.97546917,0,0,0,35.97546917,40.5850332,0.370646639,0,40.95567984,0,0,0,40.95567984,115.3854824,2.698541962,0,118.0840243,0.583908814,0.004014163,0,0.587922977,3.677715051,5542.597345
