Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Alpine,2010,HHDT,Aggregate,Aggregate,Gasoline,0.617789007,13935.82679,13935.82679,0,4041.956244,0,0.13672731,0,0.001090413,0.137817723,6.99323E-05,0,3.79089E-05,0.000107841,7.68081E-05,0.000650534,0.000835184,7.40647E-05,0,3.98214E-05,0.000113886,0.000307232,0.001858669,0.002279788,36.82833577,0,0.565784662,37.39412043,0.005198549,0,5.08904E-07,0.005199058,0.003911508,0,3.3905E-05,0.003945413,0.03865577,0,2.64046E-06,0.03865841,0.001595404,0.001288545,0.005057207,0.046599566,0.047736306,0,2.89097E-06,0.047739197,0.001595404,0.001288545,0.005057207,0.055680353,1.423778353,0,0.021040694,1.444819047,0.00036353,0,5.58482E-06,0.000369114,0.000620813,3.937142394
Alpine,2010,HHDT,Aggregate,Aggregate,Diesel,56.7503103,3692380.716,3692380.716,0,310639.4835,0,59.19692071,1.633674384,0.016305024,60.84690012,2.265962125,0.047738018,0,2.313700142,0.036565551,0.141977576,2.492243269,2.368418877,0.049896519,0,2.418315396,0.146262206,0.405650216,2.970227818,6805.687398,211.9183822,0,7017.60578,0.180794119,0.012584974,0,0.193379093,1.067045484,0.033226115,0,1.100271599,3.8924478,0.270951047,0,4.163398847,0,0,0,4.163398847,4.431255522,0.308457142,0,4.739712664,0,0,0,4.739712664,13.74965808,0.668524885,0,14.41818296,0.06413365,0.001997021,0,0.066130671,0.137744264,623.8436819
Alpine,2010,LDA,Aggregate,Aggregate,Gasoline,2526.155836,29403882.08,29403882.08,0,4058644.442,0,11.33420318,0,3.310363138,14.64456632,0.096263438,0,0.022461359,0.118724797,0.064824464,0.099141397,0.282690658,0.104299108,0,0.024257217,0.128556325,0.259297854,0.283261135,0.671115315,10725.15347,0,468.1978276,11193.3513,0.585917242,0,1.102314395,1.688231638,0.714348749,0,0.253179474,0.967528223,3.29498666,0,6.456911109,9.751897769,1.931329181,0.934615039,2.935420331,15.55326232,4.373803943,0,7.063580963,11.43738491,1.931329181,0.934615039,2.935420331,17.23874946,108.3207239,0,60.34320831,168.6639322,0.105867164,0,0.004621545,0.110488708,1.183859793,1178.52265
Alpine,2010,LDA,Aggregate,Aggregate,Diesel,12.92943791,120173.2544,120173.2544,0,19206.74709,0,0.166846918,0,0,0.166846918,0.011276249,0,0,0.011276249,0.000264937,0.000407256,0.011948441,0.011786111,0,0,0.011786111,0.001059747,0.001163587,0.014009445,36.53975998,0,0,36.53975998,0.000772432,0,0,0.000772432,0.005728971,0,0,0.005728971,0.016630014,0,0,0.016630014,0,0,0,0.016630014,0.018932165,0,0,0.018932165,0,0,0,0.018932165,0.120918669,0,0,0.120918669,0.000344556,0,0,0.000344556,0.000410652,3.24827286
Alpine,2010,LDT1,Aggregate,Aggregate,Gasoline,405.6051137,3900974.59,3900974.59,0,607317.4882,0,3.624791017,0,0.738450115,4.363241132,0.029570055,0,0.007153195,0.03672325,0.008600177,0.01582179,0.061145216,0.031948773,0,0.007703801,0.039652574,0.034400707,0.045205113,0.119258394,1669.181579,0,94.74416439,1763.925743,0.187843444,0,0.245677724,0.433521168,0.186754127,0,0.044749523,0.23150365,1.194441612,0,1.566503629,2.760945241,0.64912428,0.303265988,0.966429628,4.679765137,1.519547709,0,1.712605207,3.232152915,0.64912428,0.303265988,0.966429628,5.150972812,33.06337327,0,16.69830039,49.76167366,0.016476363,0,0.000935212,0.017411575,0.196756135,185.7197534
Alpine,2010,LDT1,Aggregate,Aggregate,Diesel,1.668418741,7748.515267,7748.515267,0,1962.591793,0,0.014480738,0,0,0.014480738,0.002450531,0,0,0.002450531,1.70826E-05,3.41585E-05,0.002501772,0.002561333,0,0,0.002561333,6.83302E-05,9.75956E-05,0.002727259,3.62621905,0,0,3.62621905,0.000159755,0,0,0.000159755,0.000568545,0,0,0.000568545,0.003439426,0,0,0.003439426,0,0,0,0.003439426,0.003915558,0,0,0.003915558,0,0,0,0.003915558,0.01289669,0,0,0.01289669,3.41938E-05,0,0,3.41938E-05,2.64779E-05,0.322359778
Alpine,2010,LDT2,Aggregate,Aggregate,Gasoline,965.6956109,11264778.5,11264778.5,0,1562271.478,0,7.461562361,0,2.257562834,9.719125195,0.035086664,0,0.007567277,0.042653942,0.024834586,0.043579487,0.111068014,0.038034041,0,0.008189939,0.04622398,0.099338342,0.12451282,0.270075142,5446.715214,0,231.5624742,5678.277689,0.240077038,0,0.487009418,0.727086455,0.403909922,0,0.142610426,0.546520349,1.30525393,0,2.848348113,4.153602042,0.640038503,0.295797688,0.998170844,6.087609077,1.770695553,0,3.117216505,4.887912058,0.640038503,0.295797688,0.998170844,6.821919092,48.29444875,0,27.33125139,75.62570014,0.053764106,0,0.002285735,0.056049842,0.460313953,597.8530195
Alpine,2010,LDT2,Aggregate,Aggregate,Diesel,0.083405932,730.0312091,730.0312091,0,117.3155419,0,0.001157309,0,0,0.001157309,0.000113955,0,0,0.000113955,1.60944E-06,2.94941E-06,0.000118514,0.000119107,0,0,0.000119107,6.43777E-06,8.42688E-06,0.000133972,0.334679081,0,0,0.334679081,7.51029E-06,0,0,7.51029E-06,5.24734E-05,0,0,5.24734E-05,0.000161692,0,0,0.000161692,0,0,0,0.000161692,0.000184076,0,0,0.000184076,0,0,0,0.000184076,0.000870444,0,0,0.000870444,3.15589E-06,0,0,3.15589E-06,2.49464E-06,0.029751946
Alpine,2010,LHDT1,Aggregate,Aggregate,Gasoline,180.0021602,1821116.066,1821116.066,0,876936.8229,0,1.871301686,0.002669875,0.652680401,2.526651962,0.009813156,0,0.001090825,0.010903981,0.004014874,0.054803026,0.06972188,0.01065321,0,0.001180238,0.011833448,0.016059495,0.156580073,0.184473016,2137.765919,8.142362509,25.50323729,2171.411519,0.090607602,0.007327844,0.05180255,0.149737996,0.09114737,0.000167158,0.04220711,0.133521638,0.497489531,0.030417807,0.298030706,0.825938043,0.187374012,0.071328149,0.477301192,1.561941397,0.702192082,0.044257101,0.326012116,1.072461299,0.187374012,0.071328149,0.477301192,1.808464652,9.599581198,0.236840679,4.103666736,13.94008861,0.021101723,8.03726E-05,0.00025174,0.021433836,0.089212493,228.6230093
Alpine,2010,LHDT1,Aggregate,Aggregate,Diesel,121.2512508,1413436.665,1413436.665,0,498736.5416,0,8.948780986,0.113464125,0,9.06224511,0.13684841,0.001322016,0,0.138170426,0.004674142,0.042534689,0.185379257,0.143036088,0.001381791,0,0.144417879,0.018696567,0.121527683,0.284642129,915.5469525,6.272342062,0,921.8192946,0.024654087,0.000222817,0,0.024876904,0.143546153,0.000983424,0,0.144529576,0.530787982,0.004797125,0,0.535585107,0,0,0,0.535585107,0.604266828,0.005461208,0,0.609728036,0,0,0,0.609728036,1.730236409,0.039761049,0,1.769997458,0.008633254,5.91458E-05,0,0.0086924,0.044777633,81.94691477
