Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Amador,2010,HHDT,Aggregate,Aggregate,Gasoline,9.471039341,141360.2068,141360.2068,0,61965.37353,0,2.116058592,0,0.022771216,2.138829808,0.002128948,0,0.000733561,0.002862509,0.000779115,0.00667692,0.010318544,0.00225137,0,0.000771561,0.003022931,0.003116459,0.019076914,0.025216304,411.9221792,0,9.284740211,421.2069194,0.118628607,0,0,0.118628607,0.053505233,0,0.000431954,0.053937187,0.977699168,0,0,0.977699168,0.047258197,0.028793091,0.103527514,1.15727797,1.175454744,0,0,1.175454744,0.047258197,0.028793091,0.103527514,1.355033546,37.27708628,0,0.053127557,37.33021383,0.004066052,0,9.1649E-05,0.004157701,0.003777929,44.34792421
Amador,2010,HHDT,Aggregate,Aggregate,Diesel,240.8174988,4216187.355,4216187.355,0,677127.9054,0,77.89373606,3.048006592,0.007663222,80.94940587,3.167669915,0.086115433,0,3.253785348,0.038816599,0.176822753,3.4694247,3.310897893,0.090009191,0,3.400907083,0.155266396,0.505207864,4.061381343,9286.645921,251.8161726,0,9538.462094,0.239787431,0.023801862,0,0.263589293,1.456028321,0.039481583,0,1.495509904,5.162557637,0.512447562,0,5.675005199,0,0,0,5.675005199,5.877178889,0.583382542,0,6.460561431,0,0,0,6.460561431,18.82956444,1.57072142,0,20.40028586,0.087513055,0.002372999,0,0.089886054,0.140396727,847.940095
Amador,2010,LDA,Aggregate,Aggregate,Gasoline,10675.41895,123915165.7,123915165.7,0,16851645.81,0,52.33943652,0,13.29855802,65.63799454,0.438882817,0,0.116814093,0.55569691,0.273186178,0.345926018,1.174809105,0.474451353,0,0.12599461,0.600445964,1.09274471,0.98836005,2.681550724,45375.39959,0,1912.234137,47287.63372,2.88923418,0,4.103195602,6.992429783,3.2601139,0,1.021192737,4.281306637,16.53031208,0,23.63481701,40.16512909,14.30112982,6.143220677,14.77811752,75.3875971,21.45541168,0,25.85185353,47.30726521,14.30112982,6.143220677,14.77811752,82.52973322,554.1870793,0,219.1202344,773.3073138,0.447897073,0,0.018875516,0.466772589,5.332632233,4978.80804
Amador,2010,LDA,Aggregate,Aggregate,Diesel,66.56276145,673292.1664,673292.1664,0,98942.12518,0,1.043071686,0,0,1.043071686,0.061881701,0,0,0.061881701,0.001484355,0.001888277,0.065254333,0.064679717,0,0,0.064679717,0.005937421,0.005395077,0.076012214,194.284123,0,0,194.284123,0.004246171,0,0,0.004246171,0.030461287,0,0,0.030461287,0.091417556,0,0,0.091417556,0,0,0,0.091417556,0.10407281,0,0,0.10407281,0,0,0,0.10407281,0.705866858,0,0,0.705866858,0.001832024,0,0,0.001832024,0.00230075,17.27126407
Amador,2010,LDT1,Aggregate,Aggregate,Gasoline,3171.194581,29540293.48,29540293.48,0,4633894.365,0,32.54286631,0,5.284269308,37.82713562,0.271242021,0,0.067532005,0.338774026,0.065125199,0.099833802,0.503733027,0.2923517,0,0.072708462,0.365060162,0.260500797,0.285239435,0.910800394,12777.35899,0,703.728188,13481.08718,1.803320015,0,1.635286746,3.438606761,1.635744698,0,0.321935965,1.957680663,11.44502116,0,10.20119736,21.64621851,8.28091043,3.564392627,8.558877722,42.05039929,14.38690915,0,11.1518651,25.53877424,8.28091043,3.564392627,8.558877722,45.94295502,331.3363974,0,112.0275075,443.3639049,0.126124326,0,0.006946447,0.133070773,1.555246002,1419.393189
Amador,2010,LDT1,Aggregate,Aggregate,Diesel,3.16889511,22814.41245,22814.41245,0,4116.297597,0,0.037097611,0,0,0.037097611,0.004742489,0,0,0.004742489,5.02972E-05,8.45023E-05,0.004877288,0.004956923,0,0,0.004956923,0.000201189,0.000241435,0.005399547,9.019204603,0,0,9.019204603,0.000333197,0,0,0.000333197,0.001414097,0,0,0.001414097,0.007173538,0,0,0.007173538,0,0,0,0.007173538,0.008166596,0,0,0.008166596,0,0,0,0.008166596,0.046969779,0,0,0.046969779,8.50476E-05,0,0,8.50476E-05,7.79606E-05,0.801779693
Amador,2010,LDT2,Aggregate,Aggregate,Gasoline,4754.719147,52918409.17,52918409.17,0,7545629.504,0,38.53483221,0,10.26915432,48.80398653,0.197408692,0,0.049052349,0.246461041,0.116665122,0.16898522,0.532111383,0.213252785,0,0.052944821,0.266197606,0.466660488,0.482814914,1.215673008,25723.74409,0,1108.79811,26832.5422,1.454584112,0,2.093709366,3.548293477,2.044985184,0,0.651637585,2.696622769,8.413267415,0,12.21391981,20.62718722,6.082067105,2.481623219,6.295286749,35.48616429,10.97846025,0,13.36315022,24.34161048,6.082067105,2.481623219,6.295286749,39.20058755,291.7171485,0,117.181762,408.8989104,0.253917096,0,0.010944861,0.264861957,2.256126837,2825.137702
Amador,2010,LHDT1,Aggregate,Aggregate,Gasoline,1073.694223,10435768.82,10435768.82,0,5230837.224,0,12.569344,0.015744826,3.285552902,15.87064173,0.06883097,0,0.007673104,0.076504074,0.023006932,0.314044622,0.413555628,0.074762096,0,0.008312687,0.083074784,0.092027728,0.897270348,1.07237286,12300.99628,48.53035786,149.4812151,12499.00785,0.771013942,0.042006779,0.280961462,1.093982183,0.599338532,0.000967702,0.212781406,0.81308764,4.249386707,0.178637714,1.65706309,6.085087511,1.982325765,0.64402836,3.633652776,12.34509441,6.102155634,0.259986624,1.812966185,8.175108442,1.982325765,0.64402836,3.633652776,14.43511534,82.44037574,1.396289726,23.51798344,107.3546489,0.121422186,0.000479039,0.001475518,0.123376743,0.507069463,1315.992277
Amador,2010,LHDT1,Aggregate,Aggregate,Diesel,1480.608469,16965899.23,16965899.23,0,6090110.761,0,111.5231205,1.385519267,0,112.9086397,1.60133871,0.015778259,0,1.61711697,0.056105108,0.510556481,2.183778559,1.673744141,0.016491682,0,1.690235823,0.224420431,1.458732804,3.373389059,10992.1095,76.59205752,0,11068.70156,0.294180015,0.002720839,0,0.296900855,1.723423384,0.012008663,0,1.735432047,6.333522531,0.058578069,0,6.3921006,0,0,0,6.3921006,7.21029432,0.066687237,0,7.276981557,0,0,0,7.276981557,21.18197915,0.485525266,0,21.66750441,0.10365135,0.000722234,0,0.104373584,0.532351246,983.973701
Amador,2010,LHDT2,Aggregate,Aggregate,Gasoline,74.69809075,767109.5382,767109.5382,0,363915.1124,0,0.783657912,0.001102975,0.252732518,1.037493404,0.004013771,0,0.000400623,0.004414394,0.001691187,0.026932154,0.033037735,0.004365343,0,0.000435714,0.004801056,0.006764748,0.07694901,0.088514815,1022.916865,3.895422443,11.48738945,1038.299677,0.042366694,0.003045613,0.018960889,0.064373197,0.037900798,7.03052E-05,0.016836553,0.054807656,0.223297206,0.012512708,0.109182383,0.344992297,0.118573756,0.036614918,0.216768315,0.716949286,0.325834759,0.018258514,0.119540966,0.46363424,0.118573756,0.036614918,0.216768315,0.835591229,4.367894728,0.097835558,1.639911874,6.10564216,0.010097134,3.84514E-05,0.000113391,0.010248976,0.038051698,109.3202255
