Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Calaveras,2010,HHDT,Aggregate,Aggregate,Gasoline,17.77523221,195777.1074,195777.1074,0,116296.5187,0,2.755368072,0,0.035147203,2.790515275,0.001835182,0,0.001168386,0.003003568,0.001079037,0.009247214,0.013329818,0.001945723,0,0.001228492,0.003174215,0.004316146,0.026420611,0.033910973,535.6886179,0,16.19395183,551.8825698,0.113736344,0,0,0.113736344,0.071230993,0,0.001164929,0.072395922,0.866649097,0,0,0.866649097,0.07984166,0.049505963,0.181028294,1.177025014,1.076421044,0,0,1.076421044,0.07984166,0.049505963,0.181028294,1.386796962,30.76204208,0,0.310685614,31.07272769,0.005287741,0,0.000159849,0.00544759,0.007686674,58.10646799
Calaveras,2010,HHDT,Aggregate,Aggregate,Diesel,257.9790627,8143985.654,8143985.654,0,884415.6541,0,139.3320839,4.599278532,0.029344775,143.9607072,5.548882027,0.135142124,0,5.684024151,0.077913951,0.318602803,6.080540906,5.79977785,0.141252651,0,5.941030501,0.311655803,0.910293724,7.162980028,15777.34119,473.4670053,0,16250.8082,0.435570523,0.036504268,0,0.472074791,2.473687035,0.074233623,0,2.547920657,9.377713925,0.785926873,0,10.1636408,0,0,0,10.1636408,10.67581346,0.894717919,0,11.57053138,0,0,0,11.57053138,33.33330866,2.195140668,0,35.52844933,0.148678365,0.004461734,0,0.153140099,0.289861958,1444.647126
Calaveras,2010,LDA,Aggregate,Aggregate,Gasoline,13306.52694,148944503.2,148944503.2,0,20997252.09,0,59.9311395,0,16.51511759,76.44625709,0.611685724,0,0.147376496,0.75906222,0.328366421,0.528020609,1.61544925,0.66220745,0,0.158951394,0.821158845,1.313465685,1.508630313,3.643254842,57384.22998,0,2394.038145,59778.26812,3.801052996,0,5.063235933,8.864288929,3.77637084,0,1.247570354,5.023941195,21.25951519,0,29.83765043,51.09716563,17.52099288,7.763407196,18.65076921,95.03233492,28.18577185,0,32.63594048,60.82171233,17.52099288,7.763407196,18.65076921,104.7568816,670.2634887,0,277.913399,948.1768877,0.566435313,0,0.023631366,0.590066679,6.239117525,6293.918695
Calaveras,2010,LDA,Aggregate,Aggregate,Diesel,122.3251381,1114867.918,1114867.918,0,179334.1519,0,1.667969281,0,0,1.667969281,0.119673129,0,0,0.119673129,0.002457863,0.003978064,0.126109056,0.125084217,0,0,0.125084217,0.009831452,0.011365897,0.146281565,354.9425614,0,0,354.9425614,0.00816467,0,0,0.00816467,0.055650493,0,0,0.055650493,0.175780528,0,0,0.175780528,0,0,0,0.175780528,0.200114444,0,0,0.200114444,0,0,0,0.200114444,1.213630001,0,0,1.213630001,0.003346971,0,0,0.003346971,0.003809687,31.55330768
Calaveras,2010,LDT1,Aggregate,Aggregate,Gasoline,4125.164328,38114572.91,38114572.91,0,5992208.953,0,44.40221816,0,6.956880038,51.35909819,0.455224368,0,0.092091735,0.547316103,0.08402825,0.167241309,0.798585662,0.490793387,0,0.099116999,0.589910386,0.336112999,0.477832311,1.403855696,17503.13521,0,927.5323937,18430.6676,2.93927181,0,2.144792045,5.084063854,2.213046476,0,0.412673176,2.625719652,18.91094116,0,13.68398775,32.59492891,10.96254894,4.839389683,11.53843784,59.93530538,23.80047382,0,14.95768291,38.75815673,10.96254894,4.839389683,11.53843784,66.09853319,476.9740187,0,151.1145514,628.08857,0.172772099,0,0.009155601,0.1819277,1.990926493,1940.523321
Calaveras,2010,LDT1,Aggregate,Aggregate,Diesel,15.40911448,96500.59591,96500.59591,0,18319.0742,0,0.170874339,0,0,0.170874339,0.031864822,0,0,0.031864822,0.000212747,0.000465673,0.032543243,0.033305608,0,0,0.033305608,0.00085099,0.001330495,0.035487092,43.56870047,0,0,43.56870047,0.002032855,0,0,0.002032855,0.00683102,0,0,0.00683102,0.043766166,0,0,0.043766166,0,0,0,0.043766166,0.04982487,0,0,0.04982487,0,0,0,0.04982487,0.183605982,0,0,0.183605982,0.000410836,0,0,0.000410836,0.000329758,3.873124163
Calaveras,2010,LDT2,Aggregate,Aggregate,Gasoline,6044.389253,67024921.94,67024921.94,0,9571956.7,0,52.05858372,0,13.11132165,65.16990537,0.32950207,0,0.064897728,0.394399798,0.147764659,0.278057989,0.820222446,0.356217458,0,0.070062505,0.426279963,0.591058637,0.794451396,1.811789996,34443.06024,0,1419.083424,35862.14366,2.327349877,0,2.679533217,5.006883094,2.729686506,0,0.817865908,3.547552414,13.44565673,0,15.89776573,29.34342246,7.744510369,3.266142877,8.354654925,48.70873063,17.71269211,0,17.39376419,35.10645629,7.744510369,3.266142877,8.354654925,54.47176446,417.4442976,0,154.923114,572.3674115,0.339984794,0,0.014007663,0.353992457,2.856693661,3775.844024
Calaveras,2010,LDT2,Aggregate,Aggregate,Diesel,2.451262423,14304.00008,14304.00008,0,2790.212369,0,0.028610296,0,0,0.028610296,0.005128408,0,0,0.005128408,3.15349E-05,6.90926E-05,0.005229035,0.005360292,0,0,0.005360292,0.00012614,0.000197407,0.005683839,7.858824131,0,0,7.858824131,0.000313946,0,0,0.000313946,0.001232164,0,0,0.001232164,0.00675907,0,0,0.00675907,0,0,0,0.00675907,0.007694752,0,0,0.007694752,0,0,0,0.007694752,0.023069333,0,0,0.023069333,7.41057E-05,0,0,7.41057E-05,4.88791E-05,0.698625419
Calaveras,2010,LHDT1,Aggregate,Aggregate,Gasoline,1448.140349,13930582.11,13930582.11,0,7055068.645,0,17.51344473,0.021231889,4.332383303,21.86705992,0.09262295,0,0.010271069,0.102894019,0.030711676,0.419214383,0.552820079,0.100605884,0,0.011128363,0.111734247,0.122846706,1.197755381,1.432336334,16467.91529,65.45446554,202.3734866,16735.74324,1.08307834,0.056380989,0.385648384,1.525107713,0.827870826,0.001296486,0.279883166,1.109050478,6.003112764,0.240873746,2.282010776,8.525997285,2.567080173,0.868016571,4.874357159,16.83545119,8.631068711,0.350594985,2.4967643,11.478428,2.567080173,0.868016571,4.874357159,19.7878819,115.5861846,1.882951562,32.30116947,149.7703057,0.162553523,0.000646096,0.001997613,0.165197232,0.674710541,1762.068567
Calaveras,2010,LHDT1,Aggregate,Aggregate,Diesel,2110.368195,24136933.27,24136933.27,0,8680469.094,0,155.8336709,1.974833898,0,157.8085048,2.311432376,0.023500634,0,2.33493301,0.079819244,0.726355117,3.141107371,2.415945091,0.024563229,0,2.44050832,0.319276975,2.075300335,4.835085629,15652.74531,109.1696053,0,15761.91492,0.418916493,0.003878117,0,0.42279461,2.45415198,0.01711641,0,2.47126839,9.019025459,0.083493575,0,9.102519034,0,0,0,9.102519034,10.26756086,0.095051884,0,10.36261274,0,0,0,10.36261274,30.008378,0.692037835,0,30.70041584,0.147599347,0.001029427,0,0.148628774,0.758685849,1401.186009
