Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Colusa,2010,HHDT,Aggregate,Aggregate,Gasoline,14.74260476,210462.381,210462.381,0,96455.2018,0,2.738897646,0,0.007470889,2.746368535,0.001771168,0,0.00105329,0.002824457,0.001159975,0.009882104,0.013866537,0.001875109,0,0.001106211,0.00298132,0.004639901,0.028234583,0.035855804,565.4618335,0,14.444926,579.9067595,0.107420822,0,3.47234E-06,0.107424294,0.074268488,0,0.00024003,0.074508517,0.817046554,0,1.81212E-05,0.817064675,0.067170013,0.04323916,0.144722707,1.072196555,1.00267989,0,1.98404E-05,1.00269973,0.067170013,0.04323916,0.144722707,1.25783161,26.80795036,0,0.29192001,27.09987037,0.00558163,0,0.000142585,0.005724215,0.008611553,61.05707157
Colusa,2010,HHDT,Aggregate,Aggregate,Diesel,718.4049105,36506834.79,36506834.79,0,3674849.875,0,595.5376027,16.72243487,0.197986066,612.4580237,22.51382535,0.463614878,0,22.97744022,0.360219236,1.397108804,24.73476826,23.53180062,0.484577485,0,24.01637811,1.440876943,3.99173944,29.44899449,67172.12251,2061.421983,0,69233.54449,1.802836438,0.12426338,0,1.927099819,10.53173703,0.323204827,0,10.85494186,38.81457414,2.675356506,0,41.48993065,0,0,0,41.48993065,44.18743804,3.045689731,0,47.23312778,0,0,0,47.23312778,137.1212997,6.979544482,0,144.1008442,0.63299901,0.019425887,0,0.652424897,1.354806974,6154.65027
Colusa,2010,LDA,Aggregate,Aggregate,Gasoline,22837.88886,273268737,273268737,0,36785074.21,0,89.98659634,0,26.14580379,116.1324001,0.811229213,0,0.19045746,1.001686672,0.602454439,0.662655579,2.266796691,0.879995522,0,0.205890463,1.085885985,2.409817758,1.893301654,5.389005397,105111.6415,0,3954.56902,109066.2106,4.962097448,0,7.715911172,12.67800862,5.988483727,0,2.088934207,8.077417933,25.2026889,0,43.58303155,68.78572045,25.75086733,10.21668676,26.34819377,131.1014683,34.68661794,0,47.68884829,82.37546623,25.75086733,10.21668676,26.34819377,144.6912141,944.0486118,0,408.213032,1352.261644,1.037548915,0,0.039035246,1.076584161,11.0551844,11483.33472
Colusa,2010,LDA,Aggregate,Aggregate,Diesel,146.2602672,1279966.023,1279966.023,0,211290.2667,0,1.798003582,0,0,1.798003582,0.140703221,0,0,0.140703221,0.002821842,0.003135091,0.146660154,0.147065196,0,0,0.147065196,0.011287368,0.008957403,0.167309967,411.0813747,0,0,411.0813747,0.009464958,0,0,0.009464958,0.064452347,0,0,0.064452347,0.20377497,0,0,0.20377497,0,0,0,0.20377497,0.231984256,0,0,0.231984256,0,0,0,0.231984256,1.541904683,0,0,1.541904683,0.003876339,0,0,0.003876339,0.004373854,36.54387641
Colusa,2010,LDT1,Aggregate,Aggregate,Gasoline,2901.539251,29328860.33,29328860.33,0,4400149.52,0,21.85535875,0,4.418269264,26.27362802,0.189336554,0,0.046485974,0.235822529,0.064659069,0.087482825,0.387964423,0.20432569,0,0.049958395,0.254284085,0.258636276,0.24995093,0.762871291,13136.6817,0,608.9059587,13745.58766,1.232715503,0,1.273592233,2.506307736,1.178453535,0,0.286402501,1.464856036,7.585424469,0,7.811328327,15.3967528,6.231586051,2.717875482,6.204177721,30.55039205,9.63357385,0,8.538585932,18.17215978,6.231586051,2.717875482,6.204177721,33.32579904,216.787239,0,79.58410525,296.3713442,0.129671173,0,0.006010464,0.135681637,1.424372089,1447.241847
Colusa,2010,LDT1,Aggregate,Aggregate,Diesel,13.1008117,79062.55127,79062.55127,0,16910.28575,0,0.138269378,0,0,0.138269378,0.018407054,0,0,0.018407054,0.000174303,0.000261555,0.018842912,0.019239339,0,0,0.019239339,0.000697212,0.000747299,0.020683851,37.18252796,0,0,37.18252796,0.001095192,0,0,0.001095192,0.005829749,0,0,0.005829749,0.023578845,0,0,0.023578845,0,0,0,0.023578845,0.026842947,0,0,0.026842947,0,0,0,0.026842947,0.150682955,0,0,0.150682955,0.000350617,0,0,0.000350617,0.00027017,3.305412967
Colusa,2010,LDT2,Aggregate,Aggregate,Gasoline,9082.064127,104995083.8,104995083.8,0,14561744.57,0,69.95144692,0,19.66215297,89.61359988,0.351864302,0,0.077690693,0.429554995,0.231474537,0.304740394,0.965769926,0.381548723,0,0.084106735,0.465655457,0.925898148,0.87068684,2.262240446,53880.70898,0,2080.058505,55960.76749,2.46345832,0,3.799446799,6.262905119,3.840620843,0,1.252437421,5.093058264,12.71687774,0,21.86465267,34.58153042,10.47058964,3.93262274,10.98488915,59.96963195,17.54553561,0,23.93015155,41.47568716,10.47058964,3.93262274,10.98488915,66.86378869,485.5694386,0,207.3991662,692.9686048,0.531852327,0,0.020532097,0.552384424,4.48175957,5891.982684
Colusa,2010,LDT2,Aggregate,Aggregate,Diesel,0.636166783,5568.208314,5568.208314,0,894.8074654,0,0.00933799,0,0,0.00933799,0.000896272,0,0,0.000896272,1.22758E-05,1.67306E-05,0.000925278,0.000936797,0,0,0.000936797,4.91032E-05,4.78018E-05,0.001033702,2.650049486,0,0,2.650049486,5.89434E-05,0,0,5.89434E-05,0.000415494,0,0,0.000415494,0.001269016,0,0,0.001269016,0,0,0,0.001269016,0.00144469,0,0,0.00144469,0,0,0,0.00144469,0.007750483,0,0,0.007750483,2.49889E-05,0,0,2.49889E-05,1.90275E-05,0.235581291
Colusa,2010,LHDT1,Aggregate,Aggregate,Gasoline,1379.778057,14651141.56,14651141.56,0,6722020.357,0,12.04603701,0.020571638,4.606058844,16.67266749,0.066738755,0,0.007659032,0.074397787,0.032300238,0.44089825,0.547596275,0.072414017,0,0.0082742,0.080688217,0.129200952,1.259709287,1.469598456,17133.70061,62.43612865,185.6510832,17381.78782,0.676157357,0.058055431,0.345560296,1.079773084,0.612443486,0.001365865,0.316873872,0.930683223,3.73171498,0.234879191,1.956617852,5.923212023,1.867945801,0.646968059,3.224048145,11.66217403,5.276632845,0.341568409,2.140019273,7.758220528,1.867945801,0.646968059,3.224048145,13.49718253,72.03615861,1.825055911,24.71345602,98.57467054,0.169125439,0.000616302,0.001832548,0.171574288,0.715744431,1830.08914
Colusa,2010,LHDT1,Aggregate,Aggregate,Diesel,1636.8902,19870650.81,19870650.81,0,6732936.377,0,115.0315352,1.531764107,0,116.5632993,1.858418861,0.017393785,0,1.875812647,0.065710929,0.597969458,2.539493034,1.942448316,0.018180255,0,1.960628571,0.262843718,1.708484166,3.931956454,13066.58884,84.67653062,0,13151.26537,0.331365881,0.00300803,0,0.334373911,2.048675439,0.013276206,0,2.061951646,7.134112318,0.064761123,0,7.198873441,0,0,0,7.198873441,8.121712566,0.073726233,0,8.195438799,0,0,0,8.195438799,22.76193258,0.536773608,0,23.29870619,0.12321289,0.000798467,0,0.124011357,0.65449404,1169.107252
