Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Contra Costa,2010,HHDT,Aggregate,Aggregate,Gasoline,58.301247,1397280.72,1397280.72,0,381442.6714,0,14.77397549,0,0.101291896,14.87526739,0.0072198,0,0.002717686,0.009937486,0.007701192,0.063654157,0.081292834,0.007686184,0,0.00285795,0.010544134,0.030804767,0.18186902,0.223217921,4072.509256,0,46.1923157,4118.701572,0.56431514,0,0,0.56431514,0.414638361,0,0.00294538,0.417583742,3.919812229,0,0,3.919812229,0.171999329,0.121940918,0.424010523,4.637762998,5.114482508,0,0,5.114482508,0.171999329,0.121940918,0.424010523,5.832433278,118.4076387,0,2.370016996,120.7776557,0.040199425,0,0.000455961,0.040655386,0.064764457,433.6487763
Contra Costa,2010,HHDT,Aggregate,Aggregate,Diesel,3918.440302,153915037.1,153915037.1,0,16472268.62,0,2588.984501,79.38131359,0.742631402,2669.108446,88.97594239,1.64162496,0,90.61756735,1.49167492,6.207988806,98.31723108,92.99903968,1.715851956,0,94.71489164,5.966699682,17.73711087,118.4187022,305143.1783,7678.422514,0,312821.6008,7.339680367,0.470654696,0,7.810335063,47.84258099,1.203879284,0,49.04646027,158.0213056,10.13306655,0,168.1543721,0,0,0,168.1543721,179.8952276,11.53572492,0,191.4309526,0,0,0,191.4309526,546.7446418,32.38782618,0,579.132468,2.87552816,0.072357902,0,2.947886062,5.491706051,27808.88316
Contra Costa,2010,LDA,Aggregate,Aggregate,Gasoline,341876.1153,3908204093,3908204093,0,551245795.3,0,1219.178775,0,402.2569611,1621.435736,10.7853705,0,2.783327331,13.56869783,8.616115155,11.35949531,33.54430829,11.7055533,0,3.008118879,14.71367218,34.46446062,32.45570088,81.63383368,1454596.388,0,59373.10162,1513969.489,64.11520598,0,116.7131041,180.8283101,82.21011829,0,31.96953825,114.1796565,320.8398531,0,662.2890128,983.1288659,314.0856658,145.718539,363.5683344,1806.501405,445.590628,0,724.6706464,1170.261274,314.0856658,145.718539,363.5683344,1993.633814,12050.67819,0,6170.370202,18221.04839,14.35820887,0,0.586067311,14.94427618,156.7440952,159402.4245
Contra Costa,2010,LDA,Aggregate,Aggregate,Diesel,1766.74441,15029743.07,15029743.07,0,2583614.108,0,17.53552173,0,0,17.53552173,1.424587104,0,0,1.424587104,0.033134912,0.043809352,1.501531368,1.489000612,0,0,1.489000612,0.132539646,0.125169576,1.746709835,4781.767117,0,0,4781.767117,0.095843375,0,0,0.095843375,0.749720449,0,0,0.749720449,2.06345143,0,0,2.06345143,0,0,0,2.06345143,2.349102265,0,0,2.349102265,0,0,0,2.349102265,15.86160074,0,0,15.86160074,0.045090218,0,0,0.045090218,0.051359098,425.0844658
Contra Costa,2010,LDT1,Aggregate,Aggregate,Gasoline,41642.03739,443555590,443555590,0,64438728.88,0,282.3455494,0,63.16533471,345.5108842,2.401452938,0,0.524835414,2.926288352,0.977872688,1.565801967,5.469963008,2.599201546,0,0.566890822,3.166092368,3.911490751,4.473719907,11.55130303,190910.5785,0,8529.763251,199440.3418,14.56168291,0,17.88508887,32.44677179,16.07224606,0,4.251877616,20.32412367,82.24335914,0,105.9760532,188.2194123,65.27009839,28.47734298,78.01226076,359.9791144,108.5634597,0,115.9381417,224.5016014,65.27009839,28.47734298,78.01226076,396.2613035,2589.028397,0,1102.467336,3691.495733,1.884463611,0,0.084196636,1.968660247,21.56512313,20998.62266
Contra Costa,2010,LDT1,Aggregate,Aggregate,Diesel,65.40545963,441835.5942,441835.5942,0,86208.59811,0,0.797157498,0,0,0.797157498,0.094016629,0,0,0.094016629,0.000974081,0.00173973,0.096730439,0.098267643,0,0,0.098267643,0.003896323,0.004970657,0.107134624,217.1451148,0,0,217.1451148,0.005740151,0,0,0.005740151,0.0340456,0,0,0.0340456,0.123582078,0,0,0.123582078,0,0,0,0.123582078,0.14068998,0,0,0.14068998,0,0,0,0.14068998,0.81361857,0,0,0.81361857,0.002047595,0,0,0.002047595,0.001509825,19.3035363
Contra Costa,2010,LDT2,Aggregate,Aggregate,Gasoline,109179.4345,1342707293,1342707293,0,178564895,0,662.5581422,0,215.9706278,878.52877,3.248270756,0,0.706184298,3.954455055,2.960162872,4.55991951,11.47453744,3.521739351,0,0.764602174,4.286341525,11.84065149,13.02834146,29.15533447,660445.0218,0,24343.27077,684788.2925,22.88628814,0,40.44798654,63.33427468,38.6610562,0,14.6842396,53.3452958,116.2840903,0,224.3784926,340.6625829,73.67780742,32.95524292,83.16024429,530.4558775,159.6287556,0,245.5853864,405.214142,73.67780742,32.95524292,83.16024429,595.0074366,4565.991759,0,2094.331419,6660.323179,6.519201923,0,0.24029055,6.759492473,51.97486192,72099.81105
Contra Costa,2010,LDT2,Aggregate,Aggregate,Diesel,6.069360333,60641.77841,60641.77841,0,9068.933551,0,0.116773314,0,0,0.116773314,0.00762786,0,0,0.00762786,0.000133692,0.000212766,0.007974318,0.007972758,0,0,0.007972758,0.000534769,0.000607902,0.009115429,28.56325484,0,0,28.56325484,0.000538741,0,0,0.000538741,0.004478356,0,0,0.004478356,0.011598785,0,0,0.011598785,0,0,0,0.011598785,0.013204445,0,0,0.013204445,0,0,0,0.013204445,0.088592499,0,0,0.088592499,0.00026934,0,0,0.00026934,0.000207223,2.539185959
Contra Costa,2010,LHDT1,Aggregate,Aggregate,Gasoline,12449.66031,136224135.6,136224135.6,0,60652414.06,0,94.67472871,0.186650191,43.12515097,137.9865299,0.533212575,0,0.056106906,0.589319481,0.300322811,4.099406371,4.989048663,0.57932147,0,0.060831938,0.640153408,1.201291246,11.71258963,13.55403428,159352.9034,563.5734297,1630.375634,161546.8524,4.791459333,0.537202634,2.966395902,8.295057869,4.989573391,0.012717032,3.02042763,8.022718053,25.29937629,2.130489259,16.12106162,43.55092717,12.3224533,4.726732882,23.80747696,84.40759032,36.32229567,3.104836401,17.64298284,57.07011491,12.3224533,4.726732882,23.80747696,97.92677805,486.0859002,16.56083041,211.1139178,713.7606485,1.572960231,0.00556299,0.016093312,1.594616533,6.70019114,17008.90284
Contra Costa,2010,LHDT1,Aggregate,Aggregate,Diesel,7335.163381,86758581.05,86758581.05,0,30171350.76,0,521.3566254,6.864076767,0,528.2207021,8.71626981,0.080376171,0,8.796645981,0.286904896,2.61083455,11.69438543,9.110380853,0.084010425,0,9.194391278,1.147619584,7.459527286,17.80153815,56651.06106,379.4489006,0,57030.50996,1.534250755,0.013479459,0,1.547730214,8.88216801,0.059492776,0,8.941660786,33.03151545,0.290204815,0,33.32172027,0,0,0,33.32172027,37.60418426,0.330378888,0,37.93456315,0,0,0,37.93456315,106.0795409,2.40536727,0,108.4849082,0.534197641,0.003578057,0,0.537775697,2.771299587,5069.837838
