Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
El Dorado,2010,HHDT,Aggregate,Aggregate,Gasoline,21.37864108,313923.7445,313923.7445,0,139872.2392,0,3.921251776,0,0.070059643,3.991311419,0.002420245,0,0.001321377,0.003741622,0.001730208,0.014280216,0.019752047,0.002567713,0,0.001389808,0.003957522,0.006920834,0.040800617,0.051678973,949.8974554,0,19.02736653,968.9248219,0.161528709,0,0,0.161528709,0.102896025,0,0.001204796,0.104100821,1.224212509,0,0,1.224212509,0.077835671,0.059767049,0.1891689,1.550984129,1.53486922,0,0,1.53486922,0.077835671,0.059767049,0.1891689,1.86164084,47.91181808,0,0.579133551,48.49095163,0.009376365,0,0.000187818,0.009564182,0.013347503,102.0159038
El Dorado,2010,HHDT,Aggregate,Aggregate,Diesel,410.7378036,11451710.61,11451710.61,0,1159807.163,0,200.2603534,6.264726584,0.023824682,206.5489047,7.15952829,0.167565449,0,7.327093739,0.106415394,0.486517346,7.920026479,7.48325039,0.175142015,0,7.658392405,0.425661575,1.39004956,9.474103539,25342.37438,565.5508553,0,25907.92523,0.564856592,0.046389243,0,0.611245835,3.973362948,0.088671203,0,4.062034151,12.16120753,0.998747682,0,13.15995522,0,0,0,13.15995522,13.84460905,1.136998209,0,14.98160726,0,0,0,14.98160726,42.81952075,3.011562808,0,45.83108355,0.238814813,0.00532949,0,0.244144303,0.392914156,2303.135282
El Dorado,2010,LDA,Aggregate,Aggregate,Gasoline,47144.16166,569503374.6,569503374.6,0,75707594.55,0,193.0244725,0,57.55037663,250.5748491,1.761119502,0,0.420298088,2.18141759,1.255540023,1.795658312,5.232615925,1.908036474,0,0.453055913,2.361092387,5.022160091,5.130452321,12.5137048,217752.6234,0,8327.861909,226080.4853,11.15828032,0,16.99666901,28.15494933,12.77144206,0,4.510158544,17.28160061,60.84376143,0,97.39994019,158.2437016,45.45726046,21.53270559,50.53702713,275.7706948,81.02958503,0,106.5416966,187.5712816,45.45726046,21.53270559,50.53702713,305.0982748,2121.579399,0,890.411889,3011.991288,2.149419368,0,0.082203683,2.231623051,22.88520186,23803.50314
El Dorado,2010,LDA,Aggregate,Aggregate,Diesel,374.5794432,3553187.333,3553187.333,0,555596.0794,0,4.820188357,0,0,4.820188357,0.336392377,0,0,0.336392377,0.007833437,0.011363534,0.355589348,0.351602547,0,0,0.351602547,0.031333749,0.03246724,0.415403536,1123.377799,0,0,1123.377799,0.02332774,0,0,0.02332774,0.176131394,0,0,0.176131394,0.50223251,0,0,0.50223251,0,0,0,0.50223251,0.571758322,0,0,0.571758322,0,0,0,0.571758322,3.818961323,0,0,3.818961323,0.010593019,0,0,0.010593019,0.012141824,99.86484908
El Dorado,2010,LDT1,Aggregate,Aggregate,Gasoline,9621.106526,92050611.12,92050611.12,0,14380271.17,0,71.29531413,0,16.52137592,87.81669005,0.629020636,0,0.16876476,0.797785396,0.20293686,0.363968257,1.364690513,0.679775945,0,0.181336889,0.861112834,0.811747439,1.039909306,2.712769578,40624.94956,0,2088.921094,42713.87065,4.041567129,0,4.821620666,8.863187795,3.87893829,0,1.011346677,4.890284967,24.74852802,0,30.3203034,55.06883142,19.62418596,9.147314318,22.50841269,106.3487444,31.80516816,0,33.14383292,64.94900108,19.62418596,9.147314318,22.50841269,116.228914,736.4281379,0,304.4050702,1040.833208,0.401005747,0,0.020619579,0.421625326,4.636436437,4497.246867
El Dorado,2010,LDT1,Aggregate,Aggregate,Diesel,37.5639722,237572.0155,237572.0155,0,50037.88603,0,0.400969912,0,0,0.400969912,0.044324969,0,0,0.044324969,0.000523757,0.001021491,0.045870217,0.046329148,0,0,0.046329148,0.002095027,0.002918545,0.05134272,115.7192719,0,0,115.7192719,0.002654474,0,0,0.002654474,0.018143314,0,0,0.018143314,0.057149273,0,0,0.057149273,0,0,0,0.057149273,0.065060647,0,0,0.065060647,0,0,0,0.065060647,0.346357695,0,0,0.346357695,0.001091188,0,0,0.001091188,0.000811823,10.28708921
El Dorado,2010,LDT2,Aggregate,Aggregate,Gasoline,23170.0239,276250542.7,276250542.7,0,37359682.76,0,165.0849821,0,50.73895166,215.8239338,0.826183822,0,0.187355033,1.013538856,0.609028196,1.047235755,2.669802806,0.896276567,0,0.202598367,1.098874934,2.436112783,2.992102156,6.527089873,139026.1348,0,5355.440466,144381.5753,5.601582457,0,10.01364526,15.61522772,9.239858034,0,3.258343349,12.49820138,28.88086163,0,57.74605755,86.62691918,20.64944101,8.715829508,24.35101855,140.3432082,39.90165246,0,63.19664937,103.0983018,20.64944101,8.715829508,24.35101855,156.8145909,1161.615851,0,544.7761079,1706.391959,1.372316265,0,0.05286314,1.425179405,11.20762056,15201.60962
El Dorado,2010,LDT2,Aggregate,Aggregate,Diesel,2.178278005,21398.88752,21398.88752,0,3316.163603,0,0.021305318,0,0,0.021305318,0.001407122,0,0,0.001407122,4.71765E-05,8.77207E-05,0.001542019,0.001470746,0,0,0.001470746,0.000188706,0.00025063,0.001910082,8.827273306,0,0,8.827273306,9.33075E-05,0,0,9.33075E-05,0.001384005,0,0,0.001384005,0.002008855,0,0,0.002008855,0,0,0,0.002008855,0.002286948,0,0,0.002286948,0,0,0,0.002286948,0.013347459,0,0,0.013347459,8.32378E-05,0,0,8.32378E-05,7.31235E-05,0.784717588
El Dorado,2010,LHDT1,Aggregate,Aggregate,Gasoline,3684.91537,37839227.64,37839227.64,0,17952217.75,0,35.48173963,0.054698586,12.41125214,47.94769035,0.194724948,0,0.021563199,0.216288146,0.083421217,1.138699616,1.438408979,0.211410407,0,0.023331326,0.234741734,0.333684869,3.253427473,3.821854076,44520.19661,166.6953873,505.6013271,45192.49333,1.926712655,0.15168057,0.97041982,3.048813045,1.770705657,0.003520733,0.826278351,2.600504741,10.55845481,0.623278741,5.544813643,16.7265472,4.694444376,1.700254317,9.474911482,32.59615737,15.01038996,0.906960078,6.065791586,21.98314163,4.694444376,1.700254317,9.474911482,37.8527518,220.0047133,4.852358288,74.09391948,298.9509911,0.439455431,0.001645437,0.004990752,0.44609162,1.853131373,4758.215445
El Dorado,2010,LHDT1,Aggregate,Aggregate,Diesel,4793.71561,55836091.69,55836091.69,0,19717744.18,0,355.0588377,4.48584854,0,359.5446862,5.340193647,0.050900789,0,5.391094435,0.184646266,1.680281023,7.256021725,5.581653507,0.053202297,0,5.634855803,0.738585066,4.800802924,11.17424379,36198.21242,247.9794959,0,36446.19191,0.970966133,0.008809169,0,0.979775302,5.675420695,0.03888004,0,5.714300736,20.90432917,0.189656219,0,21.09398539,0,0,0,21.09398539,23.79818894,0.215910996,0,24.01409994,0,0,0,24.01409994,68.69903964,1.571968616,0,70.27100826,0.341335172,0.002338351,0,0.343673523,1.765258919,3239.954945
