Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Fresno,2010,HHDT,Aggregate,Aggregate,Gasoline,70.20544087,2385774.493,2385774.493,0,459327.2407,0,14.46988539,0,0.092226735,14.56211213,0.008988592,0,0.003766673,0.012755264,0.013149331,0.106159526,0.132064121,0.009507234,0,0.003954597,0.013461831,0.052597324,0.303312931,0.369372086,6933.88581,0,60.36405393,6994.249864,0.704559509,0,0.000134456,0.704693965,0.487487969,0,0.002620594,0.490108562,5.000334303,0,0.000729982,5.001064285,0.237943538,0.157524901,0.471832898,5.868365622,6.321363672,0,0.000799238,6.32216291,0.237943538,0.157524901,0.471832898,7.189464247,194.6635534,0,2.437252378,197.1008058,0.068443853,0,0.000595849,0.069039702,0.110681208,736.4087545
Fresno,2010,HHDT,Aggregate,Aggregate,Diesel,10852.64162,505449865.1,505449865.1,0,53800068.06,0,8335.755638,236.4875255,2.962838126,8575.206002,302.2666207,5.796420905,0,308.0630417,4.968754138,19.73306922,332.764865,315.9337761,6.058509337,0,321.9922854,19.87501655,56.38019776,398.2474997,954085.9159,27140.19229,0,981226.1082,24.4759622,1.593404212,0,26.06936641,149.5885733,4.255237999,0,153.8438113,526.9607543,34.30555574,0,561.26631,0,0,0,561.26631,599.9047058,39.05426383,0,638.9589697,0,0,0,638.9589697,1847.017795,96.35140408,0,1943.369199,8.990864333,0.255756618,0,9.24662095,18.56281816,87227.99874
Fresno,2010,LDA,Aggregate,Aggregate,Gasoline,280712.3298,3266156726,3266156726,0,451124518.7,0,1066.084733,0,327.9311292,1394.015862,9.021056994,0,2.382273816,11.40333081,7.200643565,7.429906274,26.03388065,9.78108891,0,2.574522054,12.35561096,28.80257426,21.22830364,62.38648886,1246437.185,0,48643.84921,1295081.034,56.77442319,0,95.55741468,152.3318379,71.01248711,0,26.03712685,97.04961395,292.1655438,0,540.4984249,832.6639687,332.5420192,128.4346189,324.9588671,1618.599474,398.9765598,0,591.4007268,990.3772866,332.5420192,128.4346189,324.9588671,1776.312792,11408.57942,0,5022.006433,16430.58585,12.30348542,0,0.480159688,12.7836451,132.9771398,136356.154
Fresno,2010,LDA,Aggregate,Aggregate,Diesel,944.143553,7375749.526,7375749.526,0,1337810.132,0,11.36083635,0,0,11.36083635,0.874657723,0,0,0.874657723,0.016260746,0.017042567,0.907961035,0.914205864,0,0,0.914205864,0.065042982,0.048693049,1.027941894,2362.362691,0,0,2362.362691,0.057790701,0,0,0.057790701,0.370388514,0,0,0.370388514,1.244199763,0,0,1.244199763,0,0,0,1.244199763,1.41643871,0,0,1.41643871,0,0,0,1.41643871,9.498552958,0,0,9.498552958,0.022276168,0,0,0.022276168,0.025204146,210.0068151
Fresno,2010,LDT1,Aggregate,Aggregate,Gasoline,40565.98266,407082839.4,407082839.4,0,61387127.51,0,318.3816343,0,65.14863442,383.5302687,2.575092633,0,0.611900555,3.186993188,0.897464107,1.152186693,5.236643988,2.78450232,0,0.660118199,3.444620519,3.589856426,3.291961981,10.32643893,180129.9218,0,8433.419245,188563.3411,16.10171487,0,18.42675922,34.52847409,17.4707795,0,4.168686051,21.63946555,93.23009054,0,110.8788603,204.1089509,93.36579449,35.01457071,94.08089768,426.5702138,121.5587246,0,121.2761434,242.834868,93.36579449,35.01457071,94.08089768,465.2961309,3061.251834,0,1163.333895,4224.585728,1.778048579,0,0.083245632,1.861294211,21.33388196,19853.40785
Fresno,2010,LDT1,Aggregate,Aggregate,Diesel,94.29957657,591977.4572,591977.4572,0,121281.518,0,1.086165873,0,0,1.086165873,0.13510672,0,0,0.13510672,0.001305087,0.001846687,0.138258494,0.141215647,0,0,0.141215647,0.005220348,0.005276249,0.151712243,273.1233351,0,0,273.1233351,0.008147542,0,0,0.008147542,0.042822276,0,0,0.042822276,0.175411777,0,0,0.175411777,0,0,0,0.175411777,0.199694646,0,0,0.199694646,0,0,0,0.199694646,1.139403243,0,0,1.139403243,0.002575448,0,0,0.002575448,0.002022884,24.27982881
Fresno,2010,LDT2,Aggregate,Aggregate,Gasoline,103907.5819,1217051705,1217051705,0,167035980.9,0,756.8486566,0,216.611901,973.4605576,3.697839032,0,0.871708093,4.569547126,2.683139931,3.298576077,10.55126313,4.003822924,0,0.942083175,4.945906099,10.73255972,9.424503078,25.1029689,617703.1645,0,23610.08802,641313.2525,27.05475776,0,41.8040198,68.85877755,42.04429084,0,14.09057915,56.13486999,144.5919436,0,238.5451693,383.1371128,119.0635341,45.1921177,116.7083441,664.1011088,194.9707208,0,261.0416014,456.0123222,119.0635341,45.1921177,116.7083441,736.9763181,5521.743291,0,2237.18218,7758.925472,6.097300343,0,0.23305336,6.330353702,50.753021,67522.42238
Fresno,2010,LDT2,Aggregate,Aggregate,Diesel,10.48247685,101901.1799,101901.1799,0,15339.94168,0,0.170478048,0,0,0.170478048,0.01093804,0,0,0.01093804,0.000224654,0.00027641,0.011439103,0.01143261,0,0,0.01143261,0.000898615,0.000789742,0.013120966,46.39931601,0,0,46.39931601,0.000750565,0,0,0.000750565,0.007274824,0,0,0.007274824,0.016159219,0,0,0.016159219,0,0,0,0.016159219,0.018396196,0,0,0.018396196,0,0,0,0.018396196,0.125111736,0,0,0.125111736,0.000437528,0,0,0.000437528,0.000348213,4.124757224
Fresno,2010,LHDT1,Aggregate,Aggregate,Gasoline,13447.20644,144115789.8,144115789.8,0,65512272.07,0,115.6289744,0.200528498,44.59773955,160.4272424,0.637685769,0,0.072898688,0.710584457,0.317720931,4.336890698,5.365196086,0.692033188,0,0.078802148,0.770835336,1.270883722,12.39111628,14.43283534,168647.7679,608.504615,1798.347583,171054.6201,6.795570564,0.568288665,3.239221674,10.6030809,5.883283636,0.013400626,3.103664016,9.000348278,37.61886909,2.288752631,18.23323583,58.14085755,18.91636448,6.329200649,31.30652059,114.6929433,53.39725918,3.329648913,19.94393197,76.67084006,18.91636448,6.329200649,31.30652059,133.2229258,721.3927324,17.78999083,235.6426955,974.8254187,1.664709122,0.006006502,0.01775135,1.688466975,7.022331111,18009.9542
Fresno,2010,LHDT1,Aggregate,Aggregate,Diesel,10299.12222,123526281.8,123526281.8,0,42362850.4,0,718.4420497,9.637681108,0,728.0797308,12.19932079,0.111891641,0,12.31121244,0.408493253,3.717288602,16.43699429,12.75091995,0.116950884,0,12.86787083,1.633973014,10.62082458,25.12266842,80518.71531,532.7748545,0,81051.49016,2.129652956,0.018926176,0,2.148579132,12.62431354,0.083532341,0,12.70784588,45.85017428,0.407469433,0,46.25764372,0,0,0,46.25764372,52.19737509,0.463876859,0,52.66125195,0,0,0,52.66125195,145.5392462,3.377316933,0,148.9165631,0.759260408,0.005023861,0,0.764284269,4.017536456,7205.22948
