Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Glenn,2010,HHDT,Aggregate,Aggregate,Gasoline,12.58716171,157998.5324,157998.5324,0,82352.96562,0,1.672271911,0,0.065110726,1.737382637,0.001371929,0,0.000985504,0.002357433,0.000870818,0.007418426,0.010646677,0.001446425,0,0.001035114,0.002481539,0.003483271,0.021195503,0.027160313,429.6522422,0,12.89766118,442.5499034,0.077998055,0,2.62153E-06,0.078000676,0.04610802,0,0.001190038,0.047298058,0.627396413,0,1.3681E-05,0.627410094,0.060977503,0.043743468,0.126886389,0.859017454,0.743393047,0,1.49789E-05,0.743408026,0.060977503,0.043743468,0.126886389,0.975015386,23.38079492,0,0.166813447,23.54760836,0.004241064,0,0.000127312,0.004368376,0.006138836,46.59507875
Glenn,2010,HHDT,Aggregate,Aggregate,Diesel,629.9806216,30418010.04,30418010.04,0,3075964.411,0,500.8540389,13.78394064,0.1559565,514.793936,19.26244332,0.395761397,0,19.65820472,0.298397953,1.162969857,21.11957253,20.13340554,0.413655971,0,20.54706151,1.19359181,3.322771019,25.06342434,56268.84611,1676.160984,0,57945.0071,1.535386389,0.105709939,0,1.641096328,8.822241553,0.262800788,0,9.085042341,33.05644792,2.275906002,0,35.33235393,0,0,0,35.33235393,37.63224966,2.590945739,0,40.2231954,0,0,0,40.2231954,117.2773431,5.938224113,0,123.2155673,0.530251577,0.015795366,0,0.546046943,1.119905839,5151.133835
Glenn,2010,LDA,Aggregate,Aggregate,Gasoline,21434.58259,253289759.8,253289759.8,0,34303015.09,0,89.36343609,0,25.19113801,114.5545741,0.880343139,0,0.193875606,1.074218746,0.558408334,0.749801837,2.382428917,0.955283253,0,0.209430793,1.164714046,2.233633337,2.142290963,5.540638345,99194.4953,0,3745.749865,102940.2452,5.309908005,0,7.485005807,12.79491381,5.906185673,0,1.970178356,7.876364029,26.8657309,0,42.94986801,69.81559891,26.23782529,10.66302407,26.93585665,133.6523049,37.22302038,0,46.99133129,84.21435168,26.23782529,10.66302407,26.93585665,148.0510577,982.3748175,0,400.355707,1382.730524,0.97914122,0,0.036974008,1.016115229,10.5441223,10838.34567
Glenn,2010,LDA,Aggregate,Aggregate,Diesel,119.8294757,1037058.779,1037058.779,0,173136.3765,0,1.525586824,0,0,1.525586824,0.114016565,0,0,0.114016565,0.002286323,0.003100232,0.11940312,0.119171888,0,0,0.119171888,0.009145293,0.008857805,0.137174986,339.7143716,0,0,339.7143716,0.007835556,0,0,0.007835556,0.053262906,0,0,0.053262906,0.168694907,0,0,0.168694907,0,0,0,0.168694907,0.192047936,0,0,0.192047936,0,0,0,0.192047936,1.241383013,0,0,1.241383013,0.003203375,0,0,0.003203375,0.0035438,30.1995682
Glenn,2010,LDT1,Aggregate,Aggregate,Gasoline,2688.947739,26058429.69,26058429.69,0,4002765.884,0,19.13273017,0,4.093247927,23.2259781,0.183450791,0,0.051822674,0.235273464,0.057449004,0.094162673,0.386885141,0.197937769,0,0.055485678,0.253423446,0.229796014,0.26903621,0.752255671,11875.51808,0,579.7583916,12455.27647,1.185454514,0,1.213960177,2.399414692,1.034354737,0,0.258371796,1.292726533,7.411825977,0,7.750112193,15.16193817,6.448997082,3.128339777,6.12579987,30.8650749,9.398419285,0,8.465209718,17.863629,6.448997082,3.128339777,6.12579987,33.56676573,202.0332621,0,76.68683468,278.7200968,0.117222324,0,0.00572275,0.122945074,1.253075173,1311.387899
Glenn,2010,LDT1,Aggregate,Aggregate,Diesel,11.86671004,61398.99087,61398.99087,0,15150.16791,0,0.099807092,0,0,0.099807092,0.014185821,0,0,0.014185821,0.000135362,0.000246592,0.014567775,0.014827241,0,0,0.014827241,0.000541446,0.000704549,0.016073236,29.26972104,0,0,29.26972104,0.00085718,0,0,0.00085718,0.004589121,0,0,0.004589121,0.018454586,0,0,0.018454586,0,0,0,0.018454586,0.021009319,0,0,0.021009319,0,0,0,0.021009319,0.117318424,0,0,0.117318424,0.000276002,0,0,0.000276002,0.00020981,2.601988643
Glenn,2010,LDT2,Aggregate,Aggregate,Gasoline,9079.43241,103152709.8,103152709.8,0,14339612.76,0,74.68379396,0,20.43872243,95.12251638,0.415574124,0,0.094694199,0.510268323,0.227412798,0.365327185,1.103008306,0.45065503,0,0.102255007,0.552910038,0.90965119,1.043791959,2.506353187,54069.52102,0,2117.372235,56186.89326,2.860904521,0,4.031671631,6.892576152,4.051392035,0,1.261285602,5.312677637,14.95424737,0,23.89825525,38.85250263,12.79036972,5.101785711,13.15179186,69.89644992,20.6516926,0,26.14879701,46.80048961,12.79036972,5.101785711,13.15179186,77.8444369,544.6785921,0,225.7570671,770.4356591,0.533716076,0,0.020900418,0.554616494,4.531179949,5915.790955
Glenn,2010,LDT2,Aggregate,Aggregate,Diesel,0.480585588,4206.44513,4206.44513,0,675.9730047,0,0.006778565,0,0,0.006778565,0.000706284,0,0,0.000706284,9.27362E-06,1.53334E-05,0.000730891,0.000738219,0,0,0.000738219,3.70945E-05,4.38098E-05,0.000819123,2.050271097,0,0,2.050271097,4.6549E-05,0,0,4.6549E-05,0.000321457,0,0,0.000321457,0.001002172,0,0,0.001002172,0,0,0,0.001002172,0.001140906,0,0,0.001140906,0,0,0,0.001140906,0.005690182,0,0,0.005690182,1.93333E-05,0,0,1.93333E-05,1.43741E-05,0.182262827
Glenn,2010,LHDT1,Aggregate,Aggregate,Gasoline,1352.347473,13844000.79,13844000.79,0,6588383.687,0,12.77529912,0.020046455,4.358003697,17.15334928,0.075219154,0,0.00917949,0.084398645,0.030520797,0.416608883,0.531528325,0.081556902,0,0.00990222,0.091459122,0.122083189,1.190311095,1.403853407,16245.68473,61.17023813,184.7627474,16491.61772,0.803836184,0.055396885,0.348405995,1.207639065,0.636956441,0.001300234,0.294643638,0.932900312,4.55706448,0.228797862,2.02742243,6.813284773,2.146833443,0.75124089,3.660617433,13.37197654,6.400586376,0.332157905,2.216535672,8.949279952,2.146833443,0.75124089,3.660617433,15.50797172,86.93036785,1.77812538,24.82433847,113.5328317,0.160359902,0.000603807,0.001823779,0.162787488,0.670398289,1736.365143
Glenn,2010,LHDT1,Aggregate,Aggregate,Diesel,1887.260093,21915514.33,21915514.33,0,7762770.001,0,135.4126168,1.766054481,0,137.1786713,2.090491609,0.0213808,0,2.111872409,0.072473158,0.659505738,2.843851305,2.185014363,0.022347545,0,2.207361908,0.289892632,1.884302108,4.381556648,14300.05456,97.62819591,0,14397.68276,0.373537294,0.003468122,0,0.377005416,2.242067223,0.015306863,0,2.257374087,8.042038004,0.074666635,0,8.116704639,0,0,0,8.116704639,9.155325597,0.085003,0,9.240328597,0,0,0,9.240328597,26.43005917,0.618875603,0,27.04893477,0.134843995,0.000920596,0,0.135764591,0.704058951,1279.909944
Glenn,2010,LHDT2,Aggregate,Aggregate,Gasoline,129.6452771,1386003.689,1386003.689,0,631607.5167,0,1.252281076,0.001923581,0.426432741,1.680637398,0.006271903,0,0.000626609,0.006898511,0.003055615,0.04866067,0.058614796,0.006819091,0,0.000680821,0.007499912,0.01222246,0.139030486,0.158752859,1835.061532,6.762813102,19.90153516,1861.72588,0.067847791,0.005414944,0.031668033,0.104930768,0.061430633,0.000127198,0.02956125,0.091119081,0.359323991,0.021867802,0.179782356,0.560974149,0.182044015,0.059328718,0.329686756,1.132033638,0.522172782,0.031895356,0.19681257,0.750880708,0.182044015,0.059328718,0.329686756,1.321940197,7.372095891,0.170648505,2.781489554,10.32423395,0.018113751,6.67552E-05,0.000196447,0.018376953,0.068548203,196.0169087
Glenn,2010,LHDT2,Aggregate,Aggregate,Diesel,361.2816259,4387546.698,4387546.698,0,1486041.154,0,23.64917498,0.338079016,0,23.98725399,0.422934479,0.00367837,0,0.426612849,0.014509327,0.154040689,0.595162865,0.442057699,0.003844689,0,0.445902389,0.058037308,0.440116254,0.944055951,3654.531622,29.68427056,0,3684.215893,0.073800026,0.000663909,0,0.074463935,0.572984217,0.004654117,0,0.577638334,1.588871105,0.01429357,0,1.603164674,0,0,0,1.603164674,1.808824117,0.016272279,0,1.825096396,0,0,0,1.825096396,4.828086206,0.11847248,0,4.946558686,0.034460823,0.000279911,0,0.034740734,0.148633947,327.5155202
Glenn,2010,MCY,Aggregate,Aggregate,Gasoline,1300.173464,2618626.703,2618626.703,0,902320.384,0,2.989735262,0,0.268331408,3.25806667,0.008170098,0,0.007831979,0.016002077,0.002886542,0.012123476,0.031012095,0.008589305,0,0.008220831,0.016810136,0.011546167,0.034638502,0.062994805,609.6215477,0,73.45201439,683.0735621,0.967299936,0,0.306870672,1.274170608,0.172803067,0,0.014954625,0.187757692,7.361560037,0,2.464469118,9.826029155,3.18894914,3.636128163,3.780811582,20.43191804,8.342767618,0,2.674942258,11.01770988,3.18894914,3.636128163,3.780811582,21.62359876,76.51602507,0,9.356253114,85.87227818,0.006017527,0,0.000725039,0.006742567,0.021367637,71.91927096
Glenn,2010,MDV,Aggregate,Aggregate,Gasoline,9020.602506,108366742.9,108366742.9,0,14641170.91,0,62.40295369,0,19.70488961,82.1078433,0.303235462,0,0.077281243,0.380516705,0.238907773,0.382132713,1.001557191,0.328933262,0,0.083683243,0.412616505,0.955631092,1.091807752,2.460055348,63872.68403,0,2285.205457,66157.88949,2.476602521,0,4.124503089,6.601105611,3.587636742,0,1.248553326,4.836190068,12.745274,0,24.08079095,36.82606494,8.236781905,3.059051687,8.159818042,56.28171658,17.64150463,0,26.35517566,43.99668029,8.236781905,3.059051687,8.159818042,63.45233192,457.7699594,0,184.9205195,642.6904789,0.630482343,0,0.022557087,0.65303943,4.241358008,6965.614605
