Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Humboldt,2010,HHDT,Aggregate,Aggregate,Gasoline,40.9635624,578665.7299,578665.7299,0,268008.8588,0,7.561881564,0,0.060295949,7.622177513,0.004268373,0,0.00245366,0.006722034,0.003189349,0.027296836,0.037208218,0.004534007,0,0.002581059,0.007115067,0.012757396,0.077990959,0.097863421,1544.598988,0,35.8674756,1580.466463,0.308952121,0,2.1854E-06,0.308954306,0.206210024,0,0.001868247,0.208078271,2.250203271,0,1.13762E-05,2.250214648,0.13313234,0.102152943,0.380576698,2.866076628,2.851287341,0,1.24555E-05,2.851299796,0.13313234,0.102152943,0.380576698,3.467161777,67.15819265,0,1.176310304,68.33450295,0.015246618,0,0.000354045,0.015600663,0.024436361,166.4037406
Humboldt,2010,HHDT,Aggregate,Aggregate,Diesel,1109.757196,42586817.01,42586817.01,0,4488978.139,0,732.2678276,19.8092847,0.148668263,752.2257806,28.26301207,0.564825849,0,28.82783792,0.408357031,1.662895292,30.89909025,29.54094007,0.590364768,0,30.13130483,1.633428123,4.751129407,36.51586236,83135.23223,2177.376065,0,85312.60829,2.222015018,0.152636625,0,2.374651643,13.03455022,0.341384957,0,13.37593517,47.83937401,3.286224674,0,51.12559869,0,0,0,51.12559869,54.46148572,3.74111664,0,58.20260236,0,0,0,58.20260236,171.4268723,8.994467755,0,180.4213401,0.783427972,0.020518585,0,0.803946557,1.515158467,7584.029844
Humboldt,2010,LDA,Aggregate,Aggregate,Gasoline,53764.16074,586130641.2,586130641.2,0,85190483.34,0,274.9970741,0,71.83441267,346.8314868,2.488787661,0,0.542570192,3.031357853,1.292196871,1.639505733,5.963060457,2.69733705,0,0.586620251,3.283957301,5.168787484,4.684302095,13.13704688,220367.3847,0,9768.478804,230135.8635,15.18280058,0,22.14269927,37.32549985,17.10621762,0,5.342863131,22.44908075,82.06088393,0,128.8196901,210.880574,55.48586617,27.18306794,74.92538351,368.4748917,110.5645219,0,140.9498611,251.514383,55.48586617,27.18306794,74.92538351,409.1087006,2506.572591,0,1228.489978,3735.062569,2.175229475,0,0.096423902,2.271653376,26.57816891,24230.48474
Humboldt,2010,LDA,Aggregate,Aggregate,Diesel,733.0656228,6465362.509,6465362.509,0,1072933.147,0,11.16522744,0,0,11.16522744,0.778437165,0,0,0.778437165,0.014253684,0.018265583,0.810956432,0.813634639,0,0,0.813634639,0.057014738,0.05218738,0.922836757,2114.010238,0,0,2114.010238,0.053266409,0,0,0.053266409,0.331449999,0,0,0.331449999,1.14679443,0,0,1.14679443,0,0,0,1.14679443,1.305549214,0,0,1.305549214,0,0,0,1.305549214,8.619254315,0,0,8.619254315,0.019934301,0,0,0.019934301,0.022093205,187.9290419
Humboldt,2010,LDT1,Aggregate,Aggregate,Gasoline,13198.12501,123599596,123599596,0,19648760.24,0,121.9670188,0,23.62223386,145.5892527,1.050099964,0,0.230386509,1.280486473,0.272490465,0.430312606,1.983289545,1.135405047,0,0.248806891,1.384211938,1.089961862,1.22946459,3.70363839,54182.08536,0,2923.101932,57105.18729,6.396591131,0,7.077653539,13.47424467,6.373079594,0,1.431083775,7.804163369,38.39646528,0,43.85194905,82.24841433,24.90385309,11.83180084,33.30601635,152.2900846,49.87793813,0,47.96731036,97.84524849,24.90385309,11.83180084,33.30601635,167.8869188,1092.789535,0,487.3117215,1580.101257,0.53482719,0,0.028853714,0.563680904,6.750225452,6012.476058
Humboldt,2010,LDT1,Aggregate,Aggregate,Diesel,46.34305732,277500.9029,277500.9029,0,58792.83025,0,0.505623323,0,0,0.505623323,0.070277554,0,0,0.070277554,0.000611785,0.00106328,0.071952619,0.073455193,0,0,0.073455193,0.002447139,0.003037942,0.078940275,128.7493708,0,0,128.7493708,0.004189804,0,0,0.004189804,0.020186269,0,0,0.020186269,0.090204021,0,0,0.090204021,0,0,0,0.090204021,0.102691281,0,0,0.102691281,0,0,0,0.102691281,0.510849389,0,0,0.510849389,0.001214057,0,0,0.001214057,0.000948266,11.44542512
Humboldt,2010,LDT2,Aggregate,Aggregate,Gasoline,22894.30932,254059438.7,254059438.7,0,36435654.84,0,198.9136296,0,54.65268589,253.5663155,1.012851618,0,0.214694577,1.227546195,0.560105186,0.841936276,2.629587657,1.097922335,0,0.232541878,1.330464213,2.240420744,2.405532217,5.976417173,127475.3317,0,5448.614233,132923.9459,6.934471082,0,10.99638292,17.930854,10.50918921,0,3.343722438,13.85291165,37.1400235,0,64.7522789,101.8923024,22.22135152,10.23564227,30.55527446,164.9045707,50.83209596,0,70.87093432,121.7030303,22.22135152,10.23564227,30.55527446,184.7152985,1248.257231,0,636.7236807,1884.980911,1.258299177,0,0.053782851,1.312082029,11.20019406,13995.26173
Humboldt,2010,LDT2,Aggregate,Aggregate,Diesel,4.441953902,26805.0412,26805.0412,0,5629.836951,0,0.048170698,0,0,0.048170698,0.006775715,0,0,0.006775715,5.9095E-05,0.000101832,0.006936642,0.007082082,0,0,0.007082082,0.00023638,0.000290949,0.007609412,14.16266678,0,0,14.16266678,0.000386898,0,0,0.000386898,0.002220527,0,0,0.002220527,0.008329693,0,0,0.008329693,0,0,0,0.008329693,0.009482801,0,0,0.009482801,0,0,0,0.009482801,0.047688455,0,0,0.047688455,0.000133548,0,0,0.000133548,9.15972E-05,1.259017743
Humboldt,2010,LHDT1,Aggregate,Aggregate,Gasoline,3759.334695,37254473.89,37254473.89,0,18314774.77,0,42.86430811,0.055360602,12.13935574,55.05902446,0.224055449,0,0.024371573,0.248427022,0.082132056,1.121102563,1.451661641,0.243410121,0,0.026416466,0.269826588,0.328528224,3.203150181,3.801504992,43831.60307,169.9691036,521.9274317,44523.4996,2.405724388,0.149575156,0.994258995,3.549558539,2.049165322,0.003431409,0.789204534,2.841801265,13.12971737,0.628704406,5.767598877,19.52602065,5.062422317,2.029514541,11.51384016,38.13179767,18.88002781,0.915521917,6.310965002,26.10651473,5.062422317,2.029514541,11.51384016,44.71229174,254.8845712,4.910176086,82.24421911,342.0389664,0.432658377,0.001677752,0.005151905,0.439488034,1.813607106,4687.778608
Humboldt,2010,LHDT1,Aggregate,Aggregate,Diesel,6513.941027,73638366.18,73638366.18,0,26793459.03,0,483.6204472,6.095595822,0,489.716043,6.97602461,0.074259552,0,7.050284162,0.243517212,2.216006628,9.509808002,7.291449487,0.077617239,0,7.369066727,0.974068847,6.331447509,14.67458308,47843.5378,336.9669676,0,48180.50477,1.273213159,0.01197034,0,1.285183499,7.501260047,0.052832148,0,7.554092195,27.41152968,0.257714376,0,27.66924406,0,0,0,27.66924406,31.2062041,0.293390683,0,31.49959478,0,0,0,31.49959478,91.70292099,2.136069741,0,93.83899073,0.451146096,0.003177468,0,0.454323564,2.316847633,4283.099455
Humboldt,2010,LHDT2,Aggregate,Aggregate,Gasoline,303.4943482,3346978.307,3346978.307,0,1478567.641,0,2.666184951,0.004523066,1.117887456,3.788595472,0.01304223,0,0.001285197,0.014327426,0.007378824,0.117507774,0.139214024,0.014182875,0,0.001397231,0.015580105,0.029515296,0.335736496,0.380831898,4408.627339,15.83563825,45.67199005,4470.134967,0.126496428,0.01298449,0.068917929,0.208398847,0.13271302,0.000302312,0.077497737,0.210513068,0.650276648,0.051477092,0.374826667,1.076580407,0.302861185,0.121826522,0.677760436,2.17902855,0.947056395,0.075103981,0.410365548,1.432525924,0.302861185,0.121826522,0.677760436,2.534974067,12.72869779,0.401287052,5.919307951,19.04929279,0.043517221,0.000156312,0.000450825,0.044124358,0.164806936,470.650404
Humboldt,2010,LHDT2,Aggregate,Aggregate,Diesel,949.0063902,11456863.81,11456863.81,0,3903499.238,0,60.88356306,0.888058299,0,61.77162135,1.066588677,0.010154538,0,1.076743215,0.037887092,0.402234624,1.51686493,1.114815084,0.010613681,0,1.125428765,0.151548367,1.149241782,2.426218914,9552.788756,77.49237462,0,9630.281131,0.185750936,0.001743941,0,0.187494877,1.497756143,0.012149822,0,1.509905964,3.999108285,0.037546025,0,4.036654309,0,0,0,4.036654309,4.552718904,0.042743653,0,4.595462556,0,0,0,4.595462556,12.34996269,0.311200827,0,12.66116352,0.090079111,0.000730723,0,0.090809834,0.391790321,856.1025265
Humboldt,2010,MCY,Aggregate,Aggregate,Gasoline,4601.463706,9087521.407,9087521.407,0,3193415.812,0,11.04666894,0,1.020329001,12.06699794,0.029973593,0,0.029047992,0.059021585,0.010017278,0.042072566,0.111111429,0.031505934,0,0.030489618,0.061995552,0.040069111,0.120207332,0.222271994,2113.856831,0,269.5627318,2383.419562,3.388663268,0,1.226962287,4.615625555,0.625917733,0,0.055702647,0.68162038,26.01529851,0,9.906701154,35.92199966,8.245299707,12.30859972,13.36870507,69.84460415,29.44238462,0,10.75246602,40.19485064,8.245299707,12.30859972,13.36870507,74.11745512,279.6713876,0,35.34805605,315.0194436,0.020865718,0,0.002660833,0.023526551,0.073945702,250.9448569
Humboldt,2010,MDV,Aggregate,Aggregate,Gasoline,19532.30934,221722009.4,221722009.4,0,31393761.58,0,161.9781201,0,47.57514112,209.5532612,0.732272496,0,0.186401834,0.91867433,0.488813358,0.742689581,2.150177268,0.795188642,0,0.2021847,0.997373342,1.95525343,2.12197023,5.074597003,125073.4993,0,5079.958612,130153.4579,5.676918963,0,10.56232877,16.23924774,8.939430683,0,2.893146299,11.83257698,28.75408665,0,62.7113298,91.46541645,16.17669606,7.060133158,22.19385284,136.8960985,40.60698458,0,68.64469319,109.2516778,16.17669606,7.060133158,22.19385284,154.6823598,951.3811082,0,501.1072291,1452.488337,1.234590874,0,0.05014388,1.284734754,9.525516103,13703.56331
