Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Imperial,2010,HHDT,Aggregate,Aggregate,Gasoline,63.43598783,1296890.385,1296890.385,0,415037.309,0,15.20633376,0,0.042182789,15.24851655,0.010019613,0,0.004428092,0.014447705,0.007147885,0.047501678,0.069097267,0.010589101,0,0.004650322,0.015239423,0.028591539,0.13571908,0.179550042,3624.307482,0,61.82093683,3686.128419,0.602457092,0,1.31031E-05,0.602470195,0.421663238,0,0.001218049,0.422881288,4.573329369,0,6.77092E-05,4.573397078,0.445720271,0.197937124,0.636997988,5.854052462,5.584505418,0,7.4133E-05,5.584579551,0.445720271,0.197937124,0.636997988,6.865234935,196.5922664,0,1.555087707,198.1473541,0.03577526,0,0.00061023,0.03638549,0.054988964,388.1041271
Imperial,2010,HHDT,Aggregate,Aggregate,Diesel,3184.032397,199317808.3,199317808.3,0,17551510.2,0,3197.70888,89.34811448,0.850317323,3287.907312,118.9969339,2.451542806,0,121.4484767,1.970091636,7.198808721,130.6173771,124.3774472,2.562390693,0,126.9398379,7.880366546,20.56802492,155.3882294,355238.2629,11104.86517,0,366343.1281,8.380219931,0.656195197,0,9.036415128,55.69685502,1.741102043,0,57.43795707,180.4238371,14.12770266,0,194.5515397,0,0,0,194.5515397,205.3988044,16.08331406,0,221.4821185,0,0,0,221.4821185,678.1435031,36.44647996,0,714.589983,3.347601064,0.104647112,0,3.452248177,7.352768174,32566.78318
Imperial,2010,LDA,Aggregate,Aggregate,Gasoline,113115.0194,1362826119,1362826119,0,183082589.4,0,435.7523042,0,120.5837519,556.336056,3.884444873,0,0.893916053,4.778360926,3.004517292,2.637712401,10.42059062,4.209813082,0,0.966577773,5.176390855,12.01806917,7.536321146,24.73078117,550073.3809,0,19105.35491,569178.7358,25.12258202,0,33.41528604,58.53786806,28.91911746,0,9.893990354,38.81310782,129.4528931,0,185.300182,314.7530751,184.5187405,51.10203765,130.5537232,680.9275765,175.9874588,0,202.7634122,378.750871,184.5187405,51.10203765,130.5537232,744.9253723,5291.01746,0,1758.135304,7049.152764,5.42973196,0,0.188587486,5.618319446,53.98125076,59927.54221
Imperial,2010,LDA,Aggregate,Aggregate,Diesel,518.2753945,4414271.967,4414271.967,0,735872.5635,0,6.703034035,0,0,6.703034035,0.616917394,0,0,0.616917394,0.009731804,0.008695572,0.63534477,0.644811661,0,0,0.644811661,0.038927215,0.024844493,0.708583368,1522.81728,0,0,1522.81728,0.040461864,0,0,0.040461864,0.238758439,0,0,0.238758439,0.8711201,0,0,0.8711201,0,0,0,0.8711201,0.991712318,0,0,0.991712318,0,0,0,0.991712318,6.71031213,0,0,6.71031213,0.014359579,0,0,0.014359579,0.015084292,135.3737968
Imperial,2010,LDT1,Aggregate,Aggregate,Gasoline,17087.48528,179774753.8,179774753.8,0,25864402.98,0,165.9291162,0,25.87046855,191.7995848,1.422624943,0,0.27017849,1.692803433,0.396335489,0.437164071,2.526302994,1.53517794,0,0.291574952,1.826752892,1.585341957,1.249040203,4.661135052,85053.99018,0,3487.386691,88541.37687,9.475912017,0,7.026630549,16.50254257,8.682396426,0,1.673095494,10.35549192,57.16489378,0,41.93952096,99.10441474,55.91213341,15.80011146,41.03010412,211.8467637,73.30659413,0,45.87255382,119.1791479,55.91213341,15.80011146,41.03010412,231.9214969,1904.39834,0,451.9875209,2356.385861,0.839561384,0,0.034423725,0.873985109,9.263890442,9322.321384
Imperial,2010,LDT1,Aggregate,Aggregate,Diesel,42.7531533,367506.1504,367506.1504,0,57435.59256,0,0.683432258,0,0,0.683432258,0.07747926,0,0,0.07747926,0.000810212,0.000949117,0.079238589,0.080982528,0,0,0.080982528,0.003240849,0.002711763,0.08693514,188.1621757,0,0,188.1621757,0.004752424,0,0,0.004752424,0.029501443,0,0,0.029501443,0.102316897,0,0,0.102316897,0,0,0,0.102316897,0.116480984,0,0,0.116480984,0,0,0,0.116480984,0.725201182,0,0,0.725201182,0.001774297,0,0,0.001774297,0.001255829,16.7270417
Imperial,2010,LDT2,Aggregate,Aggregate,Gasoline,44179.6009,521030224.3,521030224.3,0,71417146.49,0,332.3981484,0,86.05052036,418.4486688,1.768700723,0,0.35368548,2.122386203,1.148675019,1.204583452,4.475644675,1.911873661,0,0.382530232,2.294403894,4.594700076,3.441667007,10.33077098,278548.1369,0,9807.628306,288355.7652,13.38833731,0,15.62653891,29.01487622,18.18982932,0,5.712801317,23.90263064,74.01805945,0,87.72696753,161.745027,68.80403174,18.86710953,47.9146487,297.3308169,98.0716508,0,96.00664285,194.0782936,68.80403174,18.86710953,47.9146487,329.6640836,2851.594918,0,834.5569609,3686.151879,2.749527197,0,0.096810343,2.846337541,21.27755611,30360.32656
Imperial,2010,LDT2,Aggregate,Aggregate,Diesel,6.527958808,70040.73178,70040.73178,0,9955.343995,0,0.111321045,0,0,0.111321045,0.007717556,0,0,0.007717556,0.000154413,0.000162215,0.008034184,0.008066509,0,0,0.008066509,0.000617654,0.00046347,0.009147633,34.07932145,0,0,34.07932145,0.000508859,0,0,0.000508859,0.005343205,0,0,0.005343205,0.01095544,0,0,0.01095544,0,0,0,0.01095544,0.01247204,0,0,0.01247204,0,0,0,0.01247204,0.08947454,0,0,0.08947454,0.000321355,0,0,0.000321355,0.000239341,3.029547404
Imperial,2010,LHDT1,Aggregate,Aggregate,Gasoline,5362.448087,57669354.69,57669354.69,0,26124843.07,0,42.79842341,0.080008905,17.02455285,59.90298516,0.132031369,0,0.027245827,0.159277196,0.127139164,1.735449588,2.021865948,0.143374438,0,0.029528102,0.17290254,0.508556656,4.958427393,5.639886589,53425.71585,242.666903,704.1937078,54372.57646,1.655504247,0.233693841,1.275044481,3.164242569,2.144507019,0.005543576,1.232499411,3.382550006,8.769611254,0.912105366,6.872579823,16.55429644,10.62754934,2.55425471,13.08993555,42.82603605,12.58600724,1.328758751,7.520610933,21.43537693,10.62754934,2.55425471,13.08993555,47.70711653,263.5162305,7.098049852,91.64941308,362.2636934,0.527361125,0.002395346,0.006951042,0.536707513,2.822012669,5724.765642
Imperial,2010,LHDT1,Aggregate,Aggregate,Diesel,4210.118582,50503287.95,50503287.95,0,17317264.51,0,317.9734387,3.939731897,0,321.9131706,3.107138212,0.045990364,0,3.153128576,0.167011037,1.519800433,4.839940046,3.247629214,0.048069844,0,3.295699058,0.668044146,4.342286952,8.306030157,25824.58391,217.7899502,0,26042.37386,0.509564021,0.007736722,0,0.517300743,4.048967289,0.034146703,0,4.083113991,10.97061336,0.166567072,0,11.13718043,0,0,0,11.13718043,12.48931393,0.189625537,0,12.67893947,0,0,0,12.67893947,47.03902092,1.380593848,0,48.41961477,0.243515859,0.002053675,0,0.245569534,1.639225398,2315.087354
