Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Inyo,2010,HHDT,Aggregate,Aggregate,Gasoline,21.46368007,245082.3187,245082.3187,0,140428.6166,0,2.735761002,0,0.024792351,2.760553353,0.002730371,0,0.001872592,0.004602963,0.001350785,0.011496054,0.017449802,0.002876941,0,0.00196479,0.004841732,0.00540314,0.03284587,0.043090741,677.5050011,0,23.96160122,701.4666023,0.157039838,0,4.77722E-06,0.157044615,0.07627785,0,0.001244981,0.077522831,1.271307933,0,2.49215E-05,1.271332854,0.111896678,0.075559891,0.226625322,1.685414746,1.502606185,0,2.72859E-05,1.502633471,0.111896678,0.075559891,0.226625322,1.916715362,42.56002039,0,0.231106945,42.79112734,0.0066876,0,0.000236523,0.006924123,0.009115207,73.85583258
Inyo,2010,HHDT,Aggregate,Aggregate,Diesel,382.0709115,21991550.65,21991550.65,0,1933625.942,0,360.0545701,10.01479942,0.103201853,370.1725714,13.83824498,0.313784439,0,14.15202942,0.217145443,0.848146791,15.21732166,14.46394902,0.327972379,0,14.79192139,0.868581771,2.423276546,18.08377971,40944.52949,1281.65891,0,42226.1884,1.101014584,0.082496681,0,1.183511265,6.419583027,0.200947865,0,6.620530892,23.70454208,1.776130918,0,25.48067299,0,0,0,25.48067299,26.98581673,2.021989849,0,29.00780658,0,0,0,29.00780658,83.74504994,4.39846254,0,88.14351248,0.385842306,0.012077761,0,0.397920067,0.81760688,3753.778948
Inyo,2010,LDA,Aggregate,Aggregate,Gasoline,29317.78243,341265327.2,341265327.2,0,47098428.75,0,122.735296,0,34.07791211,156.8132081,1.201763503,0,0.257664965,1.459428468,0.75236126,0.831008947,3.042798675,1.302149279,0,0.278351962,1.580501241,3.009445042,2.374311277,6.964257559,136521.7171,0,5129.410541,141651.1277,7.455811173,0,10.18115985,17.63697102,7.909347238,0,2.678650482,10.58799772,40.07681486,0,58.37364108,98.45045594,35.7632105,13.4515176,35.29536454,182.9605486,53.9215229,0,63.86562095,117.7871438,35.7632105,13.4515176,35.29536454,202.2972365,1342.439937,0,547.4555462,1889.895484,1.347595351,0,0.050632016,1.398227367,13.79677515,14914.12697
Inyo,2010,LDA,Aggregate,Aggregate,Diesel,165.1210778,1482112.549,1482112.549,0,240336.1508,0,2.038393814,0,0,2.038393814,0.180802563,0,0,0.180802563,0.003267499,0.003640057,0.187710119,0.188977653,0,0,0.188977653,0.013069995,0.010400162,0.21244781,493.4339455,0,0,493.4339455,0.012260108,0,0,0.012260108,0.077364186,0,0,0.077364186,0.263952911,0,0,0.263952911,0,0,0,0.263952911,0.30049284,0,0,0.30049284,0,0,0,0.30049284,1.844152266,0,0,1.844152266,0.004652892,0,0,0.004652892,0.005064622,43.86476798
Inyo,2010,LDT1,Aggregate,Aggregate,Gasoline,5368.356989,51013977.66,51013977.66,0,7999966.815,0,44.46978962,0,8.441546576,52.91133619,0.418093521,0,0.101759491,0.519853012,0.112466569,0.157559043,0.789878624,0.451396574,0,0.109465927,0.560862502,0.449866277,0.450168694,1.460897473,23898.14318,0,1165.645104,25063.78828,2.647243804,0,2.532376699,5.179620503,2.32547056,0,0.525766292,2.851236851,16.43512148,0,15.95818845,32.39330993,13.40558682,5.466373397,12.88869198,64.15396212,21.01864665,0,17.44335456,38.46200121,13.40558682,5.466373397,12.88869198,70.2226534,468.3179081,0,170.2249165,638.5428246,0.23589673,0,0.011505993,0.247402723,2.531607673,2638.909601
Inyo,2010,LDT1,Aggregate,Aggregate,Diesel,11.90710511,77065.45529,77065.45529,0,15649.20036,0,0.134313271,0,0,0.134313271,0.017380043,0,0,0.017380043,0.0001699,0.000258432,0.017808376,0.018165892,0,0,0.018165892,0.000679601,0.000738378,0.019583871,38.35539924,0,0,38.35539924,0.001073492,0,0,0.001073492,0.00601364,0,0,0.00601364,0.02311166,0,0,0.02311166,0,0,0,0.02311166,0.026311088,0,0,0.026311088,0,0,0,0.026311088,0.144120531,0,0,0.144120531,0.000361677,0,0,0.000361677,0.000263345,3.409677635
Inyo,2010,LDT2,Aggregate,Aggregate,Gasoline,11713.1393,134867655,134867655,0,18848533.13,0,86.03366041,0,24.29892741,110.3325878,0.475252571,0,0.100902028,0.576154599,0.297332283,0.398692158,1.27217904,0.514817293,0,0.109050936,0.623868229,1.189329132,1.139120452,2.952317813,71473.35582,0,2679.081187,74152.43701,3.343003464,0,4.761859267,8.104862731,4.715507952,0,1.566925531,6.282433483,17.96851966,0,27.54797503,45.51649469,13.34544384,4.921717354,13.07188203,76.85553791,24.36045961,0,30.1451364,54.50559601,13.34544384,4.921717354,13.07188203,85.84463923,640.5917006,0,262.1650974,902.756798,0.705507988,0,0.026445004,0.731952992,5.523279429,7807.342438
Inyo,2010,LDT2,Aggregate,Aggregate,Diesel,1.880840644,12088.16365,12088.16365,0,2460.758528,0,0.021914518,0,0,0.021914518,0.002672894,0,0,0.002672894,2.66498E-05,3.90505E-05,0.002738595,0.002793751,0,0,0.002793751,0.000106599,0.000111573,0.003011923,6.337863971,0,0,6.337863971,0.000165216,0,0,0.000165216,0.000993697,0,0,0.000993697,0.003557012,0,0,0.003557012,0,0,0,0.003557012,0.004049422,0,0,0.004049422,0,0,0,0.004049422,0.018709627,0,0,0.018709627,5.97636E-05,0,0,5.97636E-05,4.13072E-05,0.563416715
Inyo,2010,LHDT1,Aggregate,Aggregate,Gasoline,1983.90614,20326220.31,20326220.31,0,9665219.27,0,20.3663234,0.029342818,6.35519597,26.75086218,0.110227897,0,0.012444801,0.122672698,0.044811645,0.611678956,0.779163299,0.119696603,0,0.013476352,0.133172956,0.17924658,1.747654159,2.060073696,23879.34466,89.72354452,271.5144263,24240.58263,1.259313648,0.080822175,0.495317926,1.835453749,0.992410031,0.001879639,0.429605989,1.423895659,6.990976635,0.333808239,2.860931959,10.18571683,3.349496643,1.021884355,5.702932875,20.26003071,10.01035256,0.485866632,3.130003323,13.62622251,3.349496643,1.021884355,5.702932875,23.70053638,135.8514574,2.602572345,39.64026855,178.0942983,0.235711171,0.000885654,0.002680098,0.239276923,0.987874742,2552.236138
Inyo,2010,LHDT1,Aggregate,Aggregate,Diesel,1689.022755,19742349.62,19742349.62,0,6947370.54,0,124.6010346,1.580548551,0,126.1815831,1.898859879,0.018236386,0,1.917096265,0.065286646,0.594108477,2.576491388,1.984717896,0.019060955,0,2.003778851,0.261146583,1.697452792,3.962378227,12799.10872,87.37335411,0,12886.48207,0.342142107,0.003103832,0,0.345245939,2.006737948,0.013699034,0,2.020436982,7.36611813,0.06682367,0,7.4329418,0,0,0,7.4329418,8.385835759,0.076074306,0,8.461910064,0,0,0,8.461910064,24.18163508,0.553869061,0,24.73550414,0.120690655,0.000823897,0,0.121514552,0.625483048,1145.568827
