Source: EMFAC2021 (v1.0.1) Emissions Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calendar Year: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC2007 Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units:  miles/year for CVMT and EVMT, trips/year for Trips, kWh/year for Energy Consumption, tons/year for Emissions, 1000 gallons/year for Fuel Consumption",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Kings,2010,HHDT,Aggregate,Aggregate,Gasoline,18.50354079,585969.4259,585969.4259,0,121061.562,0,5.223797146,0,0.015178168,5.238975314,0.002719991,0,0.000925348,0.003645339,0.003229604,0.026577799,0.033452741,0.002889894,0,0.000972596,0.00386249,0.012918415,0.075936568,0.092717473,1705.208996,0,15.10500464,1720.314001,0.245772679,0,4.55533E-06,0.245777235,0.159109932,0,0.000436366,0.159546298,1.671887721,0,2.47339E-05,1.671912455,0.062569188,0.038946811,0.120215082,1.893643535,2.206817801,0,2.70805E-05,2.206844881,0.062569188,0.038946811,0.120215082,2.428575962,47.96322761,0,0.643765266,48.60699287,0.016831987,0,0.0001491,0.016981087,0.027293538,181.1279716
Kings,2010,HHDT,Aggregate,Aggregate,Diesel,3606.19285,177174389.9,177174389.9,0,18956624.42,0,2937.700855,82.19364137,1.091669236,3020.986166,107.821914,2.052375392,0,109.8742894,1.750302824,6.839090266,118.4636825,112.6971425,2.1451747,0,114.8423172,7.001211294,19.5402579,141.3837864,327557.8971,9693.270841,0,337251.1679,8.767307353,0.562079928,0,9.329387281,51.35692466,1.519781952,0,52.87670661,188.7577231,12.10142671,0,200.8591498,0,0,0,200.8591498,214.8862993,13.77655314,0,228.6628524,0,0,0,228.6628524,662.6484459,33.42144451,0,696.0698905,3.086754101,0.091344901,0,3.178099001,6.532811926,29980.59693
Kings,2010,LDA,Aggregate,Aggregate,Gasoline,59078.18892,723886418.4,723886418.4,0,95400897.84,0,227.5078125,0,66.41938392,293.9271964,1.971029084,0,0.474802531,2.445831614,1.595896374,1.163025792,5.20475378,2.137847006,0,0.513072381,2.650919387,6.383585495,3.322930835,12.35743572,285602.4368,0,10165.78658,295768.2234,12.27522182,0,19.35574268,31.6309645,15.28299782,0,5.37899237,20.66199019,62.12027629,0,108.462118,170.5823943,66.57412889,25.60373814,64.05231685,326.8125782,85.37586577,0,118.6759977,204.0518635,66.57412889,25.60373814,64.05231685,360.2820474,2313.430346,0,1008.826819,3322.257165,2.819159648,0,0.100345696,2.919505344,28.89483838,31140.76753
Kings,2010,LDA,Aggregate,Aggregate,Diesel,228.1563811,1930166.697,1930166.697,0,326061.0306,0,2.920386852,0,0,2.920386852,0.239498454,0,0,0.239498454,0.004255289,0.003143326,0.246897069,0.250327511,0,0,0.250327511,0.017021157,0.008980932,0.276329599,647.0641263,0,0,647.0641263,0.015882031,0,0,0.015882031,0.10145145,0,0,0.10145145,0.341930773,0,0,0.341930773,0,0,0,0.341930773,0.389265452,0,0,0.389265452,0,0,0,0.389265452,2.730489023,0,0,2.730489023,0.006101565,0,0,0.006101565,0.006595696,57.52202099
Kings,2010,LDT1,Aggregate,Aggregate,Gasoline,8017.254644,80432854.35,80432854.35,0,12129176.87,0,70.4142011,0,12.71348072,83.12768182,0.583442106,0,0.123728849,0.707170955,0.17732409,0.167328503,1.051823548,0.629328165,0,0.133376032,0.762704197,0.709296361,0.478081436,1.950081994,37089.21531,0,1670.104024,38759.31933,3.879649073,0,3.621040057,7.50068913,3.718136091,0,0.809982274,4.528118365,23.98137524,0,21.8751963,45.85657154,18.53252523,7.095590415,18.53638596,90.02107314,30.30385026,0,23.92356132,54.22741158,18.53252523,7.095590415,18.53638596,98.39191318,687.6106615,0,228.3171291,915.9277906,0.366104787,0,0.016485468,0.382590255,4.170501273,4080.881099
Kings,2010,LDT1,Aggregate,Aggregate,Diesel,16.99372308,127733.3499,127733.3499,0,22804.40231,0,0.229192505,0,0,0.229192505,0.026295904,0,0,0.026295904,0.000281604,0.000286256,0.026863764,0.027484888,0,0,0.027484888,0.001126415,0.000817874,0.029429177,62.32568818,0,0,62.32568818,0.001680657,0,0,0.001680657,0.009771878,0,0,0.009771878,0.036183555,0,0,0.036183555,0,0,0,0.036183555,0.041192572,0,0,0.041192572,0,0,0,0.041192572,0.281108031,0,0,0.281108031,0.000587707,0,0,0.000587707,0.000436486,5.540562979
Kings,2010,LDT2,Aggregate,Aggregate,Gasoline,20889.49763,240049892.5,240049892.5,0,33610656.65,0,158.775168,0,43.28333544,202.0585034,0.807205742,0,0.173831716,0.981037458,0.529219423,0.477669754,1.987926635,0.872947696,0,0.187940746,1.060888442,2.116877693,1.364770725,4.542536861,126246.6034,0,4740.695467,130987.2989,5.993315409,0,8.347648188,14.3409636,8.63459794,0,2.801501642,11.43609958,33.2398818,0,47.71445553,80.95433733,24.00782151,8.967697153,23.42739258,137.3572486,44.07229715,0,52.21604471,96.28834186,24.00782151,8.967697153,23.42739258,152.6912531,1133.548853,0,448.3785145,1581.927368,1.246170495,0,0.04679504,1.292965535,10.02172977,13791.35654
Kings,2010,LDT2,Aggregate,Aggregate,Diesel,0.873081983,7641.867643,7641.867643,0,1228.043175,0,0.013432092,0,0,0.013432092,0.001260863,0,0,0.001260863,1.68474E-05,1.57706E-05,0.001293481,0.001317873,0,0,0.001317873,6.73897E-05,4.50589E-05,0.001430322,3.750197659,0,0,3.750197659,8.28176E-05,0,0,8.28176E-05,0.000587983,0,0,0.000587983,0.001783013,0,0,0.001783013,0,0,0,0.001783013,0.002029842,0,0,0.002029842,0,0,0,0.002029842,0.012001458,0,0,0.012001458,3.53629E-05,0,0,3.53629E-05,2.61135E-05,0.333381097
Kings,2010,LHDT1,Aggregate,Aggregate,Gasoline,3130.951027,34442239.54,34442239.54,0,15253407.19,0,23.89069127,0.046915915,10.61823406,34.55584124,0.134369728,0,0.014691221,0.149060949,0.075932141,1.036473717,1.261466807,0.145905503,0,0.015904325,0.161809829,0.303728562,2.961353477,3.426891868,40254.33563,141.7271825,410.9697104,40807.03253,1.298138975,0.135339872,0.725225227,2.158704074,1.256651955,0.00321363,0.749332679,2.009198265,7.00751096,0.53577499,3.970434046,11.51372,3.826550865,1.273243212,6.279691084,22.89320516,9.992807549,0.780257322,4.34422363,15.1172885,3.826550865,1.273243212,6.279691084,26.49677366,133.8268636,4.162593311,51.90536103,189.8948179,0.397347445,0.001398978,0.00405665,0.402803074,1.688444008,4296.480192
Kings,2010,LHDT1,Aggregate,Aggregate,Diesel,2866.213018,35085384.33,35085384.33,0,11789446.78,0,199.8708516,2.682136057,0,202.5529877,3.45004151,0.029688971,0,3.479730481,0.116025048,1.055827937,4.651583466,3.606037078,0.031031375,0,3.637068453,0.464100192,3.016651247,7.117819892,22865.92904,148.2695507,0,23014.19859,0.60559218,0.005267095,0,0.610859275,3.585087722,0.023246785,0,3.608334507,13.0380431,0.11339745,0,13.15144055,0,0,0,13.15144055,14.84294524,0.129095457,0,14.97204069,0,0,0,14.97204069,40.82267496,0.939896581,0,41.76257154,0.215616885,0.001398125,0,0.21701501,1.147797188,2045.891838
