Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Lake,2010,HHDT,Aggregate,Aggregate,Gasoline,17.95016379,225601.6558,225601.6558,0,117441.0288,0,2.845802789,0,0.047470541,2.89327333,0.001959539,0,0.001313074,0.003272613,0.001243416,0.010644729,0.015160758,0.002071818,0,0.001378375,0.003450193,0.004973665,0.030413512,0.03883737,604.7216733,0,17.87504965,622.5967229,0.118721726,0,6.71337E-07,0.118722398,0.076324573,0,0.002055952,0.078380525,0.907490019,0,3.50115E-06,0.907493521,0.07837463,0.057107826,0.17743526,1.220411237,1.102899762,0,3.83332E-06,1.102903595,0.07837463,0.057107826,0.17743526,1.415821312,27.79203611,0,0.281998793,28.0740349,0.005969161,0,0.000176443,0.006145604,0.009380634,65.5518013
Lake,2010,HHDT,Aggregate,Aggregate,Diesel,377.1558249,8297016.629,8297016.629,0,1334254.034,0,156.0458955,4.607884856,0.019127465,160.6729078,6.636703712,0.142645767,0,6.779349479,0.07879858,0.325466248,7.183614306,6.936786004,0.149095576,0,7.08588158,0.315194318,0.929903564,8.330979462,16185.62586,412.7441916,0,16598.37005,0.508339905,0.038772408,0,0.547112313,2.537700892,0.064713055,0,2.602413948,10.94441875,0.834759322,0,11.77917807,0,0,0,11.77917807,12.45938765,0.950309945,0,13.40969759,0,0,0,13.40969759,39.98687027,2.441419653,0,42.42828992,0.152525851,0.00388951,0,0.156415361,0.274880465,1475.544311
Lake,2010,LDA,Aggregate,Aggregate,Gasoline,26789.87,296623636.4,296623636.4,0,41971338.97,0,156.486103,0,34.56820044,191.0543035,1.605974024,0,0.314038898,1.920012922,0.653943179,0.871562051,3.445518152,1.736216525,0,0.339059881,2.075276406,2.615772716,2.490177288,7.18122641,116626.3868,0,4870.161147,121496.548,10.34577029,0,10.86160179,21.20737208,9.349397322,0,2.547136311,11.89653363,60.33596566,0,63.93779184,124.2737575,38.48411569,16.60307277,42.96034873,222.3212947,78.31533812,0,69.9431435,148.2584816,38.48411569,16.60307277,42.96034873,246.3060188,1679.485772,0,602.1643495,2281.650122,1.151210078,0,0.048072985,1.199283064,13.47729474,12792.09684
Lake,2010,LDA,Aggregate,Aggregate,Diesel,186.0427269,1652876.027,1652876.027,0,262640.4855,0,2.708072858,0,0,2.708072858,0.266368609,0,0,0.266368609,0.003643968,0.004936706,0.274949283,0.278412615,0,0,0.278412615,0.014575872,0.014104874,0.307093361,567.7713086,0,0,567.7713086,0.017721558,0,0,0.017721558,0.089019342,0,0,0.089019342,0.381534709,0,0,0.381534709,0,0,0,0.381534709,0.4343519,0,0,0.4343519,0,0,0,0.4343519,2.396432092,0,0,2.396432092,0.005353864,0,0,0.005353864,0.005648149,50.47313211
Lake,2010,LDT1,Aggregate,Aggregate,Gasoline,6713.764141,61044372.92,61044372.92,0,9737652.41,0,65.99814468,0,11.54830702,77.5464517,0.627941361,0,0.149045526,0.776986887,0.134579805,0.225025239,1.136591931,0.678143572,0,0.160453108,0.83859668,0.538319222,0.642929253,2.019845155,27932.25714,0,1510.072077,29442.32922,3.917409382,0,3.551287825,7.468697207,3.388029362,0,0.682224188,4.07025355,24.17085392,0,22.62600585,46.79685977,17.55383098,7.846715944,18.82816435,91.02557105,31.07489315,0,24.73384957,55.80874272,17.55383098,7.846715944,18.82816435,100.037454,678.1032647,0,249.0207505,927.1240151,0.275717158,0,0.014905805,0.290622963,3.34092191,3099.916276
Lake,2010,LDT1,Aggregate,Aggregate,Diesel,23.11216452,140278.616,140278.616,0,29596.05019,0,0.260041931,0,0,0.260041931,0.034403101,0,0,0.034403101,0.000309261,0.000556195,0.035268557,0.035958657,0,0,0.035958657,0.001237046,0.001589128,0.038784831,68.77047843,0,0,68.77047843,0.001868381,0,0,0.001868381,0.010782339,0,0,0.010782339,0.040225147,0,0,0.040225147,0,0,0,0.040225147,0.045793656,0,0,0.045793656,0,0,0,0.045793656,0.227032901,0,0,0.227032901,0.000648479,0,0,0.000648479,0.000479355,6.113485113
Lake,2010,LDT2,Aggregate,Aggregate,Gasoline,10521.08914,116897656.7,116897656.7,0,16521606.04,0,97.98576068,0,24.13492438,122.1206851,0.565335674,0,0.122575552,0.687911226,0.257715218,0.409850977,1.355477421,0.612092782,0,0.13236285,0.744455632,1.030860874,1.171002792,2.946319297,60888.44219,0,2503.802765,63392.24495,3.9538434,0,4.976106415,8.929949815,5.142236417,0,1.471561252,6.613797668,21.90115348,0,29.75883771,51.65999119,14.49669033,6.161856303,16.0428627,88.36140053,29.54125576,0,32.55954672,62.10080248,14.49669033,6.161856303,16.0428627,98.80221182,719.478115,0,289.5782527,1009.056368,0.601025121,0,0.024714844,0.625739966,5.259176257,6674.426144
Lake,2010,LDT2,Aggregate,Aggregate,Diesel,3.164404326,35031.89043,35031.89043,0,4945.25328,0,0.06746828,0,0,0.06746828,0.00332847,0,0,0.00332847,7.72321E-05,0.000115693,0.003521395,0.003478969,0,0,0.003478969,0.000308928,0.000330551,0.004118448,16.10538642,0,0,16.10538642,0.000228496,0,0,0.000228496,0.00252512,0,0,0.00252512,0.004919391,0,0,0.004919391,0,0,0,0.004919391,0.005600399,0,0,0.005600399,0,0,0,0.005600399,0.042561018,0,0,0.042561018,0.000151868,0,0,0.000151868,0.00011971,1.431719574
Lake,2010,LHDT1,Aggregate,Aggregate,Gasoline,2268.863751,21580977.28,21580977.28,0,11053479.39,0,27.87792048,0.033176398,6.733794553,34.64489144,0.154091124,0,0.017982316,0.17207344,0.047577911,0.649438481,0.869089832,0.167264616,0,0.019448772,0.186713388,0.190311643,1.855538517,2.232563548,25507.06996,102.5312975,321.6810526,25931.28232,1.804884136,0.08727256,0.620598499,2.512755194,1.314303604,0.002008079,0.431448403,1.747760086,10.1341731,0.376591992,3.743596158,14.25436125,4.236370097,1.474510725,8.128158492,28.09340056,14.46527619,0.547246362,4.094252094,19.10677465,4.236370097,1.474510725,8.128158492,32.94581396,198.4493082,2.941892688,51.24674684,252.6379477,0.251778322,0.001012079,0.003175289,0.25596569,1.040702053,2730.246086
Lake,2010,LHDT1,Aggregate,Aggregate,Diesel,2342.217312,26560773.33,26560773.33,0,9634122.161,0,168.90641,2.191792957,0,171.0982029,2.585918931,0.027816102,0,2.613735033,0.087834723,0.799295976,3.500865732,2.70284271,0.029073823,0,2.731916533,0.35133889,2.283702787,5.366958211,17281.12956,121.1631886,0,17402.29275,0.458671047,0.004304174,0,0.462975221,2.709461982,0.018996852,0,2.728458833,9.874917595,0.09266634,0,9.967583935,0,0,0,9.967583935,11.24193715,0.105494467,0,11.34743162,0,0,0,11.34743162,32.75026279,0.768066445,0,33.51832924,0.162954382,0.001142522,0,0.164096904,0.841449075,1547.010579
