Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Lassen,2010,HHDT,Aggregate,Aggregate,Gasoline,23.11071876,172932.3917,172932.3917,0,151204.5583,0,2.90691028,0,0.053104942,2.960015221,0.003177804,0,0.00228517,0.005462974,0.000953127,0.008130161,0.014546261,0.003346949,0,0.002397351,0.0057443,0.003812507,0.02322903,0.032785837,510.4508564,0,28.08116614,538.5320225,0.165124653,0,2.38004E-06,0.165127033,0.072046054,0,0.002251393,0.074297447,1.416299884,0,1.23826E-05,1.416312267,0.106574384,0.084867374,0.266228384,1.873982409,1.636478725,0,1.35574E-05,1.636492282,0.106574384,0.084867374,0.266228384,2.094162424,49.33379085,0,0.193083503,49.52687435,0.005038621,0,0.000277187,0.005315808,0.005225133,56.70081906
Lassen,2010,HHDT,Aggregate,Aggregate,Diesel,155.5599432,3441593.545,3441593.545,0,418101.4998,0,63.37836049,2.357145927,0.014485596,65.74999202,2.498370955,0.078313106,0,2.576684061,0.032746332,0.146059388,2.755489781,2.611336204,0.081854077,0,2.69319028,0.130985329,0.417312537,3.241488146,7276.888982,216.4261876,0,7493.315169,0.197283229,0.021048638,0,0.218331867,1.140923918,0.033932882,0,1.1748568,4.247453826,0.453171407,0,4.700625233,0,0,0,4.700625233,4.835402859,0.51590115,0,5.35130401,0,0,0,5.35130401,14.86450939,1.291766785,0,16.15627618,0.068574036,0.0020395,0,0.070613536,0.118921507,666.132791
Lassen,2010,LDA,Aggregate,Aggregate,Gasoline,18469.4338,210312866.1,210312866.1,0,29484262.33,0,85.54725465,0,23.44464264,108.9918973,0.867305493,0,0.176812821,1.044118314,0.463660502,0.681464098,2.189242914,0.940448041,0,0.190900984,1.131349025,1.854642009,1.94704028,4.933031314,84153.68305,0,3361.343843,87515.02689,5.178911328,0,7.395613494,12.57452482,5.410107136,0,1.766752678,7.176859814,27.91586978,0,43.64068436,71.55655414,19.07064329,8.470002167,23.52115351,122.6183531,37.90018914,0,47.74083799,85.64102713,19.07064329,8.470002167,23.52115351,136.7028261,872.1323814,0,411.2324222,1283.364804,0.830674521,0,0.033179566,0.863854087,8.729183027,9214.259314
Lassen,2010,LDA,Aggregate,Aggregate,Diesel,98.60822203,936382.2124,936382.2124,0,147995.7148,0,1.250849037,0,0,1.250849037,0.093144446,0,0,0.093144446,0.002064369,0.00303822,0.098247035,0.097356024,0,0,0.097356024,0.008257478,0.008680628,0.11429413,313.9602576,0,0,313.9602576,0.006521949,0,0,0.006521949,0.049224987,0,0,0.049224987,0.140413728,0,0,0.140413728,0,0,0,0.140413728,0.159851694,0,0,0.159851694,0,0,0,0.159851694,1.05923287,0,0,1.05923287,0.002960524,0,0,0.002960524,0.003199772,27.91010627
Lassen,2010,LDT1,Aggregate,Aggregate,Gasoline,4107.365728,35342988.06,35342988.06,0,5966481.034,0,39.24006718,0,7.156641015,46.3967082,0.399938758,0,0.093527383,0.493466141,0.077917951,0.145144495,0.716528587,0.431374769,0,0.100539434,0.531914203,0.311671804,0.414698556,1.258284564,16841.52181,0,969.7804905,17811.3023,2.599668722,0,2.367047226,4.966715948,1.943132006,0,0.41215423,2.355286237,17.15005353,0,15.66969651,32.81975004,9.595402409,4.605060139,11.38783811,58.4080507,21.60612501,0,17.12340227,38.72952728,9.595402409,4.605060139,11.38783811,64.31782795,421.9435188,0,171.413363,593.3568818,0.166241364,0,0.009572629,0.175813993,1.794656802,1875.311749
Lassen,2010,LDT1,Aggregate,Aggregate,Diesel,11.32054736,67793.32822,67793.32822,0,14595.63983,0,0.117468959,0,0,0.117468959,0.016218427,0,0,0.016218427,0.000149459,0.000297747,0.016665633,0.016951753,0,0,0.016951753,0.000597835,0.000850705,0.018400292,35.76449957,0,0,35.76449957,0.001008756,0,0,0.001008756,0.00560742,0,0,0.00560742,0.021717918,0,0,0.021717918,0,0,0,0.021717918,0.024724406,0,0,0.024724406,0,0,0,0.024724406,0.118664639,0,0,0.118664639,0.000337245,0,0,0.000337245,0.000231661,3.179354583
Lassen,2010,LDT2,Aggregate,Aggregate,Gasoline,8365.856068,94798707.18,94798707.18,0,13411124.01,0,65.77607306,0,18.39514255,84.17121561,0.386052208,0,0.075611268,0.461663475,0.208995374,0.367945002,1.038603852,0.4180559,0,0.081662466,0.499718366,0.835981498,1.051271435,2.386971298,50315.61703,0,1980.247011,52295.86404,2.684720125,0,3.854522392,6.539242518,3.494104272,0,1.144373288,4.63847756,15.06701234,0,22.97537953,38.04239187,8.120335256,3.516925962,10.01500598,59.69465906,20.21584269,0,25.1389708,45.35481349,8.120335256,3.516925962,10.01500598,67.00708068,475.6992367,0,222.3040875,698.0033241,0.496661579,0,0.019546866,0.516208445,3.836732787,5506.113287
Lassen,2010,LDT2,Aggregate,Aggregate,Diesel,0.411731744,3603.784696,3603.784696,0,579.1258639,0,0.005672982,0,0,0.005672982,0.000654491,0,0,0.000654491,7.94499E-06,1.45869E-05,0.000677023,0.000684084,0,0,0.000684084,3.17799E-05,4.1677E-05,0.000757541,1.850432497,0,0,1.850432497,4.32456E-05,0,0,4.32456E-05,0.000290124,0,0,0.000290124,0.000931052,0,0,0.000931052,0,0,0,0.000931052,0.00105994,0,0,0.00105994,0,0,0,0.00105994,0.005000278,0,0,0.005000278,1.74489E-05,0,0,1.74489E-05,1.23147E-05,0.164497787
Lassen,2010,LHDT1,Aggregate,Aggregate,Gasoline,1791.212106,18232320.35,18232320.35,0,8726450.01,0,20.43030427,0.026381855,5.904273399,26.36095953,0.106663654,0,0.012494906,0.119158559,0.040195386,0.548667017,0.708020963,0.115718047,0,0.013494973,0.12921302,0.160781544,1.56762005,1.857614613,21327.26892,80.98598274,257.4151429,21665.67005,1.181838967,0.071706053,0.496056793,1.749601813,0.96916888,0.001649936,0.390199394,1.36101821,6.652974224,0.300325966,2.959395823,9.912696013,2.585661739,0.930829837,5.504830096,18.93401769,9.393428527,0.436257887,3.235988781,13.0656752,2.585661739,0.930829837,5.504830096,22.08699687,131.9389116,2.339874474,41.11163178,175.3904179,0.210519828,0.000799406,0.002540925,0.21386016,0.886271929,2281.129414
Lassen,2010,LHDT1,Aggregate,Aggregate,Diesel,2341.750981,26963137.18,26963137.18,0,9632204.023,0,172.7319109,2.191356575,0,174.9232675,2.58886395,0.025614084,0,2.614478035,0.089165313,0.811404351,3.515047699,2.70592089,0.02677224,0,2.73269313,0.356661253,2.318298145,5.407652528,17489.6267,121.1390652,0,17610.76576,0.471074611,0.004303317,0,0.475377929,2.742151689,0.018993069,0,2.761144758,10.14195903,0.09264789,0,10.23460692,0,0,0,10.23460692,11.54594607,0.105473463,0,11.65141953,0,0,0,11.65141953,33.37692883,0.767913524,0,34.14484235,0.164920429,0.001142295,0,0.166062724,0.850330576,1565.543192
Lassen,2010,LHDT2,Aggregate,Aggregate,Gasoline,124.9589648,1351458.822,1351458.822,0,608776.6802,0,1.156964471,0.001865823,0.439773286,1.59860358,0.005469854,0,0.000560468,0.006030322,0.002979457,0.047447848,0.056457626,0.005947102,0,0.000608983,0.006556085,0.011917827,0.135565279,0.154039192,1783.821936,6.520789681,19.30256578,1809.645292,0.061694927,0.005288009,0.032768812,0.099751748,0.05676845,0.000123442,0.030585976,0.087477868,0.332792573,0.021251166,0.184700321,0.53874406,0.133967436,0.045124251,0.275686465,0.993522211,0.483582222,0.030997581,0.202198449,0.716778252,0.133967436,0.045124251,0.275686465,1.171556403,6.525547943,0.165535645,2.73792583,9.429009418,0.017607969,6.43662E-05,0.000190534,0.017862869,0.066641742,190.5334612
Lassen,2010,LHDT2,Aggregate,Aggregate,Diesel,396.4628195,4946513.737,4946513.737,0,1630750.151,0,25.50481591,0.371000765,0,25.87581668,0.482542797,0.003817527,0,0.486360324,0.016357794,0.173665248,0.676383366,0.504361241,0.003990139,0,0.50835138,0.065431176,0.496186422,1.069968978,4150.304722,32.73441856,0,4183.039141,0.083807397,0.00072856,0,0.084535956,0.650715152,0.005132342,0,0.655847494,1.804323909,0.015685461,0,1.82000937,0,0,0,1.82000937,2.05410281,0.017856855,0,2.071959665,0,0,0,2.071959665,5.384329063,0.130009195,0,5.514338259,0.039135772,0.000308673,0,0.039444445,0.16782512,371.8593807
Lassen,2010,MCY,Aggregate,Aggregate,Gasoline,1450.402029,2891390.45,2891390.45,0,1006579.008,0,3.585873508,0,0.333536122,3.91940963,0.010024146,0,0.008335346,0.018359492,0.003187212,0.013386292,0.034932997,0.01053945,0,0.008750617,0.019290067,0.01274885,0.038246549,0.070285465,720.4503583,0,88.53776205,808.9881204,1.268768216,0,0.416322439,1.685090656,0.202613777,0,0.018209482,0.220823259,9.932631464,0,3.406577277,13.33920874,2.841928802,3.599774769,4.2576477,24.03856001,11.24123592,0,3.697543976,14.93877989,2.841928802,3.599774769,4.2576477,25.63813116,98.5764023,0,12.23534818,110.8117505,0.00711151,0,0.000873949,0.007985459,0.023322713,85.17653011
Lassen,2010,MDV,Aggregate,Aggregate,Gasoline,8746.476114,97580110.2,97580110.2,0,14032486.56,0,72.79146378,0,20.75936067,93.55082444,0.38539387,0,0.088741481,0.474135351,0.215127318,0.385791261,1.075053931,0.418136534,0,0.096189493,0.514326027,0.860509274,1.102260747,2.477096048,58943.92913,0,2311.902832,61255.83196,2.991491999,0,4.828311031,7.81980303,3.918387981,0,1.241059887,5.159447868,16.058619,0,29.40398085,45.46259985,8.294881272,3.108419309,10.45673202,67.32263245,22.27245398,0,32.18302598,54.45547995,8.294881272,3.108419309,10.45673202,76.31551255,505.8250156,0,240.5468182,746.3718338,0.581830983,0,0.022820615,0.604651598,4.010909929,6449.488051
Lassen,2010,MDV,Aggregate,Aggregate,Diesel,20.82805566,150833.0085,150833.0085,0,28984.62946,0,0.158325739,0,0,0.158325739,0.021524777,0,0,0.021524777,0.00033253,0.000610995,0.022468302,0.022498032,0,0,0.022498032,0.001330119,0.0017457,0.025573851,89.66968068,0,0,89.66968068,0.001222737,0,0,0.001222737,0.014059069,0,0,0.014059069,0.026324801,0,0,0.026324801,0,0,0,0.026324801,0.029969036,0,0,0.029969036,0,0,0,0.029969036,0.165920112,0,0,0.165920112,0.00084555,0,0,0.00084555,0.000515421,7.971360247
Lassen,2010,MH,Aggregate,Aggregate,Gasoline,536.8559053,1262632.493,1262632.493,0,17562.21018,0,2.806346747,0,0.007355327,2.813702075,0.008757261,0,4.39078E-05,0.008801168,0.004175442,0.022176779,0.035153389,0.009419114,0,4.67373E-05,0.009465852,0.016701769,0.063362225,0.089529846,2686.481454,0,0.915494949,2687.396949,0.155223513,0,0.001703174,0.156926687,0.119118651,0,0.000490287,0.119608938,0.98305959,0,0.011618038,0.994677628,1.451038768,0.628433398,0.01220146,3.086351255,1.261560529,0,0.012650406,1.274210935,1.451038768,0.628433398,0.01220146,3.365884562,30.29005298,0,0.126537423,30.4165904,0.026518051,0,9.03678E-06,0.026527088,0.055499222,282.9499487
Lassen,2010,MH,Aggregate,Aggregate,Diesel,70.7810781,233766.8336,233766.8336,0,2314.541254,0,1.89540214,0,0,1.89540214,0.058315386,0,0,0.058315386,0.001030735,0.004094808,0.06344093,0.060952149,0,0,0.060952149,0.004122941,0.011699452,0.076774543,280.7141597,0,0,280.7141597,0.002143551,0,0,0.002143551,0.044012421,0,0,0.044012421,0.0461494,0,0,0.0461494,0,0,0,0.0461494,0.052538024,0,0,0.052538024,0,0,0,0.052538024,0.178072262,0,0,0.178072262,0.002647026,0,0,0.002647026,0.007513328,24.95462989
Lassen,2010,MHDT,Aggregate,Aggregate,Gasoline,128.9374951,993274.1986,993274.1986,0,843588.5182,0,3.592964363,0.003734685,0.552893205,4.149592253,0.010124736,0,0.00722161,0.017346346,0.003284692,0.017445791,0.038076829,0.010784813,0,0.007608821,0.018393634,0.013138769,0.049845116,0.081377519,2146.419778,25.74474776,94.44649816,2266.611024,0.225957471,0.007577362,0.197517402,0.431052235,0.136288371,0.000155689,0.022509132,0.158953192,1.679827939,0.048599386,1.776035708,3.504463033,0.44876818,0.278447531,1.162500508,5.394179253,2.079346182,0.062682562,1.928108487,4.07013723,0.44876818,0.278447531,1.162500508,5.95985345,42.58546253,0.712472153,6.145065589,49.44300027,0.021187144,0.000254124,0.000932274,0.022373543,0.041107699,238.64635
Lassen,2010,MHDT,Aggregate,Aggregate,Diesel,266.5928258,2917787.245,2917787.245,0,910822.6885,0,34.72473971,3.436649119,0.016359414,38.17774825,1.528012813,0.114853259,0,1.642866073,0.00964893,0.050503413,1.703018415,1.597102772,0.120046414,0,1.717149186,0.038595719,0.144295465,1.90004037,3948.678278,224.1743701,0,4172.852648,0.126893192,0.017591049,0,0.144484241,0.619102683,0.035147699,0,0.654250381,2.731975624,0.378730464,0,3.110706088,0,0,0,3.110706088,3.110146286,0.431155804,0,3.54130209,0,0,0,3.54130209,6.610704196,1.891253755,0,8.501957951,0.037210518,0.002112516,0,0.039323033,0.095850469,370.9538326
