Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Los Angeles,2010,HHDT,Aggregate,Aggregate,Gasoline,954.0714626,22153957.3,22153957.3,0,6242123.216,0,189.3168035,0,1.363172218,190.6799757,0.108074991,0,0.060845104,0.168920095,0.122102789,0.958955435,1.249978319,0.114258635,0,0.063878566,0.178137201,0.488411154,2.739872672,3.406421027,58136.19635,0,892.7207542,59028.9171,7.132061059,0,0.000764253,7.132825311,5.595870166,0,0.050028948,5.645899114,51.63064337,0,0.003953115,51.63459649,3.477368523,2.770028182,7.65950365,65.54149684,63.94370357,0,0.004328164,63.94803173,3.477368523,2.770028182,7.65950365,77.85493208,2069.948716,0,27.38411233,2097.332829,0.573857915,0,0.008811978,0.582669893,0.991619413,6215.02122
Los Angeles,2010,HHDT,Aggregate,Aggregate,Diesel,40032.68005,1680799952,1680799952,0,172191207.7,0,28478.20347,910.4102969,7.254740815,29395.86851,929.178914,20.18329232,0,949.3622063,16.40662233,71.05577519,1036.824604,971.1922613,21.09589124,0,992.2881525,65.62648931,203.0165005,1260.931142,3282361.556,87645.39662,0,3370006.953,76.73844244,5.725921359,0,82.4643638,514.63267,13.7416868,0,528.3743568,1652.157622,123.2775167,0,1775.435139,0,0,0,1775.435139,1880.855689,140.3420687,0,2021.197758,0,0,0,2021.197758,6147.418659,386.6148722,0,6534.033531,30.93145696,0.825929675,0,31.75738663,59.36410868,299583.3068
Los Angeles,2010,LDA,Aggregate,Aggregate,Gasoline,3649935.98,43642469423,43642469423,0,5922116212,0,13534.4729,0,3871.435148,17405.90805,147.7136393,0,28.34414204,176.0577813,96.21517536,148.2575083,420.530465,160.2147141,0,30.65355175,190.8682658,384.8607015,423.5928808,999.3218481,17002470.34,0,620220.2338,17622690.57,884.9912775,0,1123.483328,2008.474606,905.0873814,0,316.4091331,1221.496514,4529.925591,0,6328.241435,10858.16703,3674.202214,1514.113549,3847.447919,19893.93071,6225.354418,0,6924.870744,13150.22516,3674.202214,1514.113549,3847.447918,22185.98884,152551.7407,0,58856.12363,211407.8644,167.8300747,0,6.12214614,173.9522208,1703.845259,1855453.247
Los Angeles,2010,LDA,Aggregate,Aggregate,Diesel,14717.25935,120987709.6,120987709.6,0,20801266.68,0,147.9797901,0,0,147.9797901,17.76751619,0,0,17.76751619,0.266732242,0.417910176,18.4521586,18.57088443,0,0,18.57088443,1.066928966,1.194029073,20.83184247,42741.09094,0,0,42741.09094,1.160924222,0,0,1.160924222,6.701261081,0,0,6.701261081,24.994015,0,0,24.994015,0,0,0,24.994015,28.45402436,0,0,28.45402436,0,0,0,28.45402436,154.3298486,0,0,154.3298486,0.403031991,0,0,0.403031991,0.413434856,3799.552209
Los Angeles,2010,LDT1,Aggregate,Aggregate,Gasoline,397149.0938,4282736248,4282736248,0,611999941.3,0,3189.446731,0,594.2579275,3783.704659,32.69336921,0,5.211182092,37.90455131,9.441817215,18.18698524,65.53335376,35.35769296,0,5.632627211,40.99032017,37.76726886,51.96281497,130.720404,1945178.049,0,80092.65349,2025270.703,194.289716,0,161.2658552,355.5555713,175.0067072,0,39.38735015,214.3940574,1126.911885,0,958.0930924,2085.004977,735.1296317,288.7146686,792.8021372,3901.651415,1470.186692,0,1048.237279,2518.423971,735.1296317,288.7146686,792.8021372,4335.070408,31985.11209,0,10020.35633,42005.46843,19.20070265,0,0.790588412,19.99129106,211.7895469,213236.1733
Los Angeles,2010,LDT1,Aggregate,Aggregate,Diesel,775.74733,7071087.583,7071087.583,0,1077396.407,0,11.25210322,0,0,11.25210322,1.380903328,0,0,1.380903328,0.01558908,0.031657807,1.428150215,1.443341649,0,0,1.443341649,0.062356319,0.090450877,1.596148844,3841.135308,0,0,3841.135308,0.088631335,0,0,0.088631335,0.602241309,0,0,0.602241309,1.908180467,0,0,1.908180467,0,0,0,1.908180467,2.172336597,0,0,2.172336597,0,0,0,2.172336597,11.34216312,0,0,11.34216312,0.036220423,0,0,0.036220423,0.024163067,341.4651761
Los Angeles,2010,LDT2,Aggregate,Aggregate,Gasoline,1172290.983,14097837094,14097837094,0,1911956182,0,7873.449193,0,2287.164609,10160.6138,46.71287486,0,7.924846024,54.63772088,31.08041058,57.50381439,143.2219459,50.61184128,0,8.585294922,59.1971362,124.3216423,164.2966126,347.8153911,7286613.377,0,259563.8724,7546177.249,335.5758164,0,423.150752,758.7265684,448.0069125,0,153.2005765,601.207489,1750.894271,0,2375.616331,4126.510602,953.2326875,380.9187664,999.0212498,6459.683306,2387.087537,0,2600.279196,4987.366733,953.2326875,380.9187664,999.0212498,7320.539437,60357.71542,0,21823.25441,82180.96983,71.92559921,0,2.562134985,74.4877342,564.8861164,794519.9411
Los Angeles,2010,LDT2,Aggregate,Aggregate,Diesel,94.54523876,991082.7005,991082.7005,0,140785.0815,0,1.446393565,0,0,1.446393565,0.132258677,0,0,0.132258677,0.002184963,0.004191877,0.138635517,0.138238828,0,0,0.138238828,0.008739853,0.011976791,0.158955472,498.8644916,0,0,498.8644916,0.008881962,0,0,0.008881962,0.078215626,0,0,0.078215626,0.191223405,0,0,0.191223405,0,0,0,0.191223405,0.217695134,0,0,0.217695134,0,0,0,0.217695134,1.306422357,0,0,1.306422357,0.0047041,0,0,0.0047041,0.003386692,44.34752692
Los Angeles,2010,LHDT1,Aggregate,Aggregate,Gasoline,130112.4137,1415524532,1415524532,0,633883318.8,0,974.6709152,1.943707118,428.50059,1405.115212,3.322895791,0,0.66643931,3.989335101,3.120697405,42.59751958,49.70755209,3.606123579,0,0.7211588,4.327282378,12.48278962,121.7071988,138.5172708,1305971.977,5888.473057,17194.009,1329054.459,39.76807123,5.688564061,31.08054979,76.53718508,49.94762065,0.134971913,31.01772586,81.10031843,211.6890968,22.18220973,168.1827923,402.0540989,157.497271,56.62719141,277.750726,893.9292872,301.254824,32.2916667,184.0024897,517.5489805,157.497271,56.62719141,277.750726,1009.424169,5577.436354,172.4392334,2202.165367,7952.040955,12.89114876,0.058124664,0.169720738,13.11899416,69.13384405,139933.1391
Los Angeles,2010,LHDT1,Aggregate,Aggregate,Diesel,38766.91847,469900119.4,469900119.4,0,159457974.4,0,2685.155864,36.27718846,0,2721.433052,32.55285139,0.429557078,0,32.98240847,1.55392865,14.14075071,48.67708783,34.02474688,0.448979743,0,34.47372662,6.215714599,40.4021449,81.09158612,245030.5026,2005.417443,0,247035.92,5.335723239,0.071240007,0,5.406963245,38.41767569,0.314424025,0,38.73209972,114.8749799,1.533755397,0,116.4087353,0,0,0,116.4087353,130.7775272,1.746078548,0,132.5236057,0,0,0,132.5236057,411.6160629,12.71255622,0,424.3286191,2.310543067,0.018910312,0,2.329453379,15.30951685,21960.73743
