Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Madera,2010,HHDT,Aggregate,Aggregate,Gasoline,43.7440414,1029646.23,1029646.23,0,286200.4651,0,9.52581175,0,0.079169665,9.604981415,0.010319746,0,0.002960037,0.013279783,0.005674953,0.046782518,0.065737254,0.010929506,0,0.00311344,0.014042946,0.022699814,0.133664336,0.170407095,3166.814372,0,39.97067433,3206.785046,0.674322137,0,3.27381E-06,0.674325411,0.277871583,0,0.002413583,0.280285166,5.269573711,0,1.77705E-05,5.269591482,0.201508159,0.117112778,0.4254197,6.013632118,6.577240603,0,1.94565E-05,6.57726006,0.201508159,0.117112778,0.4254197,7.321300696,186.4886874,0,0.567815158,187.0565026,0.031259381,0,0.000394547,0.031653928,0.039713875,337.6351471
Madera,2010,HHDT,Aggregate,Aggregate,Diesel,2666.291867,126019848.2,126019848.2,0,13612408.81,0,2094.13853,59.7503518,0.772181935,2154.661063,76.58654571,1.478876532,0,78.06542225,1.24409925,4.864422492,84.17394399,80.04944946,1.545744766,0,81.59519423,4.976397002,13.89834998,100.4699412,232862.2921,6944.826942,0,239807.119,6.241914946,0.405932611,0,6.647847557,36.50985459,1.088860801,0,37.59871539,134.3867171,8.739617792,0,143.1263349,0,0,0,143.1263349,152.9890478,9.949389585,0,162.9384373,0,0,0,162.9384373,470.901728,24.36698278,0,495.2687108,2.194386524,0.065444837,0,2.25983136,4.6419614,21318.11914
Madera,2010,LDA,Aggregate,Aggregate,Gasoline,53469.79532,644186652.4,644186652.4,0,85773669.99,0,220.0818626,0,62.9292333,283.0110959,1.787579205,0,0.464114386,2.251693591,1.420188467,1.058473604,4.730355661,1.938770544,0,0.501413451,2.440183994,5.680753867,3.024210296,11.14514816,247668.379,0,9317.70205,256986.0811,11.20222341,0,18.71043148,29.91265489,14.60203569,0,4.983562928,19.58559862,56.94470256,0,105.6915693,162.6362718,63.35859957,25.05297818,63.8470604,314.89491,78.1648711,0,115.6404559,193.805327,63.35859957,25.05297818,63.8470604,346.0639651,2147.786471,0,982.9744605,3130.760931,2.444715487,0,0.091974319,2.536689806,26.6940328,27057.48344
Madera,2010,LDA,Aggregate,Aggregate,Diesel,263.9724031,2251475.971,2251475.971,0,379122.5277,0,3.652949656,0,0,3.652949656,0.246283811,0,0,0.246283811,0.004963655,0.003750823,0.254998288,0.257419672,0,0,0.257419672,0.019854619,0.010716636,0.287990927,729.4742697,0,0,729.4742697,0.016425553,0,0,0.016425553,0.114372315,0,0,0.114372315,0.353632493,0,0,0.353632493,0,0,0,0.353632493,0.402587083,0,0,0.402587083,0,0,0,0.402587083,3.163871363,0,0,3.163871363,0.006878661,0,0,0.006878661,0.007693663,64.84803058
Madera,2010,LDT1,Aggregate,Aggregate,Gasoline,8561.889238,82312204.5,82312204.5,0,12834448.84,0,67.69679167,0,13.82869168,81.52548335,0.526691187,0,0.144157181,0.670848368,0.181467348,0.171437322,1.023753038,0.568977287,0,0.155155089,0.724132376,0.725869392,0.489820919,1.939822688,36812.72138,0,1813.868108,38626.58949,3.339217169,0,4.006436625,7.345653794,3.635323667,0,0.868098988,4.503422655,20.02890765,0,24.56277213,44.59167978,20.27209877,8.329974525,20.58184011,93.77559319,25.77782713,0,26.8553787,52.63320583,20.27209877,8.329974525,20.58184011,101.8171192,626.5855231,0,255.1299813,881.7155044,0.363375536,0,0.017904552,0.381280089,4.285160613,4066.906275
Madera,2010,LDT1,Aggregate,Aggregate,Diesel,29.11681971,193501.3925,193501.3925,0,38691.03662,0,0.376634284,0,0,0.376634284,0.035927841,0,0,0.035927841,0.000426598,0.000428918,0.036783357,0.037552339,0,0,0.037552339,0.00170639,0.001225481,0.04048421,95.85761725,0,0,95.85761725,0.002101145,0,0,0.002101145,0.015029259,0,0,0.015029259,0.045236417,0,0,0.045236417,0,0,0,0.045236417,0.051498653,0,0,0.051498653,0,0,0,0.051498653,0.360279733,0,0,0.360279733,0.0009039,0,0,0.0009039,0.000661226,8.521448875
Madera,2010,LDT2,Aggregate,Aggregate,Gasoline,23366.93659,263554630.2,263554630.2,0,37213966.98,0,185.6576603,0,51.74927305,237.4069334,0.849474693,0,0.217878689,1.067353382,0.5810385,0.529383932,2.177775815,0.9202964,0,0.235442231,1.15573863,2.324154,1.512525521,4.992418151,135474.0806,0,5398.250002,140872.3306,6.144387389,0,10.16162951,16.3060169,10.08310672,0,3.253590795,13.33669752,32.57484119,0,58.90984754,91.48468874,29.48507353,11.33560843,30.24559426,162.550965,44.32057009,0,64.46381095,108.784381,29.48507353,11.33560843,30.24559426,179.8506573,1214.395842,0,553.7489616,1768.144803,1.337254211,0,0.05328571,1.390539921,11.50286413,14832.12918
Madera,2010,LDT2,Aggregate,Aggregate,Diesel,2.653167872,23237.42847,23237.42847,0,3705.137234,0,0.016462495,0,0,0.016462495,0.002333814,0,0,0.002333814,5.12298E-05,4.43733E-05,0.002429417,0.002439339,0,0,0.002439339,0.000204919,0.000126781,0.002771039,10.65735387,0,0,10.65735387,0.000157638,0,0,0.000157638,0.001670938,0,0,0.001670938,0.00339386,0,0,0.00339386,0,0,0,0.00339386,0.003863684,0,0,0.003863684,0,0,0,0.003863684,0.016296753,0,0,0.016296753,0.000100495,0,0,0.000100495,7.94061E-05,0.94740615
Madera,2010,LHDT1,Aggregate,Aggregate,Gasoline,3526.144079,36142906.62,36142906.62,0,17178713.75,0,33.79232824,0.052289822,11.46978671,45.31440478,0.190587139,0,0.021805603,0.212392742,0.07968147,1.087652059,1.379726272,0.206838128,0,0.023573823,0.230411951,0.318725879,3.107577313,3.656715143,42471.88757,159.5016306,477.5252232,43108.91442,1.982766809,0.144857865,0.887161439,3.014786114,1.682881214,0.003385701,0.771381768,2.457648683,10.97522504,0.595957957,5.0802394,16.65142239,5.513114703,1.849230476,9.46944122,33.48320879,15.56772631,0.866650794,5.55657791,21.99095501,5.513114703,1.849230476,9.46944122,38.82274141,209.9357901,4.638388055,65.89847579,280.4726539,0.41923673,0.001574428,0.004713615,0.425524773,1.75861314,4538.840132
Madera,2010,LHDT1,Aggregate,Aggregate,Diesel,3420.215036,40361810.91,40361810.91,0,14068194.83,0,245.9624053,3.200558372,0,249.1629637,3.893725132,0.036763578,0,3.93048871,0.133473842,1.214611963,5.278574515,4.069782104,0.038425863,0,4.108207968,0.533895369,3.470319894,8.112423231,26281.77064,176.928143,0,26458.69879,0.69658048,0.006285156,0,0.702865637,4.120648371,0.027740089,0,4.14838846,14.99696762,0.135315714,0,15.13228334,0,0,0,15.13228334,17.07305057,0.154047945,0,17.22709851,0,0,0,17.22709851,48.42821289,1.121566471,0,49.54977936,0.247826953,0.001668364,0,0.249495318,1.297323421,2352.097366
