Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Marin,2010,HHDT,Aggregate,Aggregate,Gasoline,34.10708081,720617.4706,720617.4706,0,223149.5326,0,7.383621019,0,0.035838693,7.419459712,0.004416099,0,0.002033962,0.006450061,0.003971724,0.032779992,0.043201777,0.004675746,0,0.002136236,0.006811983,0.015886896,0.09365712,0.116355998,2126.880297,0,30.71842372,2157.598721,0.309618233,0,2.89375E-06,0.309621126,0.205661344,0,0.000752288,0.206413631,2.327279966,0,1.56882E-05,2.327295654,0.103798867,0.084170025,0.264611173,2.779875719,2.89563648,0,1.71766E-05,2.895653656,0.103798867,0.084170025,0.264611173,3.348233721,77.29617195,0,1.09525672,78.39142867,0.020994272,0,0.000303219,0.021297491,0.032332292,227.1686911
Marin,2010,HHDT,Aggregate,Aggregate,Diesel,670.6203921,22126368.6,22126368.6,0,2415219.382,0,374.342361,12.70266621,0.097922888,387.1429501,12.63011357,0.268588669,0,12.89870224,0.214200776,0.941346337,14.05424935,13.20119126,0.280733056,0,13.48192432,0.856803102,2.689560963,17.02828838,46811.43543,1157.042134,0,47968.47756,1.029816691,0.077066743,0,1.106883433,7.339439482,0.181409535,0,7.520849017,22.17167096,1.659225833,0,23.83089679,0,0,0,23.83089679,25.24075965,1.888902309,0,27.12966196,0,0,0,27.12966196,76.59655235,5.380512841,0,81.97706519,0.441129314,0.01090343,0,0.452032743,0.781842225,4264.250885
Marin,2010,LDA,Aggregate,Aggregate,Gasoline,130624.436,1346354876,1346354876,0,210418168.9,0,454.8277118,0,155.0591063,609.8868181,4.033484506,0,1.097848515,5.131333022,2.968204418,3.561146469,11.66068391,4.370695999,0,1.186331536,5.557027535,11.87281767,10.1747042,27.6045494,500610.2714,0,22788.632,523398.9034,24.655152,0,44.92773735,69.58288935,29.53610237,0,12.13586699,41.67196935,132.4413298,0,257.5653716,390.0067015,117.1053811,56.8252652,141.2556835,705.1930313,178.2377283,0,281.8166988,460.0544271,117.1053811,56.8252652,141.2556835,775.2407569,4310.750577,0,2413.059511,6723.810087,4.941485418,0,0.224944831,5.166430248,54.15109825,55107.48717
Marin,2010,LDA,Aggregate,Aggregate,Diesel,1166.431359,9612833.217,9612833.217,0,1731098.145,0,12.32076331,0,0,12.32076331,0.94047223,0,0,0.94047223,0.02119267,0.025483422,0.987148322,0.982996211,0,0,0.982996211,0.084770678,0.072809778,1.140576667,3087.593101,0,0,3087.593101,0.063443309,0,0,0.063443309,0.484095446,0,0,0.484095446,1.3658971,0,0,1.3658971,0,0,0,1.3658971,1.554983037,0,0,1.554983037,0,0,0,1.554983037,10.88701243,0,0,10.88701243,0.029114811,0,0,0.029114811,0.032848628,274.4775795
Marin,2010,LDT1,Aggregate,Aggregate,Gasoline,15242.73828,145807889.7,145807889.7,0,23642599.66,0,90.01484846,0,22.75042672,112.7652752,0.74148329,0,0.191120198,0.932603488,0.321451372,0.465589391,1.719644251,0.802505871,0,0.206305718,1.008811589,1.285805489,1.330255402,3.62487248,62550.03371,0,3128.551549,65678.58526,4.458268801,0,6.401707187,10.85997599,5.067514145,0,1.523770262,6.591284407,25.47363506,0,38.34851873,63.82215379,22.37553537,10.36386809,27.34112476,123.902682,33.57934592,0,41.94958353,75.52892944,22.37553537,10.36386809,27.34112476,135.6094577,787.4185455,0,400.6607135,1188.079259,0.617426563,0,0.030881691,0.648308255,6.884924205,6915.149746
Marin,2010,LDT1,Aggregate,Aggregate,Diesel,38.53235915,208286.1878,208286.1878,0,49760.5303,0,0.381396359,0,0,0.381396359,0.050211822,0,0,0.050211822,0.000459192,0.000752647,0.051423661,0.052482177,0,0,0.052482177,0.00183677,0.002150419,0.056469367,100.4060895,0,0,100.4060895,0.003091036,0,0,0.003091036,0.015742402,0,0,0.015742402,0.06654819,0,0,0.06654819,0,0,0,0.06654819,0.07576069,0,0,0.07576069,0,0,0,0.07576069,0.414226923,0,0,0.414226923,0.000946791,0,0,0.000946791,0.000711748,8.925794143
Marin,2010,LDT2,Aggregate,Aggregate,Gasoline,40450.81025,442421656.2,442421656.2,0,66054826.42,0,230.5391631,0,81.76121614,312.3003792,1.096095211,0,0.267978181,1.364073392,0.975372792,1.366627734,3.706073918,1.189340585,0,0.290379855,1.47972044,3.901491167,3.904650669,9.285862276,217196.1167,0,9079.675713,226275.7924,7.499933866,0,15.31141498,22.81134885,13.12506653,0,5.421130458,18.54619699,37.68547853,0,86.40762437,124.0931029,27.93340178,12.5487712,33.52067117,198.0959471,52.4662712,0,94.57974266,147.0460139,27.93340178,12.5487712,33.52067117,221.048858,1455.079334,0,816.4144044,2271.493738,2.143926133,0,0.089624779,2.233550912,17.33707666,23824.06658
Marin,2010,LDT2,Aggregate,Aggregate,Diesel,8.657135164,77161.20803,77161.20803,0,12937.08041,0,0.123239113,0,0,0.123239113,0.008337001,0,0,0.008337001,0.000170111,0.00023511,0.008742223,0.008713963,0,0,0.008713963,0.000680445,0.000671744,0.010066152,36.12623199,0,0,36.12623199,0.000512789,0,0,0.000512789,0.005664135,0,0,0.005664135,0.01104005,0,0,0.01104005,0,0,0,0.01104005,0.012568363,0,0,0.012568363,0,0,0,0.012568363,0.089270252,0,0,0.089270252,0.000340656,0,0,0.000340656,0.000263673,3.211511488
Marin,2010,LHDT1,Aggregate,Aggregate,Gasoline,4308.451275,45651038.08,45651038.08,0,20989967.94,0,36.50556833,0.064358092,14.6382541,51.20818052,0.201147776,0,0.020969365,0.22211714,0.100643311,1.373781199,1.69654165,0.218626277,0,0.022760594,0.241386871,0.402573245,3.925089139,4.569049256,53517.8048,194.9864329,567.3903824,54280.18162,1.912247079,0.182046777,1.059281881,3.153575737,1.872576651,0.004276436,1.004503652,2.88135674,10.15585078,0.733463248,5.813621697,16.70293573,4.562807238,1.775932815,9.266934821,32.3086106,14.67835197,1.069314625,6.363368112,22.1110347,4.562807238,1.775932815,9.266934821,37.71670958,192.6323108,5.709848908,77.27872,275.6208797,0.528270128,0.001924696,0.005600667,0.53579549,2.23959494,5715.037598
Marin,2010,LHDT1,Aggregate,Aggregate,Diesel,2411.014304,28207125.43,28207125.43,0,9917101.293,0,170.0867078,2.256171596,0,172.3428794,2.846105913,0.027702999,0,2.873808912,0.0932791,0.848839812,3.815927824,2.974794193,0.028955605,0,3.003749798,0.373116401,2.425256606,5.802122805,18455.16113,124.7220654,0,18579.8832,0.496695308,0.004430599,0,0.501125907,2.893535245,0.019554838,0,2.913090083,10.69355754,0.09538819,0,10.78894573,0,0,0,10.78894573,12.1739043,0.108593113,0,12.28249742,0,0,0,12.28249742,34.43429024,0.790626547,0,35.22491679,0.174025047,0.001176081,0,0.175201127,0.903740575,1651.694767
