Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Mariposa,2010,HHDT,Aggregate,Aggregate,Gasoline,4.41288771,18286.84499,18286.84499,0,28871.82974,0,0.312980658,0,0,0.312980658,0.000568957,0,0.000443279,0.001012236,0.000100789,0.000863749,0.001976774,0.000598479,0,0.00046533,0.00106381,0.000403156,0.002467856,0.003934821,60.10256201,0,5.298140877,65.40070289,0.024516421,0,0,0.024516421,0.007808808,0,0,0.007808808,0.220653804,0,0,0.220653804,0.021769379,0.019313543,0.05256859,0.314305317,0.245882513,0,0,0.245882513,0.021769379,0.019313543,0.05256859,0.339534025,8.933568876,0,0,8.933568876,0.000593268,0,5.22975E-05,0.000645565,0.000148776,6.88589214
Mariposa,2010,HHDT,Aggregate,Aggregate,Diesel,74.80987466,1182444.848,1182444.848,0,160952.0385,0,20.49980346,0.820232153,0.005766756,21.32580237,0.84112094,0.028296501,0,0.86941744,0.010950166,0.055343025,0.935710632,0.879152696,0.029575943,0,0.908728639,0.043800665,0.158122929,1.110652233,2905.851813,75.90694572,0,2981.758759,0.063703788,0.007786842,0,0.07149063,0.455600717,0.011901247,0,0.467501963,1.371525092,0.167648567,0,1.539173659,0,0,0,1.539173659,1.561376915,0.190855132,0,1.752232047,0,0,0,1.752232047,5.100246062,0.483199228,0,5.583445291,0.027383403,0.000715312,0,0.028098715,0.039472194,265.0692303
Mariposa,2010,LDA,Aggregate,Aggregate,Gasoline,5337.844328,60406813.89,60406813.89,0,8360109.653,0,28.61701377,0,7.043614023,35.66062779,0.305566605,0,0.063320954,0.368887559,0.133174228,0.2079001,0.709961888,0.330924462,0,0.068360905,0.399285367,0.532696914,0.594000287,1.525982567,23922.58154,0,981.6119038,24904.19344,1.868658015,0,2.229858523,4.098516538,1.755497996,0,0.514588618,2.270086614,10.48461406,0,13.3082773,23.79289136,7.128258531,3.178530488,8.332992707,42.43267308,13.96042053,0,14.55770703,28.51812756,7.128258531,3.178530488,8.332992707,47.15790928,303.490743,0,125.4290695,428.9198126,0.236137959,0,0.009689415,0.245827375,2.644936614,2622.106221
Mariposa,2010,LDA,Aggregate,Aggregate,Diesel,54.70405893,514252.3218,514252.3218,0,79674.18497,0,0.754748877,0,0,0.754748877,0.061162565,0,0,0.061162565,0.001133732,0.001778469,0.064074767,0.063928065,0,0,0.063928065,0.004534929,0.005081341,0.073544335,171.5521485,0,0,171.5521485,0.004277845,0,0,0.004277845,0.026897202,0,0,0.026897202,0.092099495,0,0,0.092099495,0,0,0,0.092099495,0.104849151,0,0,0.104849151,0,0,0,0.104849151,0.619459321,0,0,0.619459321,0.001617671,0,0,0.001617671,0.001757285,15.2504611
Mariposa,2010,LDT1,Aggregate,Aggregate,Gasoline,1935.891286,16432295.02,16432295.02,0,2781704.807,0,18.60501056,0,3.468791126,22.07380169,0.188899271,0,0.045639766,0.234539037,0.036227009,0.071116795,0.341882841,0.204274767,0,0.049152079,0.253426846,0.144908037,0.203190843,0.601525726,7648.304111,0,448.9433089,8097.24742,1.103454884,0,1.077600607,2.181055491,0.939136577,0,0.197542672,1.136679249,6.747837239,0,7.03815813,13.78599537,5.080682738,2.304022715,5.754882635,26.92558346,8.815112936,0,7.693659106,16.50877204,5.080682738,2.304022715,5.754882635,29.64836013,188.1708276,0,79.67656772,267.8473953,0.075495821,0,0.004431485,0.079927305,0.894141315,852.5408734
Mariposa,2010,LDT1,Aggregate,Aggregate,Diesel,6.201294988,34314.89541,34314.89541,0,7945.221136,0,0.055203882,0,0,0.055203882,0.009148508,0,0,0.009148508,7.56514E-05,0.000163223,0.009387382,0.009562163,0,0,0.009562163,0.000302606,0.000466351,0.010331119,15.80451657,0,0,15.80451657,0.000615299,0,0,0.000615299,0.002477948,0,0,0.002477948,0.013247016,0,0,0.013247016,0,0,0,0.013247016,0.015080846,0,0,0.015080846,0,0,0,0.015080846,0.071034474,0,0,0.071034474,0.00014903,0,0,0.00014903,0.00011726,1.404973165
Mariposa,2010,LDT2,Aggregate,Aggregate,Gasoline,2854.45865,30828195.08,30828195.08,0,4462414.129,0,26.51440704,0,6.650541377,33.16494842,0.16508475,0,0.035173578,0.200258328,0.067964536,0.126835908,0.395058773,0.178865149,0,0.037970792,0.216835942,0.271858145,0.36238831,0.851082397,16302.09027,0,692.781905,16994.87218,1.101306365,0,1.410809357,2.512115722,1.369471989,0,0.396465194,1.765937183,6.102485809,0,8.617184287,14.7196701,3.970895388,1.747573403,4.669199793,25.10733868,8.301522848,0,9.427578634,17.72910148,3.970895388,1.747573403,4.669199793,28.11677007,195.6244205,0,85.88697058,281.511391,0.160916677,0,0.006838397,0.167755074,1.373332316,1789.351667
Mariposa,2010,LHDT1,Aggregate,Aggregate,Gasoline,611.0710576,5751421.915,5751421.915,0,2977023.782,0,7.565802239,0.008938888,1.819488147,9.394229274,0.041595221,0,0.004740695,0.046335916,0.012679715,0.173078108,0.232093739,0.045176257,0,0.005136107,0.050312363,0.050718859,0.49450888,0.595540102,6796.296321,27.61531684,85.90369716,6909.815335,0.478808518,0.023451409,0.166015102,0.66827503,0.355754633,0.000537484,0.11587237,0.472164488,2.672953915,0.101341085,0.987797303,3.762092303,1.084945257,0.373893532,2.169101492,7.390032584,3.833155304,0.147461229,1.080697026,5.061313559,1.084945257,0.373893532,2.169101492,8.68925384,51.95291239,0.792625529,13.97402746,66.71956538,0.067085717,0.000272589,0.000847949,0.068206255,0.277340323,727.5188339
Mariposa,2010,LHDT1,Aggregate,Aggregate,Diesel,754.8091641,8396536.866,8396536.866,0,3104717.763,0,56.76014002,0.706333012,0,57.46647303,0.773356244,0.008589394,0,0.781945638,0.027766793,0.252677813,1.062390244,0.808323982,0.008977768,0,0.81730175,0.111067171,0.72193661,1.65030553,5471.082452,39.04637056,0,5510.128823,0.144971512,0.001387075,0,0.146358586,0.857796352,0.006121976,0,0.863918328,3.121151295,0.029862901,0,3.151014196,0,0,0,3.151014196,3.553223242,0.033996927,0,3.587220168,0,0,0,3.587220168,10.52168702,0.24751913,0,10.76920615,0.051590196,0.000368192,0,0.051958388,0.263440749,489.8335929
Mariposa,2010,LHDT2,Aggregate,Aggregate,Gasoline,38.05286204,383044.5846,383044.5846,0,185386.4192,0,0.422115408,0.000562117,0.122523096,0.545200621,0.002216362,0,0.000331861,0.002548224,0.000844469,0.013448165,0.016840858,0.002391439,0,0.000354363,0.002745802,0.003377875,0.038423328,0.044547006,509.0537523,1.984474265,6.509675116,517.5479017,0.025390313,0.001528162,0.012422805,0.03934128,0.020007743,3.53819E-05,0.008212009,0.028255134,0.154025654,0.006470512,0.07875255,0.239248715,0.052653894,0.025244159,0.108377755,0.425524524,0.206500934,0.0093042,0.085951607,0.30175674,0.052653894,0.025244159,0.108377755,0.488032548,3.283992082,0.049865714,0.824400172,4.158257969,0.00502483,1.95886E-05,6.42565E-05,0.005108675,0.018453795,54.49144842
