Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Mendocino,2010,HHDT,Aggregate,Aggregate,Gasoline,44.36273473,478587.7919,478587.7919,0,290248.338,0,7.271026539,0,0.1415997,7.412626239,0.004869534,0,0.003115059,0.007984593,0.002637764,0.022539945,0.033162301,0.005157398,0,0.003275864,0.008433262,0.010551055,0.064399841,0.083384158,1315.787134,0,42.10880713,1357.895941,0.290750095,0,3.97739E-06,0.290754073,0.186035002,0,0.002564553,0.188599555,2.258084269,0,2.07185E-05,2.258104987,0.172971073,0.137287788,0.451452299,3.019816146,2.758441705,0,2.26842E-05,2.758464389,0.172971073,0.137287788,0.451452299,3.520175548,78.90228264,0,0.910136071,79.81241871,0.012988033,0,0.000415653,0.013403686,0.01835608,142.9697935
Mendocino,2010,HHDT,Aggregate,Aggregate,Diesel,1306.890359,58487439.48,58487439.48,0,5973081.199,0,987.8745826,26.46453144,0.223756496,1014.56287,37.8670948,0.753872146,0,38.62096694,0.569213337,2.266914933,41.45709521,39.57927679,0.787958899,0,40.36723569,2.276853346,6.47689981,49.12098885,111120.9553,3091.832321,0,114212.7876,3.009834707,0.20230606,0,3.212140767,17.42235672,0.484760102,0,17.90711683,64.80091587,4.355593994,0,69.15650987,0,0,0,69.15650987,73.77090999,4.958512209,0,78.7294222,0,0,0,78.7294222,230.6688879,11.58113229,0,242.2500202,1.047152481,0.029135998,0,1.076288478,2.107688877,10153.16736
Mendocino,2010,LDA,Aggregate,Aggregate,Gasoline,49159.01216,550273076.3,550273076.3,0,78215590.52,0,231.9704976,0,62.81067547,294.781173,2.142869457,0,0.474401099,2.617270555,1.213144472,1.615914554,5.446329582,2.321767992,0,0.512871379,2.834639371,4.852577889,4.616898726,12.30411599,206617.755,0,8828.367902,215446.1229,13.17653013,0,19.31147651,32.48800663,14.5848181,0,4.754037553,19.33885566,71.55660566,0,111.8778955,183.4345011,52.16213063,24.19739994,65.88093783,325.6749695,96.04835512,0,122.4138743,218.4622294,52.16213063,24.19739994,65.88093783,360.7026978,2246.565416,0,1062.128829,3308.694245,2.039507939,0,0.087144139,2.126652079,23.75512399,22683.83516
Mendocino,2010,LDA,Aggregate,Aggregate,Diesel,710.078129,6616956.601,6616956.601,0,1044475.915,0,10.61556486,0,0,10.61556486,0.773788171,0,0,0.773788171,0.014587892,0.019593883,0.807969946,0.808775438,0,0,0.808775438,0.058351569,0.055982522,0.923109529,2128.561333,0,0,2128.561333,0.052453267,0,0,0.052453267,0.333731426,0,0,0.333731426,1.129287966,0,0,1.129287966,0,0,0,1.129287966,1.285619269,0,0,1.285619269,0,0,0,1.285619269,8.188197401,0,0,8.188197401,0.020071512,0,0,0.020071512,0.022611226,189.2225897
Mendocino,2010,LDT1,Aggregate,Aggregate,Gasoline,11645.28212,109078065.7,109078065.7,0,17293608.16,0,107.0482645,0,20.25455449,127.3028189,0.944367107,0,0.209692392,1.154059499,0.240475971,0.396433463,1.790968934,1.020141294,0,0.226211915,1.24635321,0.961903885,1.132667039,3.340924133,48006.9013,0,2565.461325,50572.36263,5.906727601,0,6.07040283,11.97713043,5.562144744,0,1.231283023,6.793427768,36.18140568,0,37.7307054,73.91211107,23.71497546,10.971891,29.44067015,138.0396477,46.46686281,0,41.26460599,87.7314688,23.71497546,10.971891,29.44067015,151.8590054,1005.034518,0,415.341066,1420.375584,0.473872424,0,0.025323471,0.499195895,5.83164582,5324.64972
Mendocino,2010,LDT1,Aggregate,Aggregate,Diesel,40.85446628,247336.5822,247336.5822,0,51601.65905,0,0.461211984,0,0,0.461211984,0.068108993,0,0,0.068108993,0.000545284,0.000984264,0.06963854,0.071188579,0,0,0.071188579,0.002181135,0.002812183,0.076181897,116.0922877,0,0,116.0922877,0.004064106,0,0,0.004064106,0.018201799,0,0,0.018201799,0.087497809,0,0,0.087497809,0,0,0,0.087497809,0.099610438,0,0,0.099610438,0,0,0,0.099610438,0.436263274,0,0,0.436263274,0.001094705,0,0,0.001094705,0.00084519,10.32024917
Mendocino,2010,LDT2,Aggregate,Aggregate,Gasoline,20168.03483,227089195.4,227089195.4,0,32220614.97,0,164.079892,0,45.12226812,209.2021601,0.865000683,0,0.185320237,1.05032092,0.500645977,0.782240825,2.333207722,0.936621299,0,0.200458901,1.1370802,2.00258391,2.234973785,5.374637895,113411.4558,0,4732.675093,118144.1309,6.112978047,0,9.14978719,15.26276524,8.745831371,0,2.818216327,11.5640477,33.6014395,0,53.62831129,87.2297508,20.09363814,9.063509651,25.37419172,141.7610903,45.21546345,0,58.68905167,103.9045151,20.09363814,9.063509651,25.37419172,158.4358546,1109.893184,0,521.3969127,1631.290096,1.119475742,0,0.046715871,1.166191613,9.651730521,12439.12842
Mendocino,2010,LDT2,Aggregate,Aggregate,Diesel,5.779823214,47210.97989,47210.97989,0,8093.158883,0,0.08916432,0,0,0.08916432,0.007150358,0,0,0.007150358,0.000104082,0.000172681,0.007427121,0.007473665,0,0,0.007473665,0.00041633,0.000493373,0.008383368,22.78699144,0,0,22.78699144,0.000416498,0,0,0.000416498,0.003572711,0,0,0.003572711,0.00896695,0,0,0.00896695,0,0,0,0.00896695,0.010208277,0,0,0.010208277,0,0,0,0.010208277,0.062017782,0,0,0.062017782,0.000214873,0,0,0.000214873,0.000161328,2.025693817
Mendocino,2010,LHDT1,Aggregate,Aggregate,Gasoline,3556.558894,36037483.11,36037483.11,0,17326889.04,0,37.83356672,0.052531436,11.55742595,49.44352411,0.20120743,0,0.021887639,0.223095069,0.079449051,1.084479539,1.387023659,0.218607288,0,0.023732036,0.242339324,0.317796202,3.09851297,3.658648496,42364.73717,160.8334719,488.1790188,43013.74966,2.175519338,0.143807199,0.911649623,3.230976159,1.833861013,0.003323392,0.76797854,2.605162945,11.86470249,0.596947318,5.248249426,17.70989923,4.852720854,1.826776535,10.23642938,34.625826,17.08458924,0.869539745,5.743107041,23.69723603,4.852720854,1.826776535,10.23642938,40.6131628,231.4823706,4.659375073,74.2207169,310.3624625,0.418179056,0.001587575,0.004818777,0.424585409,1.757798493,4528.82045
Mendocino,2010,LHDT1,Aggregate,Aggregate,Diesel,4743.772044,54514229.46,54514229.46,0,19512313.88,0,341.9919233,4.439112503,0,346.4310358,5.242620428,0.054370833,0,5.296991261,0.180274955,1.640502093,7.117768309,5.47966846,0.056829241,0,5.536497701,0.721099821,4.687148836,10.94474636,35522.31022,245.3959092,0,35767.70613,0.937339511,0.00871739,0,0.946056901,5.569447802,0.038474967,0,5.607922769,20.1803678,0.187680276,0,20.36804807,0,0,0,20.36804807,22.97400705,0.213661517,0,23.18766857,0,0,0,23.18766857,66.48325457,1.555590982,0,68.03884555,0.334961675,0.002313989,0,0.337275664,1.739008227,3179.639636
Mendocino,2010,LHDT2,Aggregate,Aggregate,Gasoline,320.7560882,3347482.891,3347482.891,0,1562663.606,0,3.212404172,0.00476007,1.07849114,4.295655381,0.015975313,0,0.001629792,0.017605105,0.007379937,0.117525489,0.14251053,0.017371406,0,0.001771557,0.019142963,0.029519746,0.335787111,0.38444982,4450.211565,16.73203579,48.74375029,4515.687351,0.174510917,0.013282325,0.079527285,0.267320528,0.155784144,0.000308683,0.07356978,0.229662608,0.932679851,0.054101082,0.447079903,1.433860835,0.380459921,0.141251779,0.813553265,2.7691258,1.357662859,0.078923416,0.489455652,1.926041928,0.380459921,0.141251779,0.813553265,3.261306892,18.33694673,0.422260001,6.676195158,25.43540189,0.043927695,0.000165161,0.000481146,0.044574002,0.164239029,475.4465115
Mendocino,2010,LHDT2,Aggregate,Aggregate,Diesel,821.9708643,9719812.243,9719812.243,0,3380970.535,0,54.9843588,0.769181383,0,55.75354018,0.919146986,0.008813742,0,0.927960728,0.032142777,0.341249148,1.301352653,0.960706734,0.00921226,0,0.969918994,0.128571108,0.974997567,2.073487669,8011.703028,67.17298549,0,8078.876013,0.162021564,0.001510494,0,0.163532058,1.256133442,0.010531872,0,1.266665315,3.48822887,0.032520053,0,3.520748924,0,0,0,3.520748924,3.971116656,0.037021918,0,4.008138574,0,0,0,4.008138574,10.96030843,0.269542982,0,11.22985141,0.075547267,0.000633415,0,0.076180683,0.324872624,718.1873584
Mendocino,2010,MCY,Aggregate,Aggregate,Gasoline,4064.735878,8171436.803,8171436.803,0,2820926.699,0,9.886231648,0,0.889512404,10.77574405,0.023663031,0,0.022337642,0.046000673,0.009007467,0.037831362,0.092839503,0.024885215,0,0.023454356,0.048339571,0.036029869,0.108089607,0.192459046,1882.672567,0,237.1931027,2119.86567,3.032427941,0,1.045429555,4.077857496,0.562297923,0,0.04895378,0.611251702,23.16175019,0,8.361124832,31.52287502,7.693162976,10.91049245,11.67660348,61.80313392,26.23044723,0,9.075624659,35.30607189,7.693162976,10.91049245,11.67660348,65.58633079,246.0077255,0,30.91481584,276.9225413,0.018583716,0,0.002341315,0.020925031,0.066263841,223.1958634
Mendocino,2010,MDV,Aggregate,Aggregate,Gasoline,18976.45361,218238116.9,218238116.9,0,30658511.06,0,147.1494899,0,44.55937954,191.7088695,0.666054671,0,0.168587206,0.834641877,0.48113269,0.761087176,2.076861742,0.723011701,0,0.182794168,0.905805868,1.924530758,2.174534787,5.004871413,123093.9322,0,4881.159621,127975.0918,5.264834347,0,9.705276476,14.97011082,8.237761402,0,2.756432771,10.99419417,26.80838784,0,57.07932667,83.88771451,15.2882714,6.375362267,19.15367776,124.7050259,37.57128074,0,62.47787181,100.0491525,15.2882714,6.375362267,19.15367776,140.866464,914.1932902,0,445.5471103,1359.740401,1.21505072,0,0.048181551,1.263232271,9.101020924,13474.20807
Mendocino,2010,MDV,Aggregate,Aggregate,Diesel,60.18216796,470972.0629,470972.0629,0,84834.00086,0,0.476359545,0,0,0.476359545,0.06087891,0,0,0.06087891,0.001038316,0.001665993,0.063583218,0.063631584,0,0,0.063631584,0.004153263,0.004759979,0.072544825,261.2163733,0,0,261.2163733,0.00390123,0,0,0.00390123,0.040955415,0,0,0.040955415,0.083991188,0,0,0.083991188,0,0,0,0.083991188,0.095618384,0,0,0.095618384,0,0,0,0.095618384,0.54841034,0,0,0.54841034,0.00246317,0,0,0.00246317,0.001609389,23.22133633
Mendocino,2010,MH,Aggregate,Aggregate,Gasoline,1037.893312,2445218.013,2445218.013,0,33952.68695,0,5.131381099,0,0.014336347,5.145717447,0.016747461,0,8.69037E-05,0.016834365,0.008086174,0.042947619,0.067868158,0.017993578,0,9.23872E-05,0.018085966,0.032344698,0.122707482,0.173138145,5197.926957,0,1.755789801,5199.682747,0.293706317,0,0.003272338,0.296978655,0.223158255,0,0.0009461,0.224104355,1.86645871,0,0.022341394,1.888800103,2.720167988,1.277266167,0.023084411,5.90931867,2.378526016,0,0.024321138,2.402847154,2.720167988,1.277266167,0.023084411,6.42336572,55.80857155,0,0.217798283,56.02636983,0.051308336,0,1.73313E-05,0.051325668,0.108083008,547.4628402
Mendocino,2010,MH,Aggregate,Aggregate,Diesel,180.1491765,580065.0317,580065.0317,0,5890.87807,0,4.948056949,0,0,4.948056949,0.135237645,0,0,0.135237645,0.002557649,0.010160788,0.147956082,0.141352491,0,0,0.141352491,0.010230596,0.029030822,0.180613909,695.6573601,0,0,695.6573601,0.005187688,0,0,0.005187688,0.109070253,0,0,0.109070253,0.111687874,0,0,0.111687874,0,0,0,0.111687874,0.127149219,0,0,0.127149219,0,0,0,0.127149219,0.433920934,0,0,0.433920934,0.00655978,0,0,0.00655978,0.018455547,61.84181079
Mendocino,2010,MHDT,Aggregate,Aggregate,Gasoline,346.4867041,3225254.596,3225254.596,0,2266929.454,0,10.55184536,0.010174089,1.504642221,12.06666167,0.023590048,0,0.014296943,0.037886991,0.010665704,0.056648121,0.105200815,0.025239583,0,0.015094314,0.040333898,0.042662815,0.161851773,0.244848486,6887.505326,69.23569732,216.4795614,7173.220585,0.536650856,0.022157226,0.405796067,0.96460415,0.414700813,0.000448772,0.06425401,0.479403595,3.65055959,0.128261515,3.47677208,7.255593185,0.954703395,0.597396827,2.586655215,11.39434862,4.676350384,0.171891968,3.777777338,8.626019689,0.954703395,0.597396827,2.586655215,12.76477513,90.50040748,1.942037639,18.21151482,110.6539599,0.067986034,0.00068342,0.002136853,0.070806308,0.144407485,755.2521771
Mendocino,2010,MHDT,Aggregate,Aggregate,Diesel,944.2003269,10843561.99,10843561.99,0,3456140.681,0,124.2801723,12.48615958,0.049442274,136.8157742,5.080860694,0.284455111,0,5.365315805,0.035858943,0.188516603,5.589691351,5.310594669,0.297316909,0,5.607911577,0.143435772,0.538618865,6.289966215,14649.16365,786.8851518,0,15436.0488,0.4257161,0.042675449,0,0.468391549,2.296803101,0.123373614,0,2.420176714,9.165550892,0.918790724,0,10.08434162,0,0,0,10.08434162,10.434282,1.0459733,0,11.4802553,0,0,0,11.4802553,23.50733782,5.270339199,0,28.77767701,0.138046942,0.007415242,0,0.145462183,0.353112679,1372.217508
Mendocino,2010,OBUS,Aggregate,Aggregate,Gasoline,76.29541099,1230885.856,1230885.856,0,499171.5767,0,2.347721765,0.001753697,0.252706504,2.602181967,0.002356883,0,0.000662836,0.003019719,0.004070458,0.021560979,0.028651156,0.002547334,0,0.000703377,0.00325071,0.016281833,0.061602796,0.081135339,2580.342291,10.83009991,23.06507708,2614.237468,0.073364382,0.0047181,0.035111303,0.113193785,0.100470766,0.000108586,0.014905705,0.115485057,0.390551997,0.020274112,0.237885554,0.648711664,0.065343527,0.035100279,0.095332094,0.844487564,0.545286099,0.029159974,0.259448296,0.833894369,0.065343527,0.035100279,0.095332094,1.029670269,10.36140509,0.155608425,3.195855718,13.71286923,0.02547036,0.000106903,0.000227674,0.025804937,0.060339698,275.2471523
Mendocino,2010,OBUS,Aggregate,Aggregate,Diesel,16.81977986,262401.5535,262401.5535,0,57606.73561,0,3.511239866,0.236636865,0.001300544,3.749177275,0.132662365,0.003177883,0,0.135840248,0.000867745,0.00701035,0.143718343,0.138660769,0.003321573,0,0.141982341,0.003470978,0.020029572,0.165482892,420.4313342,15.88255697,0,436.3138911,0.012989298,0.000924412,0,0.01391371,0.065918302,0.002490184,0,0.068408485,0.279656026,0.019902339,0,0.299558365,0,0,0,0.299558365,0.318367098,0.022657298,0,0.341024396,0,0,0,0.341024396,0.78100907,0.09020554,0,0.87121461,0.00396195,0.00014967,0,0.00411162,0.00884563,38.78696992
