Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Merced,2010,HHDT,Aggregate,Aggregate,Gasoline,44.11038469,1142787.999,1142787.999,0,288597.3086,0,11.37613395,0,0.003860817,11.37999477,0.011124637,0,0.003224442,0.014349079,0.006298541,0.050283378,0.070930997,0.01176353,0,0.003387961,0.015151492,0.025194163,0.143666793,0.184012448,3491.626463,0,43.47549052,3535.101953,0.651442307,0,6.51596E-05,0.651507467,0.326910366,0,0.000135893,0.327046259,5.130988782,0,0.000353571,5.131342353,0.202908023,0.12785168,0.426377987,5.888480043,6.271128365,0,0.000387115,6.271515481,0.202908023,0.12785168,0.426377987,7.028653171,194.3188907,0,0.863902404,195.1827931,0.034465576,0,0.000429143,0.034894719,0.046133771,372.202892
Merced,2010,HHDT,Aggregate,Aggregate,Diesel,6581.535798,321822701.2,321822701.2,0,34267016.65,0,5336.072889,149.8859745,1.976746721,5487.93561,195.2725906,3.72698096,0,198.9995715,3.176856379,12.41557262,214.5920005,204.1019506,3.895498501,0,207.9974491,12.70742552,35.47306463,256.1779392,594685.3998,17588.09544,0,612273.4952,15.91251408,1.021398254,0,16.93391233,93.23912978,2.757590339,0,95.99672011,342.5920646,21.99042432,0,364.5824889,0,0,0,364.5824889,390.014987,25.03442415,0,415.0494112,0,0,0,415.0494112,1200.879531,60.92919654,0,1261.808728,5.604040119,0.165742076,0,5.769782195,11.85930635,54429.24034
Merced,2010,LDA,Aggregate,Aggregate,Gasoline,75321.70038,951451492.4,951451492.4,0,120230648.3,0,344.7474777,0,91.88691168,436.6343894,2.988175086,0,0.677262564,3.66543765,2.097591484,2.643074029,8.406103163,3.241916867,0,0.732214304,3.974131172,8.390365935,7.551640083,19.91613719,359411.9631,0,13178.81482,372590.7779,18.62468675,0,27.4357659,46.06045264,22.92260654,0,7.181009267,30.10361581,93.52542343,0,155.2147204,248.7401439,93.37323836,36.41718601,96.34127289,474.8718411,129.2221875,0,169.8396966,299.0618841,93.37323836,36.41718601,96.34127289,525.1935813,3698.337202,0,1440.152386,5138.489588,3.547727795,0,0.130087066,3.677814861,40.71336772,39229.2406
Merced,2010,LDA,Aggregate,Aggregate,Diesel,344.7822795,3367484.671,3367484.671,0,504403.1844,0,5.210154859,0,0,5.210154859,0.333943837,0,0,0.333943837,0.007424033,0.009428311,0.35079618,0.349043295,0,0,0.349043295,0.029696132,0.02693803,0.405677457,1043.280611,0,0,1043.280611,0.022672394,0,0,0.022672394,0.16357317,0,0,0.16357317,0.488123291,0,0,0.488123291,0,0,0,0.488123291,0.555695914,0,0,0.555695914,0,0,0,0.555695914,3.836777644,0,0,3.836777644,0.009837733,0,0,0.009837733,0.011507248,92.74445413
Merced,2010,LDT1,Aggregate,Aggregate,Gasoline,11339.29907,113303114.4,113303114.4,0,16927866.8,0,103.1335756,0,19.07712837,122.210704,0.871885687,0,0.188608368,1.060494055,0.249790609,0.395409858,1.705694522,0.942794341,0,0.20338649,1.146180832,0.999162436,1.129742452,3.27508572,49843.93439,0,2395.729258,52239.66365,5.431674071,0,5.49408799,10.92576206,5.58627096,0,1.190307619,6.776578579,31.52348944,0,33.33159237,64.85508181,27.39863134,10.62464628,28.48574284,131.3641023,41.14988563,0,36.45417602,77.60406165,27.39863134,10.62464628,28.48574284,144.1130821,1004.408821,0,349.9773052,1354.386126,0.492005636,0,0.023648059,0.515653695,6.357632444,5500.196074
Merced,2010,LDT1,Aggregate,Aggregate,Diesel,36.35488398,293501.2483,293501.2483,0,49373.46489,0,0.501175823,0,0,0.501175823,0.049099836,0,0,0.049099836,0.000647059,0.001074605,0.0508215,0.051319913,0,0,0.051319913,0.002588238,0.0030703,0.05697845,140.0311894,0,0,140.0311894,0.003168706,0,0,0.003168706,0.021955115,0,0,0.021955115,0.068220378,0,0,0.068220378,0,0,0,0.068220378,0.077664364,0,0,0.077664364,0,0,0,0.077664364,0.467565132,0,0,0.467565132,0.00132044,0,0,0.00132044,0.001002942,12.44834428
Merced,2010,LDT2,Aggregate,Aggregate,Gasoline,28791.14755,328137599.4,328137599.4,0,45759588.45,0,249.063826,0,64.86322228,313.9270483,1.258130634,0,0.274344861,1.532475495,0.723419575,1.093983562,3.349878632,1.362317739,0,0.296427432,1.658745171,2.893678299,3.12566732,7.678090789,166548.1565,0,6654.06782,173202.2243,9.181532289,0,12.64096904,21.82250133,13.5212958,0,4.078818994,17.60011479,49.31464396,0,73.16071377,122.4753577,36.32353104,14.18479817,37.4366888,210.4203757,66.60410617,0,80.05744905,146.6615552,36.32353104,14.18479817,37.4366888,234.6065732,1811.698523,0,682.8574717,2494.555995,1.64398402,0,0.065681791,1.709665811,14.87039072,18236.07059
Merced,2010,LDT2,Aggregate,Aggregate,Diesel,1.281993988,10288.12747,10288.12747,0,1739.436592,0,0.015612937,0,0,0.015612937,0.00204259,0,0,0.00204259,2.26814E-05,3.83922E-05,0.002103664,0.002134947,0,0,0.002134947,9.07258E-05,0.000109692,0.002335365,4.901913971,0,0,4.901913971,0.000149705,0,0,0.000149705,0.000768558,0,0,0.000768558,0.003223061,0,0,0.003223061,0,0,0,0.003223061,0.00366924,0,0,0.00366924,0,0,0,0.00366924,0.022173424,0,0,0.022173424,4.62232E-05,0,0,4.62232E-05,3.51562E-05,0.435765154
Merced,2010,LHDT1,Aggregate,Aggregate,Gasoline,4015.483384,42193480.48,42193480.48,0,19562683.23,0,35.43873612,0.059772734,13.19184585,48.6903547,0.201434858,0,0.02322517,0.224660028,0.093020702,1.269732576,1.587413306,0.218611442,0,0.025109119,0.243720561,0.372082807,3.627807361,4.243610729,49481.79575,181.6834059,537.1863303,50200.66549,2.119186822,0.167835271,0.982763729,3.269785821,1.796879221,0.003950677,0.905963793,2.706793692,11.74964018,0.681889231,5.557896429,17.98942584,5.753506165,1.950919572,9.81982234,35.51367391,16.68039426,0.99186108,6.079222706,23.75147805,5.753506165,1.950919572,9.81982234,41.27572612,223.9754134,5.302454061,70.91146118,300.1893287,0.488430993,0.001793383,0.005302525,0.495526901,2.053007189,5285.514568
Merced,2010,LHDT1,Aggregate,Aggregate,Diesel,4389.458612,51918767.85,51918767.85,0,18054934.64,0,314.247202,4.107554162,0,318.3547561,5.007047367,0.047448894,0,5.054496261,0.171691935,1.56239661,6.788584806,5.23344383,0.049594322,0,5.283038152,0.686767741,4.463990314,10.43379621,33815.52812,227.0672319,0,34042.59535,0.891777019,0.008066286,0,0.899843305,5.301846011,0.035601263,0,5.337447273,19.19943417,0.173662393,0,19.37309656,0,0,0,19.37309656,21.85727934,0.197703089,0,22.05498242,0,0,0,22.05498242,62.26773572,1.439403532,0,63.70713925,0.318867379,0.002141156,0,0.321008535,1.667003386,3026.282565
