Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Modoc,2010,HHDT,Aggregate,Aggregate,Gasoline,10.52925556,92126.66982,92126.66982,0,68888.87589,0,1.492457111,0,0.018159578,1.510616689,0.001367255,0,0.000949341,0.002316596,0.000507761,0.004332731,0.007157088,0.001441652,0,0.000995707,0.002437358,0.002031045,0.012379232,0.016847635,263.2587333,0,12.22359777,275.4823311,0.073542612,0,1.20089E-06,0.073543813,0.036629115,0,0.001032656,0.03766177,0.625846329,0,6.2392E-06,0.625852568,0.042217346,0.032539124,0.117422677,0.818031715,0.721903716,0,6.83113E-06,0.721910547,0.042217346,0.032539124,0.117422677,0.914089694,21.10415118,0,0.190853931,21.29500511,0.002598607,0,0.000120658,0.002719265,0.003173114,29.00491179
Modoc,2010,HHDT,Aggregate,Aggregate,Diesel,97.08150143,2444105.45,2444105.45,0,266608.9963,0,45.4568781,1.574949614,0.007368091,47.03919581,1.877402277,0.060807547,0,1.938209823,0.023619853,0.102904681,2.064734357,1.962290077,0.063556994,0,2.025847071,0.094479412,0.294013374,2.414339856,5026.357742,154.3220912,0,5180.679833,0.148910136,0.015937519,0,0.164847655,0.788069157,0.024195747,0,0.812264904,3.205994388,0.343130417,0,3.549124805,0,0,0,3.549124805,3.649780566,0.39062786,0,4.040408426,0,0,0,4.040408426,11.2271348,0.919873976,0,12.14700877,0.04736607,0.00145426,0,0.04882033,0.084064039,460.5465857
Modoc,2010,LDA,Aggregate,Aggregate,Gasoline,7656.323552,87464182.65,87464182.65,0,12235218.63,0,38.09697891,0,9.979659744,48.07663865,0.443753081,0,0.07198129,0.515734371,0.192825516,0.315384918,1.023944805,0.481343868,0,0.077745094,0.559088962,0.771302063,0.901099765,2.23149079,37435.82804,0,1408.908397,38844.73644,2.571354841,0,3.190175111,5.761529953,2.377611532,0,0.737852864,3.115464396,13.96294546,0,19.10358319,33.06652864,7.247102078,3.230727141,9.696499885,53.24085775,19.03720387,0,20.89904783,39.9362517,7.247102078,3.230727141,9.696499885,60.1105808,392.1646334,0,179.5131847,571.6778181,0.369526174,0,0.013907226,0.3834334,3.63484305,4089.874474
Modoc,2010,LDA,Aggregate,Aggregate,Diesel,45.84010517,382216.6065,382216.6065,0,66149.1732,0,0.489094466,0,0,0.489094466,0.052905797,0,0,0.052905797,0.000842643,0.001390131,0.055138572,0.055297962,0,0,0.055297962,0.003370574,0.003971804,0.06264034,145.406823,0,0,145.406823,0.003605513,0,0,0.003605513,0.022797946,0,0,0.022797946,0.07762457,0,0,0.07762457,0,0,0,0.07762457,0.088370413,0,0,0.088370413,0,0,0,0.088370413,0.48637004,0,0,0.48637004,0.00137113,0,0,0.00137113,0.001306097,12.92622166
Modoc,2010,LDT1,Aggregate,Aggregate,Gasoline,1511.465292,12683305.15,12683305.15,0,2162665.15,0,16.05573478,0,2.693253633,18.74898841,0.190893183,0,0.038779118,0.229672302,0.027961901,0.059741753,0.317375956,0.205714655,0,0.041632658,0.247347313,0.111847606,0.170690722,0.529885641,6561.133003,0,373.7753321,6934.908335,1.267711055,0,0.938098694,2.205809749,0.768067686,0,0.149132844,0.91720053,8.779188167,0,6.464362858,15.24355102,3.545089225,1.824703048,4.32183463,24.93517793,10.93075663,0,7.060939447,17.99169608,3.545089225,1.824703048,4.32183463,27.68332298,189.5881738,0,70.14713703,259.7353108,0.064764438,0,0.003689508,0.068453946,0.625218951,730.1608192
Modoc,2010,LDT1,Aggregate,Aggregate,Diesel,7.649237956,45058.12011,45058.12011,0,9880.283654,0,0.077195867,0,0,0.077195867,0.01297635,0,0,0.01297635,9.93362E-05,0.000227681,0.013303367,0.013563083,0,0,0.013563083,0.000397345,0.000650517,0.014610944,26.53176886,0,0,26.53176886,0.000830226,0,0,0.000830226,0.004159845,0,0,0.004159845,0.017874279,0,0,0.017874279,0,0,0,0.017874279,0.020348678,0,0,0.020348678,0,0,0,0.020348678,0.081411938,0,0,0.081411938,0.000250184,0,0,0.000250184,0.000153971,2.358593071
Modoc,2010,LDT2,Aggregate,Aggregate,Gasoline,3273.377434,36556127.26,36556127.26,0,5223223.963,0,29.19839248,0,7.674975419,36.8733679,0.196925007,0,0.031554172,0.228479179,0.080592465,0.163520501,0.472592146,0.213257017,0,0.034072447,0.247329463,0.322369861,0.467201432,1.036900756,20879.85578,0,790.4230877,21670.27887,1.340436633,0,1.625139709,2.965576342,1.517202394,0,0.462146334,1.979348728,7.693728196,0,9.897591789,17.59131998,3.055309617,1.354585753,4.070637345,26.0718527,10.30092783,0,10.82913896,21.13006679,3.055309617,1.354585753,4.070637345,29.6105995,213.6652417,0,94.94574455,308.6109863,0.206103448,0,0.007802205,0.213905653,1.519019697,2281.614667
Modoc,2010,LDT2,Aggregate,Aggregate,Diesel,0.202753546,1774.65094,1774.65094,0,285.1852552,0,0.002648641,0,0,0.002648641,0.000371241,0,0,0.000371241,3.91244E-06,8.23367E-06,0.000383388,0.000388027,0,0,0.000388027,1.56497E-05,2.35248E-05,0.000427202,1.003123575,0,0,1.003123575,2.46343E-05,0,0,2.46343E-05,0.000157277,0,0,0.000157277,0.000530361,0,0,0.000530361,0,0,0,0.000530361,0.000603781,0,0,0.000603781,0,0,0,0.000603781,0.002611748,0,0,0.002611748,9.45907E-06,0,0,9.45907E-06,6.06427E-06,0.089174617
Modoc,2010,LHDT1,Aggregate,Aggregate,Gasoline,749.7248674,7163285.774,7163285.774,0,3652519.183,0,9.842656008,0.010968884,2.369584133,12.22320903,0.049964389,0,0.00579459,0.055758978,0.015792342,0.215565466,0.287116786,0.05422836,0,0.006266314,0.060494674,0.063169367,0.615901333,0.739565374,8459.346059,33.88188186,110.1482915,8603.376232,0.585043768,0.02882129,0.217962623,0.831827681,0.454052468,0.000652468,0.149902709,0.604607645,3.308131472,0.124541638,1.318164285,4.750837394,1.14115296,0.407695737,2.63343121,8.933117302,4.69707234,0.180980271,1.441588564,6.319641175,1.14115296,0.407695737,2.63343121,10.50192108,64.9015216,0.972708136,19.14777818,85.02200792,0.083501553,0.000334445,0.001087265,0.084923264,0.344723402,905.8300317
Modoc,2010,LHDT1,Aggregate,Aggregate,Diesel,936.078467,10521917.66,10521917.66,0,3850323.476,0,67.66358275,0.875960646,0,68.5395434,1.0171268,0.011156182,0,1.028282981,0.034795287,0.316637107,1.379715375,1.06311676,0.011660615,0,1.074777375,0.139181146,0.90467745,2.118635971,6855.308874,48.42345381,0,6903.732328,0.183205651,0.001720184,0,0.184925835,1.074825503,0.007592184,0,1.082417686,3.944309795,0.037034551,0,3.981344346,0,0,0,3.981344346,4.490334466,0.042161374,0,4.53249584,0,0,0,4.53249584,12.97760801,0.306961466,0,13.28456947,0.064642917,0.000456614,0,0.065099531,0.335521426,613.7206804
