Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Mono,2010,HHDT,Aggregate,Aggregate,Gasoline,8.759590415,86774.73765,86774.73765,0,57310.6364,0,1.069398354,0,0.004867731,1.074266086,0.000999644,0,0.000694429,0.001694073,0.000478264,0.004064489,0.006236825,0.001055934,0,0.000729941,0.001785876,0.001913055,0.011612825,0.015311756,246.2080989,0,8.888936418,255.0970353,0.063560328,0,2.27158E-06,0.0635626,0.029069222,0,0.000151031,0.029220253,0.535430974,0,1.17811E-05,0.535442755,0.029010263,0.021033408,0.093370926,0.678857352,0.631229093,0,1.28988E-05,0.631241992,0.029010263,0.021033408,0.093370926,0.774656589,18.86492727,0,0.094379889,18.95930716,0.002430301,0,8.7742E-05,0.002518043,0.002997479,26.85859008
Mono,2010,HHDT,Aggregate,Aggregate,Diesel,288.8087824,16191916.82,16191916.82,0,1419773.758,0,264.2777211,7.496460989,0.073325192,271.8475072,10.02092818,0.224688327,0,10.24561651,0.159891226,0.624863231,11.03037096,10.47403009,0.234847736,0,10.70887782,0.639564904,1.785323516,13.13376624,30088.57939,948.5466943,0,31037.12608,0.803433383,0.059529971,0,0.862963355,4.717507709,0.148720094,0,4.866227803,17.29770043,1.281663953,0,18.57936438,0,0,0,18.57936438,19.69211521,1.459076848,0,21.15119206,0,0,0,21.15119206,60.81604408,3.222684977,0,64.03872906,0.283540854,0.008938665,0,0.292479519,0.601071522,2759.105543
Mono,2010,LDA,Aggregate,Aggregate,Gasoline,12508.62242,145976708.5,145976708.5,0,20117665.02,0,57.8297881,0,16.32748622,74.15727432,0.513465598,0,0.109018996,0.622484595,0.321823554,0.368362415,1.312670563,0.556516386,0,0.11781183,0.674328216,1.287294215,1.052464043,3.014086474,56260.89931,0,2319.311099,58580.21041,3.078948273,0,5.478517946,8.557466219,3.618253729,0,1.244105702,4.862359431,17.20199069,0,32.16217767,49.36416836,9.320511729,4.395707327,14.4379285,77.51831591,22.9794439,0,35.18674368,58.16618758,9.320511729,4.395707327,14.4379285,86.32033513,528.0919638,0,300.6420213,828.7339851,0.555347002,0,0.022893741,0.578240743,5.872902587,6167.777907
Mono,2010,LDA,Aggregate,Aggregate,Diesel,108.4591251,995554.4131,995554.4131,0,159759.3309,0,1.564076796,0,0,1.564076796,0.121354467,0,0,0.121354467,0.002194822,0.002553152,0.12610244,0.126841577,0,0,0.126841577,0.008779287,0.007294719,0.142915583,335.7060787,0,0,335.7060787,0.008307774,0,0,0.008307774,0.052634456,0,0,0.052634456,0.178861493,0,0,0.178861493,0,0,0,0.178861493,0.203621919,0,0,0.203621919,0,0,0,0.203621919,1.370054381,0,0,1.370054381,0.003165579,0,0,0.003165579,0.003401973,29.84324323
Mono,2010,LDT1,Aggregate,Aggregate,Gasoline,2340.613447,22737109.35,22737109.35,0,3518764.069,0,21.02179087,0,4.098324505,25.12011537,0.178184576,0,0.041484309,0.219668885,0.050126746,0.072319424,0.342115055,0.192550749,0,0.044683189,0.237233938,0.200506983,0.206626926,0.644367846,10272.36169,0,546.6762315,10819.03792,1.121007698,0,1.405988245,2.526995943,1.075312128,0,0.249737567,1.325049695,7.169059531,0,9.032189705,16.20124924,3.582321534,1.716743087,5.361446847,26.86176071,9.149352298,0,9.874036837,19.02338914,3.582321534,1.716743087,5.361446847,29.6839006,195.7265853,0,95.39417292,291.1207582,0.101397691,0,0.005396199,0.10679389,1.121670784,1139.112041
Mono,2010,LDT1,Aggregate,Aggregate,Diesel,7.969783961,56283.50248,56283.50248,0,10573.11533,0,0.106939494,0,0,0.106939494,0.009135204,0,0,0.009135204,0.000124084,0.000191719,0.009451006,0.009548257,0,0,0.009548257,0.000496336,0.000547768,0.01059236,31.3048723,0,0,31.3048723,0.000613265,0,0,0.000613265,0.004908207,0,0,0.004908207,0.01320324,0,0,0.01320324,0,0,0,0.01320324,0.015031011,0,0,0.015031011,0,0,0,0.015031011,0.085500051,0,0,0.085500051,0.000295193,0,0,0.000295193,0.00019233,2.782907363
Mono,2010,LDT2,Aggregate,Aggregate,Gasoline,5970.864094,69164025.84,69164025.84,0,9636345.209,0,49.06809106,0,13.99009757,63.05818863,0.238000208,0,0.047695576,0.285695784,0.152480576,0.211583466,0.649759827,0.258118717,0,0.051649708,0.309768425,0.609922304,0.60452419,1.524214919,35452.49368,0,1442.642372,36895.13605,1.597371391,0,3.077637162,4.675008553,2.608396237,0,0.871066831,3.479463069,8.613304828,0,18.1502842,26.76358902,4.081597471,1.788270965,6.461159186,39.09461665,11.79352221,0,19.86458262,31.65810483,4.081597471,1.788270965,6.461159186,43.98913245,297.2983108,0,174.4759283,471.7742391,0.349948834,0,0.014240212,0.364189045,2.844997417,3884.605457
Mono,2010,LDT2,Aggregate,Aggregate,Diesel,1.384468948,6071.421688,6071.421688,0,1601.258077,0,0.011968566,0,0,0.011968566,0.002254812,0,0,0.002254812,1.33852E-05,2.05369E-05,0.002288734,0.002356765,0,0,0.002356765,5.35408E-05,5.86769E-05,0.002468983,3.233791798,0,0,3.233791798,0.000149794,0,0,0.000149794,0.000507018,0,0,0.000507018,0.003224977,0,0,0.003224977,0,0,0,0.003224977,0.003671422,0,0,0.003671422,0,0,0,0.003671422,0.01159219,0,0,0.01159219,3.04934E-05,0,0,3.04934E-05,2.0747E-05,0.287474196
Mono,2010,LHDT1,Aggregate,Aggregate,Gasoline,1040.251889,10607400.9,10607400.9,0,5067912.439,0,11.89249443,0.015357801,3.649751396,15.55760362,0.059289536,0,0.00646671,0.065756246,0.023385316,0.319209563,0.408351125,0.064414123,0,0.00701132,0.071425443,0.093541264,0.912027323,1.07699403,12463.71776,47.04037632,149.4140061,12660.17214,0.632725235,0.04191739,0.285933976,0.960576601,0.562614222,0.000953226,0.238431174,0.801998622,3.472988227,0.174495486,1.658042854,5.305526567,1.153663991,0.423190656,3.033572887,9.9159541,4.983534959,0.254166357,1.814309567,7.052010883,1.153663991,0.423190656,3.033572887,11.66243842,67.81275281,1.362152515,25.49848775,94.67339308,0.123028398,0.000464332,0.001474854,0.124967584,0.517071202,1332.960901
Mono,2010,LHDT1,Aggregate,Aggregate,Diesel,796.4465912,9574357.687,9574357.687,0,3275982.854,0,57.28485597,0.745296357,0,58.03015233,0.913641426,0.008255329,0,0.921896755,0.031661768,0.288122092,1.241680615,0.954952237,0.008628599,0,0.963580836,0.126647073,0.823205976,1.913433885,6242.425647,41.20027977,0,6283.625927,0.163144724,0.00146359,0,0.164608313,0.978733184,0.006459681,0,0.985192866,3.512409847,0.031510223,0,3.54392007,0,0,0,3.54392007,3.99864509,0.035872294,0,4.034517384,0,0,0,4.034517384,11.3367159,0.261172991,0,11.59788889,0.058863665,0.000388503,0,0.059252167,0.309301067,558.5951187
Mono,2010,LHDT2,Aggregate,Aggregate,Gasoline,96.78458272,1026193.695,1026193.695,0,471516.366,0,0.999142959,0.00143699,0.357428732,1.358008682,0.004971316,0,0.000574327,0.005545643,0.00226237,0.03602824,0.043836252,0.00539267,0,0.000620384,0.006013053,0.009049479,0.102937827,0.11800036,1354.733943,5.048834055,15.86597309,1375.648751,0.053299723,0.00400294,0.02838624,0.085688903,0.047501237,9.22942E-05,0.024127439,0.071720971,0.301690102,0.016388456,0.167641628,0.485720186,0.093823866,0.035974989,0.243610429,0.85912947,0.422751515,0.02382498,0.183339743,0.629916238,0.093823866,0.035974989,0.243610429,1.003325522,6.245465127,0.127469368,2.43570519,8.808639686,0.013372474,4.98367E-05,0.000156612,0.013578923,0.050504407,144.8389467
