Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Napa,2010,HHDT,Aggregate,Aggregate,Gasoline,23.61558981,734961.1722,734961.1722,0,154507.7357,0,6.136248949,0,0.036528421,6.172777369,0.003063713,0,0.001107893,0.004171606,0.00405078,0.032538886,0.040761272,0.003255417,0,0.001163371,0.004418788,0.01620312,0.092968246,0.113590154,2128.356987,0,19.0024061,2147.359393,0.294334406,0,5.68976E-05,0.294391303,0.190442932,0,0.001809097,0.192252029,1.990098781,0,0.000308444,1.990407226,0.056922335,0.042089848,0.138157466,2.227576875,2.62559838,0,0.000337708,2.625936088,0.056922335,0.042089848,0.138157466,2.863105737,53.74634789,0,0.86891041,54.6152583,0.021008848,0,0.000187571,0.021196419,0.034589032,226.0906154
Napa,2010,HHDT,Aggregate,Aggregate,Diesel,848.1597349,29532415.3,29532415.3,0,3301389.422,0,490.0232914,15.99632395,0.14566967,506.165285,16.7100067,0.319825926,0,17.02983263,0.283289031,1.178207615,18.49132927,17.46555906,0.334287035,0,17.79984609,1.133156125,3.366307472,22.29930969,58471.56764,1497.837703,0,59969.40535,1.372220808,0.092516367,0,1.464737175,9.167600357,0.234841958,0,9.402442316,29.54353771,1.991852006,0,31.53538971,0,0,0,31.53538971,33.63306879,2.267571886,0,35.90064068,0,0,0,35.90064068,101.7651268,6.526285991,0,108.2914128,0.551009006,0.01411493,0,0.565123935,1.058561712,5331.096645
Napa,2010,LDA,Aggregate,Aggregate,Gasoline,52629.71541,619266805.1,619266805.1,0,84212016.97,0,214.6540101,0,64.72896985,279.3829799,1.888551591,0,0.473598246,2.362149837,1.365249608,1.918836004,5.646235449,2.046274697,0,0.511407346,2.557682044,5.46099843,5.482388584,13.50106906,227793.5939,0,9316.184003,237109.7779,11.67745673,0,19.41442845,31.09188519,14.02803817,0,5.035623756,19.06366192,62.60704639,0,111.3886909,173.9957372,52.13759031,24.8510235,63.00502672,313.9893778,84.09552113,0,121.8660395,205.9615607,52.13759031,24.8510235,63.00502672,345.9552012,2143.676278,0,1041.650779,3185.327057,2.248533014,0,0.091959334,2.340492349,25.23441411,24964.75242
Napa,2010,LDA,Aggregate,Aggregate,Diesel,379.4894891,3359748.971,3359748.971,0,549654.1328,0,4.452790966,0,0,4.452790966,0.348085427,0,0,0.348085427,0.007406979,0.010487334,0.365979739,0.363824305,0,0,0.363824305,0.029627914,0.029963811,0.423416031,1058.242664,0,0,1058.242664,0.023247006,0,0,0.023247006,0.165919031,0,0,0.165919031,0.500494345,0,0,0.500494345,0,0,0,0.500494345,0.569779537,0,0,0.569779537,0,0,0,0.569779537,3.666022996,0,0,3.666022996,0.00997882,0,0,0.00997882,0.011480814,94.0745349
Napa,2010,LDT1,Aggregate,Aggregate,Gasoline,8240.934777,81331423.43,81331423.43,0,12500256.15,0,61.26508083,0,13.26782464,74.53290548,0.517613887,0,0.125797089,0.643410976,0.179305096,0.305265859,1.127981931,0.559359782,0,0.135433348,0.694793129,0.717220384,0.872188168,2.284201682,34738.33643,0,1748.073519,36486.40994,3.257945829,0,3.883636055,7.141581884,3.36890541,0,0.854399538,4.223304948,19.47168588,0,23.69153483,43.16322071,14.58490023,6.921951298,17.58158497,82.2516572,25.08390201,0,25.90560416,50.98950617,14.58490023,6.921951298,17.58158497,90.07794266,568.7266536,0,245.2094021,813.9360556,0.342899442,0,0.017255099,0.360154541,4.153833942,3841.571609
Napa,2010,LDT1,Aggregate,Aggregate,Diesel,13.16915078,87398.92476,87398.92476,0,17381.21086,0,0.128889029,0,0,0.128889029,0.016814776,0,0,0.016814776,0.000192682,0.00035449,0.017361948,0.017575066,0,0,0.017575066,0.000770727,0.001012829,0.019358621,40.9239873,0,0,40.9239873,0.001051891,0,0,0.001051891,0.006416362,0,0,0.006416362,0.022646601,0,0,0.022646601,0,0,0,0.022646601,0.02578165,0,0,0.02578165,0,0,0,0.02578165,0.143598938,0,0,0.143598938,0.000385897,0,0,0.000385897,0.000298656,3.638017254
Napa,2010,LDT2,Aggregate,Aggregate,Gasoline,19531.80412,225280381.4,225280381.4,0,31563928.96,0,136.1504304,0,41.90179922,178.0522297,0.654816117,0,0.151761253,0.80657737,0.496658225,0.81164479,2.114880384,0.709706755,0,0.164099491,0.873806246,1.9866329,2.318985113,5.17942426,110092.7225,0,4468.242159,114560.9646,4.655941642,0,8.104467887,12.76040953,7.621848698,0,2.724850458,10.34669916,24.37079122,0,46.26600456,70.63679577,15.96131096,7.304079665,19.0204058,112.9225922,33.28144402,0,50.6320349,83.91347892,15.96131096,7.304079665,19.0204058,126.1992753,914.1880568,0,435.5447933,1349.73285,1.086716781,0,0.044105674,1.130822455,9.311398576,12061.86495
Napa,2010,LDT2,Aggregate,Aggregate,Diesel,1.769053548,14776.91323,14776.91323,0,2517.747137,0,0.028873729,0,0,0.028873729,0.001844376,0,0,0.001844376,3.25775E-05,5.73233E-05,0.001934277,0.001927771,0,0,0.001927771,0.00013031,0.000163781,0.002221862,7.036414509,0,0,7.036414509,0.000118455,0,0,0.000118455,0.001103221,0,0,0.001103221,0.002550272,0,0,0.002550272,0,0,0,0.002550272,0.002903315,0,0,0.002903315,0,0,0,0.002903315,0.018840774,0,0,0.018840774,6.63507E-05,0,0,6.63507E-05,5.04951E-05,0.62551572
Napa,2010,LHDT1,Aggregate,Aggregate,Gasoline,3139.958559,32997353.16,32997353.16,0,15297290.2,0,28.27699652,0.046766624,10.47608179,38.79984493,0.156407263,0,0.017098095,0.173505359,0.072746711,0.992992608,1.239244679,0.169855678,0,0.018513849,0.188369527,0.290986845,2.837121738,3.31647811,38741.79229,142.075619,421.9232115,39305.79112,1.540401438,0.131284905,0.792870958,2.464557301,1.427512761,0.003078881,0.714930109,2.145521752,8.358666438,0.53315346,4.45990618,13.35172608,3.625546333,1.392951,7.358354106,25.72857752,11.94689358,0.776260807,4.879687012,17.6028414,3.625546333,1.392951,7.358354106,29.97969284,161.7861637,4.148876835,58.7150913,224.6501318,0.382417247,0.001402417,0.004164772,0.387984436,1.615855615,4138.417878
Napa,2010,LHDT1,Aggregate,Aggregate,Diesel,2449.979807,28327196.02,28327196.02,0,10077376.09,0,178.6261784,2.292634615,0,180.918813,2.682262999,0.027493918,0,2.709756918,0.093676166,0.852453108,3.655886192,2.80354303,0.028737071,0,2.832280101,0.374704663,2.435580309,5.642565073,18596.67023,126.7377556,0,18723.40799,0.486186018,0.004502204,0,0.490688222,2.915722077,0.019870873,0,2.93559295,10.46729873,0.096929803,0,10.56422853,0,0,0,10.56422853,11.91632369,0.110348136,0,12.02667182,0,0,0,12.02667182,34.81161985,0.803404223,0,35.61502407,0.175359423,0.001195088,0,0.176554511,0.901672381,1664.453681
