Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Nevada,2010,HHDT,Aggregate,Aggregate,Gasoline,14.95089696,250089.513,250089.513,0,97817.97768,0,3.106802633,0,0.001507787,3.108310419,0.001422629,0,0.000737131,0.002159759,0.001378382,0.01180125,0.015339392,0.001516284,0,0.000775795,0.002292079,0.00551353,0.033717857,0.041523466,661.5837263,0,11.98666506,673.5703914,0.090188766,0,7.01055E-07,0.090189467,0.083584059,0,4.77683E-05,0.083631827,0.654428046,0,3.64961E-06,0.654431695,0.04878045,0.030028216,0.131616373,0.864856735,0.825790288,0,3.99587E-06,0.825794284,0.04878045,0.030028216,0.131616373,1.036219325,26.03142024,0,0.580651733,26.61207198,0.006530442,0,0.000118319,0.006648761,0.010936843,70.9187036
Nevada,2010,HHDT,Aggregate,Aggregate,Diesel,1020.337869,54900000.09,54900000.09,0,5166467.921,0,897.7494404,25.910646,0.245768505,923.9058549,33.778667,0.711587461,0,34.49025446,0.540642387,2.114132126,37.14502898,35.30598843,0.743762288,0,36.04975072,2.162569549,6.040377504,44.25269777,102060.9504,3177.402002,0,105238.3524,2.709745301,0.190653108,0,2.900398408,16.00186283,0.498176343,0,16.50003918,58.34007325,4.10470913,0,62.44478238,0,0,0,62.44478238,66.41573247,4.672898889,0,71.08863136,0,0,0,71.08863136,205.5986178,10.6651765,0,216.2637943,0.961775185,0.029942367,0,0.991717552,2.029100738,9355.367525
Nevada,2010,LDA,Aggregate,Aggregate,Gasoline,34650.36566,385786127.1,385786127.1,0,54993388.4,0,147.8923909,0,46.09331989,193.9857108,1.245475105,0,0.34863932,1.594114424,0.850512823,1.113655727,3.558282974,1.351481837,0,0.375911192,1.727393029,3.402051292,3.181873505,8.311317826,143982.2948,0,6303.750474,150286.0452,7.391355232,0,14.10957972,21.50093495,9.621458367,0,3.461085626,13.08254399,38.0965738,0,82.93379876,121.0303726,36.19297572,17.54705459,43.58156581,218.3519687,52.56157238,0,90.7122311,143.2738035,36.19297572,17.54705459,43.58156581,240.5953996,1406.991422,0,764.8739467,2171.865368,1.421238138,0,0.062223835,1.483461973,16.51670644,15823.27791
Nevada,2010,LDA,Aggregate,Aggregate,Diesel,411.4603784,3689231.326,3689231.326,0,608020.2456,0,5.399268818,0,0,5.399268818,0.333121277,0,0,0.333121277,0.008133363,0.01068018,0.35193482,0.348183543,0,0,0.348183543,0.032533451,0.0305148,0.411231795,1135.74625,0,0,1135.74625,0.023140035,0,0,0.023140035,0.17807061,0,0,0.17807061,0.498191325,0,0,0.498191325,0,0,0,0.498191325,0.567157701,0,0,0.567157701,0,0,0,0.567157701,3.965742326,0,0,3.965742326,0.010709649,0,0,0.010709649,0.012606709,100.9643666
Nevada,2010,LDT1,Aggregate,Aggregate,Gasoline,5803.174541,59109268.2,59109268.2,0,8798119.384,0,43.93851956,0,8.380584755,52.31910431,0.389452897,0,0.103516045,0.492968942,0.13031363,0.200685695,0.823968267,0.417641781,0,0.110529271,0.528171052,0.521254519,0.5733877,1.622813272,25901.64449,0,1274.061169,27175.70566,3.06489771,0,2.701862519,5.766760229,2.231420489,0,0.549291131,2.78071162,21.80354298,0,17.36987146,39.17341445,10.20497204,5.918888969,11.29511132,66.59238678,25.97577538,0,18.96151228,44.93728766,10.20497204,5.918888969,11.29511132,72.35625999,473.9636656,0,165.1463174,639.109983,0.255673137,0,0.01257616,0.268249297,2.494819488,2861.268606
Nevada,2010,LDT1,Aggregate,Aggregate,Diesel,31.17735845,204264.8005,204264.8005,0,40893.60705,0,0.379227019,0,0,0.379227019,0.042788481,0,0,0.042788481,0.000450327,0.000777669,0.044016477,0.044723186,0,0,0.044723186,0.001801307,0.002221911,0.048746404,97.70926713,0,0,97.70926713,0.002524754,0,0,0.002524754,0.015319574,0,0,0.015319574,0.054356469,0,0,0.054356469,0,0,0,0.054356469,0.061881226,0,0,0.061881226,0,0,0,0.061881226,0.330090505,0,0,0.330090505,0.000921361,0,0,0.000921361,0.000698006,8.686054884
Nevada,2010,LDT2,Aggregate,Aggregate,Gasoline,23178.77116,253658081.1,253658081.1,0,36585979.71,0,217.6802952,0,58.96834149,276.6486367,1.052668564,0,0.230279463,1.282948027,0.559220344,0.870396896,2.712565267,1.141847077,0,0.249407709,1.391254786,2.236881376,2.486848273,6.114984435,128037.9705,0,5600.574336,133638.5449,7.15880197,0,11.9988737,19.15767567,11.44945374,0,3.527886118,14.97733985,37.68109791,0,71.19343024,108.8745281,26.45804704,10.72408294,34.18848778,180.2451459,52.09006125,0,77.91980401,130.0098653,26.45804704,10.72408294,34.18848778,201.380483,1364.517689,0,688.7019385,2053.219627,1.263852942,0,0.055282838,1.31913578,11.77653634,14070.50024
Nevada,2010,LDT2,Aggregate,Aggregate,Diesel,6.208866257,49500.75898,49500.75898,0,8632.867836,0,0.094456824,0,0,0.094456824,0.007447616,0,0,0.007447616,0.00010913,0.000176748,0.007733494,0.007784364,0,0,0.007784364,0.000436522,0.000504995,0.008725881,23.54217184,0,0,23.54217184,0.000485927,0,0,0.000485927,0.003691114,0,0,0.003691114,0.010461724,0,0,0.010461724,0,0,0,0.010461724,0.011909977,0,0,0.011909977,0,0,0,0.011909977,0.0708301,0,0,0.0708301,0.000221994,0,0,0.000221994,0.000169152,2.092827044
Nevada,2010,LHDT1,Aggregate,Aggregate,Gasoline,3005.237138,30287133.56,30287133.56,0,14640952.67,0,32.30148457,0.044403685,10.0573056,42.40319386,0.17054512,0,0.018616943,0.189162064,0.0667717,0.911433702,1.167367466,0.185225247,0,0.020165244,0.205390491,0.267086799,2.604096292,3.076573582,35625.09507,135.9054572,416.4036713,36177.4042,1.730049638,0.121372901,0.797871806,2.649294345,1.567601871,0.002785575,0.658057405,2.228444851,9.41774223,0.504976806,4.599927941,14.52264698,4.070489843,1.499563454,8.679356865,28.77205714,13.46314734,0.735135229,5.032828595,19.23111117,4.070489843,1.499563454,8.679356865,33.48052133,182.8870343,3.938660228,64.04899088,250.8746854,0.351652569,0.001341512,0.004110289,0.357104369,1.480660746,3809.037093
Nevada,2010,LHDT1,Aggregate,Aggregate,Diesel,4167.145502,47608106.24,47608106.24,0,17140505.54,0,312.8194053,3.899518679,0,316.718924,4.523703003,0.045370119,0,4.569073123,0.157436862,1.432675444,6.159185429,4.72824478,0.047421555,0,4.775666334,0.629747448,4.093358412,9.498772194,30825.90076,215.5669475,0,31041.46771,0.832032607,0.007657753,0,0.839690359,4.833110351,0.033798164,0,4.866908515,17.91317215,0.164866906,0,18.07803906,0,0,0,18.07803906,20.39295555,0.187690011,0,20.58064556,0,0,0,20.58064556,59.47383768,1.366501996,0,60.84033967,0.290676347,0.002032713,0,0.29270906,1.492392543,2759.491501
Nevada,2010,LHDT2,Aggregate,Aggregate,Gasoline,210.7668278,2251064.942,2251064.942,0,1026816.523,0,1.873903381,0.003148467,0.754082364,2.631134211,0.009373643,0,0.00102779,0.010401432,0.004962749,0.079031773,0.094395954,0.010170007,0,0.001110181,0.011280188,0.019850995,0.225805066,0.256936249,2983.590444,10.99890828,32.54466247,3027.134015,0.087778729,0.008940096,0.055955702,0.152674527,0.09354336,0.000208368,0.051578045,0.145329773,0.477728107,0.035965432,0.31620162,0.829895159,0.208832353,0.082027286,0.442399399,1.563154197,0.670110455,0.052320746,0.345882159,1.068313359,0.208832353,0.082027286,0.442399399,1.801572397,9.626814047,0.279362811,4.220318906,14.12649576,0.029450791,0.000108569,0.000321246,0.029880607,0.110921751,318.7200962
Nevada,2010,LHDT2,Aggregate,Aggregate,Diesel,742.2738619,8942214.82,8942214.82,0,3053156.948,0,51.05847087,0.694602765,0,51.75307363,0.844206901,0.007063807,0,0.851270708,0.029571314,0.31394878,1.194790802,0.882378191,0.007383201,0,0.889761392,0.118285254,0.896996513,1.90504316,7387.110442,61.30469286,0,7448.415134,0.153109116,0.001364039,0,0.154473155,1.158205245,0.009611798,0,1.167817043,3.296349128,0.02936696,0,3.325716088,0,0,0,3.325716088,3.752674326,0.033432331,0,3.786106657,0,0,0,3.786106657,10.1370662,0.243408519,0,10.38047472,0.0696576,0.00057808,0,0.07023568,0.297439609,662.1413153
Nevada,2010,MCY,Aggregate,Aggregate,Gasoline,4188.066311,8060104.957,8060104.957,0,2906518.02,0,10.17723616,0,0.962139145,11.1393753,0.026194865,0,0.02493998,0.051134845,0.008884745,0.037315928,0.097335518,0.027540789,0,0.026184946,0.053725735,0.035538979,0.106616938,0.195881653,1868.654325,0,253.5397405,2122.194065,3.07200632,0,1.179253974,4.251260294,0.57149571,0,0.052306841,0.62380255,23.68007239,0,9.488520101,33.16859249,8.28686377,10.80149015,12.20976278,64.46670919,26.77432583,0,10.29879066,37.07311648,8.28686377,10.80149015,12.20976278,68.37123318,258.2470168,0,34.07097933,292.3179962,0.018445343,0,0.002502671,0.020948014,0.064353559,223.441015
Nevada,2010,MDV,Aggregate,Aggregate,Gasoline,15910.54472,180620616.5,180620616.5,0,25587491.69,0,130.1024622,0,39.08586499,169.1883272,0.570645213,0,0.155469863,0.726115076,0.398200297,0.617824126,1.7421395,0.618090874,0,0.168200564,0.786291438,1.592801189,1.765211789,4.144304416,102135.6933,0,4175.164979,106310.8583,4.74676669,0,8.665127232,13.41189392,7.052154563,0,2.374832692,9.426987255,26.53320676,0,51.7581771,78.29138386,13.5367604,5.661049655,16.47585773,113.9650516,35.58866362,0,56.63852797,92.22719159,13.5367604,5.661049655,16.47585773,127.9008594,894.3405152,0,408.8355899,1303.176105,1.008173559,0,0.041212732,1.049386291,7.45446912,11193.22991
Nevada,2010,MDV,Aggregate,Aggregate,Diesel,41.67646439,345535.5622,345535.5622,0,58909.17833,0,0.324923487,0,0,0.324923487,0.041971195,0,0,0.041971195,0.000761776,0.001181373,0.043914343,0.043868946,0,0,0.043868946,0.003047102,0.00337535,0.050291398,190.325333,0,0,190.325333,0.002401898,0,0,0.002401898,0.029840599,0,0,0.029840599,0.051711457,0,0,0.051711457,0,0,0,0.051711457,0.058870056,0,0,0.058870056,0,0,0,0.058870056,0.309780584,0,0,0.309780584,0.001794694,0,0,0.001794694,0.001180752,16.91933976
Nevada,2010,MH,Aggregate,Aggregate,Gasoline,1132.3572,2945081.364,2945081.364,0,37042.89167,0,4.468100721,0,0.016438635,4.484539356,0.014307838,0,6.91705E-05,0.014377009,0.009739189,0.05172718,0.075843378,0.015398877,0,7.3652E-05,0.015472529,0.038956758,0.147791942,0.202221229,6217.32777,0,1.74554511,6219.073315,0.230633656,0,0.003074492,0.233708148,0.206207027,0,0.001209463,0.20741649,1.428527396,0,0.019584418,1.448111815,2.398871519,1.055949323,0.020608077,4.923540734,1.823130288,0,0.021336181,1.844466469,2.398871519,1.055949323,0.020608077,5.319895388,41.99170339,0,0.22361833,42.21532172,0.061370763,0,1.72301E-05,0.061387994,0.137298541,654.7921684
Nevada,2010,MH,Aggregate,Aggregate,Diesel,274.2309068,958046.9813,958046.9813,0,8967.350654,0,7.436724103,0,0,7.436724103,0.189486293,0,0,0.189486293,0.004224264,0.01678176,0.210492316,0.198054022,0,0,0.198054022,0.016897056,0.047947884,0.262898963,1147.333461,0,0,1147.333461,0.007075131,0,0,0.007075131,0.179887338,0,0,0.179887338,0.152323394,0,0,0.152323394,0,0,0,0.152323394,0.173410057,0,0,0.173410057,0,0,0,0.173410057,0.590989073,0,0,0.590989073,0.010818912,0,0,0.010818912,0.032080979,101.9944342
Nevada,2010,MHDT,Aggregate,Aggregate,Gasoline,150.8409763,1376763.651,1376763.651,0,986894.5849,0,4.326633319,0.004494067,0.65651465,4.987642037,0.009642714,0,0.006075005,0.015717719,0.004552866,0.02418137,0.044451955,0.010317275,0,0.006413075,0.016730351,0.018211466,0.069089627,0.104031444,2937.345961,30.68511038,93.6440156,3061.675087,0.217428691,0.009496452,0.1760144,0.402939543,0.170279514,0.00020159,0.028423054,0.198904158,1.494045108,0.054479772,1.515285848,3.063810728,0.41337498,0.257050236,1.083953437,4.818189381,1.904325582,0.073135419,1.646388882,3.623849882,0.41337498,0.257050236,1.083953437,5.378228536,37.09046455,0.766390622,7.987901836,45.84475701,0.028994316,0.00030289,0.000924353,0.030221559,0.061868137,322.3568476
Nevada,2010,MHDT,Aggregate,Aggregate,Diesel,702.2830694,8000664.558,8000664.558,0,2485515.025,0,87.11662067,9.841357946,0.021858557,96.97983717,3.189625545,0.17329482,0,3.362920365,0.026457669,0.139465051,3.528843085,3.333846259,0.181130442,0,3.514976701,0.105830676,0.398471573,4.019278951,10836.71383,618.5860474,0,11455.29987,0.274511164,0.025793925,0,0.300305088,1.699059313,0.096986448,0,1.796045761,5.91015008,0.555336123,0,6.465486204,0,0,0,6.465486204,6.728255978,0.632207903,0,7.360463882,0,0,0,7.360463882,15.07417219,3.474669021,0,18.54884121,0.102120178,0.005829269,0,0.107949447,0.264036699,1018.341109
Nevada,2010,OBUS,Aggregate,Aggregate,Gasoline,44.45354682,677785.6887,677785.6887,0,290842.4867,0,1.186119307,0.001018555,0.148010743,1.335148605,0.001383351,0,0.000614172,0.001997523,0.002241392,0.011872525,0.01611144,0.001487183,0,0.000648103,0.002135286,0.00896557,0.033921499,0.045022355,1421.203163,6.309464593,15.08444751,1442.597076,0.038357678,0.00274255,0.02520713,0.066307359,0.050207074,6.50239E-05,0.008862972,0.05913507,0.223427172,0.011917489,0.187879938,0.423224598,0.05025442,0.029357771,0.080984913,0.583821702,0.297795026,0.016909206,0.204490569,0.519194801,0.05025442,0.029357771,0.080984913,0.679791905,5.923910446,0.090364783,1.719137384,7.733412613,0.014028587,6.22802E-05,0.000148897,0.014239765,0.033028325,151.8877845
