Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Orange,2010,HHDT,Aggregate,Aggregate,Gasoline,144.5014817,3266188.875,3266188.875,0,945417.7059,0,27.38025053,0,0.223383058,27.60363359,0.013231609,0,0.00807225,0.021303858,0.018001785,0.134013281,0.173318924,0.014017712,0,0.008480563,0.022498275,0.072007139,0.382895088,0.477400502,8550.31665,0,125.6180945,8675.934744,0.973233776,0,0.000185721,0.973419497,0.806685653,0,0.007492928,0.814178581,6.771183587,0,0.000958322,6.772141909,0.48289689,0.354499372,1.060647558,8.67018573,8.579174387,0,0.001049242,8.58022363,0.48289689,0.354499372,1.060647558,10.47826745,264.9277022,0,4.976032996,269.9037352,0.084399517,0,0.001239967,0.085639483,0.149290222,913.4695534
Orange,2010,HHDT,Aggregate,Aggregate,Diesel,8238.617344,313137476,313137476,0,31782104.59,0,5250.022515,170.1893606,1.160413442,5421.372289,169.7760545,3.674321731,0,173.4503762,2.998951067,12.66248953,189.1118168,177.4525743,3.840458256,0,181.2930325,11.99580427,36.17854152,229.4673783,614541.4385,15592.62129,0,630134.0598,13.44340363,1.051954501,0,14.49535813,96.35230486,2.444725296,0,98.79703016,289.4327936,22.64829193,0,312.0810855,0,0,0,312.0810855,329.4972035,25.78335634,0,355.2805598,0,0,0,355.2805598,1062.75193,73.0244516,0,1135.776382,5.791154243,0.14693765,0,5.938091894,10.93757986,56016.98988
Orange,2010,LDA,Aggregate,Aggregate,Gasoline,1053662.393,12591378990,12591378990,0,1718256283,0,3307.710186,0,1081.957083,4389.66727,32.97495264,0,7.521186206,40.49613885,27.75923896,40.11234198,108.3677198,35.79557228,0,8.132933979,43.92850626,111.0369558,114.6066914,269.5721535,4753376.143,0,177413.4217,4930789.565,194.272577,0,308.239435,502.512012,230.2620754,0,90.96651745,321.2285929,950.4648188,0,1709.304476,2659.769294,959.7894734,399.5602106,976.0564002,4995.175378,1327.729133,0,1870.458665,3198.187797,959.7894734,399.5602106,976.0564002,5533.593882,36614.49544,0,15804.20018,52418.69561,46.92020966,0,1.751234216,48.67144388,475.7706405,519151.685
Orange,2010,LDA,Aggregate,Aggregate,Diesel,4293.291438,35177700.56,35177700.56,0,6160626.832,0,40.00161416,0,0,40.00161416,4.065506248,0,0,4.065506248,0.077553554,0.113372621,4.256432424,4.2493304,0,0,4.2493304,0.310214218,0.323921776,4.883466393,11641.87676,0,0,11641.87676,0.266988402,0,0,0.266988402,1.825298652,0,0,1.825298652,5.748103104,0,0,5.748103104,0,0,0,5.748103104,6.543833225,0,0,6.543833225,0,0,0,6.543833225,39.74383448,0,0,39.74383448,0.109778405,0,0,0.109778405,0.120207975,1034.927223
Orange,2010,LDT1,Aggregate,Aggregate,Gasoline,113914.0005,1221037863,1221037863,0,178034424.3,0,701.244924,0,160.2405466,861.4854706,6.636143854,0,1.313940758,7.950084612,2.691927696,4.691495879,15.33350819,7.183541104,0,1.420911391,8.604452495,10.76771078,13.40427394,32.77643722,534141.3168,0,22549.62754,556690.9443,38.97693028,0,43.1424954,82.11942568,40.46645856,0,11.15659867,51.62305723,217.1818149,0,251.5365357,468.7183506,182.3154675,71.33039901,194.8920971,917.2563143,287.4552252,0,275.2281503,562.6833756,182.3154675,71.33039901,194.8920971,1011.221339,6882.74573,0,2571.45646,9454.202189,5.272467783,0,0.222585636,5.495053419,56.90014251,58612.73088
Orange,2010,LDT1,Aggregate,Aggregate,Diesel,145.0453394,1104501.128,1104501.128,0,194485.2853,0,1.878639341,0,0,1.878639341,0.228296373,0,0,0.228296373,0.002435008,0.004642013,0.235373394,0.238618922,0,0,0.238618922,0.009740033,0.013262893,0.261621847,565.0322977,0,0,565.0322977,0.014105332,0,0,0.014105332,0.088589899,0,0,0.088589899,0.303679503,0,0,0.303679503,0,0,0,0.303679503,0.345718924,0,0,0.345718924,0,0,0,0.345718924,1.857103425,0,0,1.857103425,0.005328036,0,0,0.005328036,0.003774262,50.22964242
Orange,2010,LDT2,Aggregate,Aggregate,Gasoline,363858.0177,4450838869,4450838869,0,599823992.1,0,1874.145392,0,648.8556493,2523.001041,10.21925444,0,2.064893304,12.28414774,9.812420057,16.4353808,38.53194859,11.08637446,0,2.239056001,13.32543047,39.24968023,46.95823085,99.53334155,2210189.067,0,79121.0354,2289310.103,70.61515751,0,118.5131984,189.1283559,112.4984968,0,45.67000094,158.1684977,347.5083756,0,646.8190934,994.3274691,243.6794524,95.60019575,244.3637285,1577.970846,482.6852284,0,708.0427269,1190.727955,243.6794524,95.60019575,244.3637285,1774.371332,14292.24308,0,5940.047642,20232.29072,21.81660599,0,0.780997644,22.59760364,164.9294815,241036.2847
Orange,2010,LDT2,Aggregate,Aggregate,Diesel,20.87614049,210670.2995,210670.2995,0,31427.91073,0,0.3096946,0,0,0.3096946,0.024340607,0,0,0.024340607,0.000464449,0.000812974,0.02561803,0.025441181,0,0,0.025441181,0.001857794,0.002322784,0.029621759,100.9861863,0,0,100.9861863,0.001692434,0,0,0.001692434,0.015833353,0,0,0.015833353,0.03643711,0,0,0.03643711,0,0,0,0.03643711,0.041481227,0,0,0.041481227,0,0,0,0.041481227,0.264052475,0,0,0.264052475,0.000952261,0,0,0.000952261,0.000719895,8.977362974
Orange,2010,LHDT1,Aggregate,Aggregate,Gasoline,40601.17133,454293950.7,454293950.7,0,197801305,0,251.0159888,0.610609439,138.6016959,390.2282941,0.835947561,0,0.171396506,1.007344067,1.001546721,13.67111274,15.68000352,0.907692957,0,0.185706531,1.093399487,4.006186883,39.06032211,44.15990848,414688.3142,1838.334192,5242.853947,421769.5023,8.960404172,1.825191208,9.367985904,20.15358128,13.52938086,0.043672467,10.20243088,23.77548421,46.39188111,6.977451773,49.08722228,102.4565552,40.47154501,14.58153831,69.43259018,226.9422287,66.26098751,10.16675848,53.71851888,130.1462649,40.47154501,14.58153831,69.43259018,254.6319384,1254.440371,54.17917594,627.1250467,1935.744593,4.093356398,0.018146055,0.051751807,4.163254261,22.31874002,44407.1573
Orange,2010,LHDT1,Aggregate,Aggregate,Diesel,15447.79883,194705855.8,194705855.8,0,63540637.44,0,1033.466415,14.45569397,0,1047.922109,12.86084974,0.15547356,0,13.0163233,0.643879401,5.859302552,19.51950526,13.4423603,0.162503385,0,13.60486368,2.575517605,16.74086444,32.92124572,98831.46509,799.1165266,0,99630.58162,2.090505696,0.028387639,0,2.118893335,15.49552049,0.125291338,0,15.62081183,45.00735681,0.611169156,0,45.61852597,0,0,0,45.61852597,51.23788344,0.69577545,0,51.93365889,0,0,0,51.93365889,153.9506379,5.065685353,0,159.0163232,0.931942571,0.00753536,0,0.939477931,6.397949045,8856.853863
