Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Plumas,2010,HHDT,Aggregate,Aggregate,Gasoline,19.61132098,247576.2698,247576.2698,0,128309.3424,0,3.067258451,0,0.097370211,3.164628661,0.002215171,0,0.001597063,0.003812233,0.001364531,0.01167446,0.016851224,0.002335067,0,0.001676207,0.004011274,0.005458122,0.033355599,0.042824996,679.7504315,0,20.84343248,700.593864,0.134669475,0,1.23029E-06,0.134670706,0.080919896,0,0.001709502,0.082629399,1.120142648,0,6.39582E-06,1.120149044,0.072103172,0.055810091,0.191687762,1.439750069,1.309517759,0,7.00262E-06,1.309524762,0.072103172,0.055810091,0.191687762,1.629125787,40.45781497,0,0.234037934,40.69185291,0.006709764,0,0.000205744,0.006915508,0.009658964,73.76394393
Plumas,2010,HHDT,Aggregate,Aggregate,Diesel,271.2179099,3537699.966,3537699.966,0,754742.7054,0,63.1285674,3.48791622,0.010129046,66.62661267,2.596840181,0.102512719,0,2.6993529,0.033771365,0.150132459,2.883256723,2.71425777,0.107147889,0,2.82140566,0.135085459,0.428949883,3.385441002,7361.753499,288.6247903,0,7650.37829,0.204396876,0.02784402,0,0.232240896,1.154229598,0.045252707,0,1.199482305,4.400608687,0.599474117,0,5.000082804,0,0,0,5.000082804,5.00975801,0.68245565,0,5.69221366,0,0,0,5.69221366,15.1715856,1.802241193,0,16.97382679,0.06937376,0.002719867,0,0.072093626,0.121029389,680.0952219
Plumas,2010,LDA,Aggregate,Aggregate,Gasoline,11108.74114,125116237.5,125116237.5,0,17603709.36,0,56.59880124,0,14.80337911,71.40218034,0.639517689,0,0.115633959,0.755151648,0.275834088,0.479551563,1.510537298,0.693156859,0,0.124847104,0.818003963,1.10333635,1.370147322,3.291487635,51380.44481,0,2057.639274,53438.08408,3.786174594,0,4.747195457,8.533370051,3.506082383,0,1.084997484,4.591079867,21.09579799,0,28.49798376,49.59378175,11.75791775,5.360533343,15.33969007,82.0519229,28.3414901,0,31.17414604,59.51563614,11.75791775,5.360533343,15.33969007,91.97377729,595.302079,0,267.9992828,863.3013618,0.507172412,0,0.020310799,0.527483211,5.326567363,5626.375052
Plumas,2010,LDA,Aggregate,Aggregate,Diesel,103.8780461,944638.1647,944638.1647,0,152220.5995,0,1.276154385,0,0,1.276154385,0.122237508,0,0,0.122237508,0.002082571,0.003641672,0.127961751,0.127764546,0,0,0.127764546,0.008330283,0.010404777,0.146499606,335.2473265,0,0,335.2473265,0.008495207,0,0,0.008495207,0.05256253,0,0,0.05256253,0.182896798,0,0,0.182896798,0,0,0,0.182896798,0.208215845,0,0,0.208215845,0,0,0,0.208215845,1.135207064,0,0,1.135207064,0.003161253,0,0,0.003161253,0.003227984,29.80246156
Plumas,2010,LDT1,Aggregate,Aggregate,Gasoline,3180.098017,27742620.84,27742620.84,0,4566158.613,0,34.73913381,0,5.592370329,40.33150414,0.401154807,0,0.079612484,0.48076729,0.061162009,0.135652088,0.677581388,0.432688487,0,0.085584667,0.518273154,0.244648038,0.387577393,1.150498585,13675.95146,0,774.5936923,14450.54515,2.585847613,0,1.941411567,4.52725918,1.692485786,0,0.315505668,2.007991454,17.2786153,0,13.07277925,30.35139455,7.515501318,3.667896616,9.279003453,50.81379593,21.76573211,0,14.28402154,36.04975365,7.515501318,3.667896616,9.279003453,56.51215504,393.4706703,0,145.0077326,538.4784029,0.134994263,0,0.007645955,0.142640218,1.415592353,1521.465227
Plumas,2010,LDT1,Aggregate,Aggregate,Diesel,7.707718372,45168.09293,45168.09293,0,9718.764156,0,0.07514254,0,0,0.07514254,0.013468113,0,0,0.013468113,9.95786E-05,0.000240473,0.013808164,0.014077081,0,0,0.014077081,0.000398314,0.000687065,0.01516246,23.71932458,0,0,23.71932458,0.000784761,0,0,0.000784761,0.003718889,0,0,0.003718889,0.016895446,0,0,0.016895446,0,0,0,0.016895446,0.019234342,0,0,0.019234342,0,0,0,0.019234342,0.077502896,0,0,0.077502896,0.000223664,0,0,0.000223664,0.000154347,2.108575381
Plumas,2010,LDT2,Aggregate,Aggregate,Gasoline,5992.030891,66837442.96,66837442.96,0,9509260.49,0,55.88162982,0,14.12438368,70.0060135,0.36432921,0,0.060489438,0.424818648,0.147351339,0.309968031,0.882138018,0.394729516,0,0.065374721,0.460104236,0.589405355,0.885622946,1.935132538,36708.70636,0,1455.139414,38163.84578,2.462290181,0,3.017903765,5.480193945,2.89173001,0,0.849433384,3.741163394,13.85170585,0,18.32511301,32.17681886,6.199077832,2.681286908,8.133471975,49.19065558,18.73673319,0,20.05155416,38.78828735,6.199077832,2.681286908,8.133471975,55.80212406,410.125667,0,179.5128149,589.6384819,0.362348812,0,0.014363569,0.376712381,2.874769318,4018.185035
Plumas,2010,LDT2,Aggregate,Aggregate,Diesel,2.238877623,15486.55335,15486.55335,0,3001.420186,0,0.023886309,0,0,0.023886309,0.004409183,0,0,0.004409183,3.4142E-05,8.15224E-05,0.004524847,0.004608546,0,0,0.004608546,0.000136568,0.000232921,0.004978035,8.863911117,0,0,8.863911117,0.000294759,0,0,0.000294759,0.001389749,0,0,0.001389749,0.006345987,0,0,0.006345987,0,0,0,0.006345987,0.007224485,0,0,0.007224485,0,0,0,0.007224485,0.031292461,0,0,0.031292461,8.35833E-05,0,0,8.35833E-05,5.29201E-05,0.787974577
Plumas,2010,LHDT1,Aggregate,Aggregate,Gasoline,1124.576359,10819961.13,10819961.13,0,5478725.466,0,13.90651943,0.016476718,3.583443424,17.50643957,0.073853286,0,0.008138473,0.081991759,0.023853931,0.325606159,0.43145185,0.080244063,0,0.008826561,0.089070624,0.095415724,0.930303312,1.11478966,12769.8258,50.82704335,160.6138051,12981.26665,0.80539451,0.043649146,0.311334194,1.16037785,0.653569271,0.000992232,0.227653773,0.882215275,4.425146732,0.186742169,1.842859631,6.454748532,1.736293759,0.603667218,3.889010684,12.68372019,6.370792872,0.271974814,2.016564055,8.659331741,1.736293759,0.603667218,3.889010684,14.8883034,86.98199631,1.461103114,27.56005221,116.0031516,0.126049967,0.00050171,0.001585406,0.128137083,0.526163169,1366.768215
Plumas,2010,LHDT1,Aggregate,Aggregate,Diesel,1421.984118,15980053.99,15980053.99,0,5848974.232,0,104.08032,1.330659952,0,105.41098,1.548018326,0.017256517,0,1.565274843,0.052844983,0.480889343,2.099009169,1.618012845,0.018036781,0,1.636049626,0.211379931,1.373969552,3.221399109,10381.00777,73.5594127,0,10454.56718,0.274575333,0.002613108,0,0.277188441,1.627610382,0.011533183,0,1.639143565,5.911445261,0.056258684,0,5.967703945,0,0,0,5.967703945,6.72978741,0.064046771,0,6.793834181,0,0,0,6.793834181,19.87770765,0.466301005,0,20.34400866,0.097888897,0.000693637,0,0.098582533,0.502619088,929.3790342
