Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Riverside,2010,HHDT,Aggregate,Aggregate,Gasoline,125.454003,3293175.451,3293175.451,0,820797.3671,0,27.59110801,0,0.291464598,27.88257261,0.012545632,0,0.0060618,0.018607432,0.018150523,0.124770926,0.16152888,0.013299111,0,0.006370578,0.019669689,0.072602091,0.35648836,0.44876014,8783.893604,0,100.6003252,8884.493929,1.006169614,0,5.33363E-06,1.006174947,0.831054274,0,0.006737821,0.837792095,6.896906289,0,2.7716E-05,6.896934005,0.484411802,0.273213151,0.880538636,8.535097594,8.852600282,0,3.03455E-05,8.852630627,0.484411802,0.273213151,0.880538636,10.49079422,285.969021,0,4.207169293,290.1761903,0.086705137,0,0.000993018,0.087698155,0.151812687,935.4282784
Riverside,2010,HHDT,Aggregate,Aggregate,Diesel,17983.31581,957136936.3,957136936.3,0,90729868.43,0,15511.69148,458.1419412,4.247541255,15974.08096,560.8351788,11.20361296,0,572.0387918,9.367265672,34.77040304,616.1764605,586.1936569,11.71019063,0,597.9038476,37.46906269,99.34400869,734.7169189,1722005.676,51333.61692,0,1773339.293,40.25556662,3.078842277,0,43.3344089,269.988654,8.048460197,0,278.0371142,866.6913104,66.28662994,0,932.9779404,0,0,0,932.9779404,986.6620832,75.46228237,0,1062.124366,0,0,0,1062.124366,3233.967825,187.14924,0,3421.117066,16.22738493,0.48374426,0,16.71112919,34.77950321,157644.4372
Riverside,2010,LDA,Aggregate,Aggregate,Gasoline,531954.7518,6798909087,6798909087,0,866517752,0,1882.506662,0,548.2824322,2430.789094,17.38561228,0,3.808022489,21.19363477,14.98902878,17.04366744,53.226331,18.84234449,0,4.116393108,22.9587376,59.95611511,48.6961927,131.6110454,2623428.928,0,89703.21169,2713132.139,109.8959266,0,156.1341383,266.0300649,128.7955614,0,46.31904419,175.1146056,565.378272,0,857.8980055,1423.276277,580.9912007,206.3726469,511.1557848,2721.79591,766.1861165,0,938.7425934,1704.92871,580.9912007,206.3726469,511.1557848,3003.448342,21565.672,0,7994.751532,29560.42353,25.89566481,0,0.885453491,26.7811183,257.5944649,285659.5487
Riverside,2010,LDA,Aggregate,Aggregate,Diesel,2022.428488,20230934.94,20230934.94,0,2994968.565,0,25.10350759,0,0,25.10350759,1.995861285,0,0,1.995861285,0.044601577,0.050688035,2.091150896,2.086105275,0,0,2.086105275,0.178406307,0.144822956,2.409334538,6581.112157,0,0,6581.112157,0.133360141,0,0,0.133360141,1.031834934,0,0,1.031834934,2.87116531,0,0,2.87116531,0,0,0,2.87116531,3.268630818,0,0,3.268630818,0,0,0,3.268630818,23.32034242,0,0,23.32034242,0.062057348,0,0,0.062057348,0.069132424,585.0407343
Riverside,2010,LDT1,Aggregate,Aggregate,Gasoline,74784.26574,855627267.4,855627267.4,0,115364172.5,0,603.5452047,0,111.7039836,715.2491883,5.226405401,0,0.955465566,6.181870967,1.88633523,2.63388893,10.70209513,5.650401178,0,1.032673516,6.683074694,7.545340919,7.525396942,21.75381255,383119.2433,0,14974.1634,398093.4067,32.90892771,0,30.57464747,63.48357518,34.02020233,0,7.600688702,41.62089103,188.3638501,0,177.8874664,366.2513165,154.0934723,52.68047331,145.9470827,718.9723449,245.2112241,0,194.62501,439.8362341,154.0934723,52.68047331,145.9470827,792.5572625,6122.747692,0,1820.760193,7943.507884,3.781740531,0,0.147808813,3.929549344,43.37160307,41914.35472
Riverside,2010,LDT1,Aggregate,Aggregate,Diesel,105.6475356,876002.0797,876002.0797,0,137501.8743,0,1.554870037,0,0,1.554870037,0.204940777,0,0,0.204940777,0.001931254,0.002805942,0.209677972,0.214207289,0,0,0.214207289,0.007725016,0.008016976,0.229949281,435.3917612,0,0,435.3917612,0.01299203,0,0,0.01299203,0.068263907,0,0,0.068263907,0.27971076,0,0,0.27971076,0,0,0,0.27971076,0.318432104,0,0,0.318432104,0,0,0,0.318432104,1.810261441,0,0,1.810261441,0.004105576,0,0,0.004105576,0.002993443,38.70499539
Riverside,2010,LDT2,Aggregate,Aggregate,Gasoline,179982.7736,2347257368,2347257368,0,294602238.5,0,1152.370459,0,331.1549018,1483.525361,6.027033707,0,1.15886807,7.185901777,5.174816692,6.850153628,19.2108721,6.523543027,0,1.254347463,7.77789049,20.69926677,19.57186751,48.04902477,1194269.961,0,39480.78327,1233750.744,44.44831054,0,61.25374907,105.7020596,67.20963665,0,23.0723608,90.28199745,234.0983853,0,334.8436492,568.9420345,164.0348074,56.70524915,141.6698248,931.3519159,314.0739157,0,366.4821485,680.5560643,164.0348074,56.70524915,141.6698248,1042.965946,9101.64706,0,3096.760497,12198.40756,11.78854676,0,0.38971177,12.17825853,90.23790003,129898.8264
Riverside,2010,LDT2,Aggregate,Aggregate,Diesel,17.63324095,193049.8245,193049.8245,0,26146.60753,0,0.354721736,0,0,0.354721736,0.027693454,0,0,0.027693454,0.000425602,0.000545498,0.028664554,0.02894563,0,0,0.02894563,0.001702408,0.001558565,0.032206602,94.96230931,0,0,94.96230931,0.001882585,0,0,0.001882585,0.014888886,0,0,0.014888886,0.040530949,0,0,0.040530949,0,0,0,0.040530949,0.04614179,0,0,0.04614179,0,0,0,0.04614179,0.321528741,0,0,0.321528741,0.000895458,0,0,0.000895458,0.000659683,8.441858738
Riverside,2010,LHDT1,Aggregate,Aggregate,Gasoline,25917.47,287364597,287364597,0,126265061.3,0,170.7273294,0.389118756,87.22926248,258.3457107,0.547851579,0,0.114673784,0.662525364,0.633530491,8.647691206,9.943747061,0.594717776,0,0.124192612,0.718910388,2.534121965,24.70768916,27.96072151,264150.67,1173.351031,3366.714066,268690.7351,6.036153208,1.158442314,6.054622036,13.24921756,9.029542544,0.027641422,6.38901286,15.44619683,31.5489083,4.445259649,31.97853846,67.97270641,31.84318916,9.887876274,48.83510752,158.5388794,44.94306464,6.475502094,34.99247104,86.41103777,31.84318916,9.887876274,48.83510752,176.9772107,909.0068659,34.52566236,410.2075712,1353.7401,2.607410911,0.011582058,0.033232575,2.652225543,14.11276858,28289.84
Riverside,2010,LHDT1,Aggregate,Aggregate,Diesel,17892.04332,218998373.9,218998373.9,0,73594422.74,0,1313.625817,16.7429616,0,1330.368779,14.04440323,0.178670405,0,14.22307364,0.724213154,6.590339701,21.5376265,14.67942883,0.186749088,0,14.86617792,2.896852616,18.829542,36.59257254,110944.6703,925.5575934,0,111870.2279,2.315393404,0.032879304,0,2.348272707,17.39471747,0.145115694,0,17.53983316,49.84905676,0.707872049,0,50.55692881,0,0,0,50.55692881,56.74983693,0.805865265,0,57.5557022,0,0,0,57.5557022,194.8376435,5.867208834,0,200.7048524,1.04616542,0.008727651,0,1.054893071,7.043861669,9944.920966
