Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
San Benito,2010,HHDT,Aggregate,Aggregate,Gasoline,7.011304938,78464.20879,78464.20879,0,45872.27587,0,1.068248984,0,0,1.068248984,0.001279138,0,0.000432556,0.001711694,0.00043246,0.003569293,0.005713447,0.001358741,0,0.000456165,0.001814905,0.00172984,0.01019798,0.013742725,255.5878643,0,5.716467557,261.3043318,0.083893416,0,0,0.083893416,0.029701159,0,0,0.029701159,0.648550467,0,0,0.648550467,0.027711731,0.019646647,0.07010013,0.766008975,0.829507331,0,0,0.829507331,0.027711731,0.019646647,0.07010013,0.946965839,22.57177972,0,0.033591456,22.60537118,0.002522888,0,5.64268E-05,0.002579315,0.002316144,27.5121423
San Benito,2010,HHDT,Aggregate,Aggregate,Diesel,1510.579568,81712046.13,81712046.13,0,8080764.609,0,1330.726767,36.07092132,0.436630486,1367.234318,49.88885862,0.961142626,0,50.85000124,0.806908658,3.128998273,54.78590817,52.14461142,1.00460123,0,53.14921265,3.227634633,8.939995065,65.31684235,150490.9066,4454.299562,0,154945.2061,3.998078073,0.25877335,0,4.256851423,23.59506585,0.698377689,0,24.29344354,86.07752456,5.571319268,0,91.64884383,0,0,0,91.64884383,97.99270938,6.34252289,0,104.3352323,0,0,0,104.3352323,304.1988834,14.63071684,0,318.8296002,1.41815669,0.041975259,0,1.460131948,3.031691841,13774.15473
San Benito,2010,LDA,Aggregate,Aggregate,Gasoline,17162.53142,219579959.1,219579959.1,0,27473758.84,0,78.4265774,0,20.98176905,99.40834645,0.674181786,0,0.154898763,0.829080549,0.484090945,0.645477909,1.958649404,0.730087113,0,0.167119485,0.897206598,1.936363781,1.844222598,4.677792977,80646.35327,0,3044.995921,83691.34919,4.293418776,0,6.394877087,10.68829586,5.119848584,0,1.650358476,6.77020706,23.26531087,0,36.38675725,59.65206812,16.53655674,8.144117593,19.86609226,104.1988347,30.95230655,0,39.80504764,70.75735419,16.53655674,8.144117593,19.86609226,115.3041208,772.9755606,0,338.2703591,1111.24592,0.796053939,0,0.03005692,0.82611086,8.989855062,8811.672935
San Benito,2010,LDA,Aggregate,Aggregate,Diesel,136.3774163,1544223.519,1544223.519,0,208985.6582,0,2.244213845,0,0,2.244213845,0.112157684,0,0,0.112157684,0.00340443,0.004552608,0.120114723,0.117228957,0,0,0.117228957,0.01361772,0.013007452,0.143854129,465.3418373,0,0,465.3418373,0.007774923,0,0,0.007774923,0.072959699,0,0,0.072959699,0.167389523,0,0,0.167389523,0,0,0,0.167389523,0.190561843,0,0,0.190561843,0,0,0,0.190561843,1.500384875,0,0,1.500384875,0.004387994,0,0,0.004387994,0.005276865,41.36746551
San Benito,2010,LDT1,Aggregate,Aggregate,Gasoline,1718.421008,18247440.7,18247440.7,0,2621592.056,0,10.61235611,0,2.419359565,13.03171567,0.092322315,0,0.028668196,0.120990511,0.040228721,0.064529222,0.225748454,0.099577243,0,0.030702344,0.130279587,0.160914882,0.184369206,0.475563676,7786.391945,0,367.8047508,8154.196695,0.603305961,0,0.74313097,1.346436931,0.589757205,0,0.163626712,0.753383916,3.811079667,0,4.644855536,8.455935203,2.855436079,1.618187215,3.15449735,16.08405585,4.7938705,0,5.073677355,9.867547854,2.855436079,1.618187215,3.15449735,17.4956685,104.3814084,0,46.09355298,150.4749614,0.076858875,0,0.003630572,0.080489447,0.794354521,858.5369338
San Benito,2010,LDT1,Aggregate,Aggregate,Diesel,6.032308514,41856.82412,41856.82412,0,8165.563993,0,0.045858172,0,0,0.045858172,0.006412644,0,0,0.006412644,9.22785E-05,0.000155103,0.006660025,0.006702595,0,0,0.006702595,0.000369114,0.000443151,0.00751486,19.59191375,0,0,19.59191375,0.000420481,0,0,0.000420481,0.003071764,0,0,0.003071764,0.009052716,0,0,0.009052716,0,0,0,0.009052716,0.010305915,0,0,0.010305915,0,0,0,0.010305915,0.05074031,0,0,0.05074031,0.000184744,0,0,0.000184744,0.000143032,1.741661186
San Benito,2010,LDT2,Aggregate,Aggregate,Gasoline,7656.332675,87909716.34,87909716.34,0,12071242.89,0,69.77285327,0,18.70342657,88.47627984,0.33235626,0,0.078108959,0.410465219,0.193807749,0.313684699,0.917957668,0.36062527,0,0.08446267,0.44508794,0.775230997,0.896241997,2.116560934,43487.83996,0,1823.318269,45311.15823,2.28113975,0,3.774320526,6.055460277,3.759461161,0,1.138118814,4.897579975,11.69740191,0,22.2445089,33.94191081,8.814950975,3.876505557,11.02114182,57.65450916,16.29555611,0,24.34287123,40.63842734,8.814950975,3.876505557,11.02114182,64.35102569,436.089984,0,212.1249402,648.2149242,0.429265118,0,0.017997834,0.447262952,4.049798916,4770.709404
San Benito,2010,LDT2,Aggregate,Aggregate,Diesel,1.012923779,4374.019627,4374.019627,0,1240.244873,0,0.008816461,0,0,0.008816461,0.001209396,0,0,0.001209396,9.64306E-06,1.80131E-05,0.001237052,0.001264079,0,0,0.001264079,3.85723E-05,5.14659E-05,0.001354117,2.349458146,0,0,2.349458146,7.01059E-05,0,0,7.01059E-05,0.000368365,0,0,0.000368365,0.001509338,0,0,0.001509338,0,0,0,0.001509338,0.001718281,0,0,0.001718281,0,0,0,0.001718281,0.006674569,0,0,0.006674569,2.21545E-05,0,0,2.21545E-05,1.49467E-05,0.20885964
San Benito,2010,LHDT1,Aggregate,Aggregate,Gasoline,1163.237884,12439759.4,12439759.4,0,5667077.176,0,9.199768928,0.017408226,4.01832411,13.23550126,0.054262137,0,0.006145984,0.060408121,0.027424975,0.374350909,0.462184005,0.05888594,0,0.006643056,0.065528997,0.1096999,1.069574025,1.244802921,14568.402,52.65099305,154.4198637,14775.47286,0.469915187,0.049565428,0.292233142,0.811713756,0.483197289,0.001168063,0.275666145,0.760031497,2.54977928,0.198908653,1.62307318,4.371761113,1.193690011,0.476305143,2.416864489,8.458620756,3.587149705,0.289382666,1.775384135,5.651916506,1.193690011,0.476305143,2.416864489,9.738776149,48.5806216,1.544484529,19.92743979,70.05254592,0.143803574,0.000519714,0.001524267,0.145847554,0.610200868,1555.676131
San Benito,2010,LHDT1,Aggregate,Aggregate,Diesel,1435.240086,16922123.19,16922123.19,0,5903499.321,0,104.9648342,1.34306458,0,106.3078988,1.631743961,0.015378166,0,1.647122127,0.055960343,0.509239125,2.212321595,1.705524182,0.016073498,0,1.72159768,0.223841374,1.454968928,3.400407982,10974.84183,74.24514551,0,11049.08698,0.292010819,0.002637468,0,0.294648287,1.720716033,0.011640697,0,1.73235673,6.286821001,0.056783137,0,6.343604138,0,0,0,6.343604138,7.157127733,0.064643826,0,7.221771559,0,0,0,7.221771559,20.57356499,0.470647939,0,21.04421293,0.103488523,0.000700103,0,0.104188626,0.537343473,982.2300253
