Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
San Joaquin,2010,HHDT,Aggregate,Aggregate,Gasoline,43.67320102,1379988.856,1379988.856,0,285736.9838,0,10.31176446,0,0.057499309,10.36926377,0.005118826,0,0.001941017,0.007059844,0.007605887,0.062774924,0.077440654,0.005442147,0,0.002040283,0.00748243,0.030423546,0.179356925,0.217262902,4000.527041,0,33.98792195,4034.514963,0.395297976,0,0,0.395297976,0.312563782,0,0.002427206,0.314990987,2.710338263,0,0,2.710338263,0.131430825,0.087921129,0.299435079,3.229125295,3.507050774,0,0,3.507050774,0.131430825,0.087921129,0.299435079,4.025837806,106.4654294,0,1.738442222,108.2038716,0.039488894,0,0.000335492,0.039824386,0.064590589,424.7849586
San Joaquin,2010,HHDT,Aggregate,Aggregate,Diesel,6309.080772,295895245.6,295895245.6,0,30680202.17,0,4917.288496,135.2208147,1.678087278,5054.187398,177.8261177,3.29143468,0,181.1175523,2.886578319,11.46953434,195.473665,185.8666256,3.440258751,0,189.3068844,11.54631328,32.77009812,233.6232958,558707.6042,15383.4616,0,574091.0658,14.43714782,0.907450475,0,15.34459829,87.59826764,2.41193171,0,90.01019935,310.8278336,19.53715988,0,330.3649935,0,0,0,330.3649935,353.8538279,22.24156933,0,376.0953972,0,0,0,376.0953972,1089.251938,55.28653071,0,1144.538469,5.265002016,0.144966626,0,5.409968642,10.79799491,51034.93919
San Joaquin,2010,LDA,Aggregate,Aggregate,Gasoline,204988.9468,2557777078,2557777078,0,328720989.6,0,863.5831944,0,243.9738325,1107.557027,8.3142369,0,1.778111746,10.09234865,5.638933208,8.460330496,24.19161235,9.022828386,0,1.920870402,10.94369879,22.55573283,24.17237285,57.67180447,981648.8025,0,35719.03433,1017367.837,50.35277175,0,71.50783132,121.8606031,58.12630392,0,19.2644159,77.39071982,251.8324967,0,406.3691193,658.201616,224.6732953,95.05898412,237.6123018,1215.546197,349.423295,0,444.61995,794.043245,224.6732953,95.05898412,237.6123018,1351.387826,9426.545194,0,3758.899869,13185.44506,9.689779695,0,0.352579836,10.04235953,105.8026142,107116.3593
San Joaquin,2010,LDA,Aggregate,Aggregate,Diesel,758.4326709,6502125.356,6502125.356,0,1086531.93,0,9.261199448,0,0,9.261199448,0.733590665,0,0,0.733590665,0.014334733,0.02174483,0.769670228,0.76676038,0,0,0.76676038,0.057338931,0.062128084,0.886227395,2120.422952,0,0,2120.422952,0.049689007,0,0,0.049689007,0.332455431,0,0,0.332455431,1.069775071,0,0,1.069775071,0,0,0,1.069775071,1.217867795,0,0,1.217867795,0,0,0,1.217867795,7.645642269,0,0,7.645642269,0.01999477,0,0,0.01999477,0.022218829,188.4991125
San Joaquin,2010,LDT1,Aggregate,Aggregate,Gasoline,28411.14374,289313661.2,289313661.2,0,42993743.93,0,217.881951,0,46.26135146,264.1433024,2.037806021,0,0.42441093,2.462216951,0.637827442,1.17073048,4.270774873,2.204355182,0,0.457727602,2.662082783,2.551309769,3.344944229,8.558336781,128804.6175,0,5920.675314,134725.2928,12.47922444,0,13.0735564,25.55278084,12.18159445,0,2.969440396,15.15103484,72.1789212,0,79.28070483,151.459626,58.23342032,23.99041878,63.45558875,297.1390539,94.43504383,0,86.71264987,181.1476937,58.23342032,23.99041878,63.45558875,326.8271215,2177.006697,0,818.7106973,2995.717394,1.271420455,0,0.05844253,1.329862985,15.19008626,14184.92147
San Joaquin,2010,LDT1,Aggregate,Aggregate,Diesel,50.81173246,358036.1097,358036.1097,0,67582.43065,0,0.611299873,0,0,0.611299873,0.073024552,0,0,0.073024552,0.000789335,0.001543765,0.075357651,0.076326398,0,0,0.076326398,0.003157338,0.004410758,0.083894494,180.0319769,0,0,180.0319769,0.004344786,0,0,0.004344786,0.028226731,0,0,0.028226731,0.093540689,0,0,0.093540689,0,0,0,0.093540689,0.106489855,0,0,0.106489855,0,0,0,0.106489855,0.559104613,0,0,0.559104613,0.001697632,0,0,0.001697632,0.001223468,16.0042919
San Joaquin,2010,LDT2,Aggregate,Aggregate,Gasoline,70162.51786,855471920.7,855471920.7,0,112979672.1,0,512.4301771,0,149.4587685,661.8889456,2.804863972,0,0.572373651,3.377237623,1.885992749,3.306829858,8.57006023,3.038011996,0,0.618464307,3.656476303,7.543970995,9.448085309,20.64853261,436140.0706,0,15946.30873,452086.3793,20.26484883,0,28.40166362,48.66651245,28.94563091,0,9.721298138,38.66692905,107.6188194,0,162.511191,270.1300104,68.56843412,28.75950137,71.70784136,439.1657872,145.6655294,0,177.835803,323.5013324,68.56843412,28.75950137,71.70784136,492.5371093,3877.85026,0,1502.472446,5380.322706,4.305105032,0,0.157404785,4.462509817,35.29203623,47599.15273
San Joaquin,2010,LDT2,Aggregate,Aggregate,Diesel,4.015117787,42384.98172,42384.98172,0,5993.750708,0,0.080726173,0,0,0.080726173,0.005070817,0,0,0.005070817,9.34429E-05,0.000161379,0.00532564,0.005300097,0,0,0.005300097,0.000373772,0.000461084,0.006134953,20.08578273,0,0,20.08578273,0.000331298,0,0,0.000331298,0.003149196,0,0,0.003149196,0.007132647,0,0,0.007132647,0,0,0,0.007132647,0.008120044,0,0,0.008120044,0,0,0,0.008120044,0.052430896,0,0,0.052430896,0.000189401,0,0,0.000189401,0.000144836,1.785564628
San Joaquin,2010,LHDT1,Aggregate,Aggregate,Gasoline,9918.578349,106030318.6,106030318.6,0,48321456.66,0,81.38811554,0.148217588,33.38734211,114.9236752,0.45874661,0,0.051231194,0.509977804,0.233756839,3.190780852,3.934515495,0.498019929,0,0.055432372,0.553452301,0.935027357,9.116516721,10.60499638,124111.7909,448.8940629,1314.442649,125875.1276,4.511365425,0.421177355,2.416602516,7.349145296,4.205871818,0.009936371,2.314404702,6.530212892,24.61785345,1.691877519,13.42429491,39.73402588,12.10561912,4.354411725,21.49973838,77.69379511,35.01092357,2.462787711,14.68668841,52.16039969,12.10561912,4.354411725,21.49973838,90.12016891,470.1224974,13.14981609,171.3097194,654.5820329,1.225097925,0.004430999,0.012974762,1.242503686,5.185461207,13253.10758
San Joaquin,2010,LHDT1,Aggregate,Aggregate,Diesel,8429.629843,100350161.7,100350161.7,0,34673163.44,0,599.7815324,7.888253247,0,607.6697856,9.751016555,0.090732484,0,9.841749039,0.331851355,3.01984733,13.19344772,10.19191425,0.094835004,0,10.28674926,1.327405421,8.62813523,20.24228991,65293.32793,436.0657848,0,65729.39372,1.729363005,0.015490705,0,1.74485371,10.23716587,0.068369586,0,10.30553545,37.23216731,0.333505751,0,37.56567306,0,0,0,37.56567306,42.38634712,0.379674125,0,42.76602125,0,0,0,42.76602125,119.9319402,2.76426777,0,122.696208,0.615690882,0.004111932,0,0.619802814,3.227574715,5843.141987
