Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
San Luis Obispo,2010,HHDT,Aggregate,Aggregate,Gasoline,32.57356932,881181.6686,881181.6686,0,213116.3558,0,7.19976389,0,0.054978611,7.254742501,0.003203783,0,0.001093489,0.004297272,0.004856683,0.040018551,0.049172505,0.003427316,0,0.001152921,0.004580238,0.01942673,0.114338717,0.138345685,2548.225946,0,21.50721059,2569.733157,0.316986467,0,3.93001E-06,0.316990397,0.220878129,0,0.002302599,0.223180728,2.079857412,0,2.13117E-05,2.079878724,0.07768517,0.046956378,0.194751768,2.39927204,2.812902652,0,2.33336E-05,2.812925986,0.07768517,0.046956378,0.194751768,3.132319302,62.9643671,0,1.178847643,64.14321474,0.025153342,0,0.000212296,0.025365638,0.041576693,270.561394
San Luis Obispo,2010,HHDT,Aggregate,Aggregate,Diesel,1446.72888,45159807.03,45159807.03,0,5447277.918,0,775.8643578,24.27137513,0.208697761,800.3444306,27.34652025,0.571392854,0,27.9179131,0.433118116,1.817638807,30.16867002,28.58300854,0.597228703,0,29.18023725,1.732472463,5.193253733,36.10596344,90876.22347,2365.662543,0,93241.88601,2.194174312,0.160426475,0,2.354600787,14.24823948,0.370905889,0,14.61914537,47.23997124,3.453938017,0,50.69390926,0,0,0,50.69390926,53.77911129,3.932045514,0,57.71115681,0,0,0,57.71115681,165.7836743,10.57895823,0,176.3626325,0.856375493,0.02229291,0,0.878668402,1.593133122,8288.918372
San Luis Obispo,2010,LDA,Aggregate,Aggregate,Gasoline,115150.2466,1308795823,1308795823,0,184470921.4,0,462.1188606,0,137.5209878,599.6398484,4.12074975,0,1.043723981,5.164473731,2.885400879,3.030249241,11.08012385,4.462204851,0,1.126383473,5.588588324,11.54160352,8.657854974,25.78804682,495504.6229,0,20246.03383,515750.6567,25.68450256,0,40.88377374,66.56827631,29.91567259,0,10.7491846,40.66485719,140.443359,0,234.4245632,374.8679222,114.4260607,54.59200683,131.9577124,675.8437021,186.7683179,0,256.455074,443.2233919,114.4260607,54.59200683,131.9577124,744.1991719,4379.689041,0,2175.105562,6554.794602,4.891087954,0,0.19984704,5.090934994,53.13654513,54302.22056
San Luis Obispo,2010,LDA,Aggregate,Aggregate,Diesel,1018.162173,9421809.513,9421809.513,0,1510155.464,0,11.87788537,0,0,11.87788537,0.881275409,0,0,0.881275409,0.020771534,0.021788215,0.923835159,0.921122773,0,0,0.921122773,0.083086138,0.062252042,1.066460953,3021.184784,0,0,3021.184784,0.059799931,0,0,0.059799931,0.473683464,0,0,0.473683464,1.287457317,0,0,1.287457317,0,0,0,1.287457317,1.46568456,0,0,1.46568456,0,0,0,1.46568456,10.30028002,0,0,10.30028002,0.028488606,0,0,0.028488606,0.032195869,268.5740833
San Luis Obispo,2010,LDT1,Aggregate,Aggregate,Gasoline,11770.86812,121266315.2,121266315.2,0,18124770.64,0,75.27671479,0,16.05441208,91.33112687,0.666611297,0,0.180470114,0.847081411,0.267346462,0.344300739,1.458728612,0.716493256,0,0.19310597,0.909599226,1.069385847,0.983716398,2.962701471,53549.59086,0,2465.952738,56015.54359,4.761676105,0,4.753742447,9.515418552,4.02562166,0,1.099449369,5.125071029,32.11360965,0,29.39944129,61.51305094,18.65157302,10.52177837,20.00206844,110.6884708,38.99620309,0,32.11271371,71.1089168,18.65157302,10.52177837,20.00206844,120.2843366,763.9477602,0,284.2055648,1048.153325,0.528583885,0,0.024341229,0.552925115,5.152911525,5897.749937
San Luis Obispo,2010,LDT1,Aggregate,Aggregate,Diesel,64.27645155,365451.2131,365451.2131,0,82893.99016,0,0.664784316,0,0,0.664784316,0.086907148,0,0,0.086907148,0.000805682,0.001181961,0.088894791,0.090836704,0,0,0.090836704,0.003222728,0.003377031,0.097436463,175.7424983,0,0,175.7424983,0.005440954,0,0,0.005440954,0.027554195,0,0,0.027554195,0.117140541,0,0,0.117140541,0,0,0,0.117140541,0.133356718,0,0,0.133356718,0,0,0,0.133356718,0.771699188,0,0,0.771699188,0.001657184,0,0,0.001657184,0.001248807,15.62297038
San Luis Obispo,2010,LDT2,Aggregate,Aggregate,Gasoline,51740.96614,569704760,569704760,0,82573051.08,0,408.549922,0,118.3172357,526.8671577,1.993579696,0,0.459418647,2.452998343,1.255984002,1.620445959,5.329428304,2.162842477,0,0.497692204,2.660534681,5.023936007,4.629845598,12.31431629,288671.9337,0,12020.85971,300692.7934,13.42736616,0,23.00026866,36.42763482,22.09998718,0,7.355529121,29.4555163,68.99460221,0,133.7558466,202.7504488,53.26852415,22.18974247,64.50894098,342.7176564,95.88106839,0,146.3993019,242.2803703,53.26852415,22.18974247,64.50894098,382.2475778,2456.871592,0,1275.701756,3732.573348,2.849458416,0,0.11865698,2.968115396,24.82267418,31659.26437
San Luis Obispo,2010,LDT2,Aggregate,Aggregate,Diesel,6.827605679,42927.49433,42927.49433,0,8978.861861,0,0.086701624,0,0,0.086701624,0.008892353,0,0,0.008892353,9.46389E-05,0.00013356,0.009120552,0.009294426,0,0,0.009294426,0.000378556,0.000381599,0.010054581,22.61744913,0,0,22.61744913,0.00053842,0,0,0.00053842,0.003546129,0,0,0.003546129,0.011591866,0,0,0.011591866,0,0,0,0.011591866,0.013196568,0,0,0.013196568,0,0,0,0.013196568,0.06857564,0,0,0.06857564,0.000213274,0,0,0.000213274,0.00014669,2.010622024
San Luis Obispo,2010,LHDT1,Aggregate,Aggregate,Gasoline,7223.570322,75607890.94,75607890.94,0,35191882.14,0,65.69044379,0.107527614,23.88719647,89.68516788,0.361057315,0,0.039346043,0.400403357,0.166686867,2.275275731,2.842365956,0.392177149,0,0.042628536,0.434805685,0.666747468,6.500787804,7.602340957,88700.86552,326.8363842,965.567287,89993.2692,3.575911602,0.301776495,1.787010012,5.664698108,3.312198993,0.007064471,1.627189013,4.946452477,19.34438527,1.225257246,10.01403465,30.58367717,8.578743871,3.242375984,17.06453675,59.46933377,27.7191109,1.784459562,10.95765659,40.46122705,8.578743871,3.242375984,17.06453675,69.34688365,371.2342586,9.539045061,133.2646187,514.0379224,0.875559409,0.003226177,0.00953104,0.888316626,3.702136412,9475.187844
San Luis Obispo,2010,LHDT1,Aggregate,Aggregate,Diesel,7206.841196,85017185.21,85017185.21,0,29643529.7,0,527.7699106,6.743995824,0,534.5139064,8.254334501,0.075194944,0,8.329529446,0.281146215,2.558430553,11.16910621,8.627558879,0.078594926,0,8.706153805,1.12458486,7.309801581,17.14054025,55069.21571,372.8107782,0,55442.02648,1.485771958,0.013243648,0,1.499015606,8.634154717,0.058452003,0,8.69260672,31.98779549,0.285127939,0,32.27292343,0,0,0,32.27292343,36.41597847,0.324599202,0,36.74057768,0,0,0,36.74057768,103.8267649,2.3632875,0,106.1900524,0.51928145,0.003515462,0,0.522796911,2.700288859,4928.626517
