Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Santa Barbara,2010,HHDT,Aggregate,Aggregate,Gasoline,56.91148681,1552831.58,1552831.58,0,372350.0042,0,14.23264617,0,0.119071845,14.35171802,0.007386756,0,0.003518291,0.010905047,0.008558519,0.072191671,0.091655238,0.007817256,0,0.003695749,0.011513005,0.034234076,0.206261918,0.252009,4076.321782,0,52.05126625,4128.373048,0.495697619,0,0.000127476,0.495825095,0.411959253,0,0.002218573,0.414177826,3.603901035,0,0.000665847,3.604566882,0.177872332,0.150797571,0.459358684,4.392595468,4.463490013,0,0.000729018,4.464219031,0.177872332,0.150797571,0.459358684,5.252247618,140.0859424,0,1.752231105,141.8381735,0.040237058,0,0.000513794,0.040750852,0.069075393,434.6670642
Santa Barbara,2010,HHDT,Aggregate,Aggregate,Diesel,1648.249886,50687317.06,50687317.06,0,5856200.897,0,866.4794914,28.01575816,0.227434681,894.7226842,30.82986153,0.648314259,0,31.47817579,0.48299249,2.045449702,34.00661798,32.22385107,0.677628153,0,32.90147922,1.93196996,5.844142007,40.67759118,102972.6244,2655.369051,0,105627.9935,2.455033812,0.182854083,0,2.637887895,16.14480176,0.416328196,0,16.56112996,52.85620475,3.936798273,0,56.79300302,0,0,0,56.79300302,60.17276562,4.481745159,0,64.65451078,0,0,0,64.65451078,185.957241,12.25623506,0,198.213476,0.97036638,0.02502297,0,0.995389349,1.783834081,9390.005427
Santa Barbara,2010,LDA,Aggregate,Aggregate,Gasoline,137477.2263,1500606143,1500606143,0,219012260.5,0,576.5750356,0,171.7880332,748.3630688,4.791077591,0,1.304656338,6.095733929,3.308270249,3.811239923,13.2152441,5.195983124,0,1.409726326,6.60570945,13.233081,10.88925692,30.72804737,542544.294,0,24362.52396,566906.818,28.87589023,0,51.53633089,80.41222112,37.28829739,0,13.15990471,50.4482021,149.729929,0,296.0528068,445.7827357,142.8712377,68.42926212,176.9724788,834.0557143,204.7766542,0,323.9198701,528.6965244,142.8712377,68.42926212,176.9724788,916.969503,5154.883208,0,2775.311752,7930.19496,5.355412924,0,0.240480597,5.59589352,64.75550892,59688.33712
Santa Barbara,2010,LDA,Aggregate,Aggregate,Diesel,1041.86445,9215079.113,9215079.113,0,1540508.924,0,11.55474866,0,0,11.55474866,0.818159778,0,0,0.818159778,0.020315772,0.023344856,0.861820406,0.855153333,0,0,0.855153333,0.081263087,0.066699587,1.003116008,2762.767194,0,0,2762.767194,0.055390299,0,0,0.055390299,0.433166863,0,0,0.433166863,1.192520518,0,0,1.192520518,0,0,0,1.192520518,1.357605326,0,0,1.357605326,0,0,0,1.357605326,9.313048206,0,0,9.313048206,0.026051828,0,0,0.026051828,0.031489437,245.6015502
Santa Barbara,2010,LDT1,Aggregate,Aggregate,Gasoline,10999.34328,115231870,115231870,0,17131624.55,0,69.25540108,0,14.40993979,83.66534087,0.592512601,0,0.155163928,0.747676529,0.254042787,0.340827588,1.342546904,0.635906309,0,0.166165916,0.802072225,1.01617115,0.973793108,2.792036482,48812.57467,0,2275.628908,51088.20357,4.38111478,0,4.186218846,8.567333627,3.651966768,0,1.024251602,4.67621837,30.101804,0,25.3633982,55.46520219,15.45825115,8.980131529,17.07065949,96.97424437,36.05061401,0,27.70798067,63.75859467,15.45825115,8.980131529,17.07065949,105.2676368,692.2948014,0,248.6967274,940.9915288,0.481825164,0,0.022462558,0.504287721,4.709221955,5378.961447
Santa Barbara,2010,LDT1,Aggregate,Aggregate,Diesel,48.55683106,322867.6957,322867.6957,0,62785.19373,0,0.588442306,0,0,0.588442306,0.070111541,0,0,0.070111541,0.000711801,0.001078162,0.071901504,0.073281673,0,0,0.073281673,0.002847206,0.003080462,0.079209341,149.2977077,0,0,149.2977077,0.00434247,0,0,0.00434247,0.023407987,0,0,0.023407987,0.093490825,0,0,0.093490825,0,0,0,0.093490825,0.106433089,0,0,0.106433089,0,0,0,0.106433089,0.557448548,0,0,0.557448548,0.00140782,0,0,0.00140782,0.001103292,13.27210941
Santa Barbara,2010,LDT2,Aggregate,Aggregate,Gasoline,61114.35488,649409814.9,649409814.9,0,96917620.23,0,516.674377,0,147.2180923,663.8924693,2.394323215,0,0.574475766,2.968798981,1.431703569,1.952156862,6.352659412,2.596816458,0,0.622587378,3.219403836,5.726814275,5.577591035,14.52380915,316371.9111,0,14360.3367,330732.2478,16.42070992,0,28.72267718,45.1433871,27.52020744,0,8.980646051,36.50085349,85.30738517,0,167.8400885,253.1474736,65.8865086,28.21385806,84.60003514,431.8478754,117.9652606,0,183.7116956,301.6769562,65.8865086,28.21385806,84.60003514,480.377358,3047.206722,0,1607.661497,4654.86822,3.122882759,0,0.141749777,3.264632536,29.82773603,34822.05061
Santa Barbara,2010,LDT2,Aggregate,Aggregate,Diesel,6.714639054,46757.22789,46757.22789,0,8736.412192,0,0.098579373,0,0,0.098579373,0.010237526,0,0,0.010237526,0.000103082,0.000153007,0.010493615,0.010700421,0,0,0.010700421,0.000412328,0.000437164,0.011549913,22.6671476,0,0,22.6671476,0.000655684,0,0,0.000655684,0.003553921,0,0,0.003553921,0.014116491,0,0,0.014116491,0,0,0,0.014116491,0.016070687,0,0,0.016070687,0,0,0,0.016070687,0.071096706,0,0,0.071096706,0.000213742,0,0,0.000213742,0.000159777,2.015040066
Santa Barbara,2010,LHDT1,Aggregate,Aggregate,Gasoline,7833.575855,81231964.52,81231964.52,0,38163714.89,0,73.62765866,0.116505809,25.50544401,99.24960848,0.401414892,0,0.043865507,0.445280399,0.179085827,2.444521533,3.068887759,0.436051578,0,0.047537233,0.483588811,0.716343306,6.984347237,8.184279354,95524.83693,354.4148249,1047.902289,96927.15404,4.168222313,0.324890609,1.958788635,6.451901557,3.678669536,0.007596633,1.733094109,5.419360277,22.73816163,1.327046855,11.02414586,35.08935434,9.307430412,3.689030233,19.01808382,67.1038988,32.65890122,1.932851767,12.06325918,46.65501216,9.307430412,3.689030233,19.01808382,78.66955663,436.8553122,10.33518486,146.2642158,593.4547129,0.942918305,0.003498401,0.010343763,0.956760469,3.964398169,10205.2409
Santa Barbara,2010,LHDT1,Aggregate,Aggregate,Diesel,4263.724395,51022595.19,51022595.19,0,17537758.55,0,299.8543366,3.989894981,0,303.8442315,5.097994089,0.046907897,0,5.144901987,0.168728351,1.535427998,6.849058336,5.32850276,0.049028864,0,5.377531624,0.674913406,4.386937136,10.43938217,33481.79037,220.5629855,0,33702.35336,0.88926744,0.007835231,0,0.897102671,5.249520164,0.034581479,0,5.284101644,19.14540442,0.168687906,0,19.31409232,0,0,0,19.31409232,21.79577006,0.192039966,0,21.98781002,0,0,0,21.98781002,60.94780766,1.398172416,0,62.34598008,0.315720361,0.002079824,0,0.317800184,1.656184773,2996.036093
Santa Barbara,2010,LHDT2,Aggregate,Aggregate,Gasoline,1066.294046,11493633.27,11493633.27,0,5194784.949,0,8.825545341,0.015960343,3.751925827,12.59343151,0.045124409,0,0.00462271,0.049747119,0.025339124,0.403525548,0.478611791,0.049032802,0,0.005013505,0.054046307,0.101356496,1.152930138,1.30833294,15332.77395,55.65123483,159.2855986,15547.71078,0.423368573,0.045760071,0.25927974,0.728408384,0.450278175,0.0010728,0.259740742,0.711091717,2.220251367,0.182073191,1.427907847,3.830232405,1.012489091,0.401861924,2.11659669,7.36118011,3.197329224,0.265385104,1.562832881,5.02554721,1.012489091,0.401861924,2.11659669,8.556494914,43.17081737,1.416140567,19.44123909,64.02819703,0.15134863,0.000549329,0.001572296,0.153470255,0.567455488,1636.983316
Santa Barbara,2010,LHDT2,Aggregate,Aggregate,Diesel,1197.713035,14155231.15,14155231.15,0,4926491.507,0,81.46208147,1.120792243,0,82.58287372,1.408830382,0.012534203,0,1.421364584,0.046810414,0.496970564,1.965145563,1.47253144,0.013100944,0,1.485632384,0.187241657,1.419915898,3.092789938,11742.17424,98.17366075,0,11840.3479,0.247250338,0.002200977,0,0.249451315,1.841024024,0.015392385,0,1.856416409,5.323154215,0.047385733,0,5.370539947,0,0,0,5.370539947,6.060057166,0.053945506,0,6.114002672,0,0,0,6.114002672,16.5133022,0.392757405,0,16.9060596,0.110724171,0.00092574,0,0.111649911,0.467491343,1052.5707
Santa Barbara,2010,MCY,Aggregate,Aggregate,Gasoline,9280.243571,19127968.46,19127968.46,0,6440489.038,0,22.56373647,0,1.951252863,24.51498933,0.048746405,0,0.048443882,0.097190287,0.021084976,0.088556899,0.206832162,0.051259916,0,0.05086268,0.102122596,0.084339904,0.253019712,0.439482212,4249.62913,0,523.168449,4772.797579,6.281982711,0,2.227438572,8.509421284,1.288674356,0,0.10726199,1.395936346,47.25637564,0,17.61710905,64.87348468,17.34964494,25.33368599,26.14397636,133.700792,53.55790474,0,19.12272227,72.68062701,17.34964494,25.33368599,26.14397636,141.5079343,532.9993486,0,66.14505787,599.1444065,0.041947762,0,0.005164155,0.047111917,0.1566101,502.517066
Santa Barbara,2010,MDV,Aggregate,Aggregate,Gasoline,46316.75755,536656385.5,536656385.5,0,75587253.42,0,314.4421724,0,104.0858824,418.5280548,1.269602552,0,0.352226083,1.621828634,1.183124808,1.598263126,4.403216568,1.377264635,0,0.381907501,1.759172136,4.732499231,4.566466074,11.05813744,293411.0755,0,11729.62326,305140.6987,10.31999583,0,21.63323689,31.95323273,18.02087377,0,6.650002019,24.67087579,52.78054364,0,124.1431113,176.923655,29.80749572,13.03592046,35.49981039,255.2668815,72.97171623,0,135.8868719,208.8585882,29.80749572,13.03592046,35.49981039,287.2018147,1895.89468,0,934.4204849,2830.315165,2.896238119,0,0.115782207,3.012020326,21.33086833,32127.57426
Santa Barbara,2010,MDV,Aggregate,Aggregate,Diesel,107.8671761,1162798.275,1162798.275,0,167782.2222,0,0.653821494,0,0,0.653821494,0.075905039,0,0,0.075905039,0.002563531,0.003248642,0.081717213,0.079337128,0,0,0.079337128,0.010254126,0.009281834,0.098873088,607.2430223,0,0,607.2430223,0.004918154,0,0,0.004918154,0.095208006,0,0,0.095208006,0.105884954,0,0,0.105884954,0,0,0,0.105884954,0.12054298,0,0,0.12054298,0,0,0,0.12054298,0.701727421,0,0,0.701727421,0.005726067,0,0,0.005726067,0.003973473,53.98204668
Santa Barbara,2010,MH,Aggregate,Aggregate,Gasoline,2235.52292,5543564.535,5543564.535,0,73130.84013,0,10.17336459,0,0.030324764,10.20368935,0.034756626,0,0.000188956,0.034945583,0.018332202,0.097066447,0.150344231,0.037310522,0,0.000200706,0.037511228,0.073328807,0.277332705,0.38817274,11689.76866,0,3.739593554,11693.50826,0.607173166,0,0.006810595,0.613983762,0.44744692,0,0.002145768,0.449592688,3.884536424,0,0.046163778,3.930700202,5.370051345,2.656615356,0.044506916,12.00187382,4.928366037,0,0.050244366,4.978610403,5.370051345,2.656615356,0.044506916,13.04978402,115.187763,0,0.422565934,115.610329,0.115388806,0,3.69132E-05,0.115425719,0.246267271,1231.183046
Santa Barbara,2010,MH,Aggregate,Aggregate,Diesel,309.7901073,1072303.829,1072303.829,0,10130.13651,0,8.276695425,0,0,8.276695425,0.237655976,0,0,0.237655976,0.004728051,0.018674078,0.261058105,0.248401724,0,0,0.248401724,0.018912202,0.05335451,0.320668436,1274.995608,0,0,1274.995608,0.008448607,0,0,0.008448607,0.199903144,0,0,0.199903144,0.181893539,0,0,0.181893539,0,0,0,0.181893539,0.207073701,0,0,0.207073701,0,0,0,0.207073701,0.709482432,0,0,0.709482432,0.012022716,0,0,0.012022716,0.035219403,113.3432084
Santa Barbara,2010,MHDT,Aggregate,Aggregate,Gasoline,822.7632837,12203028.26,12203028.26,0,5383024.224,0,37.1542661,0.024698386,3.376879023,40.55584351,0.060946475,0,0.020507205,0.081453679,0.040354608,0.213672013,0.335480301,0.065626711,0,0.021755225,0.087381936,0.161418433,0.610491466,0.859291835,25690.31341,166.0219723,421.9632767,26278.29865,1.525618945,0.057900976,0.698784413,2.282304334,1.493090936,0.00119243,0.158838868,1.653122233,9.146387944,0.29507109,5.392777124,14.83423616,1.712471706,0.941005072,4.720817757,22.20853069,12.35727374,0.412381543,5.870814372,18.64046966,1.712471706,0.941005072,4.720817757,26.01476419,224.1459718,4.463921531,49.78843315,278.3983265,0.253587104,0.00163879,0.004165167,0.259391061,0.576729685,2766.782651
Santa Barbara,2010,MHDT,Aggregate,Aggregate,Diesel,3051.487311,37174301.7,37174301.7,0,11291230.82,0,415.3046123,42.44480551,0.169939869,457.9193576,15.10334829,0.652938714,0,15.75628701,0.12293296,0.650246799,16.52946677,15.78625468,0.682461706,0,16.46871639,0.491731839,1.857847997,18.81829623,50205.45495,2613.521997,0,52818.97695,1.316271495,0.095526082,0,1.411797577,7.871578706,0.409767108,0,8.281345814,28.33896434,2.056650355,0,30.3956147,0,0,0,30.3956147,32.2617537,2.341339875,0,34.60309358,0,0,0,34.60309358,74.74371003,13.94585884,0,88.68956887,0.473112984,0.024628622,0,0.497741606,1.216628394,4695.445439
Santa Barbara,2010,OBUS,Aggregate,Aggregate,Gasoline,173.3133248,3789801.489,3789801.489,0,1133922.532,0,6.671491303,0.003987595,0.595061649,7.270540547,0.006364096,0,0.001329324,0.007693421,0.012532623,0.065999065,0.086225109,0.006883116,0,0.00141375,0.008296866,0.050130493,0.188568757,0.246996116,7880.067406,24.60249238,49.9535325,7954.623431,0.194991513,0.011212421,0.075127498,0.281331431,0.282348485,0.000267086,0.036544104,0.319159675,1.017711025,0.045981532,0.490357605,1.554050162,0.154467742,0.078202874,0.249979296,2.036700074,1.426808886,0.066321419,0.534924715,2.02805502,0.154467742,0.078202874,0.249979296,2.510704931,26.75323328,0.353807305,6.695438524,33.80247911,0.077783538,0.000242849,0.000493087,0.078519475,0.186199334,837.5243161
