Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Santa Clara,2010,HHDT,Aggregate,Aggregate,Gasoline,92.43555932,2241766.109,2241766.109,0,604770.3694,0,20.20761912,0,0.053786379,20.2614055,0.011859439,0,0.005278142,0.017137581,0.012355621,0.102125314,0.131618515,0.012578542,0,0.005542999,0.018121541,0.049422483,0.291786611,0.359330634,6541.276602,0,81.14731492,6622.423917,0.968915856,0,0,0.968915856,0.613091614,0,0.001612538,0.614704152,6.786776646,0,0,6.786776646,0.270653229,0.21847274,0.648082382,7.923984997,8.758998778,0,0,8.758998778,0.270653229,0.21847274,0.648082382,9.896207129,193.6070295,0,2.791535339,196.3985648,0.064568437,0,0.000800999,0.065369436,0.102967521,697.2600412
Santa Clara,2010,HHDT,Aggregate,Aggregate,Diesel,6390.73821,259808352.1,259808352.1,0,26978990.04,0,4388.037043,131.5974699,1.25509276,4520.889606,148.8861524,2.687678638,0,151.573831,2.513466369,10.46001897,164.5473163,155.6181235,2.80920354,0,158.427327,10.05386548,29.88576847,198.366961,515692.2751,12772.02291,0,528464.298,12.3431649,0.773057668,0,13.11622257,80.85400949,2.002491237,0,82.85650073,265.7449556,16.6437196,0,282.3886752,0,0,0,282.3886752,302.5304031,18.94760782,0,321.478011,0,0,0,321.478011,918.0150035,53.36820308,0,971.3832065,4.859645452,0.120357636,0,4.980003088,9.261918711,46978.85913
Santa Clara,2010,LDA,Aggregate,Aggregate,Gasoline,617502.6283,7156390200,7156390200,0,996944473.9,0,2353.298922,0,732.746659,3086.045581,20.82175126,0,4.84705213,25.66880339,15.77713973,21.82083574,63.26677885,22.59260447,0,5.244459283,27.83706375,63.1085589,62.34524496,153.2908676,2652912.923,0,106794.3317,2759707.255,127.0070331,0,212.2871572,339.2941904,157.537984,0,58.17118347,215.7091675,639.0426001,0,1196.184825,1835.227425,562.0592617,247.8856771,651.2570893,3296.429453,883.8114637,0,1309.03302,2192.844484,562.0592617,247.8856771,651.2570893,3654.046512,23703.25609,0,11133.46635,34836.72244,26.18669906,0,1.05415862,27.24085768,292.2907351,290563.3373
Santa Clara,2010,LDA,Aggregate,Aggregate,Diesel,2553.177868,23070855.96,23070855.96,0,3757387.792,0,28.26004447,0,0,28.26004447,2.267047554,0,0,2.267047554,0.050862531,0.07063491,2.388544996,2.369553385,0,0,2.369553385,0.203450124,0.20181403,2.774817538,7245.751178,0,0,7245.751178,0.152114596,0,0,0.152114596,1.136041905,0,0,1.136041905,3.27493769,0,0,3.27493769,0,0,0,3.27493769,3.728298828,0,0,3.728298828,0,0,0,3.728298828,23.76123823,0,0,23.76123823,0.068324637,0,0,0.068324637,0.0788369,644.1251097
Santa Clara,2010,LDT1,Aggregate,Aggregate,Gasoline,63760.3569,636258432.6,636258432.6,0,98734996.77,0,423.5895561,0,95.14532771,518.7348838,3.726500712,0,0.8057674,4.532268112,1.402709734,2.370028991,8.305006837,4.029163723,0,0.870504145,4.899667869,5.610838935,6.771511404,17.28201821,273643.3947,0,13039.70855,286683.1032,22.93352709,0,26.8088911,49.74241819,23.49006139,0,6.36919526,29.85925665,134.1282269,0,159.657383,293.7856099,102.8855674,43.66322957,120.906661,561.2410679,174.2978481,0,174.6693949,348.967243,102.8855674,43.66322957,120.906661,616.422701,4015.217003,0,1680.094945,5695.311948,2.701112865,0,0.128713958,2.829826823,30.39874289,30184.21576
Santa Clara,2010,LDT1,Aggregate,Aggregate,Diesel,103.8493744,724997.7658,724997.7658,0,136733.1934,0,1.275724416,0,0,1.275724416,0.155659133,0,0,0.155659133,0.001598346,0.003019136,0.160276616,0.162697349,0,0,0.162697349,0.006393386,0.008626104,0.177716838,348.0410509,0,0,348.0410509,0.009588035,0,0,0.009588035,0.054568423,0,0,0.054568423,0.206424756,0,0,0.206424756,0,0,0,0.206424756,0.235000861,0,0,0.235000861,0,0,0,0.235000861,1.241232918,0,0,1.241232918,0.003281893,0,0,0.003281893,0.002477436,30.93978451
Santa Clara,2010,LDT2,Aggregate,Aggregate,Gasoline,198252.4828,2233898123,2233898123,0,323989315.6,0,1149.906044,0,398.7070831,1548.613127,5.661682538,0,1.275469285,6.937151823,4.924902337,8.0355488,19.89760296,6.136727693,0,1.382058841,7.518786534,19.69960935,22.95871086,50.17710674,1095509.767,0,44224.60476,1139734.372,40.6296022,0,73.97671013,114.6063123,66.16653403,0,26.67789945,92.84443348,209.2964265,0,414.2957606,623.5921871,136.6031609,58.59229924,154.0616016,972.8492488,286.5222322,0,453.4824921,740.0047243,136.6031609,58.59229924,154.0616016,1089.261786,8094.12606,0,3848.112214,11942.23827,10.8136925,0,0.436537666,11.25023017,87.82375419,120000.0551
Santa Clara,2010,LDT2,Aggregate,Aggregate,Diesel,18.86736308,166079.7175,166079.7175,0,27176.28189,0,0.295755772,0,0,0.295755772,0.025295322,0,0,0.025295322,0.000366143,0.000640422,0.026301887,0.026439065,0,0,0.026439065,0.001464572,0.001829777,0.029733414,79.36859463,0,0,79.36859463,0.001666428,0,0,0.001666428,0.012443989,0,0,0.012443989,0.03587722,0,0,0.03587722,0,0,0,0.03587722,0.04084383,0,0,0.04084383,0,0,0,0.04084383,0.221404656,0,0,0.221404656,0.000748415,0,0,0.000748415,0.000567522,7.055625216
Santa Clara,2010,LHDT1,Aggregate,Aggregate,Gasoline,18860.7248,202826935.8,202826935.8,0,91885919.93,0,147.6684988,0.28264849,64.24535963,212.1965069,0.824443027,0,0.088430152,0.91287318,0.447156851,6.103691017,7.463721048,0.895674497,0,0.09586462,0.991539117,1.788627406,17.43911719,20.21928371,237477.4192,853.7651037,2471.668144,240802.8524,7.83984053,0.80684463,4.637334735,13.28401989,7.727357828,0.019062906,4.477264924,12.22368566,42.03849396,3.226085085,25.3801349,70.64471395,19.65924805,7.402894236,37.08023458,134.7870908,60.36053779,4.700975797,27.77606844,92.83758202,19.65924805,7.402894236,37.08023458,156.9799589,803.6739942,25.07796384,321.7888122,1150.54077,2.344121307,0.00842745,0.024397646,2.376946403,9.95181926,25353.58789
Santa Clara,2010,LHDT1,Aggregate,Aggregate,Diesel,7737.324918,90238518.35,90238518.35,0,31825541.15,0,552.0345418,7.24041026,0,559.274952,8.885070117,0.087767045,0,8.972837162,0.298412819,2.715556647,11.98680663,9.28681356,0.091735482,0,9.378549042,1.193651275,7.758733277,18.33093359,59145.49463,400.2527662,0,59545.7474,1.572169548,0.014218491,0,1.586388039,9.273263564,0.062754558,0,9.336018122,33.84788473,0.306115738,0,34.15400047,0,0,0,34.15400047,38.53356641,0.348492416,0,38.88205882,0,0,0,38.88205882,110.0969277,2.537245205,0,112.6341729,0.557719187,0.003774229,0,0.561493416,2.88880659,5293.43475
