Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Santa Cruz,2010,HHDT,Aggregate,Aggregate,Gasoline,18.28209976,473198.8387,473198.8387,0,119612.7584,0,4.051650947,0,0.16026564,4.211916587,0.002086795,0,0.000647049,0.002733845,0.002608062,0.021525551,0.026867458,0.002233026,0,0.000682006,0.002915032,0.010432249,0.061501575,0.074848856,1366.019394,0,12.51317797,1378.532572,0.16311154,0,0,0.16311154,0.115095251,0,0.006221321,0.121316571,1.09759929,0,0,1.09759929,0.049717637,0.033052688,0.137805984,1.318175598,1.464365516,0,0,1.464365516,0.049717637,0.033052688,0.137805984,1.684941824,32.3930515,0,0.755121364,33.14817286,0.013483872,0,0.000123517,0.013607389,0.022469919,145.1425777
Santa Cruz,2010,HHDT,Aggregate,Aggregate,Diesel,576.1952041,17257530.73,17257530.73,0,1720711.88,0,310.7416414,9.231129854,0.038885053,320.0116563,10.28664705,0.221105094,0,10.50775215,0.161304724,0.758197111,11.42725398,10.75176359,0.231102485,0,10.98286607,0.645218895,2.16627746,13.79436243,39744.74754,808.4282428,0,40553.17578,0.813515698,0.062344965,0,0.875860663,6.231472431,0.126751297,0,6.358223728,17.51476989,1.34227001,0,18.8570399,0,0,0,18.8570399,19.93923228,1.528072231,0,21.46730451,0,0,0,21.46730451,61.24270869,4.226948165,0,65.46965686,0.374536116,0.007618254,0,0.38215437,0.584397784,3605.053245
Santa Cruz,2010,LDA,Aggregate,Aggregate,Gasoline,73386.92225,775472429.1,775472429.1,0,116384131.6,0,351.7741119,0,97.25449289,449.0286048,3.383150846,0,0.719415066,4.102565913,1.70962406,2.862207142,8.674397114,3.664227284,0,0.777460094,4.441687378,6.838496239,8.177734691,19.45791831,290749.5262,0,13206.4086,303955.9348,21.0035744,0,29.24857079,50.2521452,21.91115854,0,7.198063567,29.1092221,116.1012488,0,170.9703888,287.0716376,75.78588227,36.86980202,98.69041531,498.4177372,154.7996105,0,187.0653092,341.8649197,75.78588227,36.86980202,98.69041531,553.2110193,3457.775923,0,1607.531959,5065.307882,2.869966171,0,0.130359442,3.000325613,34.44129927,32002.83315
Santa Cruz,2010,LDA,Aggregate,Aggregate,Diesel,996.9365987,9059562.734,9059562.734,0,1476189.902,0,12.73454881,0,0,12.73454881,1.012384593,0,0,1.012384593,0.019972917,0.033591638,1.065949148,1.058160132,0,0,1.058160132,0.079891668,0.09597611,1.234027909,2969.224648,0,0,2969.224648,0.068387878,0,0,0.068387878,0.465536774,0,0,0.465536774,1.472350742,0,0,1.472350742,0,0,0,1.472350742,1.676173432,0,0,1.676173432,0,0,0,1.676173432,10.15364961,0,0,10.15364961,0.027998642,0,0,0.027998642,0.030958012,263.9549862
Santa Cruz,2010,LDT1,Aggregate,Aggregate,Gasoline,6391.695926,68127958.27,68127958.27,0,9898556.351,0,41.40931182,0,8.761894719,50.17120654,0.406914335,0,0.092699417,0.499613752,0.150196438,0.302276342,0.952086532,0.436890321,0,0.099178743,0.536069063,0.600785752,0.863646691,2.000501507,29695.65126,0,1337.63451,31033.28577,3.015841104,0,2.579812952,5.595654055,2.232585519,0,0.610129124,2.842714643,20.83101434,0,15.90956569,36.74058003,8.84366235,5.391016707,10.09501684,61.07027592,24.98373729,0,17.37762241,42.3613597,8.84366235,5.391016707,10.09501684,66.6910556,438.7332882,0,152.6965288,591.429817,0.293123486,0,0.013203687,0.306327173,2.845128575,3267.424494
Santa Cruz,2010,LDT1,Aggregate,Aggregate,Diesel,35.17257325,222819.7381,222819.7381,0,45528.4903,0,0.379227919,0,0,0.379227919,0.05291821,0,0,0.05291821,0.000491233,0.001119346,0.054528789,0.055310937,0,0,0.055310937,0.001964934,0.003198131,0.060474001,110.7654103,0,0,110.7654103,0.003194481,0,0,0.003194481,0.017366612,0,0,0.017366612,0.068775286,0,0,0.068775286,0,0,0,0.068775286,0.078296091,0,0,0.078296091,0,0,0,0.078296091,0.337981432,0,0,0.337981432,0.001044475,0,0,0.001044475,0.000761412,9.846706067
Santa Cruz,2010,LDT2,Aggregate,Aggregate,Gasoline,34477.66531,369171238.9,369171238.9,0,54184888.95,0,339.7008548,0,89.68371645,429.3845712,1.785479512,0,0.34960933,2.135088842,0.813883265,1.674278574,4.62325068,1.937734863,0,0.379031336,2.3167662,3.255533059,4.783653067,10.35595233,186867.909,0,8299.960705,195167.8697,12.09802867,0,17.70689529,29.80492396,17.79866264,0,5.270620342,23.06928298,62.51413384,0,105.5959111,168.110045,39.27784698,16.78522985,52.83517128,277.0082931,87.44006481,0,115.5847517,203.0248165,39.27784698,16.78522985,52.83517128,311.9230646,2146.018134,0,1020.793495,3166.811629,1.844558731,0,0.081928273,1.926487004,17.81224982,20548.78373
Santa Cruz,2010,LDT2,Aggregate,Aggregate,Diesel,3.851773916,32881.47435,32881.47435,0,5512.538969,0,0.057656818,0,0,0.057656818,0.004635591,0,0,0.004635591,7.24912E-05,0.000153243,0.004861325,0.004845192,0,0,0.004845192,0.000289965,0.000437836,0.005572993,16.05970798,0,0,16.05970798,0.000284923,0,0,0.000284923,0.002517959,0,0,0.002517959,0.006134217,0,0,0.006134217,0,0,0,0.006134217,0.006983399,0,0,0.006983399,0,0,0,0.006983399,0.044438721,0,0,0.044438721,0.000151437,0,0,0.000151437,0.000112361,1.427658901
Santa Cruz,2010,LHDT1,Aggregate,Aggregate,Gasoline,3908.849473,40558240.99,40558240.99,0,19043182.78,0,36.24525291,0.058141857,12.99920733,49.3026021,0.202012567,0,0.023047741,0.225060308,0.089415616,1.220523153,1.534999076,0.219286876,0,0.02493244,0.244219316,0.357662463,3.487209008,4.089090787,47551.69877,176.8495433,528.0535172,48256.60183,2.035681665,0.162098582,1.008187804,3.205968052,1.814883095,0.003786498,0.880804298,2.699473891,11.23765983,0.662950418,5.721606138,17.62221638,4.458229156,1.81346446,9.44438336,33.33829336,15.96665301,0.964566895,6.258869308,23.19008922,4.458229156,1.81346446,9.44438336,38.90616619,217.8912393,5.157688867,73.38328353,296.4322117,0.469379155,0.001745668,0.005212376,0.476337199,1.977465975,5080.828501
Santa Cruz,2010,LHDT1,Aggregate,Aggregate,Diesel,2619.219652,29207466.66,29207466.66,0,10773501.65,0,191.8624558,2.451005359,0,194.3134611,2.812921822,0.032085339,0,2.845007161,0.096587163,0.878943179,3.820537503,2.940109665,0.033536096,0,2.973645761,0.386348651,2.511266227,5.871260638,19000.13504,135.4925536,0,19135.62759,0.501340836,0.004813208,0,0.506154044,2.978980243,0.021243514,0,3.000223757,10.79357304,0.103625525,0,10.89719856,0,0,0,10.89719856,12.2877653,0.117970771,0,12.40573607,0,0,0,12.40573607,36.43447853,0.858901826,0,37.29338036,0.17916394,0.001277642,0,0.180441583,0.917964968,1701.098743
Santa Cruz,2010,LHDT2,Aggregate,Aggregate,Gasoline,445.3897539,4610714.393,4610714.393,0,2169855.49,0,4.54699822,0.006601757,1.527767172,6.081367149,0.022133904,0,0.002149464,0.024283368,0.010164885,0.161875798,0.196324051,0.02407264,0,0.002337738,0.026410378,0.040659541,0.462502279,0.529572198,6134.625137,23.23199112,67.76632071,6225.623449,0.219991535,0.018377759,0.110341305,0.3487106,0.221546841,0.000423698,0.102032783,0.324003322,1.139613495,0.075000677,0.616455755,1.831069927,0.507709199,0.196276605,1.154388169,3.6894439,1.662921337,0.109440812,0.674941457,2.447303606,0.507709199,0.196276605,1.154388169,4.305677578,22.70692573,0.58568245,9.448630758,32.74123894,0.060554412,0.000229321,0.000668916,0.061452649,0.227402544,655.4818171
Santa Cruz,2010,LHDT2,Aggregate,Aggregate,Diesel,635.989966,7202212.92,7202212.92,0,2615984.859,0,43.23617432,0.595144746,0,43.83131906,0.699898351,0.007514336,0,0.707412687,0.023817242,0.252859722,0.984089652,0.731544649,0.007854101,0,0.73939875,0.095268969,0.72245635,1.557124069,5849.543099,51.49939619,0,5901.042495,0.120622262,0.001168727,0,0.121790988,0.917134183,0.008074452,0,0.925208635,2.596926275,0.025161996,0,2.622088271,0,0,0,2.622088271,2.956427909,0.028645259,0,2.985073168,0,0,0,2.985073168,8.483141131,0.208555607,0,8.691696738,0.055158934,0.000485619,0,0.055644553,0.234752025,524.5846222
Santa Cruz,2010,MCY,Aggregate,Aggregate,Gasoline,5994.794028,11470492.63,11470492.63,0,4160387.055,0,13.48776933,0,1.31412885,14.80189818,0.041206951,0,0.039889535,0.081096486,0.012644054,0.053105026,0.146845566,0.043315617,0,0.041870346,0.085185963,0.050576215,0.151728645,0.287490823,2638.764247,0,349.5930906,2988.357338,4.427795555,0,1.553838335,5.98163389,0.773629925,0,0.072891134,0.846521059,34.06095255,0,12.5720683,46.63302085,11.26973983,16.0727432,17.24002667,91.21553055,38.54317855,0,13.64522142,52.18839997,11.26973983,16.0727432,17.24002667,96.77090968,337.3852469,0,45.24120644,382.6264534,0.026047039,0,0.003450806,0.029497845,0.091934911,314.6373876
