Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Sierra,2010,HHDT,Aggregate,Aggregate,Gasoline,8.001081769,61233.95737,61233.95737,0,52348.0056,0,1.187572394,0,0.001668177,1.189240572,0.00105521,0,0.00078956,0.001844769,0.000337494,0.002880072,0.005062336,0.001110691,0,0.000827887,0.001938577,0.001349978,0.008228779,0.011517333,178.2725874,0,9.969436237,188.2420236,0.052831664,0,7.75679E-07,0.052832439,0.029148344,0,5.24346E-05,0.029200778,0.468527498,0,4.03246E-06,0.468531531,0.031256912,0.025140167,0.089057953,0.613986562,0.526855604,0,4.41503E-06,0.526860019,0.031256912,0.025140167,0.089057953,0.67231505,16.00970067,0,0.170482875,16.18018355,0.001759715,0,9.84075E-05,0.001858123,0.001903889,19.81957706
Sierra,2010,HHDT,Aggregate,Aggregate,Diesel,25.4621041,908197.7052,908197.7052,0,77941.7747,0,16.66638952,0.477258053,0.00262554,17.14627311,0.6622741,0.019665984,0,0.681940084,0.008791185,0.037740479,0.728471748,0.692219196,0.020555193,0,0.712774389,0.035164739,0.107829939,0.855769067,1855.267719,51.15152683,0,1906.419246,0.0529725,0.005098577,0,0.058071077,0.290882453,0.008019911,0,0.298902363,1.140483395,0.109770971,0,1.250254366,0,0,0,1.250254366,1.29835353,0.124965895,0,1.423319425,0,0,0,1.423319425,3.938951378,0.281226305,0,4.220177683,0.017483185,0.000482028,0,0.017965213,0.031536386,169.4748379
Sierra,2010,LDA,Aggregate,Aggregate,Gasoline,4473.436139,51826503.67,51826503.67,0,7173942.655,0,21.11622208,0,5.744379016,26.86060109,0.239501876,0,0.04010226,0.279604137,0.114257882,0.187773347,0.581635366,0.259767776,0,0.043334429,0.303102205,0.45703153,0.536495276,1.29662901,21535.82396,0,814.0825732,22349.90653,1.397498038,0,1.789410233,3.18690827,1.333440371,0,0.431864814,1.765305184,7.5405542,0,10.58077403,18.12132823,3.949742731,1.834111138,5.370287349,29.27546944,10.2706078,0,11.57623558,21.84684338,3.949742731,1.834111138,5.370287349,33.0009846,216.0593808,0,100.4801793,316.5395601,0.212578459,0,0.008035746,0.220614205,2.117931189,2353.171127
Sierra,2010,LDA,Aggregate,Aggregate,Diesel,22.36765362,207895.2978,207895.2978,0,32956.27074,0,0.221323473,0,0,0.221323473,0.024356146,0,0,0.024356146,0.000458331,0.000751643,0.025566119,0.025457422,0,0,0.025457422,0.001833323,0.002147551,0.029438296,74.03772202,0,0,74.03772202,0.001659727,0,0,0.001659727,0.011608176,0,0,0.011608176,0.035732936,0,0,0.035732936,0,0,0,0.035732936,0.040679572,0,0,0.040679572,0,0,0,0.040679572,0.226056848,0,0,0.226056848,0.000698147,0,0,0.000698147,0.000710412,6.581726952
Sierra,2010,LDT1,Aggregate,Aggregate,Gasoline,894.1679953,8327020.432,8327020.432,0,1314675.614,0,9.024097733,0,1.537585524,10.56168326,0.104017872,0,0.01914054,0.123158412,0.018357938,0.038627891,0.180144241,0.112210919,0,0.020578378,0.132789297,0.07343175,0.110365404,0.316586452,4117.984654,0,209.1397232,4327.124377,0.669087805,0,0.506621139,1.175708944,0.450142566,0,0.090450366,0.540592932,4.444394073,0,3.345467218,7.789861291,1.776621344,0.898627118,2.263982135,12.72909189,5.590470752,0,3.65591771,9.246388462,1.776621344,0.898627118,2.263982135,14.18561906,99.00179535,0,36.03722974,135.0390251,0.040648309,0,0.002064402,0.042712711,0.411971512,455.5931423
Sierra,2010,LDT1,Aggregate,Aggregate,Diesel,2.056018939,13844.25365,13844.25365,0,2704.13746,0,0.020337014,0,0,0.020337014,0.00351298,0,0,0.00351298,3.05214E-05,6.9769E-05,0.00361327,0.003671821,0,0,0.003671821,0.000122085,0.00019934,0.003993247,7.347650016,0,0,7.347650016,0.000240966,0,0,0.000240966,0.001152018,0,0,0.001152018,0.005187855,0,0,0.005187855,0,0,0,0.005187855,0.005906028,0,0,0.005906028,0,0,0,0.005906028,0.028814613,0,0,0.028814613,6.92855E-05,0,0,6.92855E-05,4.73081E-05,0.653183605
Sierra,2010,LDT2,Aggregate,Aggregate,Gasoline,1891.819422,21761297.45,21761297.45,0,3042154.952,0,16.35294593,0,4.343339552,20.69628548,0.104562698,0,0.015957893,0.120520591,0.047975449,0.096368245,0.264864285,0.113385945,0,0.017275586,0.130661531,0.191901795,0.275337843,0.597901169,12047.11778,0,449.8656259,12496.98341,0.699778318,0,0.893209907,1.592988225,0.864443384,0,0.267342317,1.131785701,3.792395546,0,5.317357145,9.109752691,1.563231328,0.688059857,2.144524318,13.50556819,5.204089829,0,5.819459744,11.02354957,1.563231328,0.688059857,2.144524318,15.41936508,114.9826988,0,51.93163437,166.9143332,0.118916171,0,0.004440589,0.12335676,0.905326457,1315.779128
Sierra,2010,LDT2,Aggregate,Aggregate,Diesel,0.132270061,1157.726674,1157.726674,0,186.0459258,0,0.001734111,0,0,0.001734111,0.000231462,0,0,0.000231462,2.55235E-06,5.32577E-06,0.00023934,0.000241927,0,0,0.000241927,1.02094E-05,1.52165E-05,0.000267353,0.631635192,0,0,0.631635192,1.53496E-05,0,0,1.53496E-05,9.90324E-05,0,0,9.90324E-05,0.000330467,0,0,0.000330467,0,0,0,0.000330467,0.000376214,0,0,0.000376214,0,0,0,0.000376214,0.001632536,0,0,0.001632536,5.95608E-06,0,0,5.95608E-06,3.95614E-06,0.056150436
Sierra,2010,LHDT1,Aggregate,Aggregate,Gasoline,330.8194311,3237080.599,3237080.599,0,1611690.329,0,4.029619715,0.004855577,1.065103249,5.099578541,0.020817495,0,0.002326338,0.023143833,0.007136541,0.097413786,0.127694161,0.022617889,0,0.002522579,0.025140468,0.028546164,0.278325104,0.332011736,3810.45399,14.95369566,47.13655978,3872.544245,0.242930494,0.012942612,0.090625068,0.346498174,0.189041898,0.000294779,0.068738131,0.258074809,1.347901087,0.055065573,0.537002926,1.939969587,0.482807982,0.1754257,1.11128657,3.709489839,1.940162773,0.080193889,0.587607712,2.607964374,0.482807982,0.1754257,1.11128657,4.377484626,26.3323665,0.430587224,7.953739472,34.71669319,0.037612698,0.000147607,0.000465281,0.038225586,0.156842345,407.731428
Sierra,2010,LHDT1,Aggregate,Aggregate,Diesel,339.7497625,3783711.79,3783711.79,0,1397475.246,0,25.50022102,0.317929994,0,25.81815101,0.356280888,0.003869502,0,0.36015039,0.012512485,0.113863613,0.486526488,0.372390329,0.004044464,0,0.376434793,0.05004994,0.325324608,0.75180934,2459.753373,17.57529685,0,2477.32867,0.065529288,0.000624341,0,0.066153629,0.385658138,0.002755584,0,0.388413722,1.410807,0.013441693,0,1.424248693,0,0,0,1.424248693,1.606109973,0.015302474,0,1.621412447,0,0,0,1.621412447,4.764942854,0.111411691,0,4.876354545,0.023194525,0.000165728,0,0.023360253,0.118758582,220.2269388
