Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Stanislaus,2010,HHDT,Aggregate,Aggregate,Gasoline,53.12486382,884447.7324,884447.7324,0,347575.584,0,8.601143696,0,0.070583079,8.671726776,0.007258746,0,0.003730816,0.010989563,0.004874684,0.039273724,0.05513797,0.007678472,0,0.003919848,0.01159832,0.019498735,0.112210639,0.143307693,2648.768113,0,51.68568997,2700.453803,0.425092455,0,6.66326E-05,0.425159088,0.245791928,0,0.002141125,0.247933053,3.285972281,0,0.000361817,3.286334098,0.234182281,0.164774065,0.494390247,4.179680691,4.026062334,0,0.000396144,4.026458478,0.234182281,0.164774065,0.494390247,4.919805071,118.2526831,0,1.38088115,119.6335643,0.026145786,0,0.000510185,0.026655971,0.037730359,284.3246754
Stanislaus,2010,HHDT,Aggregate,Aggregate,Diesel,4753.056163,204774467.5,204774467.5,0,22467079.56,0,3396.314429,99.58748899,1.1962371,3497.098156,122.6571839,2.40718833,0,125.0643722,2.004807034,7.959641115,135.0288204,128.2031975,2.516030704,0,130.7192282,8.019228135,22.74183176,161.4802881,385973.049,11213.82789,0,397186.8768,9.971353467,0.66525741,0,10.63661088,60.51567974,1.758186015,0,62.27386576,214.6805058,14.3228096,0,229.0033154,0,0,0,229.0033154,244.3974141,16.30542846,0,260.7028425,0,0,0,260.7028425,751.5082403,40.75798415,0,792.2662245,3.637231471,0.105673927,0,3.742905397,7.497284255,35308.69807
Stanislaus,2010,LDA,Aggregate,Aggregate,Gasoline,166751.3518,1933262340,1933262340,0,266769836.7,0,655.1995997,0,201.8795022,857.0791019,5.697160881,0,1.475905285,7.173066165,4.262113889,6.951602246,18.3867823,6.182588382,0,1.594496674,7.777085056,17.04845555,19.8617207,44.68726131,712981.7843,0,29071.65197,742053.4362,34.81745347,0,58.87413923,93.69159269,43.99622337,0,15.78065538,59.77687874,174.0328271,0,335.2494422,509.2822693,195.4185667,79.55190513,199.5224475,983.7751887,241.5735827,0,366.8078131,608.3813958,195.4185667,79.55190513,199.5224475,1082.874315,7306.179985,0,3089.415632,10395.59562,7.037788258,0,0.286964037,7.324752294,81.07079329,78129.12856
Stanislaus,2010,LDA,Aggregate,Aggregate,Diesel,678.5450049,5707428.954,5707428.954,0,978317.3742,0,7.85718434,0,0,7.85718434,0.57417716,0,0,0.57417716,0.012582727,0.020656024,0.607415911,0.600138904,0,0,0.600138904,0.050330908,0.059017211,0.709487023,1747.426562,0,0,1747.426562,0.038853418,0,0,0.038853418,0.273974327,0,0,0.273974327,0.836491218,0,0,0.836491218,0,0,0,0.836491218,0.952289638,0,0,0.952289638,0,0,0,0.952289638,5.925209162,0,0,5.925209162,0.016477558,0,0,0.016477558,0.019503221,155.3408747
Stanislaus,2010,LDT1,Aggregate,Aggregate,Gasoline,25064.62346,238732706.9,238732706.9,0,37775362.96,0,184.661216,0,40.92552592,225.5867419,1.5998752,0,0.388239742,1.988114942,0.526315526,1.021600766,3.536031234,1.729748591,0,0.418523394,2.148271985,2.105262105,2.918859331,7.172393421,102234.9994,0,5230.509021,107465.5084,10.02657733,0,11.62262923,21.64920656,10.29026785,0,2.618306288,12.90857414,58.49748192,0,70.50077499,128.9982569,55.06677676,22.07501918,57.50719404,263.6472469,76.06642804,0,77.10378146,153.1702095,55.06677676,22.07501918,57.50719404,287.8191995,1877.761522,0,725.5115186,2603.27304,1.009153801,0,0.051629952,1.060783753,12.79771869,11314.8004
Stanislaus,2010,LDT1,Aggregate,Aggregate,Diesel,56.61219531,351781.5049,351781.5049,0,73213.67338,0,0.599129116,0,0,0.599129116,0.076330714,0,0,0.076330714,0.000775545,0.001610539,0.078716798,0.07978205,0,0,0.07978205,0.003102182,0.004601539,0.08748577,162.0134164,0,0,162.0134164,0.004710792,0,0,0.004710792,0.025401649,0,0,0.025401649,0.101420576,0,0,0.101420576,0,0,0,0.101420576,0.115460583,0,0,0.115460583,0,0,0,0.115460583,0.551107403,0,0,0.551107403,0.001527724,0,0,0.001527724,0.001202095,14.402497
Stanislaus,2010,LDT2,Aggregate,Aggregate,Gasoline,60166.62774,677427952.7,677427952.7,0,96619445.55,0,420.458948,0,129.0278277,549.4867757,2.127186562,0,0.510267962,2.637454523,1.493472989,2.765662108,6.896589621,2.303083318,0,0.551185646,2.854268964,5.973891957,7.901891738,16.73005266,332832.7739,0,13694.60634,346527.3803,15.51549043,0,24.49057302,40.00606345,23.56686808,0,8.34363338,31.91050146,83.26496785,0,140.4218855,223.6868534,64.32686591,25.97004404,64.91586719,378.8996305,112.0894107,0,153.6580384,265.7474492,64.32686591,25.97004404,64.91586719,420.9602263,3237.406015,0,1298.331059,4535.737074,3.285366667,0,0.135178404,3.420545071,28.59174344,36485.08439
Stanislaus,2010,LDT2,Aggregate,Aggregate,Diesel,5.608583029,46865.29856,46865.29856,0,8033.787832,0,0.089387863,0,0,0.089387863,0.006344176,0,0,0.006344176,0.00010332,0.000205736,0.006653232,0.006631031,0,0,0.006631031,0.000413281,0.000587817,0.00763213,21.30712809,0,0,21.30712809,0.000430282,0,0,0.000430282,0.003340687,0,0,0.003340687,0.00926372,0,0,0.00926372,0,0,0,0.00926372,0.01054613,0,0,0.01054613,0,0,0,0.01054613,0.056738566,0,0,0.056738566,0.000200918,0,0,0.000200918,0.000160146,1.894138493
Stanislaus,2010,LHDT1,Aggregate,Aggregate,Gasoline,9244.287087,97841265.23,97841265.23,0,45036435.88,0,76.67853657,0.138028191,30.78657402,107.6031388,0.44281612,0,0.050927935,0.493744055,0.215703067,2.94434686,3.653793982,0.480513331,0,0.055039154,0.535552485,0.862812268,8.412419601,9.810784353,114689.1251,418.3529736,1230.161677,116337.6398,4.331485356,0.39067664,2.284788902,7.006950898,3.958498717,0.00921542,2.123301786,6.091015923,23.88339012,1.576267478,12.81638039,38.27603799,12.16961269,4.247164273,20.73612922,75.42894417,33.76109256,2.292761762,14.01854242,50.07239674,12.16961269,4.247164273,20.73612922,87.22530292,457.2168819,12.24545369,158.9122614,628.3745969,1.132087517,0.00412953,0.012142831,1.148359878,4.779637879,12248.92706
Stanislaus,2010,LHDT1,Aggregate,Aggregate,Diesel,9364.60953,110951600.2,110951600.2,0,38518967.36,0,674.6427,8.763185681,0,683.4058857,10.68511823,0.098482455,0,10.78360069,0.366909612,3.338877467,14.48938777,11.16825186,0.102935395,0,11.27118726,1.467638448,9.539649905,22.27847561,72142.69565,484.4323986,0,72627.12805,1.919208338,0.01720887,0,1.936417208,11.31105987,0.075952857,0,11.38701273,41.31942556,0.37049683,0,41.68992239,0,0,0,41.68992239,47.03941889,0.421786009,0,47.4612049,0,0,0,47.4612049,133.5535615,3.070868921,0,136.6244304,0.680277776,0.004568011,0,0.684845786,3.562901505,6456.329464
