Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Sutter,2010,HHDT,Aggregate,Aggregate,Gasoline,19.5717125,266724.8194,266724.8194,0,128050.1993,0,2.701470526,0,0.009019953,2.710490478,0.00219675,0,0.001418313,0.003615064,0.001470069,0.012102917,0.01718805,0.002321935,0,0.001489137,0.003811072,0.005880276,0.034579763,0.044271111,797.699822,0,19.65051093,817.350333,0.112282004,0,1.7861E-06,0.11228379,0.075550997,0,0.000237741,0.075788737,0.901662764,0,9.69391E-06,0.901672458,0.086440683,0.057654493,0.186842185,1.232609819,1.070865748,0,1.06136E-05,1.070876362,0.086440683,0.057654493,0.186842185,1.401813723,35.23911567,0,0.519982382,35.75909805,0.007874033,0,0.000193969,0.008068002,0.01141931,86.05696857
Sutter,2010,HHDT,Aggregate,Aggregate,Diesel,1498.302843,77759473.45,77759473.45,0,7638359.422,0,1264.421879,35.07455179,0.410283458,1299.906714,46.86559881,0.926579279,0,47.79217809,0.765257311,3.01331061,51.57074601,48.98465322,0.968475082,0,49.9531283,3.061029242,8.609458884,61.62361643,146237.4239,4279.089019,0,150516.5129,3.743373752,0.250114217,0,3.993487969,22.9281737,0.670906897,0,23.5990806,80.59381037,5.384890507,0,85.97870088,0,0,0,85.97870088,91.7499182,6.130287937,0,97.88020614,0,0,0,97.88020614,284.734613,14.25036249,0,298.9849755,1.378073836,0.040324155,0,1.418397992,2.879457704,13380.45746
Sutter,2010,LDA,Aggregate,Aggregate,Gasoline,38021.82196,421659756.8,421659756.8,0,61141552.19,0,146.504214,0,44.36741315,190.8716272,1.385202243,0,0.319671689,1.704873932,0.929600638,1.305186039,3.939660609,1.502108431,0,0.345372289,1.84748072,3.718402554,3.72910297,9.294986244,163779.0911,0,6603.631282,170382.7224,8.531786644,0,12.91991125,21.45169789,9.647823466,0,3.48695647,13.13477994,44.21193855,0,73.71791534,117.9298539,42.00449475,17.18153337,43.36457104,220.4804531,60.45305804,0,80.65812077,141.1111788,42.00449475,17.18153337,43.36457104,243.661778,1619.2482,0,685.1075198,2304.35572,1.616650789,0,0.065183936,1.681834725,17.34412309,17939.21161
Sutter,2010,LDA,Aggregate,Aggregate,Diesel,164.6882581,1435105.327,1435105.327,0,243406.5699,0,1.929166193,0,0,1.929166193,0.141929042,0,0,0.141929042,0.003163866,0.004473053,0.149565961,0.148346444,0,0,0.148346444,0.012655463,0.012780152,0.173782059,461.0609065,0,0,461.0609065,0.009785356,0,0,0.009785356,0.072288504,0,0,0.072288504,0.210672959,0,0,0.210672959,0,0,0,0.210672959,0.239837158,0,0,0.239837158,0,0,0,0.239837158,1.570857424,0,0,1.570857424,0.004347626,0,0,0.004347626,0.00490399,40.98690387
Sutter,2010,LDT1,Aggregate,Aggregate,Gasoline,3535.0967,35877034.26,35877034.26,0,5366040.058,0,25.40881289,0,5.037127086,30.44593997,0.247770406,0,0.059389296,0.307159702,0.079095321,0.135904276,0.522159299,0.266251837,0,0.063557529,0.329809366,0.316381285,0.388297931,1.034488582,16319.6831,0,746.135977,17065.81908,1.794614027,0,1.486763816,3.281377843,1.350025155,0,0.334620282,1.684645437,12.080737,0,9.289087286,21.36982429,7.238552294,3.601783493,6.935201688,39.14536176,14.68057979,0,10.14623124,24.82681103,7.238552294,3.601783493,6.935201688,42.60234851,283.5478889,0,90.04708955,373.5949784,0.161090334,0,0.007365051,0.168455385,1.611569315,1796.821506
Sutter,2010,LDT1,Aggregate,Aggregate,Diesel,17.80090616,106852.9668,106852.9668,0,22862.13237,0,0.191742194,0,0,0.191742194,0.026085054,0,0,0.026085054,0.00023557,0.000459629,0.026780253,0.027264504,0,0,0.027264504,0.000942282,0.001313225,0.029520011,51.98958417,0,0,51.98958417,0.001460143,0,0,0.001460143,0.008151308,0,0,0.008151308,0.031436025,0,0,0.031436025,0,0,0,0.031436025,0.035787824,0,0,0.035787824,0,0,0,0.035787824,0.173681551,0,0,0.173681551,0.000490242,0,0,0.000490242,0.000365134,4.621714959
Sutter,2010,LDT2,Aggregate,Aggregate,Gasoline,16394.21037,181674173.2,181674173.2,0,26027268.23,0,137.3598368,0,37.74123884,175.1010757,0.741372047,0,0.155640044,0.897012091,0.400522992,0.682828722,1.980363804,0.803782204,0,0.16846587,0.972248073,1.602091968,1.950939206,4.525279247,94690.24288,0,3811.755736,98501.99862,5.19272349,0,7.31110088,12.50382437,7.4060892,0,2.325464851,9.731554051,27.26277947,0,42.88137479,70.14415426,20.92472187,7.933626634,22.4911365,121.4936393,37.54178038,0,46.93122615,84.47300653,20.92472187,7.933626634,22.4911365,135.8224915,1000.709754,0,406.3225734,1407.032327,0.934680092,0,0.037625547,0.972305639,8.12441396,10371.05273
Sutter,2010,LDT2,Aggregate,Aggregate,Diesel,2.36894922,14733.51019,14733.51019,0,3083.546762,0,0.02169334,0,0,0.02169334,0.003143631,0,0,0.003143631,3.24818E-05,6.27381E-05,0.003238851,0.003285772,0,0,0.003285772,0.000129927,0.000179252,0.003594951,7.368109316,0,0,7.368109316,0.000231056,0,0,0.000231056,0.001155226,0,0,0.001155226,0.004974499,0,0,0.004974499,0,0,0,0.004974499,0.005663136,0,0,0.005663136,0,0,0,0.005663136,0.032387438,0,0,0.032387438,6.94784E-05,0,0,6.94784E-05,5.03468E-05,0.655002374
Sutter,2010,LHDT1,Aggregate,Aggregate,Gasoline,2372.468639,25620920.83,25620920.83,0,11558223.01,0,19.12018845,0.035462754,8.080867657,27.23651886,0.108741122,0,0.012374842,0.121115964,0.056484462,0.771012902,0.948613327,0.1180056,0,0.013373945,0.131379545,0.225937847,2.202894005,2.560211396,29960.37062,107.3750554,315.9200218,30383.6657,1.034026854,0.101224418,0.576641102,1.711892375,0.993307539,0.002389369,0.560942464,1.556639372,5.641773873,0.405067483,3.219959714,9.266801069,2.967337829,1.039152848,5.133314151,18.4066059,7.971650075,0.589296558,3.522074543,12.08302118,2.967337829,1.039152848,5.133314151,21.222826,109.2457899,3.14627016,40.74499806,153.1370582,0.29573651,0.001059891,0.003118422,0.299914823,1.25527869,3199.027466
Sutter,2010,LHDT1,Aggregate,Aggregate,Diesel,3178.852529,37671147.46,37671147.46,0,13075410.82,0,230.5664881,2.974696902,0,233.5411851,3.552005616,0.033253064,0,3.585258679,0.124575996,1.133641562,4.843476237,3.712611548,0.03475662,0,3.747368167,0.498303984,3.238975891,7.484648042,24562.89938,164.4424309,0,24727.34181,0.644768377,0.005841617,0,0.650609994,3.851151153,0.025782488,0,3.876933641,13.88148355,0.125766566,0,14.00725012,0,0,0,14.00725012,15.80314612,0.143176874,0,15.94632299,0,0,0,15.94632299,45.09770954,1.042418203,0,46.14012774,0.231618661,0.001550629,0,0.233169289,1.212529663,2198.185028
