Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Tehama,2010,HHDT,Aggregate,Aggregate,Gasoline,18.12991281,167234.8154,167234.8154,0,118617.0576,0,2.110635355,0,0.008330529,2.118965885,0.002387079,0,0.00177885,0.00416593,0.000921724,0.007835606,0.012923259,0.002510542,0,0.001865863,0.004376405,0.003686897,0.022387445,0.030450746,476.2144033,0,21.97978861,498.1941919,0.119701328,0,3.86704E-06,0.119705195,0.056989371,0,0.000265122,0.057254493,1.023589654,0,2.01472E-05,1.023609801,0.083618096,0.06741902,0.198686384,1.373333301,1.168527033,0,2.20587E-05,1.168549092,0.083618096,0.06741902,0.198686384,1.518272592,37.52376915,0,0.151265327,37.67503447,0.004700676,0,0.000216961,0.004917636,0.005458511,52.45374008
Tehama,2010,HHDT,Aggregate,Aggregate,Diesel,1869.362276,103579260.5,103579260.5,0,9917426.905,0,1697.180419,44.44660353,0.538964427,1742.165987,63.71603169,1.205458253,0,64.92148994,1.017180526,3.95634199,69.89501246,66.59698791,1.259963726,0,67.85695163,4.068722104,11.30383426,83.22950799,191685.1717,5532.120503,0,197217.2922,5.095135589,0.323748596,0,5.418884185,30.05380426,0.867366345,0,30.92117061,109.696872,6.970218496,0,116.6670905,0,0,0,116.6670905,124.8815385,7.935063175,0,132.8166017,0,0,0,132.8166017,388.6137948,18.15711687,0,406.7709117,1.806352389,0.052132145,0,1.858484534,3.828775684,17532.01385
Tehama,2010,LDA,Aggregate,Aggregate,Gasoline,40059.12647,470977510.3,470977510.3,0,64089224.41,0,172.676425,0,49.66932282,222.3457478,1.623691912,0,0.362611437,1.986303349,1.038327674,1.300265602,4.324896625,1.760529655,0,0.391482422,2.152012077,4.153310694,3.715044578,10.02036735,183755.5541,0,7136.746995,190892.3011,9.932367419,0,15.03196226,24.96432968,11.21473317,0,3.826327125,15.04106029,52.39891461,0,87.02712708,139.4260417,41.8810684,18.89310892,48.62883865,248.8290576,71.26794084,0,95.20860138,166.4765422,41.8810684,18.89310892,48.62883865,275.8795582,1754.195314,0,813.9695697,2568.164884,1.813836917,0,0.07044628,1.884283196,19.43209538,20098.61879
Tehama,2010,LDA,Aggregate,Aggregate,Diesel,247.7124708,2115140.811,2115140.811,0,356591.0884,0,3.089377997,0,0,3.089377997,0.242766928,0,0,0.242766928,0.004663087,0.005897753,0.253327768,0.253743771,0,0,0.253743771,0.018652349,0.016850722,0.289246843,703.6178954,0,0,703.6178954,0.016299309,0,0,0.016299309,0.110318364,0,0,0.110318364,0.350914526,0,0,0.350914526,0,0,0,0.350914526,0.399492857,0,0,0.399492857,0,0,0,0.399492857,2.552974665,0,0,2.552974665,0.006634845,0,0,0.006634845,0.007227783,62.54947802
Tehama,2010,LDT1,Aggregate,Aggregate,Gasoline,4947.414903,48392008.33,48392008.33,0,7378830.492,0,40.5028735,0,7.647870517,48.15074402,0.386168755,0,0.094765979,0.480934734,0.106686116,0.164457549,0.752078399,0.414792389,0,0.101311461,0.51610385,0.426744465,0.469878711,1.412727026,22250.60274,0,1090.186846,23340.78958,2.8561046,0,2.374580678,5.230685278,2.066087162,0,0.480428434,2.546515596,19.79920412,0,15.32360688,35.122811,10.22074319,5.570856796,10.91692896,61.83133994,23.90995742,0,16.73210823,40.64206565,10.22074319,5.570856796,10.91692896,67.35059459,438.3561093,0,148.4728255,586.8289348,0.219633985,0,0.01076115,0.230395136,2.217437315,2457.498963
Tehama,2010,LDT1,Aggregate,Aggregate,Diesel,29.61499525,166076.8594,166076.8594,0,37759.92699,0,0.286067897,0,0,0.286067897,0.04394612,0,0,0.04394612,0.000366137,0.000636445,0.044948702,0.045933169,0,0,0.045933169,0.001464547,0.001818415,0.049216131,79.24829875,0,0,79.24829875,0.002614562,0,0,0.002614562,0.012425128,0,0,0.012425128,0.056289991,0,0,0.056289991,0,0,0,0.056289991,0.064082412,0,0,0.064082412,0,0,0,0.064082412,0.329493735,0,0,0.329493735,0.000747281,0,0,0.000747281,0.000567512,7.044931281
Tehama,2010,LDT2,Aggregate,Aggregate,Gasoline,17623.20581,192807394.8,192807394.8,0,27748923.54,0,160.6870551,0,42.55592335,203.2429784,0.878563868,0,0.186399007,1.064962875,0.425067544,0.647618357,2.137648776,0.951647183,0,0.201441,1.153088184,1.700270177,1.850338163,4.703696523,101320.5585,0,4221.320341,105541.8789,6.153291749,0,8.661320598,14.81461235,8.409515638,0,2.550086693,10.95960233,33.89627016,0,51.94738382,85.84365398,22.26656226,9.403587119,26.65741961,144.171223,45.8430317,0,56.84306541,102.6860971,22.26656226,9.403587119,26.65741961,161.0136661,1099.202369,0,500.5853551,1599.787724,1.000127427,0,0.041668328,1.041795754,8.67056612,11112.2658
Tehama,2010,LDT2,Aggregate,Aggregate,Diesel,2.715972056,15989.04025,15989.04025,0,3470.828516,0,0.030013545,0,0,0.030013545,0.00405691,0,0,0.00405691,3.52498E-05,5.94571E-05,0.004151617,0.004240345,0,0,0.004240345,0.000140999,0.000169877,0.004551222,8.661477302,0,0,8.661477302,0.000243287,0,0,0.000243287,0.00135801,0,0,0.00135801,0.005237819,0,0,0.005237819,0,0,0,0.005237819,0.005962909,0,0,0.005962909,0,0,0,0.005962909,0.025119733,0,0,0.025119733,8.16744E-05,0,0,8.16744E-05,5.46372E-05,0.76997883
Tehama,2010,LHDT1,Aggregate,Aggregate,Gasoline,2538.738693,25522263.71,25522263.71,0,12368259.58,0,27.28293512,0.037503241,8.198357977,35.51879634,0.145996632,0,0.016872695,0.162869327,0.05626696,0.768044003,0.98718029,0.158411118,0,0.018229584,0.176640702,0.22506784,2.194411437,2.596119979,30004.98419,114.8074632,353.406545,30473.1982,1.573345848,0.102267184,0.679941826,2.355554858,1.320166976,0.00236391,0.541545551,1.864076437,8.804525262,0.427192017,3.975288158,13.20700544,3.674403834,1.37546783,7.347378249,25.60425535,12.45087831,0.620822586,4.347373564,17.41907446,3.674403834,1.37546783,7.347378249,29.81632437,169.4270226,3.3265762,52.52527196,225.2788708,0.296176887,0.001133256,0.003488449,0.300798591,1.238587959,3208.45414
Tehama,2010,LHDT1,Aggregate,Aggregate,Diesel,4316.079695,48532220.9,48532220.9,0,17753108.91,0,321.6064832,4.038887863,0,325.6453711,4.49886575,0.048980058,0,4.547845808,0.160492848,1.460484918,6.168823575,4.702284496,0.051194719,0,4.753479215,0.641971393,4.172814052,9.568264659,31633.48954,223.2713315,0,31856.76088,0.829315464,0.007931441,0,0.837246906,4.959730032,0.035006114,0,4.994736145,17.85467368,0.170759266,0,18.02543294,0,0,0,18.02543294,20.32635892,0.194398071,0,20.52075699,0,0,0,20.52075699,60.37689048,1.415340912,0,61.79223139,0.298291597,0.002105362,0,0.30039696,1.528200122,2831.968569
