Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Trinity,2010,HHDT,Aggregate,Aggregate,Gasoline,18.12899556,137416.2293,137416.2293,0,118611.0564,0,2.314801913,0,0.010432332,2.325234245,0.002449939,0,0.001798465,0.004248404,0.000757377,0.006452194,0.011457976,0.002578006,0,0.001887003,0.004465009,0.003029509,0.018434841,0.02592936,403.3007384,0,22.08760715,425.3883455,0.12354361,0,2.3951E-06,0.123546005,0.058625755,0,0.000278833,0.058904589,1.080840525,0,1.24611E-05,1.080852986,0.083110789,0.064635517,0.206532317,1.435131609,1.227180423,0,1.36433E-05,1.227194067,0.083110789,0.064635517,0.206532317,1.58147269,37.88054789,0,0.192387065,38.07293495,0.003980951,0,0.000218025,0.004198976,0.004015016,44.78817712
Trinity,2010,HHDT,Aggregate,Aggregate,Diesel,369.0527879,18552088.45,18552088.45,0,1775019.296,0,315.9197545,8.074381978,0.071100614,324.0652371,12.41004686,0.241175012,0,12.65122187,0.181612985,0.717817667,13.55065252,12.97117411,0.252079875,0,13.22325399,0.726451942,2.050907621,16.00061355,34832.98792,969.7104523,0,35802.69837,0.982871591,0.064194182,0,1.047065773,5.461370806,0.152038302,0,5.613409108,21.16095582,1.382083145,0,22.54303896,0,0,0,22.54303896,24.0901374,1.573396455,0,25.66353386,0,0,0,25.66353386,75.39973681,3.586766506,0,78.98650332,0.328249965,0.009138103,0,0.337388068,0.668715307,3182.750339
Trinity,2010,LDA,Aggregate,Aggregate,Gasoline,14886.56265,170124329.3,170124329.3,0,23791190.58,0,74.41513955,0,18.77650177,93.19164132,0.924961951,0,0.139607818,1.064569769,0.375059945,0.586359119,2.025988833,1.002687546,0,0.150839345,1.153526892,1.50023978,1.675311767,4.329078438,74385.31503,0,2699.04452,77084.35955,5.465772794,0,5.833597199,11.29936999,4.624385212,0,1.400486908,6.02487212,30.17238981,0,34.70663033,64.87902014,15.44866664,6.633296905,19.01397748,105.9749612,40.74300551,0,37.97119531,78.71420082,15.44866664,6.633296905,19.01397748,119.8101418,807.644144,0,329.622831,1137.266975,0.734251713,0,0.02664206,0.760893774,7.066589797,8116.037933
Trinity,2010,LDA,Aggregate,Aggregate,Diesel,108.3721435,910752.031,910752.031,0,154391.1571,0,1.274835191,0,0,1.274835191,0.162674034,0,0,0.162674034,0.002007865,0.003190495,0.167872394,0.170029432,0,0,0.170029432,0.008031458,0.009115701,0.187176591,362.6141755,0,0,362.6141755,0.010765039,0,0,0.010765039,0.056853305,0,0,0.056853305,0.231764942,0,0,0.231764942,0,0,0,0.231764942,0.263848978,0,0,0.263848978,0,0,0,0.263848978,1.377876431,0,0,1.377876431,0.003419312,0,0,0.003419312,0.003112189,32.2352907
Trinity,2010,LDT1,Aggregate,Aggregate,Gasoline,3182.146809,29352120.38,29352120.38,0,4663145.67,0,34.81788702,0,5.599671597,40.41755861,0.420205391,0,0.066278995,0.486484386,0.064710349,0.133828161,0.685022895,0.45328496,0,0.071333977,0.524618937,0.258841394,0.382366174,1.165826505,15273.31566,0,735.5865607,16008.90222,2.694559681,0,1.762113546,4.456673226,1.713994646,0,0.321795055,2.035789702,17.87747111,0,11.60068138,29.47815249,7.241534139,3.329616827,8.619238703,48.66854215,22.52250938,0,12.68042,35.20292938,7.241534139,3.329616827,8.619238703,54.39331905,393.2010378,0,127.4796332,520.680671,0.150761722,0,0.007260918,0.15802264,1.500045826,1685.541119
Trinity,2010,LDT1,Aggregate,Aggregate,Diesel,14.37693332,87665.4155,87665.4155,0,18062.06242,0,0.145066269,0,0,0.145066269,0.030156411,0,0,0.030156411,0.000193269,0.000437836,0.030787516,0.03151995,0,0,0.03151995,0.000773077,0.001250959,0.033543986,49.56944642,0,0,49.56944642,0.001740416,0,0,0.001740416,0.007771861,0,0,0.007771861,0.037470123,0,0,0.037470123,0,0,0,0.037470123,0.042657244,0,0,0.042657244,0,0,0,0.042657244,0.172193757,0,0,0.172193757,0.000467421,0,0,0.000467421,0.000299567,4.406572118
Trinity,2010,LDT2,Aggregate,Aggregate,Gasoline,6373.403081,71357218.91,71357218.91,0,10148592.14,0,60.57636629,0,14.8369902,75.41335649,0.430887567,0,0.061159792,0.492047358,0.157315739,0.310116453,0.959479551,0.466587405,0,0.066110354,0.532697759,0.629262956,0.88604701,2.048007725,41690.4257,0,1524.650959,43215.07666,2.946079602,0,3.046865771,5.992945372,3.127166466,0,0.891422811,4.018589278,16.81272607,0,18.45813401,35.27086008,6.77130863,2.809499745,8.47864878,53.33031723,22.5422705,0,20.19805253,42.74032303,6.77130863,2.809499745,8.47864878,60.79978019,453.6976156,0,179.0298235,632.7274392,0.41152298,0,0.015049712,0.426572692,3.065919246,4550.017714
Trinity,2010,LDT2,Aggregate,Aggregate,Diesel,0.416258624,3643.407349,3643.407349,0,585.4931984,0,0.005440037,0,0,0.005440037,0.000775416,0,0,0.000775416,8.03234E-06,1.63397E-05,0.000799788,0.000810477,0,0,0.000810477,3.21294E-05,4.66848E-05,0.000889291,2.085171419,0,0,2.085171419,5.14735E-05,0,0,5.14735E-05,0.000326928,0,0,0.000326928,0.001108195,0,0,0.001108195,0,0,0,0.001108195,0.001261606,0,0,0.001261606,0,0,0,0.001261606,0.005489158,0,0,0.005489158,1.96624E-05,0,0,1.96624E-05,1.24501E-05,0.185365359
Trinity,2010,LHDT1,Aggregate,Aggregate,Gasoline,1020.179013,10104867.8,10104867.8,0,4970121.143,0,11.69842983,0.015000422,3.266713962,14.98014421,0.063905699,0,0.007398055,0.071303754,0.02227742,0.304086785,0.397667959,0.069373285,0,0.008004144,0.07737743,0.089109681,0.868819385,1.035306495,11906.02567,46.1197136,145.1261472,12097.27154,0.705689071,0.040371194,0.278353957,1.024414222,0.557906894,0.000926684,0.213266658,0.772100236,3.947573158,0.170474737,1.656636428,5.774684323,1.574136756,0.551321259,3.315005378,11.21514772,5.616506551,0.247878265,1.811963905,7.676348722,1.574136756,0.551321259,3.315005378,13.11681212,78.52106877,1.330266342,23.29122335,103.1425585,0.117523462,0.000455244,0.001432529,0.119411235,0.49103581,1273.694369
Trinity,2010,LHDT1,Aggregate,Aggregate,Diesel,1198.547612,13211454.45,13211454.45,0,4929924.328,0,88.99165931,1.121573221,0,90.11323253,1.256310498,0.01442924,0,1.270739737,0.043689407,0.397573604,1.712002748,1.313115284,0.015081666,0,1.32819695,0.174757628,1.135924583,2.63887916,8593.020079,62.00101484,0,8655.021093,0.228611553,0.00220251,0,0.230814064,1.347276584,0.009720973,0,1.356997557,4.921872146,0.047418751,0,4.969290898,0,0,0,4.969290898,5.60322421,0.053983096,0,5.657207306,0,0,0,5.657207306,16.66391054,0.393031082,0,17.05694162,0.081028863,0.000584646,0,0.081613508,0.413947958,769.4048932
Trinity,2010,LHDT2,Aggregate,Aggregate,Gasoline,85.53110723,919645.7208,919645.7208,0,416691.5404,0,0.78920414,0.00127462,0.306975231,1.097453991,0.003858017,0,0.000392917,0.004250934,0.002027472,0.032287488,0.038565893,0.004194061,0,0.00042675,0.004620811,0.008109887,0.092249965,0.104980664,1214.976255,4.462796003,13.05519634,1232.494248,0.03949349,0.00361511,0.021233374,0.064341973,0.038784257,8.41278E-05,0.021094713,0.059963098,0.209589554,0.014511734,0.117934695,0.342035983,0.092725922,0.031947224,0.194820052,0.661529182,0.303796943,0.021163285,0.129098349,0.454058578,0.092725922,0.031947224,0.194820052,0.773551777,4.011276495,0.113082519,1.7756076,5.899966615,0.011992937,4.40519E-05,0.000128867,0.012165856,0.045220174,129.7665327
Trinity,2010,LHDT2,Aggregate,Aggregate,Diesel,198.9078862,2416131.758,2416131.758,0,818157.591,0,12.7439072,0.186133414,0,12.93004062,0.226995861,0.002195264,0,0.229191126,0.007989988,0.08482704,0.322008154,0.237259607,0.002294524,0,0.239554131,0.031959952,0.242362972,0.513877056,2015.01669,16.23575377,0,2031.252444,0.039264924,0.000365523,0,0.039630447,0.315929066,0.00254556,0,0.318474626,0.845350692,0.007869494,0,0.853220186,0,0,0,0.853220186,0.96237556,0.008958896,0,0.971334456,0,0,0,0.971334456,2.603492111,0.06522643,0,2.668718541,0.01900083,0.000153097,0,0.019153927,0.082554839,180.5721272
Trinity,2010,MCY,Aggregate,Aggregate,Gasoline,1121.081071,2178878.311,2178878.311,0,778030.2635,0,2.60485234,0,0.253891737,2.858744077,0.009936213,0,0.00730329,0.017239503,0.002401802,0.010087569,0.029728874,0.010445036,0,0.007665769,0.018110805,0.009607209,0.028821626,0.05653964,590.6986015,0,67.7532351,658.4518366,1.110953793,0,0.314373986,1.425327779,0.148874889,0,0.01400158,0.162876469,8.850011318,0,2.627292917,11.47730424,2.253527999,2.804043595,3.31711592,19.85199175,10.02115159,0,2.851576731,12.87272832,2.253527999,2.804043595,3.31711592,21.24741583,79.64525323,0,9.322801798,88.96805503,0.00583074,0,0.000668787,0.006499527,0.017577105,69.32690515
Trinity,2010,MDV,Aggregate,Aggregate,Gasoline,5749.089553,65202158.67,65202158.67,0,9245993.569,0,52.09801741,0,13.64081777,65.73883517,0.33166029,0,0.057052504,0.388712794,0.143746154,0.285984677,0.818443626,0.359803776,0,0.061788173,0.421591949,0.574984616,0.817099078,1.813675643,43018.99444,0,1517.933233,44536.92767,2.563089181,0,3.10531374,5.668402921,2.777203172,0,0.810449668,3.58765284,13.98393643,0,19.04399086,33.02792729,5.280684159,2.041903569,6.56427251,46.91478752,19.31162575,0,20.8417914,40.15341715,5.280684159,2.041903569,6.56427251,54.04027739,385.6167307,0,153.4851935,539.1019241,0.42463718,0,0.014983402,0.439620581,2.698352693,4689.192419
Trinity,2010,MDV,Aggregate,Aggregate,Diesel,17.8448954,134242.0183,134242.0183,0,24827.38686,0,0.151279017,0,0,0.151279017,0.024481281,0,0,0.024481281,0.000295953,0.000615242,0.025392476,0.025588216,0,0,0.025588216,0.001183812,0.001757833,0.028529862,88.96285349,0,0,88.96285349,0.001459269,0,0,0.001459269,0.013948247,0,0,0.013948247,0.031417195,0,0,0.031417195,0,0,0,0.031417195,0.035766388,0,0,0.035766388,0,0,0,0.035766388,0.181897857,0,0,0.181897857,0.000838885,0,0,0.000838885,0.000458727,7.908525473
Trinity,2010,MH,Aggregate,Aggregate,Gasoline,342.4360446,803107.7283,803107.7283,0,11202.13772,0,1.827822098,0,0.004680737,1.832502835,0.005914774,0,3.17671E-05,0.005946541,0.002655824,0.014105722,0.022708087,0.00634931,0,3.37449E-05,0.006383055,0.010623297,0.040302062,0.057308413,1712.556529,0,0.612434334,1713.168964,0.108420484,0,0.00121411,0.109634594,0.077302458,0,0.000306652,0.07760911,0.705360699,0,0.008550093,0.713910791,0.946418289,0.418004697,0.007942242,2.08627602,0.891877709,0,0.009303583,0.901181292,0.946418289,0.418004697,0.007942242,2.27354652,21.48804151,0,0.07884324,21.56688475,0.016904514,0,6.04529E-06,0.016910559,0.034652655,180.3756868
Trinity,2010,MH,Aggregate,Aggregate,Diesel,58.88665181,192823.2894,192823.2894,0,1925.593514,0,1.672789487,0,0,1.672789487,0.040473989,0,0,0.040473989,0.000850205,0.003377615,0.044701809,0.042304043,0,0,0.042304043,0.003400821,0.009650329,0.055355193,230.9989245,0,0,230.9989245,0.001593433,0,0,0.001593433,0.036217702,0,0,0.036217702,0.034305679,0,0,0.034305679,0,0,0,0.034305679,0.039054734,0,0,0.039054734,0,0,0,0.039054734,0.133815669,0,0,0.133815669,0.002178231,0,0,0.002178231,0.006256191,20.53509759
Trinity,2010,MHDT,Aggregate,Aggregate,Gasoline,95.2032173,858568.4492,858568.4492,0,622878.0927,0,2.841447022,0.0027792,0.389090246,3.233316468,0.006794715,0,0.004399161,0.011193875,0.002839229,0.015079829,0.029112934,0.007253783,0,0.004640455,0.011894237,0.011356917,0.043085227,0.066336381,1840.673741,19.01747694,62.83306912,1922.524287,0.158680461,0.005920364,0.126931246,0.291532071,0.109732077,0.000121837,0.016623787,0.126477701,1.129873906,0.035407678,1.124248156,2.28952974,0.297042533,0.180892411,0.772534591,3.539999275,1.424204214,0.046833037,1.220815314,2.691852565,0.297042533,0.180892411,0.772534591,3.9423221,28.28995548,0.530394236,4.667144105,33.48749382,0.018169149,0.00018772,0.00062022,0.018977089,0.037166974,202.4182354
