Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Tulare,2010,HHDT,Aggregate,Aggregate,Gasoline,55.69234046,1227247.166,1227247.166,0,364373.5978,0,8.794399035,0,0.064578142,8.858977176,0.00760738,0,0.003825738,0.011433118,0.006764042,0.053862457,0.072059617,0.008035421,0,0.004014752,0.012050173,0.027056169,0.153892734,0.192999075,3632.82489,0,54.40450467,3687.229395,0.504471136,0,0.000131006,0.504602142,0.277386853,0,0.003192892,0.280579745,3.810754944,0,0.000711523,3.811466467,0.235809058,0.155349248,0.466599551,4.669224325,4.716370099,0,0.000779028,4.717149127,0.235809058,0.155349248,0.466599551,5.574906984,138.9321406,0,1.351378393,140.283519,0.035859335,0,0.000537023,0.036396357,0.054463063,388.2200464
Tulare,2010,HHDT,Aggregate,Aggregate,Diesel,4134.188589,183298460.9,183298460.9,0,19776249.5,0,3069.744589,87.35919043,1.068921742,3158.172702,112.0538544,2.183228228,0,114.2370826,1.796232546,7.186063906,123.219379,117.1204324,2.28194412,0,119.4023766,7.184930183,20.53161116,147.1189179,349399.7844,9902.481435,0,359302.2658,9.057230574,0.600029743,0,9.657260316,54.78145563,1.552583521,0,56.33403915,194.9996906,12.91847582,0,207.9181664,0,0,0,207.9181664,221.9923041,14.70670135,0,236.6990054,0,0,0,236.6990054,686.1845218,36.4157867,0,722.6003085,3.292581944,0.093316404,0,3.385898348,6.694333103,31940.87207
Tulare,2010,LDA,Aggregate,Aggregate,Gasoline,141921.3234,1710833055,1710833055,0,227343923.8,0,592.8952446,0,167.4794876,760.3747321,4.984527253,0,1.245311751,6.229839004,3.771741256,5.194726665,15.19630693,5.406758123,0,1.345272101,6.752030224,15.08696502,14.84207619,36.68107143,637957.9515,0,24683.85837,662641.8099,31.27154551,0,49.34810606,80.61965157,39.3814558,0,13.20027975,52.58173556,158.1307324,0,279.2243686,437.355101,178.6226699,68.66592824,173.7004154,858.3441145,217.768796,0,305.5068953,523.2756913,178.6226699,68.66592824,173.7004154,944.2647049,6348.223479,0,2588.710645,8936.934124,6.297233785,0,0.243652464,6.540886249,71.4081362,69768.05796
Tulare,2010,LDA,Aggregate,Aggregate,Diesel,505.3417942,4063827.479,4063827.479,0,709186.7293,0,6.209171102,0,0,6.209171102,0.536931746,0,0,0.536931746,0.008959206,0.012537134,0.558428086,0.561209417,0,0,0.561209417,0.035836824,0.035820383,0.632866624,1334.226557,0,0,1334.226557,0.035272187,0,0,0.035272187,0.209189806,0,0,0.209189806,0.759389425,0,0,0.759389425,0,0,0,0.759389425,0.864514373,0,0,0.864514373,0,0,0,0.864514373,5.54500447,0,0,5.54500447,0.012581241,0,0,0.012581241,0.013886765,118.6086586
Tulare,2010,LDT1,Aggregate,Aggregate,Gasoline,23442.59631,229602920.4,229602920.4,0,35006201.37,0,217.116888,0,39.22131979,256.3382078,1.787737408,0,0.389295806,2.177033215,0.506187792,0.8145666,3.497787606,1.928626358,0,0.419613314,2.348239672,2.024751169,2.327333142,6.700323983,100330.9151,0,4941.368067,105272.2832,11.856538,0,11.17307403,23.02961203,11.4471374,0,2.436374349,13.88351175,72.9524104,0,67.91273613,140.8651465,59.63303612,22.68439938,59.54173594,282.724318,92.37739436,0,74.27034641,166.6477408,59.63303612,22.68439938,59.54173594,308.5069122,2181.655136,0,712.9608022,2894.615938,0.990358732,0,0.048775863,1.039134596,12.48244791,11083.88068
Tulare,2010,LDT1,Aggregate,Aggregate,Diesel,58.28754544,435158.5669,435158.5669,0,76067.71599,0,0.81235013,0,0,0.81235013,0.100661418,0,0,0.100661418,0.00095936,0.0016494,0.103270178,0.10521288,0,0,0.10521288,0.003837442,0.00471257,0.113762892,205.9461778,0,0,205.9461778,0.006380521,0,0,0.006380521,0.032289749,0,0,0.032289749,0.137368856,0,0,0.137368856,0,0,0,0.137368856,0.156385309,0,0,0.156385309,0,0,0,0.156385309,0.865428172,0,0,0.865428172,0.001941993,0,0,0.001941993,0.001487008,18.30798507
Tulare,2010,LDT2,Aggregate,Aggregate,Gasoline,55495.33956,634227602.6,634227602.6,0,88379747.78,0,461.5505595,0,121.5792301,583.1297896,2.341649864,0,0.522577721,2.864227585,1.39823252,2.141421376,6.403881481,2.530404015,0,0.564425626,3.09482964,5.592930081,6.11834679,14.80610651,316323.3101,0,12765.86994,329089.18,17.78478684,0,23.70477303,41.48955987,24.79507416,0,7.669644209,32.46471837,100.7040907,0,137.3244965,238.0285872,73.34049266,27.80835724,71.79456647,410.9720036,132.3304792,0,150.2644507,282.5949299,73.34049266,27.80835724,71.79456647,455.5383463,3494.435602,0,1284.292701,4778.728303,3.122403022,0,0.126010919,3.24841394,27.51855766,34649.05571
Tulare,2010,LDT2,Aggregate,Aggregate,Diesel,4.805415932,41508.79143,41508.79143,0,6564.542229,0,0.080624985,0,0,0.080624985,0.008677672,0,0,0.008677672,9.15112E-05,0.000147301,0.008916485,0.009070038,0,0,0.009070038,0.000366045,0.00042086,0.009856943,20.16896126,0,0,20.16896126,0.000583676,0,0,0.000583676,0.003162237,0,0,0.003162237,0.012566205,0,0,0.012566205,0,0,0,0.012566205,0.014305789,0,0,0.014305789,0,0,0,0.014305789,0.074094179,0,0,0.074094179,0.000190186,0,0,0.000190186,0.000141842,1.792958944
Tulare,2010,LHDT1,Aggregate,Aggregate,Gasoline,8093.39532,85195827.93,85195827.93,0,39429506.67,0,73.32312062,0.120353186,26.21774791,99.66122171,0.413822339,0,0.049300422,0.463122761,0.18782465,2.563806466,3.214753877,0.448768167,0,0.053202963,0.50197113,0.751298599,7.325161332,8.578431061,99914.22439,366.1664398,1096.8598,101377.2506,4.499968399,0.337319067,2.01534475,6.852632216,3.686678653,0.007946917,1.807128538,5.501754109,25.33219344,1.374156535,11.57156586,38.27791584,12.32646373,4.162783254,20.29140552,75.05856834,35.69026996,1.996456769,12.65304662,50.33977335,12.32646373,4.162783254,20.29140552,87.12042585,486.7820628,10.67649318,144.9967285,642.4552844,0.986245611,0.003614401,0.010827019,1.00068703,4.135943346,10673.78151
Tulare,2010,LHDT1,Aggregate,Aggregate,Diesel,8252.015044,100214359.4,100214359.4,0,33942589.61,0,575.4793443,7.722045413,0,583.2013897,9.886413455,0.087556235,0,9.973969689,0.331402266,3.015760616,13.32113257,10.3334332,0.091515139,0,10.42494834,1.325609063,8.616458904,20.36701631,65333.66593,426.8777495,0,65760.54368,1.729239878,0.015164311,0,1.744404189,10.24349035,0.066929018,0,10.31041937,37.22951646,0.326478686,0,37.55599515,0,0,0,37.55599515,42.3833293,0.371674278,0,42.75500358,0,0,0,42.75500358,117.0905902,2.706023829,0,119.796614,0.616071253,0.004025292,0,0.620096546,3.267903551,5845.911123
