Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Ventura,2010,HHDT,Aggregate,Aggregate,Gasoline,52.81813754,1136602.431,1136602.431,0,345568.7917,0,8.345882736,0,0.081075849,8.426958585,0.004422291,0,0.002963346,0.007385637,0.006264449,0.047054847,0.060704932,0.00467656,0,0.003110929,0.007787488,0.025057794,0.134442419,0.167287702,2904.174918,0,45.92548446,2950.100402,0.33431315,0,0,0.33431315,0.264198496,0,0.003889658,0.268088154,2.341394364,0,0,2.341394364,0.157065759,0.128508465,0.378066364,3.005034951,2.934034457,0,0,2.934034457,0.157065759,0.128508465,0.378066364,3.597675044,90.32860998,0,1.435737642,91.76434762,0.028666887,0,0.000453327,0.029120214,0.051913889,310.6094013
Ventura,2010,HHDT,Aggregate,Aggregate,Diesel,2762.614229,85114881.6,85114881.6,0,10445171.98,0,1374.465927,47.16500769,0.403010917,1422.033945,45.69916304,1.058129356,0,46.75729239,0.818127986,3.458628028,51.03404841,47.7654764,1.10597327,0,48.87144967,3.272511946,9.881794365,62.02575598,164453.6841,4591.035786,0,169044.7199,3.471933432,0.299355822,0,3.771289255,25.78425231,0.719816195,0,26.5040685,74.74977472,6.445048768,0,81.19482349,0,0,0,81.19482349,85.09692847,7.337197417,0,92.43412589,0,0,0,92.43412589,289.7906947,19.99527433,0,309.785969,1.549735446,0.043263798,0,1.592999244,3.021995553,15027.55836
Ventura,2010,LDA,Aggregate,Aggregate,Gasoline,250157.3302,2876216102,2876216102,0,404612756.7,0,843.1427353,0,277.6135215,1120.756257,7.782107155,0,2.014357579,9.796464733,6.340971083,7.851198557,23.98863437,8.442270792,0,2.175625448,10.61789624,25.36388433,22.43199588,58.41377645,1068779.253,0,43114.37274,1111893.626,46.35037342,0,80.93219995,127.2825734,56.94747726,0,22.49880765,79.4462849,235.6617363,0,457.9819223,693.6436586,229.6252486,106.9621135,258.9472537,1289.178274,324.3950533,0,501.0833662,825.4784196,229.6252486,106.9621135,258.9472537,1421.013035,8318.055919,0,4265.075892,12583.13181,10.54983766,0,0.425578651,10.97541631,111.7449742,117068.7659
Ventura,2010,LDA,Aggregate,Aggregate,Diesel,1303.733126,11663827.02,11663827.02,0,1933511.009,0,13.0443261,0,0,13.0443261,1.03907671,0,0,1.03907671,0.025714337,0.03187867,1.096669716,1.086059148,0,0,1.086059148,0.102857348,0.091081913,1.279998408,3731.445072,0,0,3731.445072,0.070220469,0,0,0.070220469,0.585043271,0,0,0.585043271,1.511805361,0,0,1.511805361,0,0,0,1.511805361,1.721089892,0,0,1.721089892,0,0,0,1.721089892,12.15426769,0,0,12.15426769,0.035186087,0,0,0.035186087,0.039857211,331.7140497
Ventura,2010,LDT1,Aggregate,Aggregate,Gasoline,33456.29375,341496331.8,341496331.8,0,51640810.71,0,227.5301483,0,51.14008131,278.6702296,1.967384339,0,0.427596884,2.394981222,0.752870538,1.137174311,4.285026072,2.129298514,0,0.462150598,2.591449113,3.011482153,3.249069461,8.852000727,147232.8091,0,6820.321677,154053.1307,11.66552977,0,14.17395504,25.83948481,12.7815515,0,3.408091011,16.18964251,66.0889281,0,84.00501017,150.0939383,54.36115888,23.13540943,64.52380042,292.114307,87.08293946,0,91.90883268,178.9917721,54.36115888,23.13540943,64.52380042,321.0121409,2030.561677,0,879.3954847,2909.957162,1.453323714,0,0.06732287,1.520646584,16.77476459,16219.90583
Ventura,2010,LDT1,Aggregate,Aggregate,Diesel,59.54208866,450106.2891,450106.2891,0,81109.21689,0,0.781991993,0,0,0.781991993,0.083566804,0,0,0.083566804,0.000992315,0.00159571,0.086154828,0.087345324,0,0,0.087345324,0.003969258,0.00455917,0.095873752,229.287334,0,0,229.287334,0.005343155,0,0,0.005343155,0.035949346,0,0,0.035949346,0.115034979,0,0,0.115034979,0,0,0,0.115034979,0.130959675,0,0,0.130959675,0,0,0,0.130959675,0.802726766,0,0,0.802726766,0.002162091,0,0,0.002162091,0.001538087,20.38294244
Ventura,2010,LDT2,Aggregate,Aggregate,Gasoline,89461.08894,1054046556,1054046556,0,146079799.5,0,537.4373274,0,176.9195102,714.3568376,2.722858466,0,0.596428054,3.31928652,2.323774882,3.367853135,9.010914537,2.951236318,0,0.645855842,3.59709216,9.29509953,9.622437528,22.51462922,518710.3302,0,19927.35782,538637.688,19.14576494,0,32.99904168,52.14480662,30.99067668,0,11.93579233,42.92646901,98.56970071,0,184.2558474,282.8255481,63.82058458,28.07493567,72.42447237,447.1455407,134.7581566,0,201.6730636,336.4312201,63.82058458,28.07493567,72.42447237,500.7512127,3619.982989,0,1712.492056,5332.475045,5.120149703,0,0.196701414,5.316851117,41.26146539,56711.94434
Ventura,2010,LDT2,Aggregate,Aggregate,Diesel,3.287045143,25881.28117,25881.28117,0,4465.806592,0,0.052047959,0,0,0.052047959,0.004877897,0,0,0.004877897,5.70585E-05,8.86771E-05,0.005023633,0.005098454,0,0,0.005098454,0.000228234,0.000253363,0.005580051,13.3553418,0,0,13.3553418,0.00029659,0,0,0.00029659,0.002093948,0,0,0.002093948,0.006385403,0,0,0.006385403,0,0,0,0.006385403,0.007269356,0,0,0.007269356,0,0,0,0.007269356,0.039816739,0,0,0.039816739,0.000125936,0,0,0.000125936,8.84406E-05,1.187249022
Ventura,2010,LHDT1,Aggregate,Aggregate,Gasoline,12806.72278,140022123.1,140022123.1,0,62391955.61,0,92.85186734,0.191638494,42.64745165,135.6909575,0.29075018,0,0.062228224,0.352978403,0.30869594,4.213699584,4.875373928,0.315668075,0,0.067414116,0.383082191,1.234783761,12.03914167,13.65700762,126339.1224,579.6598113,1682.042302,128600.8245,3.30815336,0.563430604,3.112871031,6.984454995,4.78114682,0.013405191,3.08969471,7.88424672,17.33800737,2.186979571,16.58712017,36.11210711,13.49088778,5.178302631,25.91855583,80.69985336,24.74734375,3.185689237,18.15070065,46.08373364,13.49088778,5.178302631,25.91855583,90.67147988,491.8023423,17.00242983,218.2151295,727.0199016,1.247083743,0.005721777,0.01660331,1.26940883,6.856722754,13540.09005
Ventura,2010,LHDT1,Aggregate,Aggregate,Diesel,6961.201232,84556234.72,84556234.72,0,28633151.46,0,504.8304433,6.51413161,0,511.3445749,5.337726624,0.072621846,0,5.41034847,0.279621882,2.544559124,8.234529476,5.579074936,0.075905484,0,5.65498042,1.118487527,7.270168927,14.04363687,42823.05801,360.1037928,0,43183.1618,0.88765349,0.012792248,0,0.900445738,6.714112478,0.056459708,0,6.770572186,19.11065702,0.27540956,0,19.38606658,0,0,0,19.38606658,21.75621246,0.313535474,0,22.06974793,0,0,0,22.06974793,73.54369843,2.282736557,0,75.82643499,0.403804909,0.00339564,0,0.407200549,2.735159048,3838.850955
