Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Yolo,2010,HHDT,Aggregate,Aggregate,Gasoline,26.4965875,474686.9146,474686.9146,0,173356.9973,0,3.797341982,0,0.060248894,3.857590876,0.003520805,0,0.001833123,0.005353928,0.002616264,0.021588235,0.029558426,0.003714232,0,0.001926007,0.00564024,0.010465055,0.06168067,0.077785965,1427.029438,0,25.16441982,1452.193858,0.219691284,0,2.96092E-07,0.21969158,0.116865387,0,0.001030424,0.117895811,1.73343293,0,1.60688E-06,1.733434537,0.108849055,0.075933871,0.234087138,2.1523046,2.099893415,0,1.75934E-06,2.099895175,0.108849055,0.075933871,0.234087138,2.518765238,66.99277391,0,0.446088133,67.43886204,0.014086098,0,0.000248396,0.014334494,0.019924891,152.8982079
Yolo,2010,HHDT,Aggregate,Aggregate,Diesel,1646.453981,67774688.69,67774688.69,0,6536096.39,0,1081.090764,31.51910678,0.320604517,1112.930476,38.45230809,0.747585844,0,39.19989394,0.651707946,2.666166573,42.51776846,40.19095084,0.781388359,0,40.9723392,2.606831782,7.61761878,51.19678976,132506.5028,3487.062402,0,135993.5652,3.086573966,0.207873849,0,3.294447815,20.77533938,0.546727167,0,21.32206655,66.45309108,4.475466957,0,70.92855804,0,0,0,70.92855804,75.6517857,5.094978453,0,80.74676415,0,0,0,80.74676415,232.9632875,12.83699893,0,245.8002864,1.248679987,0.032860463,0,1.28154045,2.475840015,12089.41184
Yolo,2010,LDA,Aggregate,Aggregate,Gasoline,72055.95028,970964016.1,970964016.1,0,116658747.2,0,282.6307454,0,81.68343546,364.3141809,2.646787963,0,0.554875954,3.201663917,2.140609235,2.994198789,8.336471941,2.872486381,0,0.599866469,3.47235285,8.56243694,8.554853682,20.58964347,373960.9053,0,12391.24828,386352.1536,16.05996372,0,23.73642278,39.7963865,19.53602189,0,6.674453468,26.21047535,79.30706736,0,132.3891828,211.6962502,70.11896032,29.16776712,73.27238874,384.2553663,110.0735552,0,144.8645447,254.9380999,70.11896032,29.16776712,73.27238874,427.4972161,3133.853274,0,1230.893579,4364.746853,3.691339283,0,0.122313057,3.81365234,37.8908186,40678.14473
Yolo,2010,LDA,Aggregate,Aggregate,Diesel,463.9579937,5000042.381,5000042.381,0,697086.4551,0,6.547664997,0,0,6.547664997,0.40697835,0,0,0.40697835,0.011023207,0.01544824,0.433449797,0.425380106,0,0,0.425380106,0.044092826,0.044137828,0.513610759,1568.136855,0,0,1568.136855,0.028617887,0,0,0.028617887,0.245863974,0,0,0.245863974,0.61612626,0,0,0.61612626,0,0,0,0.61612626,0.701418784,0,0,0.701418784,0,0,0,0.701418784,4.921945714,0,0,4.921945714,0.014786925,0,0,0.014786925,0.017085965,139.4025683
Yolo,2010,LDT1,Aggregate,Aggregate,Gasoline,10725.54267,106373188.1,106373188.1,0,16381589.89,0,71.03142339,0,16.27085693,87.30228031,0.655458784,0,0.154342639,0.809801423,0.234512737,0.406811587,1.451125747,0.708641106,0,0.166299236,0.874940342,0.938050947,1.16231882,2.975310109,47529.72646,0,2223.516664,49753.24312,4.134240559,0,4.691476348,8.825716907,3.997737391,0,1.067979606,5.065716998,24.24425324,0,28.54050005,52.78475329,20.60070501,8.759884414,22.05326538,104.1986081,31.55954668,0,31.21192796,62.77147465,20.60070501,8.759884414,22.05326538,114.1853294,730.0480868,0,293.1424393,1023.190526,0.469162268,0,0.021948162,0.491110429,5.227396629,5238.406479
Yolo,2010,LDT1,Aggregate,Aggregate,Diesel,45.75402061,333086.0713,333086.0713,0,62821.281,0,0.506923792,0,0,0.506923792,0.053006357,0,0,0.053006357,0.000734329,0.001325506,0.055066192,0.055403069,0,0,0.055403069,0.002937316,0.003787159,0.062127545,169.9058922,0,0,169.9058922,0.003167801,0,0,0.003167801,0.026639089,0,0,0.026639089,0.068200882,0,0,0.068200882,0,0,0,0.068200882,0.07764217,0,0,0.07764217,0,0,0,0.07764217,0.449973318,0,0,0.449973318,0.001602147,0,0,0.001602147,0.00113821,15.10411395
Yolo,2010,LDT2,Aggregate,Aggregate,Gasoline,24348.63558,286001542.5,286001542.5,0,39469974.26,0,154.2759852,0,49.96173373,204.2377189,0.821840348,0,0.18270715,1.004547497,0.630525471,1.05321409,2.688287058,0.89056804,0,0.197506532,1.088074571,2.522101882,3.009183113,6.619359567,146119.3728,0,5477.783862,151597.1566,5.821058722,0,9.358909079,15.1799678,8.855142089,0,3.304614853,12.15975694,30.42035769,0,53.11495859,83.53531628,21.56122619,9.025875917,22.10719728,136.2296157,41.43601847,0,58.12605035,99.56206882,21.56122619,9.025875917,22.10719728,152.2563682,1169.978683,0,491.1037868,1661.082469,1.44233307,0,0.054070782,1.496403853,11.40809685,15961.32187
Yolo,2010,LDT2,Aggregate,Aggregate,Diesel,2.085085625,10335.12638,10335.12638,0,2563.282774,0,0.01810581,0,0,0.01810581,0.003666024,0,0,0.003666024,2.27851E-05,4.4742E-05,0.003733551,0.003831786,0,0,0.003831786,9.11402E-05,0.000127834,0.00405076,5.427725978,0,0,5.427725978,0.000255251,0,0,0.000255251,0.000850999,0,0,0.000850999,0.005495396,0,0,0.005495396,0,0,0,0.005495396,0.006256143,0,0,0.006256143,0,0,0,0.006256143,0.023859321,0,0,0.023859321,5.11814E-05,0,0,5.11814E-05,3.53168E-05,0.482508232
Yolo,2010,LHDT1,Aggregate,Aggregate,Gasoline,4066.158806,45045660.3,45045660.3,0,19809564.39,0,29.69116338,0.061032597,13.98581219,43.73800817,0.170905072,0,0.018845526,0.189750599,0.099308682,1.355563505,1.644622786,0.185530609,0,0.020385687,0.205916296,0.397234727,3.873038587,4.47618961,52344.82358,184.0824271,534.7981491,53063.70415,1.527524616,0.176528915,0.978116667,2.682170198,1.579383277,0.004209287,0.989688253,2.573280817,8.198570619,0.697581437,5.355073547,14.2512256,4.271708453,1.55090107,7.597272149,27.67110728,11.62925228,1.01559349,5.858709768,18.50355554,4.271708453,1.55090107,7.597272149,31.92343721,159.1409716,5.41532536,67.8383521,232.3946491,0.51669172,0.001817063,0.005278951,0.523787735,2.214412107,5586.957436
Yolo,2010,LHDT1,Aggregate,Aggregate,Diesel,4045.109909,47980644.18,47980644.18,0,16638542.81,0,286.5590048,3.785320586,0,290.3443254,4.634361092,0.044288377,0,4.678649469,0.15866882,1.443886265,6.281204555,4.843906336,0.046290901,0,4.890197237,0.634675282,4.125389329,9.650261848,31321.24739,209.2540313,0,31530.50142,0.823165805,0.007433494,0,0.830599299,4.910774421,0.032808379,0,4.9435828,17.72227512,0.160038749,0,17.88231387,0,0,0,17.88231387,20.17563197,0.182193476,0,20.35782545,0,0,0,20.35782545,56.90397424,1.326483743,0,58.23045798,0.295347274,0.001973185,0,0.297320459,1.551132306,2802.965101
Yolo,2010,LHDT2,Aggregate,Aggregate,Gasoline,371.0032878,4181314.696,4181314.696,0,1807458.555,0,2.59744174,0.005583309,1.316258026,3.919283074,0.013537029,0,0.001455224,0.014992253,0.009218221,0.146800169,0.171010643,0.01469841,0,0.001575148,0.016273558,0.036872884,0.419429054,0.472575496,5521.378038,19.36936533,55.20676761,5595.95417,0.132968026,0.016361493,0.086616442,0.235945961,0.137738342,0.000389384,0.094599181,0.232726907,0.710807511,0.063834984,0.473748664,1.248391159,0.358137423,0.128321295,0.644207872,2.379057749,1.013703932,0.092989874,0.518393859,1.625087665,0.358137423,0.128321295,0.644207872,2.755754256,13.92620142,0.495432195,6.327769537,20.74940315,0.054501097,0.000191194,0.000544942,0.055237232,0.206306851,589.1853624
Yolo,2010,LHDT2,Aggregate,Aggregate,Diesel,702.1175426,8476659.352,8476659.352,0,2887984.023,0,45.9897121,0.657025408,0,46.64673751,0.830106207,0.007314031,0,0.837420239,0.028031752,0.297603772,1.163055763,0.867639926,0.007644739,0,0.875284666,0.11212701,0.850296491,1.837708167,7039.702667,57.56609531,0,7097.268762,0.144827161,0.001290246,0,0.146117407,1.103736111,0.009025634,0,1.112761745,3.118043514,0.027778235,0,3.145821749,0,0,0,3.145821749,3.549685239,0.031623674,0,3.581308912,0,0,0,3.581308912,9.526136013,0.230240346,0,9.756376359,0.066381679,0.000542826,0,0.066924505,0.282836095,630.9254773
