Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,Energy Consumption,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,Fuel Consumption
Yuba,2010,HHDT,Aggregate,Aggregate,Gasoline,19.36332531,201440.1854,201440.1854,0,126686.802,0,2.548463006,0,0.085822306,2.634285312,0.002729496,0,0.001807602,0.004537099,0.001110249,0.0095147,0.015162048,0.002869545,0,0.001896922,0.004766467,0.004440996,0.027184858,0.036392321,570.9257287,0,22.43040075,593.3561294,0.131656062,0,0,0.131656062,0.066092154,0,0.001514402,0.067606555,1.135915166,0,0,1.135915166,0.096951478,0.077989049,0.210717958,1.521573651,1.294320772,0,0,1.294320772,0.096951478,0.077989049,0.210717958,1.679979257,43.71776908,0,0.130138005,43.84790708,0.005635564,0,0.000221409,0.005856973,0.006441492,62.47312532
Yuba,2010,HHDT,Aggregate,Aggregate,Diesel,248.9554754,7278553.943,7278553.943,0,834392.5912,0,125.9866356,3.858145573,0.024032087,129.8688132,4.515549031,0.106734418,0,4.622283449,0.069403717,0.315724645,5.007411811,4.719722121,0.111560475,0,4.831282596,0.277614866,0.902070415,6.010967876,16247.95759,374.7292844,0,16622.68688,0.3490513,0.029196459,0,0.378247758,2.547473718,0.0587528,0,2.606226518,7.514978761,0.628591749,0,8.14357051,0,0,0,8.14357051,8.55523127,0.715603857,0,9.270835127,0,0,0,9.270835127,26.6479579,1.83212315,0,28.48008105,0.153113236,0.003531275,0,0.156644512,0.254610771,1477.706002
Yuba,2010,LDA,Aggregate,Aggregate,Gasoline,19539.27735,243996032.1,243996032.1,0,31174473.16,0,92.45464619,0,23.90811577,116.362762,0.818083459,0,0.180198533,0.998281992,0.537919172,0.666107038,2.202308202,0.887433307,0,0.194634296,1.082067603,2.151676688,1.903162966,5.136907257,93057.70843,0,3449.277229,96506.98566,5.085171577,0,7.2279296,12.31310118,6.074417851,0,1.859661512,7.934079364,25.83130132,0,41.17064805,67.00194937,23.11274016,9.666089711,24.89988798,124.6806672,35.56430387,0,45.0444852,80.60878907,23.11274016,9.666089711,24.89988798,138.2875069,960.9648244,0,383.42109,1344.385914,0.91856547,0,0.03404755,0.95261302,10.48976111,10161.00232
Yuba,2010,LDA,Aggregate,Aggregate,Diesel,102.3104817,864049.6693,864049.6693,0,144104.1557,0,1.329014676,0,0,1.329014676,0.106784706,0,0,0.106784706,0.001904903,0.002396035,0.111085645,0.111613037,0,0,0.111613037,0.007619614,0.006845814,0.126078465,278.7565116,0,0,278.7565116,0.00715639,0,0,0.00715639,0.043705486,0,0,0.043705486,0.154072856,0,0,0.154072856,0,0,0,0.154072856,0.175401704,0,0,0.175401704,0,0,0,0.175401704,1.113032296,0,0,1.113032296,0.002628566,0,0,0.002628566,0.002952599,24.78060096
Yuba,2010,LDT1,Aggregate,Aggregate,Gasoline,2256.352651,22527925.21,22527925.21,0,3329839.939,0,17.61831441,0,3.417348658,21.03566307,0.160760237,0,0.047712238,0.208472475,0.049665574,0.075307477,0.333445525,0.172838802,0,0.050932337,0.223771139,0.198662294,0.21516422,0.637597653,10087.32862,0,499.5648774,10586.8935,1.151102959,0,1.063114542,2.214217502,0.923271393,0,0.215233953,1.138505346,7.724715419,0,6.879267299,14.60398272,5.393345164,2.894367829,5.19796764,28.08966335,9.44383691,0,7.50914699,16.9529839,5.393345164,2.894367829,5.19796764,30.43866453,188.581469,0,66.14580757,254.7272766,0.099571244,0,0.004931166,0.10450241,1.057612403,1114.67008
Yuba,2010,LDT1,Aggregate,Aggregate,Diesel,8.746291227,58240.20762,58240.20762,0,11559.18623,0,0.099126411,0,0,0.099126411,0.011403854,0,0,0.011403854,0.000128398,0.000215037,0.011747289,0.011919486,0,0,0.011919486,0.000513591,0.000614392,0.013047469,26.85393873,0,0,26.85393873,0.000755382,0,0,0.000755382,0.004210357,0,0,0.004210357,0.016262935,0,0,0.016262935,0,0,0,0.016262935,0.018514271,0,0,0.018514271,0,0,0,0.018514271,0.110272515,0,0,0.110272515,0.000253222,0,0,0.000253222,0.000199016,2.387232987
Yuba,2010,LDT2,Aggregate,Aggregate,Gasoline,9892.847876,114300152.1,114300152.1,0,15492838.73,0,97.43137444,0,23.97769602,121.4090705,0.494493997,0,0.107609575,0.602103571,0.251988701,0.37948402,1.233576292,0.53653672,0,0.116411022,0.652947741,1.007954804,1.084240056,2.745142602,58866.87241,0,2355.268278,61222.14069,3.384339712,0,4.84621747,8.230557182,5.170411062,0,1.439562251,6.609973313,17.38893664,0,28.70062857,46.08956521,14.58292789,5.628919851,16.43140885,82.73282181,24.24711452,0,31.40901922,55.65613375,14.58292789,5.628919851,16.43140885,92.29939034,657.9208965,0,276.2669159,934.1878125,0.581070362,0,0.023248672,0.604319034,5.381802621,6445.940773
Yuba,2010,LHDT1,Aggregate,Aggregate,Gasoline,1367.309621,13816453.81,13816453.81,0,6661276.473,0,13.41233803,0.020258291,4.339829878,17.7724262,0.076821611,0,0.00879763,0.085619242,0.030460067,0.415779909,0.531859218,0.083388376,0,0.009517464,0.09290584,0.121840267,1.187942598,1.402688704,16269.89374,61.84495825,185.9283498,16517.66705,0.801974641,0.05572483,0.354291423,1.211990894,0.665083275,0.001301875,0.290740789,0.957125939,4.451145922,0.230743173,2.041532743,6.723421838,2.06955901,0.705769687,3.737016367,13.2357669,6.331028037,0.335636522,2.233192824,8.899857384,2.06955901,0.705769687,3.737016367,15.41220245,86.75019678,1.79690578,26.41609798,114.9632005,0.160598868,0.000610467,0.001835284,0.163044619,0.672909375,1739.107818
Yuba,2010,LHDT1,Aggregate,Aggregate,Diesel,1984.431288,22799182.82,22799182.82,0,8162459.286,0,146.8773502,1.856985045,0,148.7343353,2.16033783,0.021763921,0,2.182101751,0.075395391,0.686098061,2.943595203,2.25801872,0.022747989,0,2.280766709,0.301581566,1.960280174,4.542628449,14803.26722,102.6548737,0,14905.92209,0.394925655,0.003646689,0,0.398572344,2.320964586,0.016094982,0,2.337059569,8.502516843,0.078511069,0,8.581027912,0,0,0,8.581027912,9.67955014,0.089379632,0,9.768929772,0,0,0,9.768929772,28.21203711,0.650740252,0,28.86277736,0.139589096,0.000967996,0,0.140557092,0.718881092,1325.090866
Yuba,2010,LHDT2,Aggregate,Aggregate,Gasoline,104.8667403,1138719.947,1138719.947,0,510891.1246,0,0.827789448,0.001571121,0.363071697,1.192432265,0.00432477,0,0.000427919,0.00475269,0.002510448,0.03997888,0.047242018,0.004703582,0,0.000465401,0.005168984,0.010041791,0.114225373,0.129436148,1509.16529,5.473422954,15.39053751,1530.02925,0.041435999,0.004515512,0.024425759,0.07037727,0.043063594,0.000106429,0.025365551,0.068535573,0.214652058,0.017907957,0.131969764,0.36452978,0.114766624,0.038941011,0.216210644,0.734448059,0.313219779,0.026131249,0.144490281,0.483841309,0.114766624,0.038941011,0.216210644,0.853759589,4.155190096,0.139401475,1.852374611,6.146966182,0.014896854,5.40277E-05,0.000151919,0.015102801,0.056070651,161.0933204
