site_code,address,city
9,9925 International Blvd,Oakland
11,1100 21st Street,Oakland
1001,"40733 CHAPEL WAY., FREMONT",Fremont
2004,1340 Sixth Street,Berkeley
2,"468 MANZANITA AVE, CHICO",
1002,5551 BETHEL ISLAND RD,Bethel Island
1004,"1865 D RUMRILL BLVD, San Pablo",San Pablo
7,"4706 E. DRUMMOND ST., FRESNO",
8,"3425 N FIRST ST, FRESNO",Fresno
242,"SIERRA SKYPARK#2-BLYTHE & CHNNLT, FRESNO",Fresno
5001,"908 N VILLA AVE, CLOVIS",Clovis
5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",Calexico
6,CALEXICO - EAST,Calexico
1003,"150 9TH ST., EL CENTRO",El Centro
10,"2820 M St., Bakersfield, CA 93301",Bakersfield
16,"840 LAUREL, GLENDORA",Glendora
113,"VA HOSPITAL, WEST LOS ANGELES",West Los Angeles
1103,"1630 N MAIN ST, LOS ANGELES",Los Angeles
1201,"18330 GAULT ST., RESEDA",Reseda
1302,700 North Bullis Road,Compton
1602,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",Pico Rivera
1701,"924 N. GAREY AVE., POMONA",Pomona
2005,"752 S. WILSON AVE., PASADENA",Pasadena
4002,"3648 N. LONG BEACH BLVD., LONG BEACH",Long Beach
4006,"2425 Webster St., Long Beach, CA",Long Beach
5005,7201 W. WESTCHESTER PARKWAY,Los Angeles
6012,"22224 PLACERITA CANYON RD, SANTA CLARITA",Santa Clarita
9033,"43301 DIVISION ST., LANCASTER, CA",Lancaster
1,534 4TH ST.,San Rafael
3,2552 JEFFERSON AVE.,Napa
2022,"26081 VIA PERA, MISSION VIEJO, CA 92691",Mission Viejo
4,10551 Bellegrave,Mira Loma
8001,"5888 MISSION BLVD., RUBIDOUX",Rubidoux
8005,5130 POINSETTIA PLACE,Mira Loma
9001,"506 W FLINT ST, LAKE ELSINORE",Lake Elsinore
14,"68 GOLDENLAND COURT, SACRAMENTO, CA 95834",Sacramento
306,"14306 PARK AVE., VICTORVILLE, CA",Victorville
2002,"14360 ARROW BLVD., FONTANA",Fontana
9004,"24302 4TH ST., SAN BERNARDINO, CA.",San Bernardino
1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",San Diego
2007,"1100 PASEO INTERNATIONAL, OTAY MESA, CA",San Diego
1008,906 S BROADWAY - SANTA MARIA,Santa Maria
1025,LFC #1-LAS FLORES CANYON,Capitan
2011,"380 N FAIRVIEW AVENUE, GOLETA",Goleta
4003,"STS POWER PLANT, VANDENBERG AFB",Vandenberg Air Force Base
2009,22601 Voss Ave,Cupertino
1005,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",
2012,2000 South Union Ave. Bakersfield CA  93307,Bakersfield
5002,"19405 BUENA VISTA BLVD, ARVIN, CA., 93203",Arvin
77,"Campo Kumeyaay Nation, 36190 Church Rd, Ste 4, Campo, CA 91906",Campo
12,Laney College Eighth St. parking lot Aisle J,Oakland
1018,10537 FLOYD SMITH DRIVE,El Cajon
15,"100 Bercut Drive, Sacramento",Sacramento
26,NW Corner Interstate 10 & Etiwanda Ave,Ontario
1017,11403 Rancho Carmel Drive,San Diego
13,1 Bolivar Dr,
1022,533 First Street,El Cajon
9011,"701 S Mt Vernon Ave, San Bernardino, CA 92410",San Bernardino
2016,2482 Foundry Park Ave,Fresno
