county_code,site_code,parameter_code,year,latitude,longitude,sample_duration,pollutant_standard,metric_used,units,arithmetic_mean,first_max_value,second_max_value
1,9,42101,2010,37.743065,-122.169935,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.294714,3.0,2.7
1,9,42101,2010,37.743065,-122.169935,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.298299,1.6,1.6
1,11,42101,2010,37.814781,-122.282347,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.12365,2.7,2.3
1,11,42101,2010,37.814781,-122.282347,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.12605999999999998,1.7,1.7
1,1001,42101,2010,37.535833,-121.961823,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.35338800000000004,1.6,1.6
1,1001,42101,2010,37.535833,-121.961823,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.35707300000000003,0.9,0.9
1,2004,42101,2010,37.877794,-122.30129,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.314541,2.5,2.4
1,2004,42101,2010,37.877794,-122.30129,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.316886,1.5,1.5
7,2,42101,2010,39.757371,-121.843286,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.247363,2.5,2.3
7,2,42101,2010,39.757371,-121.843286,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.251988,1.8,1.8
13,2,42101,2010,37.936013,-122.026154,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.316863,1.2,1.2
13,2,42101,2010,37.936013,-122.026154,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.31678,1.0,0.9
13,1002,42101,2010,38.006311,-121.641918,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.281167,1.4,1.0
13,1002,42101,2010,38.006311,-121.641918,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.282343,0.8,0.8
13,1004,42101,2010,37.9604,-122.356811,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.352453,1.6,1.6
13,1004,42101,2010,37.9604,-122.356811,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.354613,0.9,0.9
19,7,42101,2010,36.705474,-119.741332,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.327733,2.0,2.0
19,7,42101,2010,36.705474,-119.741332,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.33355,1.5,1.4
19,8,42101,2010,36.781333,-119.77319,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.27133,3.3,2.9
19,8,42101,2010,36.781333,-119.77319,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.275063,2.0,2.0
19,242,42101,2010,36.841592,-119.874739,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.270667,1.3,1.3
19,242,42101,2010,36.841592,-119.874739,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.272648,0.9,0.9
19,5001,42101,2010,36.819449,-119.716433,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.292744,2.2,1.9
19,5001,42101,2010,36.819449,-119.716433,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.294652,1.4,1.4
23,1004,42101,2010,40.77678,-124.17949,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.239508,1.2,1.1
23,1004,42101,2010,40.77678,-124.17949,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.240421,0.9,0.9
25,5,42101,2010,32.67618,-115.48307,1 HOUR,CO 1-hour 1971,Obseved hourly values,Parts per million,0.866052,6.1,6.1
25,5,42101,2010,32.67618,-115.48307,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,Parts per million,0.8691969999999999,4.5,4.4
