county,year,total_VMT,diesel_consumption
Alameda,2010,812795100,115070
Alameda,2011,826410384,116225
Alameda,2012,827855955,115201
Alameda,2013,885134211,121050
Alameda,2014,885828090,120071
Alameda,2015,928951566,122923
Alameda,2016,977067606,129199
Alameda,2017,979165007,134544
Alameda,2018,957025853,132381
Alameda,2019,960665112,132545
Alameda,2020,933576425,130559
Alpine,2010,6112805,802
Alpine,2011,6172587,809
Alpine,2012,6161669,804
Alpine,2013,6358471,817
Alpine,2014,6540926,839
Alpine,2015,6690965,851
Alpine,2016,7271941,915
Alpine,2017,7094829,935
Alpine,2018,7013659,928
Alpine,2019,7019317,932
Alpine,2020,6772131,916
Amador,2010,31257079,2844
Amador,2011,30975022,2825
Amador,2012,30977223,2815
Amador,2013,31985202,2943
Amador,2014,33044661,3017
Amador,2015,36164448,3196
Amador,2016,40005193,3485
Amador,2017,39399455,3528
Amador,2018,39748499,3525
Amador,2019,41295140,3605
Amador,2020,36521547,3285
Butte,2010,204149131,23378
Butte,2011,206144511,23700
Butte,2012,205367964,23591
Butte,2013,216304587,24833
Butte,2014,219812532,25226
Butte,2015,231091877,25974
Butte,2016,249131160,27778
Butte,2017,251014829,28884
Butte,2018,249414208,28642
Butte,2019,255533415,29063
Butte,2020,234722924,27866
Calaveras,2010,44089475,3958
Calaveras,2011,44028204,3979
Calaveras,2012,43919653,3956
Calaveras,2013,45890489,4141
Calaveras,2014,46804516,4208
Calaveras,2015,50892399,4452
Calaveras,2016,56568411,4907
Calaveras,2017,56729895,5063
Calaveras,2018,56914987,5071
Calaveras,2019,58332496,5177
Calaveras,2020,52891110,4823
Colusa,2010,67453934,8363
Colusa,2011,68627869,8526
Colusa,2012,68523379,8499
Colusa,2013,72324959,8940
Colusa,2014,72793104,9054
Colusa,2015,75007349,9219
Colusa,2016,80950659,9881
Colusa,2017,81665735,10249
Colusa,2018,81182884,10171
Colusa,2019,81690077,10227
Colusa,2020,77755888,10032
Contra Costa,2010,355008911,44687
Contra Costa,2011,361447226,45247
Contra Costa,2012,363989749,44996
Contra Costa,2013,387593529,47412
Contra Costa,2014,400378884,48166
Contra Costa,2015,425504771,49179
Contra Costa,2016,458690332,52256
Contra Costa,2017,452978613,53916
Contra Costa,2018,449289047,53410
Contra Costa,2019,457702767,53826
Contra Costa,2020,431400274,52183
Del Norte,2010,19805423,1570
Del Norte,2011,19654770,1572
Del Norte,2012,19570280,1561
Del Norte,2013,19798799,1561
Del Norte,2014,19849772,1572
Del Norte,2015,21219203,1649
Del Norte,2016,23486624,1813
Del Norte,2017,22061420,1769
Del Norte,2018,22020998,1774
Del Norte,2019,22491790,1799
Del Norte,2020,19862112,1629
El Dorado,2010,106065518,9326
El Dorado,2011,105344282,9350
El Dorado,2012,104715210,9304
El Dorado,2013,108925106,9739
El Dorado,2014,111464417,9887
El Dorado,2015,119538431,10307
El Dorado,2016,133691625,11435
El Dorado,2017,132931291,11758
El Dorado,2018,135481722,11871
El Dorado,2019,137724676,12042
El Dorado,2020,121016064,10977
Fresno,2010,778837889,110790
Fresno,2011,788739383,112408
Fresno,2012,783703482,111588
Fresno,2013,839740629,117659
Fresno,2014,847489988,119283
Fresno,2015,868523332,120940
Fresno,2016,929421495,128531
Fresno,2017,959500992,134611
Fresno,2018,947463335,132815
Fresno,2019,960684107,133849
Fresno,2020,918894490,130788
Glenn,2010,64112859,7580
Glenn,2011,64914795,7711
Glenn,2012,64684210,7668
Glenn,2013,67878155,8027
Glenn,2014,69606522,8206
Glenn,2015,73164975,8475
Glenn,2016,78552738,9053
Glenn,2017,79663904,9427
Glenn,2018,79071016,9355
Glenn,2019,79774806,9417
Glenn,2020,75069670,9172
Humboldt,2010,148624253,14716
Humboldt,2011,150566581,14951
Humboldt,2012,150239141,14896
Humboldt,2013,156401537,15608
Humboldt,2014,160758964,15982
Humboldt,2015,169123806,16523
Humboldt,2016,187916512,18079
Humboldt,2017,186448345,18568
Humboldt,2018,181505453,18158
Humboldt,2019,180375092,18094
Humboldt,2020,167036082,17302
Imperial,2010,289432844,38300
Imperial,2011,294210681,38993
Imperial,2012,292831841,38793
Imperial,2013,311087121,40742
Imperial,2014,314637832,41444
Imperial,2015,322137299,42100
Imperial,2016,344139158,44773
Imperial,2017,352403635,46969
Imperial,2018,345299728,46400
Imperial,2019,347634795,46837
Imperial,2020,342230747,47496
Inyo,2010,51397479,5703
Inyo,2011,51721983,5772
Inyo,2012,51688794,5751
Inyo,2013,54353864,6017
Inyo,2014,55361795,6134
Inyo,2015,59115344,6376
Inyo,2016,64176044,6897
Inyo,2017,63448342,7061
Inyo,2018,62958595,7008
Inyo,2019,63071824,7047
Inyo,2020,59704314,6923
Kern,2010,1499342672,216721
Kern,2011,1524417985,220423
Kern,2012,1523626016,219557
Kern,2013,1626491652,231368
Kern,2014,1641490750,235058
Kern,2015,1672572437,237896
Kern,2016,1768439193,251672
Kern,2017,1819766980,263475
Kern,2018,1784525894,259693
Kern,2019,1794838801,261078
Kern,2020,1741272384,258429
Lake,2010,48700173,4272
Lake,2011,49239002,4324
Lake,2012,49247745,4311
Lake,2013,51313534,4508
Lake,2014,52785532,4603
Lake,2015,55602375,4788
Lake,2016,62969901,5348
Lake,2017,62798749,5479
Lake,2018,63487577,5504
Lake,2019,64514430,5570
Lake,2020,57641966,5129
Lassen,2010,40218628,3116
Lassen,2011,39437446,3098
Lassen,2012,38500847,3041
Lassen,2013,39249092,3119
