county,year,total_VMT,gas_consumption
Alameda,2010,10696006481,527557
Alameda,2011,10565677497,516504
Alameda,2012,10673276529,514083
Alameda,2013,10892934292,515511
Alameda,2014,11259150212,524771
Alameda,2015,11830910352,539733
Alameda,2016,12524809166,559362
Alameda,2017,12577592719,557192
Alameda,2018,12670904539,554567
Alameda,2019,12669348420,548303
Alameda,2020,10867482671,467234
Alpine,2010,57776486,2956
Alpine,2011,56718204,2871
Alpine,2012,57001160,2841
Alpine,2013,57724804,2824
Alpine,2014,59074714,2849
Alpine,2015,61667553,2907
Alpine,2016,64565702,2981
Alpine,2017,65666294,3013
Alpine,2018,66124619,3000
Alpine,2019,66761483,2989
Alpine,2020,61207724,2712
Amador,2010,284054725,15014
Amador,2011,278425936,14595
Amador,2012,275253467,14229
Amador,2013,277383011,14185
Amador,2014,282316450,14301
Amador,2015,289083012,14334
Amador,2016,295274580,14440
Amador,2017,298681523,14502
Amador,2018,297731835,14289
Amador,2019,302318953,14310
Amador,2020,263921181,12375
Butte,2010,1649561512,89572
Butte,2011,1621669637,87204
Butte,2012,1612102300,85626
Butte,2013,1622000793,84912
Butte,2014,1643700770,84989
Butte,2015,1700720703,86402
Butte,2016,1748650658,87074
Butte,2017,1792028763,88306
Butte,2018,1803688647,87661
Butte,2019,1731047654,83041
Butte,2020,1474782393,69917
Calaveras,2010,356084813,19787
Calaveras,2011,348284072,19226
Calaveras,2012,345372874,18824
Calaveras,2013,347201095,18700
Calaveras,2014,351560469,18728
Calaveras,2015,361237354,18887
Calaveras,2016,369759839,19104
Calaveras,2017,378122369,19327
Calaveras,2018,376643647,18991
Calaveras,2019,378349274,18818
Calaveras,2020,342345681,16832
Colusa,2010,546310985,29168
Colusa,2011,540075427,28506
Colusa,2012,542464447,28207
Colusa,2013,551302020,28121
Colusa,2014,565023794,28413
Colusa,2015,592519671,29212
Colusa,2016,609992190,29357
Colusa,2017,628599777,30024
Colusa,2018,632843587,29838
Colusa,2019,638611604,29752
Colusa,2020,558956935,25779
Contra Costa,2010,7075557459,350960
Contra Costa,2011,7002012229,343951
Contra Costa,2012,7084660587,343096
Contra Costa,2013,7216783619,343871
Contra Costa,2014,7425958765,348372
Contra Costa,2015,7773303629,357463
Contra Costa,2016,8165857227,368449
Contra Costa,2017,8250966859,369332
Contra Costa,2018,8313532091,367879
Contra Costa,2019,8362814386,365231
Contra Costa,2020,7219166412,312913
Del Norte,2010,248980426,13707
Del Norte,2011,243921018,13301
Del Norte,2012,242050361,13039
Del Norte,2013,242025328,12952
Del Norte,2014,241906199,12769
Del Norte,2015,250274636,12987
Del Norte,2016,257029826,13086
Del Norte,2017,259008008,13096
Del Norte,2018,261163087,13028
Del Norte,2019,263477358,13002
Del Norte,2020,235613325,11525
El Dorado,2010,1245790707,66272
El Dorado,2011,1220946749,64285
El Dorado,2012,1216723225,63076
El Dorado,2013,1230806201,62849
El Dorado,2014,1254679483,63172
El Dorado,2015,1294480686,63932
El Dorado,2016,1338167762,64871
El Dorado,2017,1361243172,65412
El Dorado,2018,1380479815,65499
El Dorado,2019,1387484622,64888
El Dorado,2020,1197784260,55572
Fresno,2010,6563511220,344558
Fresno,2011,6486653160,337488
Fresno,2012,6527370517,334729
Fresno,2013,6656531084,336077
Fresno,2014,6849845016,340124
Fresno,2015,7201433087,349958
Fresno,2016,7468909307,354811
Fresno,2017,7754507869,365088
Fresno,2018,7884259589,366040
Fresno,2019,8043844591,367965
Fresno,2020,6907039757,312942
Glenn,2010,511853426,27749
Glenn,2011,506117989,27165
Glenn,2012,507130315,26826
Glenn,2013,512249295,26630
Glenn,2014,524235307,26825
Glenn,2015,545825121,27375
Glenn,2016,561862746,27534
Glenn,2017,580023281,28208
Glenn,2018,586105790,28129
Glenn,2019,594028100,28110
Glenn,2020,520536841,24340
Humboldt,2010,1242902807,65096
Humboldt,2011,1222787648,63476
Humboldt,2012,1216454144,62518
Humboldt,2013,1218451702,61865
Humboldt,2014,1226280728,61621
Humboldt,2015,1260725550,62259
Humboldt,2016,1310969107,63649
