site_code,site
9,Oakland
11,Oakland West
1001,Fremont - Chapel Way
2004,Berkeley
2,Chico-Manzanita Ave.
1002,Bethel Island
1004,San Pablo
7,Fresno-Drummond
8,"3425 N FIRST ST, FRESNO"
242,Fresno-Sky Park
5001,Clovis-Villa
5,Calexico-Ethel Street
6,PORT OF ENTRY BETWEEN MEXICO AND USA. SCHEDULED TO OPEN 8/96
1003,El Centro-9th Street
10,Bakersfield-Golden/M St
16,Glendora
113,West Los Angeles
1103,Los Angeles-North Main Street
1201,Reseda
1302,Compton
1602,Pico Rivera #2
1701,Pomona
2005,Pasadena
4002,Long Beach (North)
4006,Long Beach (Hudson)
5005,LAX Hastings
6012,Santa Clarita
9033,Lancaster-Division Street
1,San Rafael
3,Napa
2022,Mission Viejo
4,Mira Loma (Bellegrave)
8001,Rubidoux
8005,Mira Loma (Van Buren)
9001,Lake Elsinore
14,Sacramento-Goldenland Ct.
306,Victorville-Park Avenue
2002,Fontana
9004,San Bernardino
1010,San Diego - Beardsley Street
2007,Otay Mesa
1008,Santa Maria
1025,Los Flores Canyon #1
2011,Goleta
4003,VAFB South Base
2009,Cupertino Monta Vista
1005,Humboldt Hill
2012,Bakersfield-Muni
5002,Arvin-Di Giorgio
77,Campo Indian Reservation
12,Laney College
1018,El Cajon - Floyd Smith Dr.
15,Sacramento-Bercut Drive
26,Ontario Near Road (Etiwanda)
1017,San Diego -Rancho Carmel Drive
13,Berkeley Aquatic Park
1022,El Cajon - Lexington Elementary School
9011,San Bernardino-Mt. Vernon Ave.
2016,Fresno-Foundry
1402,Van Nuys Airport
1403,Uddelholm (Trojan Battery)
1404,Closet World (Quemetco)
1405,Rehrig (Exide)
1406,ATSF (Exide)
4004,Long Beach (South)
1020,Palomar Airport
1021,Gillespie Field
2010,Palo Alto Airport
1023,Palomar Airport
1407,SA Recycling
4001,Parlier
6001,Shafter
1234,Trona - Athol/Telescope #2
1006,Alpine
3005,Tracy-Airport
3001,Morro Bay
1013,Lompoc HSP
1014,Paradise Road
1016,Kearny Villa Rd.
4008,Long Beach-Route 710 Near Road
27,Ontario-Route 60 Near Road
8002,Atascadero
1026,San Diego - Sherman Elementary School
4009,Signal Hill (LBSH)
4010,North Hollywood (NOHO)
2019,Bakersfield-Westwind
20,Cool
101,Death Valley NP - Park Village
232,Oildale
500,Santa Rosa Rancheria
1999,Torres Martinez Administration Site
9003,Blythe-445 W Murphy Street
5003,Sloughhouse
9002,Joshua Tree NP - Black Rock
9010,
1011,La Posta Reservation
2006,San Luis Obispo
8006,Carrizo Plains
3003,Lassen Volcanic NP - Manzanita Lake Fire Station
2001,Yreka
2003,
3002,Lakeport-S. Main Street
19,Mojave - CA 58 Business
21,Olancha
22,Dirty Socks
24,Flat Rock
25,Shell Cut
28,Lizard Tail
29,North Beach
1028,Fort Independence Indian Community
17,Canebrake
2510,Merced-M Street
284,Sacramento-Branch Center #2
2000,Manzanita Reservation
3010, STOCKTON-WAGNER/HOLT
30,Mill Site
3011,GLENBROOK
18,Ridgecrest-Ward
23,Olancha-Well 404
31,Lone Pine
1033,Stn.1 Big Pine Paiute site
5025,Fresno-Pacific
1009,Portola-161 Nevada Street
3004,Redding - Buckeye
